Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11,h,flux,abs,surf
0,359.85,359.19,360.4,360.94,360.09,362.16,359.5,359.75,356.3,360.8,334.56,409.201697154708,415.843969415889,340.238814272785,309.670106747229,302.057461433907,300.427283688684,300.088479478503,300.018315193813,300.003800893203,300.000924182816,300.001203530494,0.1575,25900,100,0.98
1,359.81,359.14,360.36,360.91,360.07,362.15,359.48,359.6,356.17,363.98,334.55,409.310815474814,415.981240667439,340.316922120626,309.694147732224,302.062974890635,300.428446617392,300.088720439236,300.018365059413,300.003811283121,300.000926855361,300.001205786746,0.1575,25900,100,0.98
2,359.75,359.07,360.34,360.88,360.05,362.13,359.48,359.35,356.19,365.82,334.64,409.419761231255,416.118364193782,340.395031045103,309.718215681371,302.068497933199,300.429611782346,300.08896187007,300.018415022526,300.003821693544,300.000929533487,300.001208047788,0.1575,25900,100,0.98
3,359.69,359.03,360.32,360.85,360.05,362.11,359.47,359.25,356.33,367.13,334.82,409.528534785291,416.255340156931,340.473140895882,309.74231055956,302.074030571725,300.430779188005,300.089203772049,300.018465083371,300.003832124518,300.000932217206,300.00121031363,0.1575,25900,100,0.98
4,359.62,358.95,360.28,360.81,360.03,362.09,359.43,359.32,356.55,369.02,335.0,409.637136499054,416.39216871749,340.551251523067,309.766432331549,302.079572816296,300.431948838836,300.089446146223,300.018515242171,300.00384257609,300.00093490653,300.001212584283,0.1575,25900,100,0.98
5,359.58,358.9,360.26,360.77,360.01,362.09,359.41,359.42,356.83,370.54,335.23,409.745566732016,416.528850037583,340.629362777496,309.790580961982,302.08512467695,300.433120739308,300.089688993643,300.018565499148,300.003853048306,300.000937601474,300.001214859758,0.1575,25900,100,0.98
6,359.5,358.84,360.21,360.73,359.94,362.07,359.38,359.47,357.24,371.17,335.57,409.853825841631,416.665384279885,340.70747451073,309.814756415395,302.090686163682,300.434294893895,300.08993231536,300.018615854522,300.003863541215,300.000940302048,300.001217140065,0.1575,25900,100,0.98
7,359.42,358.78,360.13,360.69,359.86,362.06,359.36,359.53,357.6,371.74,335.89,409.961914187491,416.801771604968,340.785586574583,309.838958656169,302.096257286439,300.435471307076,300.090176112432,300.018666308519,300.003874054862,300.000943008266,300.001219425214,0.1575,25900,100,0.98
8,359.37,358.73,360.04,360.62,359.8,362.03,359.33,359.6,357.77,373.07,336.08,410.069832123294,416.938012177175,340.86369882194,309.863187648612,302.101838055127,300.436649983334,300.090420385917,300.018716861362,300.003884589295,300.00094572014,300.001221715218,0.1575,25900,100,0.98
9,359.3,358.67,359.95,360.52,359.74,361.99,359.33,359.65,357.94,374.01,336.23,410.177580010707,417.074106153908,340.941811105474,309.887443356855,302.107428479603,300.437830927156,300.090665136874,300.018767513275,300.003895144563,300.000948437683,300.001224010085,0.1575,25900,100,0.98
10,359.22,358.63,359.89,360.48,359.7,361.96,359.33,359.69,358.1,374.54,336.41,410.285158197775,417.210053702409,341.019923279563,309.911725744987,302.113028569683,300.439014143034,300.090910366369,300.018818264482,300.003905720712,300.000951160907,300.001226309828,0.1575,25900,100,0.98
11,359.16,358.62,359.83,360.44,359.68,361.93,359.31,359.73,358.23,374.88,336.6,410.392567041231,417.345854982654,341.098035198288,309.936034776918,302.118638335134,300.440199635463,300.091156075466,300.018869115211,300.00391631779,300.000953889825,300.001228614457,0.1575,25900,100,0.98
12,359.09,358.6,359.78,360.38,359.65,361.89,359.29,359.79,358.35,375.09,336.79,410.499806899571,417.479925605539,341.177857184861,309.960531231034,302.124051282138,300.441322176613,300.091387931648,300.018917079342,300.00392630808,300.000956457863,300.001230782553,0.1575,25900,100,0.98
13,359.04,358.57,359.73,360.35,359.62,361.85,359.27,359.85,358.46,375.12,336.94,410.60580245628,417.616171007211,341.256185404669,309.984913181542,302.129665999137,300.442507307957,300.091633518256,300.018967904238,300.003936899389,300.000959185559,300.001233086245,0.1575,25900,100,0.98
14,359.0,358.54,359.69,360.32,359.61,361.83,359.25,359.88,358.56,374.97,337.07,410.71263496027,417.751477171452,341.334422619254,310.009316527112,302.135289931061,300.443694722516,300.091879577765,300.019018826488,300.003947511505,300.000961918879,300.00123539476,0.1575,25900,100,0.98
