Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,360.23,359.53,359.49,359.84,359.06,360.78,358.57,359.13,356.75,333.78,342.34,0.1575,19400,3,0.98,,,,,,,,,,,,,,,,,,,,,,
1,360.26,359.61,359.53,359.85,359.02,360.75,358.7,359.29,356.94,333.69,342.47,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.082584600672,360.026881357934,360.026881357934,360.026881357934,360.026881357934,360.026881357934,360.026881357934,360.026881357934,360.026881357934,360.026881357934,393.79686398967
2,360.33,359.74,359.6,359.89,359,360.75,358.83,359.51,357.16,333.67,342.66,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.106627550473,360.053759953991,360.053759953991,360.053759953991,360.053759953991,360.053759953991,360.053759953991,360.053759953991,360.053759953991,360.053759953991,393.823742585726
3,360.4,359.87,359.65,359.91,358.99,360.78,358.95,359.69,357.4,333.71,342.63,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.130667829533,360.080635788148,360.080635788148,360.080635788148,360.080635788148,360.080635788148,360.080635788148,360.080635788148,360.080635788148,360.080635788148,393.850618419884
4,360.5,360.01,359.67,359.95,359,360.83,359.06,359.85,357.66,333.77,342.6,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.154705437893,360.107508860387,360.107508860387,360.107508860387,360.107508860387,360.107508860387,360.107508860387,360.107508860387,360.107508860387,360.107508860387,393.877491492123
5,360.61,360.14,359.69,359.99,359.03,360.88,359.22,360,357.91,333.83,342.47,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.178740375594,360.134379170688,360.134379170688,360.134379170688,360.134379170688,360.134379170688,360.134379170688,360.134379170688,360.134379170688,360.134379170688,393.904361802424
6,360.72,360.26,359.71,360.05,359.04,360.93,359.35,360.11,358.12,333.86,342.49,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.202772642678,360.16124671903,360.16124671903,360.16124671903,360.16124671903,360.16124671903,360.16124671903,360.16124671903,360.16124671903,360.16124671903,393.931229350766
7,360.85,360.38,359.75,360.1,359.08,360.99,359.51,360.12,358.35,333.9,342.65,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.226802239185,360.188111505393,360.188111505393,360.188111505393,360.188111505393,360.188111505393,360.188111505393,360.188111505393,360.188111505393,360.188111505393,393.958094137129
8,360.93,360.48,359.8,360.16,359.13,361.05,359.62,360.11,358.5,333.92,342.62,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.250829165155,360.214973529757,360.214973529757,360.214973529757,360.214973529757,360.214973529757,360.214973529757,360.214973529757,360.214973529757,360.214973529757,393.984956161493
9,360.97,360.54,359.84,360.19,359.17,361.09,359.71,360.16,358.57,333.94,342.57,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.274853420631,360.241832792103,360.241832792103,360.241832792103,360.241832792103,360.241832792103,360.241832792103,360.241832792103,360.241832792103,360.241832792103,394.011815423839
10,361.02,360.56,359.89,360.23,359.22,361.16,359.82,360.24,358.65,333.95,342.64,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.298875005652,360.268689292411,360.268689292411,360.268689292411,360.268689292411,360.268689292411,360.268689292411,360.268689292411,360.268689292411,360.268689292411,394.038671924147
11,361.03,360.54,359.94,360.28,359.25,361.23,359.94,360.31,358.72,333.94,342.39,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.322893920262,360.295543030662,360.295543030662,360.295543030662,360.295543030662,360.295543030662,360.295543030662,360.295543030662,360.295543030662,360.295543030662,394.065525662397
12,361.06,360.55,360,360.33,359.3,361.3,360.06,360.37,358.76,333.96,342.42,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.3469101645,360.322394006835,360.322394006835,360.322394006835,360.322394006835,360.322394006835,360.322394006835,360.322394006835,360.322394006835,360.322394006835,394.09237663857
13,361.08,360.57,360.06,360.37,359.36,361.38,360.15,360.49,358.8,333.96,342.44,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.370923738408,360.349242220911,360.349242220911,360.349242220911,360.349242220911,360.349242220911,360.349242220911,360.349242220911,360.349242220911,360.349242220911,394.119224852647
14,361.12,360.6,360.12,360.41,359.41,361.47,360.23,360.66,358.83,333.91,342.52,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.394934642028,360.376087672871,360.376087672871,360.376087672871,360.376087672871,360.376087672871,360.376087672871,360.376087672871,360.376087672871,360.376087672871,394.146070304607
15,361.15,360.63,360.17,360.45,359.47,361.54,360.3,360.8,358.84,333.88,342.63,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.418942875402,360.402930362696,360.402930362696,360.402930362696,360.402930362696,360.402930362696,360.402930362696,360.402930362696,360.402930362696,360.402930362696,394.172912994432
16,361.19,360.65,360.25,360.5,359.54,361.59,360.41,360.9,358.87,333.85,342.51,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.442948438569,360.429770290366,360.429770290366,360.429770290366,360.429770290366,360.429770290366,360.429770290366,360.429770290366,360.429770290366,360.429770290366,394.199752922102
17,361.22,360.68,360.32,360.56,359.61,361.67,360.49,361.03,358.96,333.84,342.56,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.466951331573,360.456607455862,360.456607455862,360.456607455862,360.456607455862,360.456607455862,360.456607455862,360.456607455862,360.456607455862,360.456607455862,394.226590087598
18,361.28,360.71,360.36,360.61,359.65,361.73,360.53,361.15,359.06,333.84,342.51,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.490951554456,360.483441859165,360.483441859165,360.483441859165,360.483441859165,360.483441859165,360.483441859165,360.483441859165,360.483441859165,360.483441859165,394.253424490901
19,361.36,360.77,360.41,360.67,359.69,361.8,360.55,361.22,359.18,333.81,342.56,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.514949107257,360.510273500256,360.510273500256,360.510273500256,360.510273500256,360.510273500256,360.510273500256,360.510273500256,360.510273500256,360.510273500256,394.280256131992
20,361.42,360.83,360.45,360.72,359.73,361.86,360.52,361.27,359.27,333.81,342.49,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.538943990021,360.537102379117,360.537102379117,360.537102379117,360.537102379117,360.537102379117,360.537102379117,360.537102379117,360.537102379117,360.537102379117,394.307085010852
21,361.5,360.9,360.5,360.78,359.78,361.93,360.47,361.34,359.33,333.8,342.58,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.562936202788,360.563928495727,360.563928495727,360.563928495727,360.563928495727,360.563928495727,360.563928495727,360.563928495727,360.563928495727,360.563928495727,394.333911127463
22,361.58,360.95,360.54,360.83,359.8,362,360.4,361.37,359.36,333.78,342.68,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.586925745601,360.590751850069,360.590751850069,360.590751850069,360.590751850069,360.590751850069,360.590751850069,360.590751850069,360.590751850069,360.590751850069,394.360734481805
23,361.65,360.99,360.56,360.85,359.83,362.05,360.36,361.37,359.39,333.73,342.53,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.610912618501,360.617572442124,360.617572442124,360.617572442124,360.617572442124,360.617572442124,360.617572442124,360.617572442124,360.617572442124,360.617572442124,394.38755507386
24,361.71,361.04,360.58,360.87,359.87,362.11,360.38,361.38,359.41,333.68,342.53,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.634896821531,360.644390271873,360.644390271873,360.644390271873,360.644390271873,360.644390271873,360.644390271873,360.644390271873,360.644390271873,360.644390271873,394.414372903609
25,361.72,361.09,360.61,360.93,359.94,362.16,360.45,361.4,359.42,333.61,342.55,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.658878354733,360.671205339298,360.671205339298,360.671205339298,360.671205339298,360.671205339298,360.671205339298,360.671205339298,360.671205339298,360.671205339298,394.441187971034
26,361.66,361.11,360.65,360.99,360.02,362.2,360.48,361.43,359.4,333.58,342.66,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.682857218148,360.69801764438,360.69801764438,360.69801764438,360.69801764438,360.69801764438,360.69801764438,360.69801764438,360.69801764438,360.69801764438,394.468000276116
27,361.62,361.11,360.65,361.04,360.08,362.22,360.45,361.46,359.34,333.58,342.61,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.70683341182,360.7248271871,360.7248271871,360.7248271871,360.7248271871,360.7248271871,360.7248271871,360.7248271871,360.7248271871,360.7248271871,394.494809818836
28,361.58,361.11,360.67,361.07,360.15,362.21,360.4,361.48,359.15,333.59,342.69,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.730806935791,360.751633967442,360.751633967442,360.751633967442,360.751633967442,360.751633967442,360.751633967442,360.751633967442,360.751633967442,360.751633967442,394.521616599178
29,361.53,361.1,360.66,361.13,360.22,362.19,360.37,361.5,358.76,333.61,342.6,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.754777790103,360.778437985385,360.778437985385,360.778437985385,360.778437985385,360.778437985385,360.778437985385,360.778437985385,360.778437985385,360.778437985385,394.548420617121
30,361.48,361.09,360.66,361.17,360.29,362.16,360.33,361.5,358.4,333.61,342.72,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.778745974798,360.805239240912,360.805239240912,360.805239240912,360.805239240912,360.805239240912,360.805239240912,360.805239240912,360.805239240912,360.805239240912,394.575221872648
31,361.45,361.11,360.65,361.2,360.37,362.15,360.29,361.5,358.21,333.63,342.68,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.80271148992,360.832037734006,360.832037734006,360.832037734006,360.832037734006,360.832037734006,360.832037734006,360.832037734006,360.832037734006,360.832037734006,394.602020365742
32,361.44,361.12,360.65,361.22,360.43,362.13,360.28,361.48,358.14,333.66,342.7,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.82667433551,360.858833464647,360.858833464647,360.858833464647,360.858833464647,360.858833464647,360.858833464647,360.858833464647,360.858833464647,360.858833464647,394.628816096383
33,361.44,361.13,360.66,361.22,360.49,362.12,360.26,361.42,358.08,333.71,342.7,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.850634511612,360.885626432819,360.885626432819,360.885626432819,360.885626432819,360.885626432819,360.885626432819,360.885626432819,360.885626432819,360.885626432819,394.655609064555
34,361.46,361.15,360.65,361.23,360.55,362.1,360.28,361.33,357.9,333.8,342.81,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.874592018268,360.912416638503,360.912416638503,360.912416638503,360.912416638503,360.912416638503,360.912416638503,360.912416638503,360.912416638503,360.912416638503,394.682399270239
35,361.49,361.15,360.64,361.24,360.59,362.1,360.27,361.26,357.78,333.92,342.8,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.898546855522,360.939204081682,360.939204081682,360.939204081682,360.939204081682,360.939204081682,360.939204081682,360.939204081682,360.939204081682,360.939204081682,394.709186713418
36,361.51,361.16,360.64,361.23,360.6,362.1,360.23,361.16,357.81,334.06,342.88,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.922499023416,360.965988762337,360.965988762337,360.965988762337,360.965988762337,360.965988762337,360.965988762337,360.965988762337,360.965988762337,360.965988762337,394.735971394073
37,361.53,361.16,360.63,361.23,360.61,362.1,360.24,361.1,357.9,334.23,342.92,0.1575,19400,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.946448521992,360.992770680452,360.992770680452,360.992770680452,360.992770680452,360.992770680452,360.992770680452,360.992770680452,360.992770680452,360.992770680452,394.762753312188
