Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.97,359.35,359.98,360.2,359.55,361.57,358.99,359.88,356.71,337.26,344,0.1575,25900,3,0.98,,,,,,,,,,,,,,,,,,,,,,
1,360.02,359.44,359.96,360.2,359.55,361.55,359.16,360.04,357.16,337.41,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.095882039371,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,401.984251878655
2,360.12,359.6,360,360.26,359.58,361.59,359.36,360.33,357.6,337.58,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.133220778679,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,402.025994669528
3,360.24,359.76,360.07,360.34,359.64,361.64,359.55,360.59,358.04,337.76,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.170555197892,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,402.067733170616
4,360.38,359.92,360.13,360.47,359.7,361.73,359.73,360.83,358.45,337.95,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.207885296887,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,402.109467381627
5,360.51,360.07,360.2,360.61,359.78,361.83,359.9,361,358.82,338.14,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.24521107554,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,402.151197302269
6,360.65,360.21,360.27,360.7,359.88,361.91,360.04,361.11,359.13,338.3,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.282532533727,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,402.19292293225
7,360.74,360.33,360.35,360.84,359.97,362.02,360.18,361.24,359.39,338.44,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.319849671326,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,402.234644271278
8,360.86,360.53,360.49,360.98,360.12,361.72,360.42,361.34,359.58,338.62,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.357162488215,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,402.276361319061
9,360.99,360.71,360.64,361.06,360.29,362.27,360.66,361.44,359.74,338.69,344,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.39447098427,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,402.318074075309
