Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.64,359.11,359.76,360.3,359.56,361.63,358.36,357.76,351.5,319.14,191.83,0.1575,25900,3,0.76,,,,,,,,,,,,,,,,,,,,,,
1,359.62,359.1,359.75,360.31,359.56,361.62,358.44,357.94,351.81,319.34,192.46,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,339.884854023493,360.045332942992,360.045332942992,360.045332942992,360.045332942992,360.045332942992,360.045332942992,360.045332942992,360.045332942992,360.045332942992,401.987837741283
2,359.69,359.2,359.8,360.39,359.6,361.65,358.64,358.23,352.12,319.6,193.28,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,339.926111525548,360.09066214133,360.09066214133,360.09066214133,360.09066214133,360.09066214133,360.09066214133,360.09066214133,360.09066214133,360.09066214133,402.033166939621
3,359.8,359.33,359.86,360.48,359.66,361.69,358.84,358.6,352.46,319.94,193.97,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,339.96736512007,360.135987594611,360.135987594611,360.135987594611,360.135987594611,360.135987594611,360.135987594611,360.135987594611,360.135987594611,360.135987594611,402.078492392902
4,359.94,359.48,359.95,360.56,359.74,361.75,359.06,358.88,352.9,320.3,194.68,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.008614806803,360.181309302435,360.181309302435,360.181309302435,360.181309302435,360.181309302435,360.181309302435,360.181309302435,360.181309302435,360.181309302435,402.123814100725
5,360.15,359.71,360.08,360.7,359.88,361.83,359.41,359.29,353.62,320.81,195.33,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.049860585489,360.226627264399,360.226627264399,360.226627264399,360.226627264399,360.226627264399,360.226627264399,360.226627264399,360.226627264399,360.226627264399,402.16913206269
6,360.37,359.96,360.24,360.85,360.05,361.93,359.75,359.65,354.37,321.31,195.96,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.091102455871,360.271941480104,360.271941480104,360.271941480104,360.271941480104,360.271941480104,360.271941480104,360.271941480104,360.271941480104,360.271941480104,402.214446278394
7,360.5,360.13,360.35,361,360.17,362.02,359.96,359.96,354.8,321.63,196.59,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.132340417693,360.317251949147,360.317251949147,360.317251949147,360.317251949147,360.317251949147,360.317251949147,360.317251949147,360.317251949147,360.317251949147,402.259756747437
8,360.64,360.29,360.44,361.13,360.28,362.12,360.18,360.24,355.13,321.93,197.24,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.173574470698,360.362558671128,360.362558671128,360.362558671128,360.362558671128,360.362558671128,360.362558671128,360.362558671128,360.362558671128,360.362558671128,402.305063469418
9,360.77,360.44,360.54,361.28,360.4,362.24,360.4,360.51,355.38,322.24,197.88,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.214804614629,360.407861645645,360.407861645645,360.407861645645,360.407861645645,360.407861645645,360.407861645645,360.407861645645,360.407861645645,360.407861645645,402.350366443936
10,360.88,360.58,360.64,361.41,360.51,362.36,360.57,360.76,355.58,322.53,198.57,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.256030849231,360.4531608723,360.4531608723,360.4531608723,360.4531608723,360.4531608723,360.4531608723,360.4531608723,360.4531608723,360.4531608723,402.39566567059
11,361,360.69,360.72,361.5,360.62,362.44,360.75,360.92,355.78,322.82,199.09,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.297253174246,360.49845635069,360.49845635069,360.49845635069,360.49845635069,360.49845635069,360.49845635069,360.49845635069,360.49845635069,360.49845635069,402.440961148981
12,361.13,360.8,360.82,361.63,360.72,362.56,360.88,361.14,355.95,323.1,199.59,0.1575,25900,3,0.76,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,340.338471589419,360.543748080416,360.543748080416,360.543748080416,360.543748080416,360.543748080416,360.543748080416,360.543748080416,360.543748080416,360.543748080416,402.486252878707
