Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,359.62,359.2,359.77,360.13,359.49,361.24,358.32,358.58,354.64,332.14,345.47,0.1575,25900,3,0.98,,,,,,,,,,,,,,,,,,,,,,
1,359.59,359.26,359.68,360.13,359.47,361.23,358.31,358.9,354.71,331.75,345.5,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.095882039371,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,360.041747080365,401.984251878655
2,359.6,359.37,359.64,360.21,359.48,361.25,358.4,359.22,354.97,331.56,345.52,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.133220778679,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,360.083489871237,402.025994669528
3,359.64,359.49,359.68,360.31,359.5,361.29,358.52,359.44,355.26,331.4,345.65,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.170555197892,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,360.125228372325,402.067733170616
4,359.72,359.64,359.73,360.38,359.52,361.31,358.65,359.53,355.56,331.29,345.74,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.207885296887,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,360.166962583336,402.109467381627
5,359.79,359.78,359.8,360.48,359.56,361.32,358.75,359.64,355.88,331.2,345.81,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.24521107554,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,360.208692503978,402.151197302269
6,359.87,359.92,359.86,360.58,359.61,361.35,358.83,359.73,356.2,331.13,345.86,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.282532533727,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,360.250418133959,402.19292293225
7,359.94,360.06,359.93,360.68,359.64,361.36,358.89,359.87,356.49,331.05,345.76,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.319849671326,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,360.292139472987,402.234644271278
8,359.98,360.19,359.98,360.77,359.66,361.4,358.96,360,356.73,330.96,345.84,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.357162488215,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,360.333856520771,402.276361319061
9,360.01,360.35,360.08,360.84,359.74,361.42,358.93,360.09,357.02,330.84,345.87,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.39447098427,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,360.375569277018,402.318074075309
10,360.03,360.46,360.19,360.95,359.83,361.47,358.98,360.25,357.19,330.75,346.05,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.43177515937,360.417277741439,360.417277741439,360.417277741439,360.417277741439,360.417277741439,360.417277741439,360.417277741439,360.417277741439,360.417277741439,402.359782539729
11,360.06,360.46,360.26,361.06,359.91,361.53,359.05,360.4,357.23,330.73,346.09,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.469075013391,360.458981913741,360.458981913741,360.458981913741,360.458981913741,360.458981913741,360.458981913741,360.458981913741,360.458981913741,360.458981913741,402.401486712032
12,360.09,360.42,360.33,361.15,359.97,361.6,359.18,360.5,357.27,330.72,346.03,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.506370546212,360.500681793635,360.500681793635,360.500681793635,360.500681793635,360.500681793635,360.500681793635,360.500681793635,360.500681793635,360.500681793635,402.443186591925
13,360.14,360.37,360.37,361.24,360.05,361.68,359.36,360.56,357.35,330.73,346.24,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.543661757711,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,360.542377380828,402.484882179119
14,360.18,360.32,360.4,361.33,360.11,361.75,359.5,360.59,357.41,330.74,346.35,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.580948647766,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,360.584068675032,402.526573473323
15,360.22,360.26,360.43,361.42,360.17,361.83,359.58,360.63,357.52,330.79,346.23,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.618231216255,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,360.625755675955,402.568260474246
16,360.26,360.22,360.46,361.51,360.24,361.9,359.65,360.7,357.59,330.85,346.34,0.1575,25900,3,0.98,-0,-0.01575,-0.0315,-0.04725,-0.063,-0.07875,-0.0945,-0.11025,-0.126,-0.14175,-0.1575,336.655509463059,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,360.667438383308,402.609943181599
