time,ir_center,ir_bulk,ir_p95,ir_p99,ir_p25,ir_std,ir_grad,ir_area
1.0,377.5361022949219,373.5799865722656,377.6600036621094,379.2799987792969,247.53997802734375,71.78241729736328,-1.1561279296875,108717
2.0,378.21929931640625,374.1199951171875,378.2599792480469,379.9599914550781,249.51998901367188,70.27696228027344,-1.21929931640625,108717
3.0,378.7702941894531,374.5,378.5199890136719,380.2799987792969,251.13998413085938,69.02264404296875,-1.4503173828125,108717
4.0,378.8346862792969,374.7200012207031,378.67999267578125,380.3399963378906,252.79998779296875,68.14324951171875,-1.334686279296875,108717
5.0,378.8977966308594,374.79998779296875,378.739990234375,380.3999938964844,254.1199951171875,67.41236114501953,-1.31781005859375,108717
6.0,378.8153381347656,374.8399963378906,378.6999816894531,380.3199768066406,255.25997924804688,66.65885925292969,-1.255340576171875,108717
7.0,378.8323059082031,374.8399963378906,378.7200012207031,380.3599853515625,255.94000244140625,66.2125015258789,-1.292327880859375,108717
8.0,378.5851745605469,374.7599792480469,378.5799865722656,380.1600036621094,256.7599792480469,65.64485931396484,-1.165191650390625,108717
9.0,378.59783935546875,374.739990234375,378.5799865722656,380.1600036621094,257.3800048828125,65.28594970703125,-1.197845458984375,108717
10.0,378.7019958496094,374.7799987792969,378.6999816894531,380.2799987792969,258.1999816894531,64.85675048828125,-1.201995849609375,108717
11.0,378.7613220214844,374.8799743652344,378.8399963378906,380.41998291015625,258.8999938964844,64.43848419189453,-1.141326904296875,108717
12.0,378.91558837890625,374.94000244140625,378.91998291015625,380.53997802734375,259.0799865722656,64.2947769165039,-1.215606689453125,108717
13.0,378.95306396484375,374.97998046875,378.8799743652344,380.55999755859375,259.7200012207031,64.08683776855469,-1.233062744140625,108717
14.0,379.0231628417969,375.03997802734375,378.91998291015625,380.6999816894531,260.7599792480469,63.61842346191406,-1.283172607421875,108717
15.0,378.91070556640625,375.0999755859375,378.91998291015625,380.7200012207031,261.5,63.36094284057617,-1.1107177734375,108717
16.0,379.0527038574219,375.0999755859375,378.9599914550781,380.739990234375,261.9599914550781,63.02729034423828,-1.23272705078125,108717
17.0,379.16754150390625,375.0999755859375,379.0199890136719,380.7799987792969,262.1199951171875,62.85674285888672,-1.30755615234375,108717
18.0,379.5228576660156,375.1999816894531,379.2599792480469,381.1399841308594,262.67999267578125,62.50729751586914,-1.482879638671875,108717
19.0,379.62158203125,375.2799987792969,379.239990234375,381.1600036621094,262.8199768066406,62.47249984741211,-1.5216064453125,108717
20.0,379.7580871582031,375.41998291015625,379.3799743652344,381.216796875,263.5199890136719,62.1879997253418,-1.518096923828125,108717
21.0,379.7701721191406,375.5,379.3799743652344,381.1600036621094,264.239990234375,61.894561767578125,-1.530181884765625,108717
22.0,379.8614196777344,375.41998291015625,379.3199768066406,381.1999816894531,264.41998291015625,61.76849365234375,-1.681427001953125,108717
23.0,379.8067321777344,375.44000244140625,379.3999938964844,381.239990234375,264.6199951171875,61.673988342285156,-1.566741943359375,108717
24.0,379.9668273925781,375.55999755859375,379.55999755859375,381.4599914550781,264.8199768066406,61.59873580932617,-1.606842041015625,108717
25.0,380.0221862792969,375.67999267578125,379.6399841308594,381.5199890136719,265.03997802734375,61.73234558105469,-1.542205810546875,108717
26.0,380.057373046875,375.739990234375,379.7039794921875,381.53997802734375,265.6399841308594,61.5531005859375,-1.557373046875,108717
27.0,380.3207092285156,375.8399963378906,379.8199768066406,381.7200012207031,266.05999755859375,61.25460433959961,-1.720733642578125,108717
28.0,380.299560546875,375.97998046875,379.8999938964844,381.7200012207031,266.55999755859375,60.97618103027344,-1.599578857421875,108717
29.0,380.15191650390625,376.05999755859375,379.8799743652344,381.53997802734375,266.7799987792969,60.94480895996094,-1.41192626953125,108717
30.0,380.14697265625,376.0799865722656,379.91998291015625,381.5799865722656,267.239990234375,60.65972137451172,-1.386993408203125,108717
31.0,380.2616271972656,376.0999755859375,379.9599914550781,381.69677734375,267.6199951171875,60.70663070678711,-1.461639404296875,108717
32.0,380.30487060546875,376.03997802734375,379.94000244140625,381.7799987792969,267.8399963378906,60.504173278808594,-1.524871826171875,108717
33.0,380.3335266113281,376.0999755859375,380.0199890136719,381.79998779296875,268.1000061035156,60.4400634765625,-1.4935302734375,108717
34.0,380.5182800292969,376.0799865722656,380.1199951171875,381.94000244140625,268.4599914550781,60.301727294921875,-1.6383056640625,108717
35.0,380.5186767578125,376.0999755859375,380.0999755859375,382.0,269.0,60.14833068847656,-1.65869140625,108717
36.0,380.521728515625,376.1199951171875,380.0999755859375,381.97998046875,269.3800048828125,59.93425750732422,-1.641754150390625,108717
37.0,380.5307922363281,376.1999816894531,380.1199951171875,381.94000244140625,269.53997802734375,60.0054931640625,-1.57080078125,108717
38.0,380.7418212890625,376.17999267578125,380.2200012207031,382.2200012207031,269.91998291015625,59.84183883666992,-1.7418212890625,108717
39.0,380.7744140625,376.2799987792969,380.3399963378906,382.3199768066406,269.8800048828125,59.84138107299805,-1.6544189453125,108717
40.0,380.7807922363281,376.29998779296875,380.3199768066406,382.3199768066406,270.2799987792969,59.77565002441406,-1.7008056640625,108717
41.0,380.8387756347656,376.3999938964844,380.41998291015625,382.3999938964844,270.6399841308594,59.6304931640625,-1.658782958984375,108717
42.0,380.9344177246094,376.44000244140625,380.5,382.5799865722656,270.79998779296875,59.64260482788086,-1.6744384765625,108717
43.0,380.9473571777344,376.44000244140625,380.47998046875,382.47998046875,271.1399841308594,59.44265365600586,-1.6873779296875,108717
44.0,380.86376953125,376.5,380.5,382.3799743652344,271.5199890136719,59.09813690185547,-1.56378173828125,108717
45.0,380.9239501953125,376.55999755859375,380.5,382.41998291015625,271.7799987792969,59.12059783935547,-1.56396484375,108717
46.0,380.865478515625,376.53997802734375,380.5199890136719,382.3799743652344,271.8599853515625,58.912437438964844,-1.525482177734375,108717
47.0,380.94805908203125,376.5999755859375,380.5999755859375,382.41998291015625,271.6999816894531,58.957332611083984,-1.548065185546875,108717
48.0,380.89715576171875,376.55999755859375,380.5199890136719,382.3399963378906,272.1600036621094,58.78856658935547,-1.557159423828125,108717
49.0,380.9122314453125,376.5799865722656,380.5799865722656,382.44000244140625,272.55999755859375,58.61790084838867,-1.512237548828125,108717
50.0,380.9248352050781,376.6199951171875,380.6199951171875,382.3999938964844,273.0,58.34024429321289,-1.504852294921875,108717
51.0,380.9478759765625,376.6999816894531,380.6039733886719,382.3999938964844,272.8199768066406,58.45983123779297,-1.50787353515625,108717
52.0,381.164794921875,376.67999267578125,380.7200012207031,382.55999755859375,272.67999267578125,58.59370803833008,-1.684814453125,108717
53.0,381.235595703125,376.7599792480469,380.8399963378906,382.6600036621094,272.8399963378906,58.522010803222656,-1.6356201171875,108717
54.0,381.20281982421875,376.7799987792969,380.8599853515625,382.5999755859375,272.6999816894531,58.4813117980957,-1.60284423828125,108717
55.0,381.1642150878906,376.8199768066406,380.8599853515625,382.5799865722656,273.17999267578125,58.297794342041016,-1.52423095703125,108717
56.0,381.2121887207031,376.8199768066406,380.8599853515625,382.67999267578125,273.3800048828125,58.27180862426758,-1.57220458984375,108717
57.0,381.2621765136719,376.8999938964844,380.8599853515625,382.67999267578125,273.5799865722656,58.27061080932617,-1.582183837890625,108717
58.0,381.23834228515625,376.91998291015625,380.8799743652344,382.65679931640625,273.8399963378906,58.00849914550781,-1.538360595703125,108717
59.0,381.34014892578125,377.0199890136719,381.0,382.739990234375,273.79998779296875,58.05671691894531,-1.560150146484375,108717
60.0,381.478515625,377.0199890136719,381.0,382.8367919921875,274.1000061035156,57.98731994628906,-1.67852783203125,108717
61.0,381.4091796875,377.05999755859375,381.05999755859375,382.8399963378906,274.1600036621094,57.999542236328125,-1.5491943359375,108717
62.0,381.5218200683594,377.0199890136719,381.05999755859375,382.94000244140625,274.1999816894531,58.034637451171875,-1.661834716796875,108717
63.0,381.3789978027344,377.0799865722656,381.03997802734375,382.75677490234375,274.8999938964844,57.71752166748047,-1.519012451171875,108717
64.0,381.4709167480469,377.0999755859375,381.05999755859375,382.8599853515625,275.03997802734375,57.70415496826172,-1.610931396484375,108717
65.0,381.5596008300781,377.0799865722656,381.03997802734375,382.8399963378906,275.1999816894531,57.678226470947266,-1.7196044921875,108717
66.0,381.45355224609375,377.1199951171875,381.03997802734375,382.7799987792969,275.3399963378906,57.48779296875,-1.613555908203125,108717
67.0,381.6169128417969,377.1399841308594,381.1199951171875,382.94000244140625,275.6600036621094,57.41933822631836,-1.696929931640625,108717
68.0,381.59564208984375,377.1600036621094,381.083984375,382.94000244140625,275.739990234375,57.48162078857422,-1.6556396484375,108717
69.0,381.6508483886719,377.17999267578125,381.0999755859375,383.0,276.05999755859375,57.467620849609375,-1.710845947265625,108717
70.0,381.64825439453125,377.2200012207031,381.1600036621094,383.03997802734375,276.1199951171875,57.46533966064453,-1.64825439453125,108717
