time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,357.53,359.53,359.96,360.42,359.73,361.72,359.08,359.64,355.23,326.13
2,357.5,359.58,359.99,360.44,359.75,361.73,359.21,359.79,355.49,326.1
3,357.49,359.7,360.04,360.5,359.78,361.78,359.37,360.03,355.76,326.09
4,357.5,359.83,360.11,360.6,359.84,361.85,359.57,360.27,355.96,326.11
5,357.54,359.99,360.2,360.71,359.92,361.95,359.75,360.51,356.17,326.2
6,357.58,360.14,360.3,360.84,360.02,362.05,359.94,360.7,356.44,326.35
7,357.64,360.29,360.39,360.95,360.11,362.14,360.08,360.86,356.76,326.51
8,357.76,360.48,360.54,361.06,360.28,362.23,360.3,360.99,357.28,326.76
9,357.88,360.66,360.65,361.18,360.44,362.34,360.48,361.14,357.74,327.0
10,357.98,360.75,360.71,361.31,360.53,362.45,360.57,361.29,358.0,327.16
11,358.08,360.85,360.76,361.43,360.64,362.55,360.67,361.4,358.24,327.35
12,358.18,360.93,360.83,361.54,360.73,362.65,360.77,361.5,358.46,327.5
13,358.28,360.99,360.89,361.65,360.82,362.72,360.86,361.59,358.67,327.67
14,358.38,361.07,360.95,361.75,360.89,362.8,360.93,361.7,358.84,327.81
15,358.49,361.13,361.02,361.82,360.96,362.84,360.98,361.79,359.0,327.95
16,358.59,361.19,361.08,361.92,361.02,362.9,361.05,361.91,359.14,328.08
17,358.74,361.24,361.17,362.0,361.13,362.95,361.15,361.99,359.32,328.28
18,358.89,361.23,361.24,362.09,361.22,363.0,361.25,362.06,359.46,328.48
19,358.99,361.21,361.27,362.18,361.26,363.05,361.31,362.1,359.51,328.61
20,359.09,361.18,361.29,362.26,361.3,363.1,361.39,362.15,359.51,328.73
21,359.18,361.18,361.28,362.32,361.33,363.14,361.48,362.2,359.49,328.85
22,359.28,361.19,361.29,362.35,361.38,363.15,361.54,362.24,359.43,328.97
23,359.38,361.23,361.29,362.38,361.42,363.16,361.61,362.28,359.34,329.1
24,359.47,361.28,361.3,362.4,361.47,363.17,361.67,362.31,359.23,329.26
25,359.57,361.32,361.34,362.41,361.5,363.17,361.71,362.29,359.13,329.41
26,359.69,361.35,361.4,362.44,361.54,363.18,361.73,362.24,358.98,329.64
27,359.82,361.33,361.47,362.46,361.59,363.21,361.74,362.18,358.83,329.89
28,359.91,361.32,361.52,362.48,361.62,363.23,361.75,362.1,358.76,330.08
