time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,358.85,359.37,360.24,360.78,359.9,362.01,358.77,359.11,355.59,330.85
2,358.83,359.37,360.23,360.79,359.91,361.99,358.83,359.3,355.56,330.52
3,358.81,359.39,360.23,360.81,359.92,361.99,358.94,359.51,355.67,330.24
4,358.76,359.42,360.24,360.83,359.94,362.0,359.08,359.66,356.04,329.92
5,358.73,359.45,360.24,360.87,359.95,362.01,359.14,359.85,356.48,329.72
6,358.7,359.47,360.25,360.9,359.95,362.02,359.16,360.02,356.78,329.62
7,358.69,359.47,360.26,360.93,359.96,362.04,359.18,360.15,357.08,329.54
8,358.67,359.49,360.27,360.94,359.99,362.04,359.22,360.21,357.3,329.47
9,358.66,359.51,360.27,360.96,359.99,362.04,359.25,360.25,357.45,329.38
10,358.65,359.52,360.29,360.97,359.99,362.04,359.3,360.31,357.59,329.27
11,358.62,359.52,360.28,360.98,359.96,362.02,359.35,360.41,357.74,329.16
12,358.6,359.51,360.28,360.99,359.94,362.01,359.4,360.49,357.92,329.0
13,358.58,359.51,360.26,361.0,359.93,362.0,359.45,360.57,358.06,328.86
14,358.57,359.51,360.26,361.01,359.94,362.02,359.53,360.67,358.15,328.81
15,358.55,359.52,360.25,361.01,359.95,362.05,359.6,360.75,358.24,328.77
16,358.54,359.52,360.24,361.02,359.95,362.07,359.69,360.79,358.33,328.74
17,358.52,359.54,360.22,361.01,359.96,362.1,359.73,360.82,358.4,328.73
18,358.5,359.54,360.21,361.0,359.98,362.13,359.79,360.87,358.43,328.76
19,358.48,359.55,360.21,361.0,360.01,362.18,359.85,360.98,358.48,328.82
20,358.47,359.55,360.2,361.02,360.04,362.23,359.89,361.12,358.58,328.91
21,358.46,359.55,360.21,361.03,360.1,362.29,360.0,361.23,358.72,329.02
22,358.43,359.52,360.21,361.04,360.16,362.35,360.13,361.34,358.79,329.15
23,358.42,359.49,360.2,361.04,360.19,362.41,360.22,361.44,358.83,329.24
24,358.4,359.45,360.17,361.02,360.21,362.46,360.31,361.54,358.87,329.31
25,358.38,359.41,360.14,361.02,360.22,362.48,360.4,361.61,358.92,329.38
26,358.37,359.36,360.11,361.0,360.22,362.53,360.49,361.71,358.93,329.45
27,358.34,359.3,360.07,360.97,360.2,362.56,360.55,361.8,358.97,329.52
28,358.33,359.25,360.05,360.96,360.2,362.59,360.61,361.89,359.06,329.57
