time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
1,359.91,359.18,360.64,361.25,360.52,362.41,359.73,360.36,357.66,342.51,334.87
2,359.87,359.1,360.59,361.21,360.48,362.37,359.73,360.32,357.68,344.21,334.59
3,359.82,359.05,360.55,361.15,360.42,362.34,359.72,360.27,357.69,345.88,334.41
4,359.78,358.98,360.5,361.1,360.36,362.3,359.7,360.26,357.7,346.91,334.29
5,359.73,358.94,360.44,361.07,360.31,362.28,359.69,360.25,357.73,347.69,334.25
6,359.69,358.93,360.39,361.03,360.26,362.26,359.64,360.25,357.75,348.19,334.28
7,359.66,358.9,360.32,360.97,360.22,362.21,359.6,360.23,357.82,349.02,334.38
8,359.63,358.83,360.25,360.92,360.18,362.16,359.57,360.18,357.96,349.5,334.5
9,359.59,358.76,360.17,360.89,360.14,362.13,359.55,360.16,358.08,349.52,334.61
10,359.55,358.67,360.07,360.85,360.08,362.1,359.52,360.15,358.28,349.28,334.77
11,359.5,358.59,359.98,360.8,360.02,362.05,359.5,360.13,358.48,349.23,334.95
12,359.47,358.56,359.93,360.75,359.98,362.01,359.49,360.11,358.63,349.87,335.09
13,359.44,358.55,359.88,360.71,359.94,361.99,359.47,360.1,358.76,350.37,335.23
14,359.41,358.55,359.84,360.68,359.91,361.97,359.47,360.09,358.88,350.75,335.38
15,359.38,358.54,359.8,360.63,359.88,361.94,359.45,360.09,359.01,351.7,335.55
16,359.35,358.53,359.77,360.57,359.85,361.9,359.44,360.07,359.13,352.73,335.75
17,359.32,358.52,359.74,360.54,359.82,361.87,359.43,360.05,359.26,352.87,335.97
18,359.29,358.5,359.72,360.51,359.78,361.85,359.41,360.06,359.38,352.8,336.22
19,359.25,358.51,359.69,360.47,359.74,361.82,359.39,360.05,359.56,353.07,336.59
20,359.2,358.5,359.66,360.43,359.7,361.78,359.36,360.04,359.73,353.68,336.95
21,359.17,358.5,359.64,360.4,359.68,361.77,359.34,360.03,359.84,354.06,337.19
22,359.13,358.5,359.6,360.38,359.65,361.75,359.32,360.03,359.95,354.28,337.42
23,359.11,358.49,359.57,360.36,359.63,361.73,359.29,360.03,360.05,354.51,337.69
24,359.08,358.49,359.56,360.33,359.61,361.69,359.29,360.02,360.15,354.51,338.0
25,359.05,358.49,359.53,360.31,359.59,361.67,359.28,360.02,360.26,354.39,338.34
26,359.02,358.47,359.51,360.29,359.57,361.65,359.27,360.02,360.37,354.07,338.69
27,358.98,358.46,359.48,360.25,359.54,361.62,359.26,360.01,360.57,353.88,339.2
28,358.94,358.45,359.45,360.23,359.51,361.6,359.24,360.01,360.78,354.08,339.65
29,358.92,358.44,359.43,360.2,359.49,361.57,359.24,360.0,360.93,354.25,339.92
30,358.9,358.44,359.42,360.19,359.47,361.55,359.24,360.0,361.07,354.15,340.18
31,358.87,358.43,359.4,360.14,359.46,361.52,359.23,359.99,361.2,354.43,340.43
32,358.84,358.41,359.38,360.11,359.44,361.5,359.23,359.97,361.3,354.72,340.69
33,358.82,358.39,359.36,360.09,359.42,361.49,359.22,359.97,361.39,355.39,340.96
34,358.8,358.39,359.34,360.07,359.41,361.47,359.22,359.97,361.5,356.09,341.27
35,358.77,358.38,359.33,360.04,359.39,361.44,359.22,359.97,361.59,357.16,341.6
36,358.74,358.35,359.31,360.01,359.37,361.42,359.21,359.95,361.75,358.02,342.1
37,358.7,358.33,359.28,359.99,359.34,361.41,359.2,359.95,361.9,358.45,342.62
38,358.68,358.3,359.26,359.97,359.32,361.41,359.19,359.95,362.03,358.6,342.93
39,358.66,358.29,359.24,359.94,359.31,361.39,359.19,359.94,362.15,359.01,343.24
40,358.63,358.27,359.22,359.91,359.29,361.36,359.18,359.94,362.27,358.97,343.55
41,358.61,358.26,359.21,359.89,359.28,361.35,359.17,359.92,362.4,358.68,343.85
42,358.58,358.24,359.19,359.88,359.26,361.34,359.16,359.92,362.51,358.09,344.15
43,358.57,358.22,359.18,359.85,359.25,361.32,359.15,359.9,362.61,358.01,344.48
44,358.54,358.2,359.17,359.82,359.24,361.3,359.14,359.89,362.7,358.3,344.77
45,358.52,358.2,359.15,359.81,359.22,361.3,359.14,359.9,362.84,358.52,345.21
46,358.49,358.17,359.14,359.8,359.19,361.28,359.12,359.89,362.98,358.71,345.61
47,358.45,358.15,359.12,359.77,359.18,361.26,359.11,359.88,363.08,358.43,345.88
48,358.43,358.13,359.1,359.75,359.17,361.24,359.09,359.87,363.17,358.03,346.14
49,358.4,358.1,359.08,359.73,359.14,361.23,359.07,359.85,363.26,357.96,346.39
50,358.38,358.08,359.06,359.72,359.12,361.22,359.06,359.84,363.35,358.24,346.65
51,358.36,358.07,359.06,359.69,359.12,361.2,359.06,359.83,363.44,358.69,346.89
52,358.34,358.05,359.04,359.67,359.11,361.17,359.05,359.82,363.54,358.99,347.14
53,358.31,358.03,359.03,359.64,359.09,361.16,359.04,359.81,363.62,359.34,347.4
54,358.28,357.99,359.0,359.63,359.07,361.15,359.02,359.81,363.75,359.7,347.79
55,358.24,357.95,358.99,359.62,359.05,361.14,359.0,359.8,363.88,360.62,348.22
56,358.22,357.93,358.98,359.59,359.04,361.11,359.0,359.78,363.96,361.43,348.52
57,358.19,357.9,358.97,359.57,359.03,361.09,358.98,359.78,364.04,361.89,348.84
58,358.16,357.88,358.95,359.55,359.01,361.08,358.97,359.77,364.14,362.33,349.18
59,358.13,357.85,358.92,359.53,358.99,361.06,358.95,359.76,364.23,362.9,349.51
60,358.11,357.83,358.91,359.5,358.97,361.04,358.94,359.74,364.32,363.0,349.85
61,358.09,357.8,358.91,359.49,358.95,361.03,358.92,359.74,364.39,363.25,350.19
62,358.06,357.77,358.88,359.47,358.94,361.02,358.9,359.72,364.48,363.37,350.51
63,358.02,357.73,358.86,359.45,358.91,360.99,358.88,359.73,364.61,363.63,351.01
64,357.99,357.7,358.85,359.42,358.89,360.97,358.86,359.71,364.73,363.77,351.47
65,357.96,357.68,358.83,359.4,358.87,360.95,358.85,359.7,364.82,364.13,351.76
66,357.93,357.65,358.82,359.39,358.87,360.95,358.85,359.7,364.91,363.94,352.04
67,357.9,357.63,358.8,359.36,358.85,360.92,358.83,359.68,364.99,363.96,352.32
68,357.88,357.6,358.78,359.33,358.83,360.9,358.82,359.67,365.06,364.68,352.56
69,357.85,357.57,358.77,359.32,358.82,360.89,358.82,359.67,365.15,364.91,352.84
70,357.83,357.55,358.76,359.3,358.81,360.86,358.8,359.65,365.24,364.9,353.13
71,357.81,357.52,358.75,359.28,358.81,360.84,358.8,359.65,365.33,365.17,353.41
72,357.77,357.48,358.72,359.26,358.78,360.83,358.79,359.64,365.45,365.45,353.85
73,357.73,357.44,358.69,359.24,358.76,360.82,358.78,359.64,365.57,365.77,354.34
74,357.7,357.4,358.67,359.23,358.74,360.79,358.77,359.62,365.66,365.94,354.68
75,357.67,357.37,358.66,359.21,358.72,360.77,358.76,359.62,365.73,366.29,355.03
76,357.65,357.35,358.64,359.19,358.72,360.75,358.76,359.61,365.82,366.67,355.37
77,357.63,357.32,358.62,359.19,358.7,360.75,358.74,359.61,365.91,366.77,355.69
78,357.6,357.29,358.61,359.17,358.69,360.73,358.74,359.61,366.01,366.69,356.0
79,357.58,357.27,358.6,359.16,358.68,360.71,358.75,359.6,366.1,366.77,356.3
80,357.55,357.24,358.58,359.14,358.67,360.69,358.73,359.59,366.17,366.86,356.58
81,357.51,357.19,358.56,359.14,358.65,360.68,358.72,359.58,366.3,367.01,356.98
