time,ir_center,ir_bulk,ir_p95,ir_p99,ir_p25,ir_std,ir_grad,ir_area
1.0,373.0809020996094,372.239990234375,377.03997802734375,378.79998779296875,140.51998901367188,114.07138061523438,2.61907958984375,104929
2.0,373.1189880371094,372.2599792480469,376.9599914550781,378.55438232421875,141.55999755859375,113.71513366699219,2.52099609375,104929
3.0,373.2196044921875,372.3599853515625,377.1399841308594,378.8399963378906,142.37998962402344,113.4751205444336,2.5203857421875,104929
4.0,372.9311218261719,372.3799743652344,377.03997802734375,378.6399841308594,143.1999969482422,113.17801666259766,2.7088623046875,104929
5.0,373.2934265136719,372.5799865722656,377.17999267578125,378.6999816894531,143.83999633789062,113.04066467285156,2.54656982421875,104929
6.0,373.33624267578125,372.47998046875,377.03997802734375,378.53997802734375,144.47999572753906,112.79209899902344,2.40374755859375,104929
7.0,373.1389465332031,372.2599792480469,376.8599853515625,378.4599914550781,145.05999755859375,112.50382995605469,2.401031494140625,104929
8.0,372.8863525390625,372.239990234375,376.739990234375,378.31439208984375,145.79998779296875,112.21672058105469,2.6136474609375,104929
9.0,372.5927429199219,372.1600036621094,376.8599853515625,378.47998046875,145.95999145507812,112.0765151977539,2.907257080078125,104929
10.0,372.84844970703125,372.29998779296875,377.1199951171875,378.739990234375,146.27999877929688,112.03987884521484,2.851531982421875,104929
11.0,372.7108459472656,372.29998779296875,377.1399841308594,378.7200012207031,146.37998962402344,112.06168365478516,2.94915771484375,104929
12.0,372.7069091796875,372.17999267578125,376.9599914550781,378.53997802734375,146.59999084472656,111.93378448486328,2.83306884765625,104929
13.0,372.7732238769531,372.1199951171875,376.97998046875,378.67999267578125,146.55999755859375,111.90692901611328,2.766754150390625,104929
14.0,372.3439636230469,371.94000244140625,376.6600036621094,378.2200012207031,146.55999755859375,111.76964569091797,2.916015625,104929
15.0,372.560302734375,371.97998046875,376.739990234375,378.29998779296875,146.9399871826172,111.62203216552734,2.819671630859375,104929
16.0,372.7121276855469,371.97998046875,376.67999267578125,378.29998779296875,147.33999633789062,111.50472259521484,2.587860107421875,104929
17.0,372.7082214355469,372.0,376.6999816894531,378.2599792480469,148.09999084472656,111.27058410644531,2.591766357421875,104929
18.0,373.0935363769531,372.1399841308594,376.8599853515625,378.41998291015625,148.1999969482422,111.27875518798828,2.406463623046875,104929
19.0,372.8677062988281,372.0199890136719,376.7200012207031,378.3399963378906,148.51998901367188,111.14795684814453,2.51226806640625,104929
20.0,372.72442626953125,371.97998046875,376.6399841308594,378.1999816894531,148.72000122070312,111.04065704345703,2.595550537109375,104929
21.0,372.5643005371094,371.94000244140625,376.6399841308594,378.239990234375,148.8199920654297,110.93572998046875,2.6956787109375,104929
22.0,372.6832580566406,371.8799743652344,376.5799865722656,378.1600036621094,149.22000122070312,110.7869873046875,2.5367431640625,104929
23.0,372.5064697265625,371.8999938964844,376.6399841308594,378.2200012207031,149.59999084472656,110.72901916503906,2.753509521484375,104929
24.0,372.63909912109375,371.91998291015625,376.5999755859375,378.1399841308594,150.29998779296875,110.56497955322266,2.620880126953125,104929
25.0,372.5573425292969,371.8799743652344,376.5799865722656,378.0999755859375,151.09999084472656,110.27960968017578,2.66265869140625,104929
26.0,372.5054931640625,371.8199768066406,376.5,378.03997802734375,151.36000061035156,110.154296875,2.654510498046875,104929
27.0,372.6162109375,371.7799987792969,376.53997802734375,378.1399841308594,151.75999450683594,110.06257629394531,2.603790283203125,104929
28.0,372.4826354980469,371.7599792480469,376.6600036621094,378.3799743652344,152.0,110.0049057006836,2.757354736328125,104929
29.0,372.7587585449219,371.8599853515625,376.6199951171875,378.17999267578125,152.4199981689453,109.88800811767578,2.521240234375,104929
30.0,372.5871887207031,371.7599792480469,376.53997802734375,378.1199951171875,152.1999969482422,109.92726135253906,2.55279541015625,104929
31.0,372.3764953613281,371.8199768066406,376.55999755859375,378.1399841308594,152.1999969482422,109.90487670898438,2.76348876953125,104929
32.0,372.231201171875,371.79998779296875,376.55999755859375,378.17999267578125,152.51998901367188,109.76917266845703,2.94879150390625,104929
33.0,372.3028869628906,371.9599914550781,376.6600036621094,378.239990234375,152.33999633789062,109.8370590209961,3.037109375,104929
34.0,372.4768371582031,371.8799743652344,376.6600036621094,378.2599792480469,152.6599884033203,109.76673126220703,2.763153076171875,104929
35.0,372.4118957519531,371.8599853515625,376.53997802734375,378.2200012207031,153.29998779296875,109.5548095703125,2.828094482421875,104929
36.0,372.20037841796875,371.7200012207031,376.5,378.2599792480469,153.51998901367188,109.4931411743164,2.9796142578125,104929
37.0,372.3946533203125,371.6999816894531,376.55999755859375,378.29998779296875,154.25999450683594,109.33306121826172,2.78533935546875,104929
38.0,372.4667053222656,371.79998779296875,376.55999755859375,378.1999816894531,154.5800018310547,109.26090240478516,2.7332763671875,104929
39.0,372.49114990234375,371.8799743652344,376.6600036621094,378.2200012207031,154.9199981689453,109.17374420166016,2.788848876953125,104929
40.0,372.7170715332031,371.91998291015625,376.5999755859375,378.1399841308594,154.87998962402344,109.18193054199219,2.56292724609375,104929
41.0,372.6453857421875,371.91998291015625,376.5799865722656,378.1999816894531,155.1599884033203,109.08230590820312,2.614593505859375,104929
42.0,372.6139831542969,371.7799987792969,376.5199890136719,378.2799987792969,155.39999389648438,108.96263885498047,2.58599853515625,104929
43.0,372.42041015625,371.8599853515625,376.55999755859375,378.1999816894531,155.6999969482422,108.92476654052734,2.819580078125,104929
44.0,372.3448181152344,371.8199768066406,376.6399841308594,378.239990234375,155.59999084472656,108.91910552978516,2.87518310546875,104929
45.0,372.53558349609375,371.8199768066406,376.6199951171875,378.17999267578125,155.8199920654297,108.79685974121094,2.70440673828125,104929
46.0,372.5110778808594,371.739990234375,376.6199951171875,378.1999816894531,155.63999938964844,108.77069854736328,2.70892333984375,104929
47.0,372.4674377441406,371.739990234375,376.53997802734375,378.1999816894531,155.6599884033203,108.77943420410156,2.67254638671875,104929
48.0,372.3786315917969,371.7599792480469,376.5,378.0999755859375,156.05999755859375,108.74331665039062,2.7813720703125,104929
49.0,372.523681640625,371.6999816894531,376.3799743652344,378.0799865722656,156.13998413085938,108.72480773925781,2.53631591796875,104929
