time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,358.17,359.35,359.98,360.2,359.55,361.57,358.99,359.88,356.71,337.26
2,358.14,359.44,359.96,360.2,359.55,361.55,359.16,360.04,357.16,337.41
3,358.12,359.6,360.0,360.26,359.58,361.59,359.36,360.33,357.6,337.58
4,358.13,359.76,360.07,360.34,359.64,361.64,359.55,360.59,358.04,337.76
5,358.14,359.92,360.13,360.47,359.7,361.73,359.73,360.83,358.45,337.95
6,358.18,360.07,360.2,360.61,359.78,361.83,359.9,361.0,358.82,338.14
7,358.22,360.21,360.27,360.7,359.88,361.91,360.04,361.11,359.13,338.3
8,358.29,360.33,360.35,360.84,359.97,362.02,360.18,361.24,359.39,338.44
9,358.4,360.53,360.49,360.98,360.12,361.72,360.42,361.34,359.58,338.62
10,358.52,360.71,360.64,361.06,360.29,362.27,360.66,361.44,359.74,338.69
11,358.61,360.82,360.73,361.22,360.4,362.4,360.82,361.56,359.85,338.68
12,358.71,360.91,360.81,361.33,360.52,362.51,360.98,361.69,359.98,338.7
13,358.8,360.98,360.9,361.45,360.62,362.61,361.12,361.85,360.12,338.72
14,358.89,361.01,360.97,361.57,360.7,362.68,361.23,361.98,360.25,338.74
15,359.01,361.04,361.03,361.68,360.79,362.74,361.34,362.09,360.38,338.77
16,359.12,361.07,361.08,361.74,360.88,362.78,361.44,362.16,360.5,338.84
17,359.22,361.09,361.12,361.85,360.97,362.84,361.54,362.21,360.61,338.94
18,359.38,361.1,361.15,361.96,361.1,362.91,361.68,362.19,360.79,339.08
19,359.53,361.07,361.22,362.06,361.23,362.97,361.81,362.11,360.96,339.2
20,359.64,361.02,361.27,362.17,361.29,363.03,361.87,362.04,361.02,339.26
21,359.73,361.0,361.31,362.23,361.36,363.06,361.89,362.01,361.06,339.33
22,359.84,361.0,361.34,362.31,361.43,363.11,361.91,361.98,361.08,339.39
23,359.95,361.02,361.38,362.39,361.49,363.16,361.97,361.97,361.1,339.46
24,360.03,361.05,361.4,362.45,361.55,363.23,362.0,361.97,361.14,339.53
25,360.12,361.07,361.41,362.5,361.59,363.3,362.04,362.01,361.18,339.62
26,360.21,361.1,361.44,362.54,361.64,363.36,362.07,362.06,361.19,339.75
27,360.36,361.1,361.44,362.34,361.69,363.44,362.1,362.17,361.18,340.07
28,360.5,361.03,361.46,362.61,361.75,363.48,362.17,362.23,361.23,340.43
29,360.58,360.96,361.48,362.63,361.73,363.53,362.21,362.39,361.28,340.61
30,360.68,360.89,361.5,362.65,361.7,363.58,362.23,362.53,361.37,340.76
31,360.77,360.87,361.53,362.65,361.69,363.65,362.3,362.52,361.48,340.89
32,360.87,360.84,361.56,362.63,361.67,363.72,362.33,362.55,361.57,340.99
33,360.96,360.8,361.61,362.59,361.67,363.79,362.32,362.66,361.66,341.08
34,361.04,360.76,361.65,362.55,361.67,363.84,362.3,362.66,361.75,341.15
35,361.11,360.75,361.68,362.55,361.67,363.89,362.25,362.55,361.81,341.23
36,361.22,360.75,361.71,362.54,361.71,363.92,362.2,362.49,361.88,341.35
37,361.33,360.78,361.71,362.54,361.75,363.94,362.15,362.48,361.91,341.53
38,361.4,360.81,361.7,362.55,361.78,363.97,362.13,362.48,361.91,341.67
39,361.46,360.88,361.69,362.55,361.81,364.0,362.1,362.52,361.89,341.82
40,361.53,360.96,361.67,362.54,361.84,364.03,362.02,362.48,361.9,342.0
41,361.58,361.05,361.66,362.52,361.86,364.05,361.93,362.52,361.93,342.19
42,361.64,361.16,361.65,362.52,361.88,364.07,361.87,362.51,361.95,342.39
43,361.7,361.23,361.63,362.5,361.91,364.08,361.83,362.47,361.96,342.57
44,361.76,361.3,361.64,362.47,361.91,363.6,361.79,362.42,361.94,342.72
45,361.84,361.38,361.67,362.44,361.93,364.12,361.78,362.32,361.93,343.03
46,361.92,361.41,361.71,362.26,361.96,364.14,361.81,362.23,361.96,343.33
47,361.97,361.37,361.73,362.36,361.97,363.78,361.86,362.15,361.99,343.52
