time,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC9.5,TC10
1,359.55,359.19,360.4,360.94,360.09,362.16,359.5,359.75,356.3,346.75,334.56
2,359.52,359.14,360.36,360.91,360.07,362.15,359.48,359.6,356.17,348.8,334.55
3,359.49,359.07,360.34,360.88,360.05,362.13,359.48,359.35,356.19,350.24,334.64
4,359.46,359.03,360.32,360.85,360.05,362.11,359.47,359.25,356.33,351.36,334.82
5,359.42,358.95,360.28,360.81,360.03,362.09,359.43,359.32,356.55,351.92,335.0
6,359.39,358.9,360.26,360.77,360.01,362.09,359.41,359.42,356.83,351.39,335.23
7,359.34,358.84,360.21,360.73,359.94,362.07,359.38,359.47,357.24,351.34,335.57
8,359.29,358.78,360.13,360.69,359.86,362.06,359.36,359.53,357.6,351.85,335.89
9,359.24,358.73,360.04,360.62,359.8,362.03,359.33,359.6,357.77,352.82,336.08
10,359.2,358.67,359.95,360.52,359.74,361.99,359.33,359.65,357.94,353.73,336.23
11,359.16,358.63,359.89,360.48,359.7,361.96,359.33,359.69,358.1,354.19,336.41
12,359.12,358.62,359.83,360.44,359.68,361.93,359.31,359.73,358.23,354.35,336.6
13,359.09,358.6,359.78,360.38,359.65,361.89,359.29,359.79,358.35,354.16,336.79
14,359.04,358.57,359.73,360.35,359.62,361.85,359.27,359.85,358.46,354.04,336.94
15,358.99,358.54,359.69,360.32,359.61,361.83,359.25,359.88,358.56,354.09,337.07
16,358.95,358.49,359.64,360.3,359.57,361.8,359.24,359.87,358.74,355.37,337.36
17,358.9,358.44,359.58,360.28,359.56,361.76,359.22,359.89,358.93,357.85,337.76
18,358.86,358.42,359.56,360.26,359.54,361.72,359.2,359.88,359.07,359.43,338.09
19,358.85,358.4,359.55,360.23,359.52,361.7,359.18,359.89,359.21,359.65,338.44
20,358.81,358.37,359.52,360.22,359.51,361.67,359.16,359.88,359.35,359.77,338.83
21,358.77,358.36,359.5,360.19,359.49,361.63,359.12,359.86,359.49,360.11,339.24
22,358.76,358.35,359.48,360.17,359.48,361.58,359.1,359.86,359.64,360.42,339.68
23,358.74,358.34,359.47,360.16,359.47,361.57,359.08,359.86,359.82,360.52,340.13
24,358.71,358.34,359.45,360.14,359.45,361.53,359.06,359.85,360.01,360.52,340.58
25,358.66,358.33,359.43,360.11,359.43,361.5,359.04,359.84,360.3,360.44,341.2
