Time,TC_Bottom_rec_groove,TC_botm_Ind,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC_wall_ins_ext,TC_bottom_ins_groove
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
0,365.08,21.67,369.82,372.31,373.68,374.48,374.02,376.08,374.29,375.47,374.25,358.8,23.41,31.08
1,365.05,21.67,369.79,372.28,373.67,374.48,374.01,376.07,374.29,375.51,374.28,358.8,23.4,31.08
2,365.03,21.67,369.77,372.26,373.66,374.48,374,376.07,374.3,375.54,374.27,358.85,23.41,31.07
3,364.99,21.67,369.74,372.22,373.65,374.48,374,376.07,374.31,375.56,374.22,358.95,23.41,31.06
4,364.95,21.68,369.71,372.18,373.63,374.48,373.99,376.08,374.32,375.59,374.22,359.08,23.42,31.06
5,364.93,21.68,369.68,372.16,373.61,374.48,373.99,376.09,374.32,375.59,374.26,359.16,23.42,31.06
6,364.91,21.67,369.67,372.14,373.61,374.47,374,376.08,374.33,375.6,374.34,359.19,23.41,31.06
7,364.87,21.68,369.64,372.12,373.59,374.46,373.98,376.08,374.34,375.59,374.41,359.18,23.41,31.07
8,364.86,21.67,369.62,372.09,373.58,374.46,373.98,376.08,374.35,375.58,374.49,359.17,23.41,31.06
9,364.85,21.67,369.6,372.08,373.57,374.45,373.99,376.09,374.36,375.57,374.5,359.15,23.41,31.06
10,364.82,21.67,369.58,372.06,373.56,374.45,373.98,376.08,374.37,375.55,374.47,359.1,23.42,31.07
11,364.8,21.68,369.54,372.03,373.55,374.45,373.97,376.08,374.38,375.53,374.43,359.06,23.42,31.07
12,364.77,21.69,369.51,372.01,373.53,374.44,373.97,376.08,374.4,375.52,374.39,359.02,23.42,31.07
13,364.73,21.68,369.46,371.97,373.51,374.44,373.96,376.09,374.41,375.53,374.41,359.03,23.42,31.07
14,364.72,21.67,369.44,371.96,373.5,374.43,373.96,376.08,374.42,375.55,374.49,359.05,23.42,31.07
15,364.7,21.67,369.42,371.95,373.49,374.43,373.96,376.08,374.43,375.55,374.55,359.06,23.42,31.07
16,364.67,21.67,369.39,371.93,373.48,374.43,373.95,376.07,374.43,375.54,374.59,359.06,23.42,31.07
17,364.65,21.68,369.35,371.91,373.47,374.43,373.96,376.08,374.44,375.55,374.57,359.1,23.42,31.07
18,364.63,21.67,369.33,371.9,373.47,374.43,373.96,376.08,374.44,375.55,374.51,359.12,23.43,31.07
19,364.61,21.67,369.3,371.88,373.45,374.42,373.95,376.08,374.44,375.54,374.42,359.11,23.43,31.07
20,364.59,21.67,369.26,371.85,373.44,374.42,373.94,376.08,374.44,375.54,374.34,359.08,23.43,31.07
21,364.55,21.67,369.22,371.81,373.42,374.42,373.93,376.09,374.45,375.57,374.23,359.04,23.43,31.07
22,364.52,21.67,369.18,371.78,373.41,374.41,373.94,376.09,374.46,375.59,374.17,358.98,23.43,31.07
23,364.51,21.67,369.16,371.76,373.39,374.4,373.94,376.07,374.46,375.59,374.13,358.92,23.43,31.07
24,364.48,21.67,369.13,371.73,373.38,374.4,373.93,376.08,374.46,375.6,374.14,358.92,23.42,31.07
25,364.46,21.67,369.11,371.72,373.37,374.41,373.93,376.09,374.47,375.6,374.23,358.93,23.43,31.06
26,364.45,21.67,369.09,371.71,373.36,374.39,373.93,376.09,374.48,375.6,374.33,358.97,23.43,31.06
27,364.42,21.68,369.08,371.69,373.36,374.4,373.94,376.09,374.49,375.6,374.43,359.02,23.43,31.07
28,364.4,21.68,369.06,371.66,373.36,374.4,373.93,376.1,374.49,375.6,374.48,359.05,23.43,31.06
29,364.38,21.67,369.01,371.64,373.33,374.39,373.93,376.1,374.49,375.6,374.56,359.11,23.43,31.07
30,364.35,21.68,368.99,371.61,373.32,374.38,373.92,376.11,374.51,375.59,374.71,359.18,23.43,31.07
31,364.32,21.69,368.93,371.53,373.31,374.38,373.93,376.12,374.57,375.63,374.91,359.2,23.44,31.07
32,364.3,21.68,368.92,371.44,373.31,374.37,373.95,376.14,374.69,375.82,375.15,359.23,23.43,31.08
33,364.28,21.68,369.01,371.41,373.3,374.37,373.95,376.18,374.73,375.92,375.36,359.3,23.44,31.08
34,364.27,21.69,369.26,371.46,373.31,374.4,373.99,376.22,374.8,375.98,375.52,359.42,23.44,31.08
35,364.27,21.69,369.51,371.56,373.28,374.43,374.01,376.25,374.81,376,375.61,359.55,23.45,31.08
36,364.29,21.69,369.87,371.79,373.27,374.46,374.05,376.31,374.86,375.99,375.66,359.67,23.44,31.08
37,364.32,21.68,370.15,371.87,373.28,374.5,374.09,376.36,374.97,376.01,375.65,359.78,23.45,31.08
38,364.34,21.68,370.49,371.92,373.28,374.53,374.13,376.39,375.06,376.01,375.61,359.89,23.44,31.08
39,364.4,21.69,370.79,372.01,373.29,374.54,374.16,376.42,375.11,376.02,375.55,359.95,23.44,31.07
40,364.49,21.68,371.21,372.17,373.34,374.56,374.21,376.45,375.08,376.01,375.43,359.94,23.44,31.07
41,364.59,21.69,371.6,372.4,373.41,374.59,374.26,376.49,375.09,375.99,375.31,359.85,23.44,31.08
42,364.69,21.68,371.85,372.64,373.46,374.64,374.3,376.51,375.07,375.97,375.24,359.76,23.44,31.07
43,364.78,21.68,372.17,372.85,373.53,374.71,374.37,376.57,375.08,375.93,375.18,359.7,23.45,31.08
44,364.9,21.69,372.48,373.01,373.61,374.77,374.41,376.6,375.07,375.9,375.08,359.64,23.46,31.08
45,365.02,21.69,372.7,373.16,373.69,374.83,374.45,376.64,375.07,375.83,374.97,359.57,23.44,31.08
46,365.13,21.68,372.95,373.33,373.79,374.89,374.5,376.67,375.07,375.75,374.9,359.54,23.44,31.08
47,365.25,21.68,373.18,373.51,373.88,374.96,374.54,376.71,375.07,375.74,374.8,359.5,23.45,31.08
48,365.42,21.69,373.48,373.76,374.06,375.04,374.62,376.75,375.09,375.71,374.63,359.42,23.45,31.09
49,365.57,21.69,373.73,373.96,374.19,375.09,374.67,376.76,375.07,375.68,374.47,359.26,23.45,31.09
50,365.66,21.69,373.84,374.04,374.28,375.13,374.72,376.78,375.05,375.66,374.38,359.14,23.45,31.08
51,365.74,21.68,373.93,374.14,374.38,375.18,374.75,376.81,375.04,375.63,374.26,358.98,23.45,31.09
52,365.83,21.69,373.98,374.21,374.45,375.22,374.78,376.82,375.03,375.61,374.14,358.84,23.46,31.09
53,365.9,21.69,374,374.27,374.52,375.26,374.81,376.84,375.02,375.59,374.04,358.7,23.46,31.09
54,365.97,21.69,374,374.32,374.58,375.28,374.82,376.84,375.01,375.53,373.98,358.55,23.46,31.09
55,366.03,21.69,374,374.33,374.63,375.31,374.83,376.85,375,375.44,373.9,358.45,23.46,31.1
56,366.09,21.68,373.99,374.33,374.67,375.32,374.84,376.85,374.97,375.41,373.86,358.41,23.45,31.09
57,366.16,21.69,373.93,374.34,374.72,375.32,374.86,376.84,374.92,375.4,373.83,358.51,23.46,31.09
58,366.23,21.68,373.88,374.37,374.78,375.33,374.87,376.84,374.86,375.38,373.79,358.65,23.46,31.1
59,366.26,21.69,373.82,374.37,374.8,375.32,374.87,376.83,374.82,375.38,373.82,358.75,23.46,31.11
60,366.29,21.69,373.77,374.36,374.81,375.32,374.86,376.82,374.79,375.36,373.92,358.84,23.46,31.11
61,366.31,21.68,373.71,374.35,374.81,375.31,374.87,376.8,374.76,375.37,374.03,358.94,23.46,31.12
62,366.34,21.69,373.65,374.33,374.81,375.3,374.87,376.79,374.73,375.38,374.13,358.97,23.46,31.11
63,366.37,21.69,373.6,374.36,374.82,375.31,374.87,376.79,374.73,375.38,374.22,358.95,23.46,31.12
64,366.39,21.69,373.55,374.38,374.84,375.31,374.86,376.78,374.72,375.39,374.24,358.9,23.46,31.12
65,366.4,21.68,373.52,374.42,374.88,375.31,374.86,376.77,374.71,375.4,374.22,358.88,23.46,31.12
66,366.43,21.69,373.51,374.48,374.91,375.31,374.84,376.77,374.71,375.41,374.19,358.89,23.47,31.12
67,366.45,21.69,373.5,374.53,374.92,375.31,374.82,376.76,374.69,375.41,374.18,358.87,23.47,31.13
68,366.46,21.69,373.46,374.56,374.93,375.32,374.82,376.74,374.7,375.4,374.19,358.85,23.46,31.12
69,366.47,21.69,373.42,374.57,374.94,375.31,374.81,376.72,374.69,375.39,374.18,358.86,23.46,31.12
70,366.5,21.69,373.35,374.59,374.95,375.31,374.81,376.71,374.69,375.38,374.18,358.9,23.46,31.12
71,366.52,21.69,373.28,374.59,374.96,375.29,374.81,376.71,374.68,375.38,374.19,358.91,23.47,31.12
72,366.52,21.7,373.21,374.59,374.95,375.28,374.79,376.69,374.68,375.36,374.2,358.88,23.46,31.12
73,366.52,21.69,373.12,374.56,374.94,375.25,374.78,376.68,374.67,375.34,374.21,358.84,23.47,31.12
74,366.52,21.69,373.05,374.53,374.92,375.23,374.76,376.68,374.66,375.33,374.24,358.82,23.46,31.11
75,366.53,21.69,372.96,374.46,374.89,375.21,374.75,376.68,374.67,375.32,374.34,358.86,23.47,31.11
76,366.54,21.69,372.89,374.39,374.87,375.2,374.73,376.68,374.67,375.31,374.45,358.89,23.47,31.12
77,366.53,21.69,372.83,374.33,374.85,375.19,374.73,376.68,374.67,375.31,374.51,358.91,23.47,31.11
78,366.53,21.69,372.79,374.27,374.84,375.19,374.73,376.68,374.68,375.31,374.56,358.92,23.47,31.12
79,366.52,21.69,372.72,374.21,374.83,375.18,374.71,376.67,374.67,375.33,374.6,358.94,23.48,31.12
80,366.51,21.69,372.66,374.16,374.8,375.17,374.71,376.68,374.68,375.39,374.63,358.92,23.48,31.11
81,366.49,21.7,372.58,374.12,374.78,375.16,374.7,376.68,374.7,375.47,374.67,358.95,23.48,31.12
82,366.49,21.7,372.5,374.08,374.75,375.15,374.7,376.68,374.71,375.51,374.69,358.96,23.48,31.12
83,366.49,21.7,372.43,374.04,374.72,375.16,374.7,376.69,374.74,375.57,374.72,358.92,23.48,31.12
84,366.47,21.69,372.32,373.99,374.69,375.16,374.69,376.7,374.76,375.6,374.77,358.82,23.47,31.12
85,366.45,21.7,372.23,373.95,374.65,375.16,374.68,376.7,374.77,375.61,374.81,358.69,23.48,31.11
86,366.43,21.69,372.17,373.91,374.62,375.16,374.68,376.71,374.77,375.61,374.82,358.6,23.48,31.11
87,366.42,21.7,372.12,373.89,374.61,375.17,374.68,376.71,374.78,375.61,374.83,358.53,23.47,31.11
88,366.41,21.69,372.09,373.87,374.58,375.18,374.68,376.73,374.79,375.61,374.79,358.5,23.48,31.11
89,366.39,21.7,372.06,373.84,374.56,375.19,374.68,376.72,374.79,375.61,374.76,358.51,23.48,31.11
90,366.38,21.69,372.02,373.82,374.55,375.2,374.68,376.72,374.8,375.59,374.74,358.54,23.47,31.11
91,366.36,21.7,371.99,373.8,374.52,375.19,374.68,376.72,374.81,375.58,374.69,358.55,23.47,31.1
92,366.35,21.69,371.95,373.78,374.51,375.19,374.69,376.72,374.81,375.56,374.64,358.55,23.48,31.12
