Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,361.74,364.62,365.54,366.45,365.95,367.92,365.97,366.76,366.58,353.85
1,361.69,364.59,365.53,366.43,365.94,367.91,365.96,366.74,366.61,353.85
2,361.65,364.57,365.53,366.44,365.94,367.9,365.95,366.74,366.62,353.85
3,361.62,364.55,365.52,366.43,365.93,367.9,365.96,366.73,366.64,353.86
4,361.59,364.51,365.51,366.42,365.93,367.89,365.95,366.71,366.64,353.87
5,361.57,364.49,365.51,366.4,365.92,367.89,365.95,366.69,366.64,353.89
6,361.55,364.47,365.5,366.4,365.92,367.89,365.95,366.7,366.65,353.9
7,361.51,364.45,365.5,366.39,365.91,367.88,365.93,366.7,366.68,353.91
8,361.47,364.42,365.49,366.38,365.9,367.88,365.92,366.72,366.7,353.95
9,361.43,364.4,365.5,366.38,365.9,367.88,365.93,366.74,366.73,353.98
10,361.38,364.37,365.48,366.37,365.88,367.87,365.93,366.75,366.75,354.0
11,361.34,364.36,365.48,366.36,365.89,367.88,365.92,366.75,366.79,354.02
12,361.27,364.32,365.47,366.35,365.88,367.87,365.93,366.76,366.81,354.05
13,361.22,364.29,365.46,366.35,365.87,367.87,365.92,366.76,366.83,354.01
14,361.18,364.26,365.45,366.35,365.86,367.87,365.93,366.77,366.89,353.98
15,361.15,364.24,365.44,366.35,365.86,367.88,365.93,366.8,366.93,353.98
16,361.13,364.23,365.42,366.35,365.85,367.88,365.93,366.83,366.86,354.02
17,361.1,364.21,365.42,366.35,365.85,367.88,365.93,366.88,366.77,354.04
18,361.06,364.2,365.42,366.34,365.84,367.88,365.94,366.9,366.77,354.07
19,361.03,364.18,365.4,366.34,365.84,367.88,365.94,366.9,366.83,354.12
20,360.99,364.17,365.39,366.33,365.84,367.88,365.94,366.88,366.91,354.17
21,360.95,364.14,365.39,366.32,365.84,367.89,365.96,366.89,367.0,354.2
22,360.89,364.11,365.37,366.32,365.83,367.88,365.96,366.92,367.07,354.18
23,360.85,364.09,365.36,366.32,365.83,367.88,365.96,366.98,367.11,354.18
24,360.82,364.08,365.35,366.31,365.83,367.89,365.98,367.08,367.15,354.18
25,360.78,364.05,365.34,366.31,365.82,367.89,365.99,367.17,367.18,354.17
26,360.74,364.02,365.33,366.31,365.81,367.89,366.01,367.24,367.21,354.18
27,360.71,364.0,365.33,366.3,365.82,367.9,366.03,367.29,367.21,354.22
28,360.68,363.98,365.31,366.3,365.82,367.91,366.03,367.31,367.2,354.24
29,360.64,363.95,365.31,366.31,365.82,367.91,366.05,367.31,367.23,354.26
30,360.59,363.9,365.28,366.31,365.81,367.92,366.06,367.3,367.31,354.29
31,360.55,363.87,365.29,366.3,365.81,367.92,366.08,367.27,367.38,354.33
32,360.53,363.85,365.27,366.29,365.81,367.93,366.09,367.25,367.41,354.34
33,360.5,363.82,365.26,366.29,365.81,367.93,366.11,367.24,367.45,354.34
34,360.48,363.81,365.25,366.28,365.82,367.93,366.12,367.28,367.5,354.34
35,360.46,363.79,365.25,366.28,365.82,367.94,366.14,367.33,367.56,354.34
