Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,358.78,363.46,367.93,371.95,373.16,377.45,376.52,378.43,376.39,347.85
1,358.77,363.46,367.93,371.96,373.17,377.46,376.53,378.44,376.26,347.82
2,358.76,363.46,367.93,371.97,373.19,377.48,376.53,378.45,376.19,347.8
3,358.75,363.46,367.94,371.98,373.21,377.48,376.56,378.46,376.18,347.82
4,358.75,363.46,367.93,371.99,373.22,377.5,376.57,378.48,376.24,347.84
5,358.73,363.44,367.93,372.0,373.24,377.53,376.59,378.5,376.36,347.85
6,358.71,363.43,367.93,372.01,373.25,377.55,376.62,378.51,376.48,347.9
7,358.7,363.42,367.94,372.03,373.27,377.57,376.64,378.54,376.54,347.95
8,358.68,363.41,367.94,372.03,373.28,377.58,376.66,378.56,376.6,348.01
9,358.67,363.41,367.94,372.04,373.29,377.59,376.67,378.58,376.59,348.06
10,358.68,363.41,367.95,372.06,373.31,377.61,376.68,378.58,376.52,348.05
11,358.7,363.47,367.97,372.08,373.33,377.63,376.7,378.59,376.5,348.08
12,358.75,363.61,368.04,372.12,373.35,377.64,376.71,378.6,376.51,348.12
13,358.88,363.84,368.13,372.19,373.38,377.67,376.72,378.7,376.62,348.15
14,359.39,364.39,368.34,372.27,373.43,377.69,376.66,378.82,376.87,348.19
15,360.22,365.06,368.56,372.32,373.49,377.69,376.59,378.87,377.03,348.35
16,361.08,365.59,368.76,372.37,373.48,377.69,376.6,378.71,377.05,348.48
17,361.89,366.1,368.96,372.4,373.4,377.65,376.54,378.37,377.08,348.65
18,362.7,366.64,369.15,372.44,373.32,377.58,376.48,378.25,377.02,348.77
19,363.39,367.17,369.33,372.49,373.29,377.51,376.4,378.14,376.92,348.84
20,364.01,367.58,369.49,372.54,373.29,377.46,376.34,378.04,376.76,348.89
21,364.6,367.99,369.68,372.58,373.3,377.39,376.27,377.82,376.59,348.91
22,365.19,368.38,369.87,372.63,373.28,377.33,376.14,377.61,376.38,348.92
23,366.21,368.87,370.06,372.64,373.23,377.28,375.97,377.41,376.04,348.89
24,367.1,369.21,370.2,372.59,373.19,377.22,375.87,377.22,375.7,348.81
25,367.54,369.29,370.25,372.61,373.17,377.16,375.79,377.06,375.51,348.73
26,367.85,369.23,370.28,372.63,373.16,377.11,375.7,376.93,375.31,348.64
27,368.04,369.12,370.28,372.66,373.14,377.09,375.58,376.91,375.08,348.5
28,368.15,369.03,370.29,372.69,373.14,377.06,375.55,376.94,374.89,348.37
29,368.21,368.97,370.29,372.71,373.15,377.04,375.55,376.95,374.65,348.2
30,368.24,368.96,370.31,372.75,373.17,377.01,375.56,376.96,374.43,348.07
31,368.27,368.96,370.34,372.8,373.18,377.0,375.57,376.93,374.39,348.04
32,368.28,368.96,370.39,372.86,373.22,376.97,375.56,376.86,374.39,348.02
33,368.28,368.95,370.43,372.92,373.27,376.96,375.51,376.8,374.32,347.95
34,368.29,368.98,370.48,372.95,373.3,376.95,375.47,376.75,374.23,347.88
35,368.28,369.04,370.5,372.98,373.35,376.96,375.45,376.69,374.12,347.79
36,368.25,369.07,370.52,373.01,373.39,376.98,375.44,376.66,374.02,347.7
37,368.22,369.08,370.54,373.02,373.42,376.99,375.45,376.66,373.95,347.59
38,368.17,369.1,370.53,373.01,373.44,377.01,375.46,376.66,373.86,347.45
