Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,355.67,363.02,366.41,368.79,369.55,372.8,371.02,372.1,371.85,353.7
1,355.62,362.99,366.42,368.81,369.58,372.79,371.02,372.12,371.93,353.77
2,355.57,362.96,366.41,368.83,369.6,372.79,371.01,372.16,371.93,353.81
3,355.48,362.92,366.41,368.84,369.65,372.78,371.0,372.2,371.96,353.86
4,355.38,362.86,366.39,368.84,369.67,372.79,370.98,372.22,372.03,353.89
5,355.31,362.82,366.36,368.86,369.69,372.79,370.96,372.22,372.07,353.89
6,355.22,362.77,366.34,368.86,369.7,372.8,370.94,372.22,372.15,353.89
7,355.15,362.73,366.33,368.86,369.7,372.79,370.94,372.22,372.22,353.92
8,355.1,362.68,366.32,368.86,369.72,372.79,370.92,372.2,372.22,353.97
9,355.07,362.65,366.31,368.86,369.74,372.8,370.93,372.2,372.24,354.04
10,355.03,362.63,366.29,368.86,369.75,372.8,370.94,372.21,372.3,354.13
11,355.0,362.61,366.27,368.86,369.76,372.8,370.94,372.21,372.35,354.22
12,354.92,362.56,366.26,368.87,369.78,372.8,370.94,372.22,372.43,354.38
13,354.8,362.52,366.25,368.88,369.8,372.8,370.95,372.22,372.57,354.49
14,354.71,362.49,366.24,368.89,369.81,372.79,370.96,372.25,372.66,354.52
15,354.61,362.45,366.23,368.9,369.83,372.79,370.98,372.29,372.72,354.52
16,354.52,362.41,366.23,368.91,369.84,372.8,371.0,372.32,372.76,354.53
17,354.43,362.36,366.22,368.92,369.85,372.81,371.02,372.35,372.82,354.55
18,354.36,362.32,366.21,368.93,369.87,372.81,371.03,372.38,372.83,354.54
19,354.3,362.26,366.2,368.94,369.87,372.8,371.06,372.41,372.84,354.55
20,354.26,362.21,366.19,368.95,369.87,372.8,371.07,372.45,372.84,354.58
21,354.23,362.14,366.17,368.96,369.89,372.79,371.11,372.48,372.86,354.65
22,354.2,362.09,366.16,368.96,369.9,372.8,371.14,372.52,372.88,354.71
23,354.19,362.06,366.16,368.98,369.91,372.8,371.16,372.54,372.87,354.76
24,354.19,362.03,366.14,368.99,369.92,372.8,371.18,372.55,372.84,354.79
25,354.18,361.99,366.13,369.0,369.93,372.8,371.2,372.56,372.79,354.82
26,354.16,361.97,366.11,369.0,369.93,372.8,371.22,372.56,372.76,354.86
27,354.14,361.96,366.09,369.02,369.94,372.8,371.23,372.57,372.71,354.91
28,354.11,361.92,366.07,369.02,369.94,372.8,371.23,372.57,372.69,354.94
29,354.07,361.9,366.06,369.04,369.95,372.8,371.23,372.58,372.68,354.96
30,353.98,361.85,366.02,369.05,369.95,372.8,371.24,372.59,372.7,355.0
31,353.9,361.81,366.0,369.07,369.97,372.81,371.24,372.6,372.77,355.07
32,353.83,361.78,366.0,369.07,369.97,372.82,371.24,372.6,372.81,355.14
33,353.79,361.74,365.98,369.08,369.97,372.82,371.24,372.6,372.83,355.22
34,353.74,361.7,365.96,369.09,369.98,372.84,371.23,372.6,372.86,355.29
35,353.69,361.66,365.96,369.09,369.98,372.85,371.24,372.61,372.88,355.38
36,353.67,361.63,365.95,369.09,369.99,372.86,371.25,372.6,372.92,355.44
37,353.64,361.61,365.95,369.09,369.99,372.87,371.25,372.6,372.98,355.49
38,353.63,361.58,365.93,369.09,369.99,372.89,371.25,372.6,373.01,355.49
39,353.6,361.54,365.92,369.1,370.0,372.89,371.25,372.59,373.05,355.49
