Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
1,285.658712337112,300.014176580089,300.01020635988,300.004435782266,300.001927792258,300.000837800905,300.000364105166,300.000158242635,300.000082042992,300.105742751808
2,285.67187288941,300.028351688954,300.020413172078,300.008871762347,300.003855670863,300.001675639428,300.000728226584,300.000316492349,300.000164272146,300.105824980962
3,285.685032031526,300.042525326719,300.030620436593,300.013307940247,300.005783635816,300.002513515571,300.001092364255,300.00047474914,300.000246666134,300.10590737495
4,285.698189763586,300.056697493505,300.040828153426,300.017744315969,300.00771168712,300.003351429333,300.001456518179,300.000633013011,300.000329208759,300.105989917575
5,285.711346085719,300.070868189435,300.051036322576,300.022180889515,300.009639824778,300.004189380717,300.001820688356,300.000791283961,300.000411887371,300.106072596187
6,285.72450099805,300.08503741463,300.061244944044,300.026617660889,300.011568048791,300.005027369725,300.002184874788,300.000949561991,300.000494691841,300.106155400657
7,285.737654500705,300.099205169214,300.071454017829,300.031054630093,300.013496359162,300.005865396357,300.002549077476,300.0011078471,300.000577613883,300.106238322699
8,285.750806593812,300.113371453308,300.081663543931,300.03549179713,300.015424755893,300.006703460615,300.002913296419,300.00126613929,300.000660646594,300.10632135541
9,285.763957277498,300.127536267034,300.091873522351,300.039929162003,300.017353238987,300.0075415625,300.003277531618,300.001424438559,300.000743784129,300.106404492945
10,285.777106551888,300.141699610515,300.102083953088,300.044366724715,300.019281808446,300.008379702013,300.003641783075,300.00158274491,300.000827021465,300.106487730281
11,285.79025441711,300.155861483873,300.112294836142,300.048804485269,300.021210464272,300.009217879157,300.004006050791,300.001741058342,300.000910354238,300.106571063054
12,285.80340087329,300.170021887231,300.122506171513,300.053242443668,300.023139206467,300.010056093931,300.004370334764,300.001899378856,300.000993778613,300.106654487429
13,285.816545920556,300.18418082071,300.132717959202,300.057680599914,300.025068035034,300.010894346339,300.004734634998,300.002057706451,300.001077291188,300.106738000004
14,285.829689559033,300.198338284432,300.142930199208,300.062118954012,300.026996949975,300.01173263638,300.005098951491,300.002216041129,300.001160888923,300.106821597739
15,285.842831788849,300.212494278521,300.153142891531,300.066557505962,300.028925951292,300.012570964057,300.005463284245,300.002374382888,300.001244569076,300.106905277892
16,285.855972610129,300.226648803098,300.163356036171,300.07099625577,300.030855038988,300.01340932937,300.005827633261,300.002532731731,300.001328329166,300.106989037982
17,285.869112023002,300.240801858285,300.173569633129,300.075435203436,300.032784213065,300.014247732321,300.006191998539,300.002691087657,300.001412166927,300.107072875743
18,285.882250027592,300.254953444205,300.183783682404,300.079874348965,300.034713473526,300.015086172912,300.00655638008,300.002849450667,300.001496080284,300.1071567891
19,285.895386624028,300.26910356098,300.193998183996,300.08431369236,300.036642820372,300.015924651144,300.006920777884,300.00300782076,300.001580067328,300.107240776144
20,285.908521812436,300.283252208732,300.204213137905,300.088753233622,300.038572253606,300.016763167018,300.007285191953,300.003166197938,300.00166412629,300.107324835106
21,285.921655592942,300.297399387583,300.214428544131,300.093192972755,300.04050177323,300.017601720535,300.007649622287,300.003324582199,300.001748255532,300.107408964348
22,285.934787965674,300.311545097656,300.224644402674,300.097632909763,300.042431379246,300.018440311697,300.008014068887,300.003482973546,300.001832453527,300.107493162343
23,285.947918930757,300.325689339074,300.234860713533,300.102073044647,300.044361071658,300.019278940505,300.008378531753,300.003641371978,300.001916718849,300.107577427665
24,285.961048488319,300.339832111957,300.245077476709,300.106513377411,300.046290850466,300.020117606961,300.008743010886,300.003799777495,300.00200105016,300.107661758976
25,285.974176638485,300.353973416428,300.255294692199,300.110953908058,300.048220715675,300.020956311065,300.009107506287,300.003958190098,300.002085446206,300.107746155022
26,285.987303381385,300.368113252611,300.265512472067,300.115394636591,300.050150667284,300.02179505282,300.009472017957,300.004116609788,300.002169905803,300.107830614619
27,286.000428717142,300.382251620626,300.275730724489,300.119835563012,300.052080705299,300.022633832227,300.009836545895,300.004275036563,300.002254427836,300.107915136652
28,286.013552645884,300.396388520597,300.285949438696,300.124276687325,300.054010829719,300.023472649286,300.010201090104,300.004433470426,300.002339011248,300.107999720064
29,286.026675167738,300.410523952645,300.296168614683,300.128718009532,300.055941040548,300.024311504,300.010565650584,300.004591911376,300.00242365504,300.108084363856
30,286.03979628283,300.424657916892,300.306388252445,300.133159529636,300.057871337788,300.025150396369,300.010930227335,300.004750359413,300.00250835826,300.108169067076
31,286.052915991288,300.438790413462,300.316608351978,300.137601247641,300.059801721442,300.025989326396,300.011294820358,300.004908814538,300.002593120005,300.108253828821
32,286.066034293237,300.452921442475,300.326828913275,300.14204316355,300.061732191511,300.026828294081,300.011659429653,300.005067276751,300.002677939415,300.108338648231
