Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,377.55,378.31,355.49,198.45,131.18,87.18,69.18,57.35,45.22,24.16,41.52
1,377.46,378.27,355.32,198.43,131.17,87.2,69.24,57.39,45.28,24.22,41.55
2,377.39,378.23,355.13,198.45,131.17,87.23,69.28,57.39,45.32,24.07,41.6
3,377.31,378.18,355.03,198.44,131.16,87.24,69.33,57.4,45.34,24.11,41.64
4,377.24,378.16,354.92,198.36,131.14,87.25,69.3,57.39,45.37,24.07,41.68
5,377.2,378.11,354.89,198.36,131.15,87.28,69.27,57.42,45.37,24.04,41.72
6,377.16,378.08,354.85,198.39,131.21,87.31,69.24,57.44,45.41,24.07,41.76
7,377.11,378.07,354.74,198.44,131.26,87.35,69.28,57.51,45.47,24.05,41.81
8,377.06,378.06,354.56,198.41,131.25,87.38,69.36,57.58,45.57,24.15,41.88
9,377.02,378.09,354.53,198.38,131.24,87.42,69.45,57.67,45.63,24.17,41.92
10,376.98,378.1,354.55,198.3,131.25,87.46,69.44,57.71,45.66,24.2,41.98
11,376.91,378.1,354.64,198.18,131.25,87.49,69.41,57.66,45.64,24.22,42.0
12,376.84,378.09,354.59,198.05,131.25,87.51,69.43,57.65,45.64,24.05,42.04
13,376.77,378.1,354.53,197.94,131.23,87.53,69.46,57.68,45.65,23.89,42.08
14,376.68,378.11,354.53,197.78,131.21,87.54,69.42,57.67,45.63,24.02,42.12
15,376.6,378.12,354.48,197.63,131.18,87.57,69.39,57.67,45.63,24.03,42.14
16,376.5,378.14,354.38,197.49,131.16,87.59,69.33,57.61,45.63,24.03,42.18
17,376.39,378.17,354.34,197.36,131.19,87.61,69.29,57.58,45.59,24.09,42.21
18,376.32,378.18,354.34,197.26,131.23,87.63,69.19,57.52,45.54,24.23,42.2
19,376.26,378.22,354.36,197.18,131.28,87.63,69.16,57.48,45.47,24.21,42.22
20,376.18,378.23,354.29,197.16,131.32,87.65,69.18,57.57,45.46,24.2,42.21
21,376.11,378.22,354.27,197.14,131.33,87.66,69.24,57.71,45.51,24.11,42.22
22,376.06,378.17,354.25,197.11,131.33,87.68,69.31,57.82,45.57,24.09,42.24
23,376.02,378.16,354.24,196.93,131.27,87.66,69.39,57.89,45.64,24.07,42.25
24,375.97,378.14,354.24,196.72,131.13,87.63,69.45,57.91,45.69,23.99,42.26
25,375.92,378.08,354.12,196.52,130.9,87.58,69.5,57.92,45.77,24.0,42.3
26,375.86,378.05,354.11,196.35,130.66,87.55,69.46,57.95,45.82,24.24,42.33
27,375.84,378.04,354.15,196.23,130.51,87.54,69.46,58.0,45.85,24.1,42.35
28,375.81,378.02,354.11,196.08,130.33,87.5,69.49,58.09,45.9,24.07,42.37
29,375.77,378.01,354.1,195.93,130.2,87.49,69.5,58.13,45.92,24.13,42.38
30,375.74,377.99,354.13,195.9,130.08,87.48,69.47,58.14,45.94,24.35,42.4
31,375.7,377.97,354.08,195.91,130.02,87.49,69.46,58.17,45.95,24.22,42.42
32,375.68,377.97,353.92,195.85,130.0,87.49,69.46,58.21,45.98,24.15,42.43
33,375.65,377.97,353.77,195.82,130.01,87.5,69.47,58.26,46.01,24.04,42.46
34,375.6,377.95,353.66,195.81,130.02,87.51,69.53,58.28,46.04,24.14,42.5
35,375.55,377.9,353.56,195.8,130.01,87.52,69.53,58.29,46.06,23.97,42.53
36,375.51,377.85,353.49,195.84,129.98,87.53,69.57,58.35,46.1,24.06,42.56
37,375.49,377.81,353.47,195.85,129.95,87.54,69.58,58.42,46.14,24.13,42.58
38,375.47,377.75,353.44,195.87,129.91,87.55,69.56,58.46,46.19,24.27,42.62
39,375.44,377.7,353.39,195.85,129.87,87.57,69.59,58.5,46.21,24.25,42.65
40,375.41,377.66,353.41,195.83,129.83,87.57,69.63,58.53,46.24,24.2,42.67
41,375.37,377.63,353.42,195.84,129.79,87.57,69.65,58.51,46.27,24.31,42.69
42,375.35,377.61,353.46,195.82,129.78,87.58,69.69,58.5,46.3,24.25,42.72
43,375.32,377.6,353.48,195.69,129.72,87.57,69.67,58.46,46.33,24.24,42.75
44,375.27,377.6,353.53,195.48,129.66,87.56,69.66,58.47,46.34,24.26,42.79
45,375.25,377.6,353.55,195.25,129.6,87.56,69.66,58.51,46.33,24.25,42.8
46,375.2,377.6,353.6,195.0,129.53,87.55,69.64,58.54,46.35,24.24,42.83
47,375.17,377.61,353.64,194.82,129.48,87.54,69.69,58.62,46.35,24.26,42.84
48,375.12,377.63,353.73,194.73,129.41,87.55,69.71,58.62,46.35,24.27,42.87
49,375.08,377.63,353.85,194.61,129.35,87.53,69.67,58.5,46.31,24.16,42.89
50,375.05,377.64,353.97,194.52,129.3,87.51,69.65,58.47,46.3,24.15,42.9
51,375.02,377.67,354.08,194.48,129.26,87.52,69.7,58.58,46.31,24.06,42.92
52,374.99,377.69,354.14,194.5,129.24,87.52,69.81,58.69,46.38,24.05,42.94
