Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,368.16,368.88,351.28,199.25,131.0,88.02,69.71,59.38,48.15,24.13,45.74
1,368.09,368.84,351.05,199.13,130.96,88.0,69.64,59.31,48.14,24.14,45.71
2,368.05,368.81,350.86,199.14,130.94,87.97,69.58,59.22,48.09,23.96,45.66
3,367.95,368.81,350.74,199.24,130.94,87.94,69.55,59.17,48.08,23.89,45.62
4,367.88,368.81,350.63,199.32,130.94,87.93,69.55,59.15,48.07,24.1,45.6
5,367.82,368.8,350.51,199.33,130.94,87.92,69.48,59.11,48.05,24.08,45.56
6,367.76,368.8,350.45,199.43,130.95,87.89,69.4,59.04,48.0,24.05,45.55
7,367.68,368.79,350.42,199.54,130.95,87.88,69.44,59.1,48.01,24.16,45.52
8,367.59,368.79,350.36,199.56,130.91,87.84,69.55,59.15,48.04,24.06,45.52
9,367.48,368.78,350.26,199.52,130.86,87.82,69.56,59.18,48.05,24.08,45.48
10,367.42,368.77,350.23,199.49,130.85,87.79,69.58,59.18,48.08,23.99,45.47
11,367.36,368.76,350.2,199.5,130.85,87.79,69.6,59.26,48.11,24.07,45.46
12,367.3,368.73,350.2,199.56,130.87,87.79,69.65,59.29,48.16,23.96,45.46
13,367.21,368.69,350.23,199.82,130.9,87.79,69.68,59.33,48.19,23.99,45.44
14,367.17,368.65,350.24,200.12,130.9,87.8,69.7,59.37,48.2,24.11,45.43
15,367.09,368.63,350.24,200.43,130.9,87.8,69.72,59.44,48.23,23.98,45.41
16,367.03,368.62,350.26,200.7,130.9,87.79,69.77,59.46,48.24,24.06,45.41
17,366.9,368.64,350.37,200.95,130.85,87.75,69.84,59.35,48.22,23.97,45.39
18,366.78,368.66,350.48,201.18,130.79,87.7,69.83,59.28,48.2,23.96,45.34
19,366.69,368.66,350.54,201.27,130.74,87.66,69.79,59.26,48.21,23.89,45.34
20,366.59,368.65,350.62,201.42,130.75,87.59,69.7,59.21,48.21,24.3,45.34
