Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,374.39,378.47,364.22,203.33,128.11,78.98,59.6,47.42,36.64,23.14,34.13
1,374.38,378.47,364.28,203.31,128.13,78.98,59.54,47.39,36.6,23.2,34.12
2,374.34,378.49,364.34,203.27,128.16,78.98,59.53,47.37,36.57,23.49,34.12
3,374.35,378.54,364.39,203.18,128.18,78.98,59.51,47.37,36.54,23.45,34.12
4,374.34,378.54,364.42,203.03,128.17,78.97,59.5,47.36,36.51,23.33,34.12
5,374.32,378.57,364.38,202.97,128.16,78.98,59.5,47.34,36.48,23.59,34.12
6,374.32,378.6,364.37,202.88,128.14,78.96,59.5,47.31,36.47,23.4,34.12
7,374.28,378.63,364.34,202.87,128.11,78.93,59.5,47.34,36.46,23.34,34.12
8,374.28,378.68,364.33,202.92,128.07,78.92,59.47,47.36,36.45,23.28,34.14
9,374.25,378.72,364.3,203.01,128.07,78.94,59.47,47.45,36.5,23.32,34.09
10,374.24,378.76,364.34,203.18,128.07,78.99,59.54,47.51,36.56,23.47,34.09
11,374.22,378.78,364.35,203.37,128.09,78.98,59.62,47.61,36.63,23.38,34.1
12,374.2,378.8,364.39,203.46,128.09,79.0,59.63,47.61,36.66,23.18,34.11
13,374.18,378.82,364.48,203.51,128.1,79.0,59.62,47.54,36.69,23.19,34.12
14,374.15,378.82,364.58,203.46,128.09,79.0,59.65,47.5,36.69,23.24,34.14
15,374.14,378.85,364.64,203.28,128.06,78.98,59.61,47.43,36.67,23.27,34.15
16,374.11,378.87,364.7,203.09,128.03,78.96,59.52,47.36,36.63,23.31,34.16
17,374.08,378.87,364.71,202.9,127.96,78.94,59.38,47.28,36.59,23.48,34.22
18,374.05,378.84,364.66,202.69,127.9,78.89,59.42,47.23,36.56,23.4,34.05
19,374.07,378.85,364.62,202.54,127.82,78.87,59.28,47.19,36.55,23.49,34.09
20,374.16,378.88,364.47,202.41,127.78,78.84,59.33,47.19,36.51,23.67,34.12
21,374.36,379.03,364.34,202.22,127.75,78.81,59.27,47.16,36.51,23.43,34.12
22,374.8,379.23,364.15,202.07,127.68,78.78,59.28,47.18,36.5,23.34,34.09
23,375.42,379.19,363.82,201.98,127.64,78.77,59.34,47.2,36.49,23.34,34.11
24,376.04,379.08,363.49,201.93,127.6,78.75,59.29,47.21,36.51,23.85,34.09
25,376.56,378.99,363.14,201.84,127.59,78.74,59.25,47.15,36.5,23.22,34.07
26,377.26,378.94,362.39,201.85,127.55,78.74,59.15,47.13,36.47,23.23,34.05
27,377.71,378.87,361.77,201.84,127.54,78.72,59.12,47.1,36.44,23.82,34.0
28,377.9,378.84,361.4,201.74,127.52,78.67,59.18,47.07,36.4,23.28,34.04
29,378.17,378.69,361.17,201.5,127.47,78.7,59.11,46.98,36.39,23.45,34.0
30,378.26,378.63,360.92,201.26,127.42,78.66,59.07,46.97,36.35,23.37,33.92
31,378.39,378.54,360.74,201.02,127.35,78.62,59.05,46.95,36.33,24.74,33.99
32,378.43,378.47,360.75,200.79,127.3,78.6,59.03,46.94,36.32,24.9,33.98
33,378.42,378.39,360.76,200.64,127.22,78.57,59.02,46.94,36.3,24.6,33.96
34,378.38,378.31,360.43,200.49,127.17,78.55,59.01,46.94,36.31,25.61,33.97
35,378.3,378.17,359.75,200.37,127.1,78.54,58.97,46.93,36.29,24.55,33.93
36,378.25,378.04,359.32,200.25,127.03,78.5,58.92,46.87,36.26,24.72,33.93
37,378.25,377.95,358.97,200.09,126.97,78.48,58.91,46.83,36.24,25.07,33.9
38,378.23,377.87,358.79,199.99,126.94,78.45,58.82,46.81,36.21,24.32,33.88
39,378.07,377.82,358.67,199.99,126.9,78.45,58.81,46.85,36.19,24.32,33.84
40,377.98,377.78,358.56,199.99,126.9,78.44,58.82,46.84,36.16,23.28,33.87
41,377.97,377.72,358.54,200.0,126.9,78.44,58.84,46.83,36.14,23.18,33.86
42,378.03,377.68,358.47,199.98,126.88,78.45,58.83,46.79,36.12,23.17,33.85
43,378.05,377.62,358.44,200.04,126.88,78.44,58.81,46.76,36.1,26.02,33.85
44,378.07,377.5,358.23,200.06,126.87,78.44,58.78,46.71,36.06,23.98,33.81
45,378.02,377.41,358.14,200.3,126.87,78.6,58.74,46.88,36.02,23.07,33.79
46,378.01,377.35,358.12,200.0,126.88,78.48,58.74,47.69,36.0,59.19,33.77
