Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,367.43,366.93,329.47,179.61,121.23,83.24,66.87,55.76,43.15,375.33,38.97
1,367.38,366.97,329.47,179.71,121.21,83.18,66.89,55.83,43.15,375.04,38.99
2,367.32,367.0,329.52,179.28,121.15,83.15,66.92,55.85,43.19,375.22,39.06
3,367.29,367.04,329.46,179.66,121.11,83.52,66.93,55.84,43.19,375.04,39.07
4,367.24,367.05,329.33,179.12,121.03,83.08,66.93,55.95,43.2,375.22,39.1
5,367.2,367.08,329.22,179.05,120.96,83.02,66.91,55.78,43.25,375.77,39.14
6,367.16,367.1,329.13,179.01,120.89,83.02,66.86,55.74,43.29,375.65,39.18
7,367.13,367.13,329.04,178.98,120.84,82.97,66.85,55.76,43.31,374.78,39.21
8,367.09,367.15,328.91,178.9,120.8,82.95,66.78,55.8,43.32,374.5,39.23
9,367.02,367.18,328.78,178.79,120.76,82.94,66.78,55.88,43.38,374.93,39.27
10,366.95,367.21,328.66,178.72,120.69,82.94,66.84,55.89,43.46,375.4,39.3
11,366.91,367.23,328.56,178.6,120.65,82.94,66.91,55.95,43.51,374.84,39.37
12,366.86,367.25,328.4,178.36,120.56,82.92,66.94,56.01,43.55,374.24,39.41
13,366.82,367.27,328.22,178.14,120.48,82.92,66.92,56.02,43.59,373.89,39.45
14,366.78,367.27,328.02,177.73,120.41,82.89,66.92,56.07,43.6,373.07,39.48
15,366.74,367.27,327.81,177.41,120.34,82.91,66.91,56.07,43.64,372.69,39.52
16,366.72,367.27,327.66,177.17,120.27,82.88,66.97,56.08,43.68,372.24,39.54
17,366.69,367.26,327.51,176.98,120.18,82.9,66.94,56.06,43.69,371.92,39.57
18,366.61,367.24,327.47,176.8,120.08,82.86,66.94,56.04,43.71,371.96,39.63
19,366.48,367.2,328.0,176.58,119.94,82.84,66.93,55.96,43.69,372.48,39.69
20,366.4,367.16,328.46,176.4,119.85,82.83,66.87,55.9,43.62,372.79,39.72
21,366.32,367.12,328.91,176.25,119.8,82.78,66.81,55.78,43.53,373.03,39.75
22,366.28,367.08,329.25,176.2,119.76,82.78,66.72,55.63,43.42,373.09,39.75
23,366.25,367.05,329.51,176.11,119.73,82.71,66.65,55.48,43.32,373.2,39.76
24,366.23,367.05,329.7,176.06,119.71,82.65,66.61,55.4,43.25,373.42,39.77
25,366.23,367.06,330.06,175.95,119.67,82.6,66.52,55.3,43.2,372.1,39.78
26,366.23,367.06,330.41,175.88,119.61,82.53,66.44,55.09,43.13,369.3,39.74
27,366.16,367.11,330.88,175.95,119.54,82.51,66.29,55.05,43.01,367.51,39.77
28,366.12,367.18,331.06,175.8,119.43,82.42,66.17,54.9,42.89,367.26,39.74
29,366.08,367.22,330.91,175.7,119.37,82.32,66.17,54.84,42.84,368.42,39.73
30,366.07,367.24,330.87,175.76,119.3,82.34,66.14,55.05,42.81,368.0,39.7
31,366.04,367.1,330.88,175.65,119.25,82.21,66.15,54.88,42.8,367.28,39.72
