Time	TC1_tip	TC_9.5	TC3	TC5	TC7	TC9	TC10	TC_Bottom_rec_groove	TC4	TC6	TC8	TC_wall_ins_ext	TC_bottom_ins_groove	TC2
Seconds	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C
														
0	369.85	23.27	377.22	376.71	193.22	81.57	68.61	364.52	379.74	288.91	136.56	23.2	24.81	373.58
1	369.85	23.24	377.22	376.66	193.34	81.51	68.58	364.49	379.76	288.9	136.49	23.2	24.81	373.58
2	369.83	23.27	377.21	376.64	193.34	81.47	68.58	364.48	379.76	288.92	136.46	23.2	24.81	373.57
3	369.8	23.21	377.22	376.63	193.24	81.45	68.55	364.45	379.76	288.99	136.57	23.2	24.81	373.57
4	369.75	23.17	377.23	376.65	193.23	81.48	68.53	364.42	379.75	289.09	136.65	23.2	24.81	373.55
5	369.73	23.28	377.23	376.67	193.29	81.48	68.53	364.4	379.75	289.11	136.57	23.2	24.81	373.53
6	369.71	23.35	377.23	376.69	193.42	81.49	68.52	364.4	379.77	289.08	136.63	23.2	24.8	373.52
7	369.69	23.16	377.25	376.73	193.51	81.54	68.53	364.38	379.76	289.09	136.77	23.2	24.79	373.51
8	369.68	23.23	377.25	376.75	193.51	81.59	68.52	364.36	379.77	289.1	136.81	23.2	24.8	373.49
9	369.66	23.24	377.25	376.78	193.56	81.61	68.5	364.33	379.78	289.08	136.71	23.2	24.8	373.48
10	369.64	23.22	377.25	376.8	193.62	81.61	68.5	364.31	379.8	289.07	136.74	23.2	24.79	373.47
11	369.64	23.26	377.25	376.82	193.7	81.6	68.5	364.29	379.8	289.09	136.63	23.2	24.79	373.46
12	369.61	23.33	377.25	376.81	193.82	81.54	68.49	364.27	379.81	289.09	136.52	23.2	24.79	373.45
13	369.58	23.29	377.25	376.8	194.04	81.52	68.48	364.24	379.83	289.15	136.64	23.2	24.79	373.44
14	369.55	23.12	377.25	376.8	194.2	81.54	68.49	364.21	379.84	289.22	136.88	23.2	24.78	373.43
15	369.54	23.03	377.26	376.81	194.24	81.53	68.49	364.19	379.84	289.26	136.95	23.21	24.78	373.43
16	369.52	22.92	377.27	376.83	194.24	81.5	68.48	364.18	379.85	289.32	136.92	23.19	24.78	373.42
17	369.49	23.05	377.27	376.85	194.23	81.5	68.47	364.17	379.86	289.36	137.01	23.2	24.79	373.4
18	369.48	23.01	377.27	376.88	194.58	81.49	68.47	364.14	379.86	289.31	137.1	23.2	24.79	373.39
19	369.46	23.03	377.27	376.9	194.66	81.52	68.47	364.12	379.87	289.28	137.12	23.2	24.79	373.38
20	369.45	23.17	377.27	376.9	194.52	81.56	68.47	364.11	379.88	289.26	137.09	23.21	24.79	373.36
21	369.42	23.07	377.27	376.9	194.33	81.59	68.47	364.09	379.88	289.24	137.07	23.21	24.79	373.35
22	369.41	23.1	377.27	376.89	194.25	81.63	68.48	364.07	379.89	289.18	136.87	23.21	24.79	373.34
23	369.39	23.12	377.27	376.83	194.59	81.64	68.5	364.03	379.92	289.11	136.77	23.21	24.79	373.33
24	369.37	23.09	377.27	376.76	194.58	81.68	68.5	364.02	379.94	289.12	136.88	23.21	24.79	373.33
25	369.35	23.22	377.27	376.71	194.44	81.68	68.52	364	379.95	289.16	136.82	23.22	24.79	373.33
26	369.34	23.14	377.27	376.68	194.14	81.62	68.52	363.99	379.95	289.19	136.7	23.21	24.79	373.32
27	369.31	23.07	377.27	376.66	193.91	81.56	68.52	363.96	379.93	289.21	136.51	23.2	24.79	373.31
28	369.29	22.9	377.27	376.66	193.6	81.53	68.52	363.95	379.92	289.25	136.36	23.21	24.78	373.31
29	369.28	22.97	377.28	376.66	193.28	81.5	68.52	363.93	379.91	289.23	136.29	23.21	24.78	373.3
30	369.25	23.06	377.28	376.66	192.98	81.46	68.53	363.9	379.91	289.18	136.24	23.21	24.79	373.27
31	369.21	23.15	377.28	376.66	193	81.41	68.54	363.86	379.92	289.07	136.17	23.21	24.79	373.26
32	369.21	23.17	377.28	376.66	193.07	81.36	68.54	363.83	379.92	288.96	136.1	23.22	24.79	373.24
33	369.2	23.21	377.28	376.67	193.04	81.34	68.53	363.84	379.93	288.91	136.1	23.22	24.8	373.23
34	369.19	23.36	377.28	376.67	193.11	81.3	68.52	363.8	379.95	288.77	135.99	23.22	24.8	373.22
35	369.18	23.28	377.28	376.64	193.34	81.27	68.51	363.79	379.96	288.64	135.85	23.22	24.8	373.21
36	369.17	23.33	377.28	376.6	193.74	81.28	68.52	363.78	379.96	288.63	136.07	23.22	24.8	373.21
37	369.17	23.28	377.28	376.58	194.19	81.29	68.51	363.76	379.98	288.6	136.25	23.21	24.8	373.21
38	369.14	23.35	377.3	376.59	194.55	81.36	68.5	363.75	379.99	288.59	136.47	23.22	24.8	373.19
39	369.11	23.24	377.33	376.64	194.73	81.43	68.52	363.72	380.01	288.56	136.64	23.22	24.81	373.01
40	369.26	23.35	377.35	376.79	195.17	81.58	68.53	363.7	380.04	288.49	136.78	23.23	24.81	372.78
41	369.83	23.28	377.34	376.89	195.56	81.7	68.57	363.69	380.06	288.27	136.81	23.23	24.81	372.74
42	370.25	23.35	377.34	376.85	195.75	81.7	68.59	363.72	380.06	288.01	136.7	23.23	24.81	372.93
43	370.75	23.42	377.3	376.78	195.78	81.71	68.62	363.78	380	287.71	136.52	23.23	24.82	373.14
44	371.23	23.28	377.27	376.68	195.74	81.72	68.64	363.86	379.92	287.4	136.38	23.22	24.81	373.33
45	371.63	23.32	377.24	376.56	195.73	81.79	68.65	363.96	379.8	287.15	136.61	23.23	24.81	373.56
46	372.03	23.47	377.29	376.39	195.77	81.88	68.67	364.06	379.66	286.88	136.68	23.23	24.82	373.87
47	372.44	23.28	377.29	376.22	195.79	81.95	68.7	364.19	379.54	286.68	136.73	23.23	24.82	374.29
48	372.92	23.28	377.29	376.02	195.81	82.03	68.74	364.32	379.37	286.34	136.59	23.23	24.81	374.55
49	373.55	23.18	377.38	375.75	195.59	82.06	68.78	364.53	379.22	286.05	136.45	23.22	24.8	374.91
50	374.07	23.2	377.45	375.49	195.27	82.01	68.8	364.74	379.09	285.85	136.36	23.23	24.8	375.26
51	374.34	23.25	377.47	375.31	195.06	82.02	68.82	364.89	378.95	285.73	136.5	23.22	24.81	375.44
52	374.57	23.29	377.48	375.15	195.09	82.07	68.85	365.04	378.84	285.68	136.77	23.23	24.81	375.59
53	374.78	23.41	377.53	375.02	195.05	82.13	68.88	365.18	378.75	285.61	136.96	23.24	24.81	375.72
54	374.92	23.4	377.57	374.9	194.92	82.2	68.9	365.32	378.65	285.55	137.1	23.24	24.8	375.84
55	375.08	23.39	377.62	374.78	194.67	82.27	68.92	365.46	378.57	285.47	137.14	23.24	24.79	375.95
56	375.28	23.3	377.66	374.66	194.45	82.33	68.96	365.61	378.5	285.44	137.33	23.24	24.78	376.05
57	375.53	23.27	377.7	374.52	194.44	82.45	69	365.8	378.42	285.35	137.45	23.23	24.79	376.27
58	375.75	23.2	377.73	374.39	194.43	82.52	69.04	365.99	378.36	285.23	137.38	23.23	24.78	376.42
59	375.84	23.18	377.74	374.31	194.37	82.54	69.07	366.11	378.28	285.07	137.27	23.24	24.78	376.52
60	375.91	23.15	377.77	374.25	194.35	82.58	69.09	366.23	378.22	284.91	137.28	23.24	24.78	376.6
61	376	23.35	377.78	374.2	194.18	82.63	69.13	366.36	378.18	284.77	137.27	23.24	24.78	376.66
62	376.13	23.38	377.78	374.14	193.92	82.65	69.15	366.48	378.14	284.61	137.21	23.24	24.79	376.69
63	376.25	23.22	377.76	374.08	193.73	82.62	69.18	366.6	378.11	284.52	137.04	23.24	24.78	376.72
64	376.34	23.17	377.74	373.99	193.53	82.56	69.18	366.71	378.08	284.46	136.87	23.24	24.77	376.74
65	376.35	23.21	377.72	373.91	193.24	82.46	69.17	366.81	378.03	284.51	136.7	23.23	24.78	376.74
66	376.32	23.31	377.71	373.82	193.16	82.32	69.16	366.89	377.99	284.58	136.5	23.24	24.78	376.73
67	376.3	23.2	377.67	373.7	193.24	82.09	69.15	367	377.95	284.64	136.34	23.24	24.77	376.72
68	376.24	23.17	377.64	373.62	193.4	81.89	69.11	367.09	377.91	284.75	136.2	23.24	24.77	376.72
69	376.19	23.09	377.64	373.62	193.5	81.79	69.08	367.14	377.88	284.87	136.19	23.24	24.77	376.75
70	376.08	23.14	377.61	373.63	193.41	81.72	69.04	367.18	377.85	284.99	136.18	23.24	24.78	376.76
71	375.93	23.25	377.62	373.66	193.5	81.7	69.01	367.21	377.83	285.2	136.38	23.24	24.78	376.73
72	375.76	23.19	377.59	373.72	193.53	81.65	68.96	367.24	377.82	285.43	136.41	23.25	24.78	376.68
73	375.59	23.17	377.58	373.79	193.48	81.61	68.92	367.25	377.83	285.66	136.35	23.24	24.78	376.62
74	375.47	23.33	377.58	373.94	193.28	81.6	68.89	367.28	377.9	285.85	136.38	23.24	24.77	376.57
75	375.33	23.35	377.56	374.24	193.36	81.57	68.84	367.29	377.99	285.88	136.38	23.25	24.78	376.48
76	375.22	23.41	377.54	374.58	193.86	81.49	68.79	367.31	378.1	285.79	136.32	23.25	24.78	376.46
77	375.17	23.47	377.54	374.79	194.09	81.38	68.75	367.31	378.19	285.66	136.28	23.25	24.79	376.47
78	375.13	23.29	377.54	374.97	194.15	81.23	68.72	367.3	378.22	285.5	136.02	23.25	24.78	376.48
79	375.06	23.11	377.53	375.1	194.16	81.11	68.67	367.32	378.24	285.34	135.78	23.25	24.78	376.5
80	374.97	23.16	377.54	375.21	194.34	81.01	68.62	367.32	378.25	285.26	135.72	23.25	24.78	376.52
81	374.87	23.18	377.54	375.29	194.5	80.95	68.58	367.31	378.26	285.13	135.63	23.25	24.78	376.54
82	374.76	23.14	377.54	375.37	194.66	80.89	68.52	367.31	378.29	285.03	135.6	23.25	24.78	376.56
83	374.65	23.14	377.55	375.42	194.75	80.81	68.48	367.31	378.31	284.91	135.38	23.25	24.78	376.56
84	374.53	23	377.54	375.48	194.55	80.66	68.41	367.3	378.33	284.83	135.15	23.24	24.78	376.55
85	374.45	23.14	377.56	375.53	194.22	80.54	68.33	367.3	378.36	284.74	135.15	23.25	24.78	376.53
86	374.41	23.3	377.55	375.55	193.95	80.47	68.28	367.3	378.42	284.75	135.2	23.26	24.79	376.53
87	374.36	23.35	377.55	375.56	193.76	80.46	68.2	367.28	378.46	284.83	135.26	23.26	24.79	376.51
88	374.31	23.28	377.56	375.56	193.49	80.51	68.17	367.27	378.49	284.95	135.37	23.25	24.79	376.48
89	374.28	23.19	377.56	375.57	193.13	80.58	68.12	367.28	378.53	285.13	135.52	23.25	24.78	376.45
90	374.22	23.18	377.56	375.59	192.88	80.69	68.09	367.28	378.57	285.34	135.72	23.25	24.78	376.43
91	374.16	23.35	377.55	375.62	192.84	80.82	68.06	367.26	378.6	285.52	136.03	23.26	24.78	376.42
92	374.09	23.29	377.55	375.64	192.82	81.03	68.06	367.26	378.64	285.79	136.44	23.26	24.78	376.4
