Time	TC1_tip	TC_9.5	TC3	TC5	TC7	TC9	TC10	TC_Bottom_rec_groove	TC4	TC6	TC8	TC_wall_ins_ext	TC_bottom_ins_groove	TC2
Seconds	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C
														
0	371.84	24.41	378.63	378.53	197.12	82.46	68.42	363.91	380.69	288.03	138.56	25.11	24.92	376.59
1	371.8	24.28	378.64	378.56	197.1	82.57	68.5	363.91	380.71	288.02	138.6	25.1	24.91	376.56
2	371.76	24.18	378.64	378.57	196.97	82.62	68.55	363.91	380.75	288.07	138.7	25.1	24.91	376.54
3	371.72	24.21	378.64	378.55	196.92	82.6	68.58	363.9	380.8	288.08	138.67	25.1	24.92	376.51
4	371.69	24.2	378.65	378.51	196.82	82.62	68.63	363.89	380.83	288.11	138.59	25.09	24.91	376.47
5	371.64	24.38	378.67	378.45	196.72	82.66	68.69	363.89	380.88	288.13	138.52	25.1	24.92	376.44
6	371.59	24.44	378.67	378.41	196.55	82.72	68.73	363.87	380.91	288.2	138.58	25.09	24.92	376.39
7	371.57	24.49	378.68	378.4	196.32	82.75	68.78	363.87	380.93	288.29	138.61	25.1	24.91	376.37
8	371.54	24.3	378.67	378.39	196.05	82.73	68.8	363.87	380.93	288.39	138.64	25.1	24.91	376.35
9	371.51	24.35	378.68	378.39	196.02	82.64	68.82	363.85	380.95	288.47	138.56	25.1	24.91	376.33
10	371.49	24.39	378.69	378.41	196.23	82.56	68.83	363.85	380.97	288.47	138.6	25.1	24.92	376.32
11	371.46	24.47	378.7	378.42	196.44	82.47	68.85	363.85	380.99	288.41	138.53	25.11	24.92	376.3
12	371.43	24.42	378.7	378.42	196.69	82.43	68.84	363.84	381.03	288.27	138.38	25.11	24.92	376.28
13	371.39	24.45	378.7	378.39	196.67	82.39	68.85	363.83	381.07	288.14	138.23	25.11	24.91	376.26
14	371.34	24.47	378.71	378.33	196.37	82.37	68.84	363.81	381.13	288.1	138.24	25.1	24.91	376.22
15	371.3	24.4	378.72	378.3	196.26	82.43	68.86	363.8	381.17	288.09	138.31	25.1	24.91	376.19
16	371.26	24.38	378.73	378.3	196.55	82.49	68.87	363.8	381.2	288.01	138.33	25.1	24.91	376.16
17	371.22	24.31	378.73	378.31	196.97	82.52	68.9	363.79	381.22	287.88	138.3	25.11	24.9	376.14
18	371.2	24.36	378.73	378.29	197.25	82.55	68.91	363.77	381.23	287.81	138.26	25.11	24.91	376.13
19	371.17	24.52	378.73	378.31	197.36	82.59	68.93	363.77	381.26	287.67	138.2	25.11	24.92	376.09
20	371.16	24.4	378.76	378.34	197.48	82.64	68.94	363.76	381.26	287.58	138.27	25.11	24.91	376.03
21	371.14	24.51	378.93	378.44	197.59	82.73	68.97	363.76	381.29	287.54	138.36	25.11	24.92	375.95
22	371.14	24.48	379.14	378.5	197.59	82.74	68.99	363.75	381.35	287.43	138.28	25.11	24.92	375.64
23	371.41	24.46	379.31	378.55	197.59	82.78	69.01	363.75	381.42	287.31	138.18	25.11	24.91	375.27
24	371.95	24.46	379.32	378.52	197.78	82.81	69.05	363.8	381.47	287.16	138.19	25.11	24.91	375.4
25	372.51	24.45	379.29	378.44	197.86	82.79	69.06	363.86	381.48	287.02	138.14	25.11	24.91	375.55
26	373.08	24.52	379.21	378.34	197.79	82.8	69.09	363.95	381.43	286.82	138.09	25.11	24.91	375.89
27	373.54	24.59	379.16	378.17	197.52	82.87	69.11	364.07	381.35	286.73	138.25	25.11	24.92	376.27
28	374.1	24.33	379.14	377.99	197.29	82.93	69.13	364.2	381.21	286.66	138.36	25.1	24.9	376.66
29	374.67	24.36	379.17	377.8	197.14	82.98	69.15	364.36	381.04	286.52	138.32	25.11	24.91	376.98
30	375.21	24.36	379.22	377.59	197.1	82.98	69.18	364.54	380.89	286.37	138.24	25.11	24.91	377.21
31	375.6	24.27	379.24	377.4	197.15	83.01	69.21	364.73	380.75	286.23	138.28	25.11	24.91	377.36
32	376.1	24.23	379.29	377.12	197.11	83.04	69.24	365.03	380.65	286.14	138.36	25.11	24.91	377.64
33	376.58	24.27	379.36	376.87	196.98	83.04	69.28	365.34	380.51	285.96	138.35	25.11	24.9	377.81
34	376.87	24.12	379.37	376.75	196.91	83.03	69.31	365.57	380.39	285.85	138.39	25.1	24.9	377.92
35	377.09	24.3	379.41	376.64	196.96	83.07	69.32	365.78	380.29	285.74	138.52	25.1	24.9	378.01
36	377.24	24.22	379.44	376.54	197.07	83.12	69.36	365.97	380.21	285.56	138.61	25.1	24.9	378.07
37	377.28	24.19	379.45	376.43	197.26	83.19	69.38	366.15	380.11	285.36	138.74	25.1	24.89	378.11
38	377.26	24.15	379.45	376.32	197.19	83.22	69.41	366.31	380.04	285.17	138.59	25.1	24.91	378.1
39	377.44	24.1	379.45	376.22	197.14	83.25	69.42	366.46	379.98	284.99	138.53	25.1	24.89	378.13
40	377.63	24.3	379.42	376.12	197.07	83.24	69.44	366.61	379.91	284.81	138.62	25.11	24.91	378.18
41	377.82	24.35	379.41	375.99	197.07	83.25	69.47	366.86	379.85	284.69	138.76	25.11	24.9	378.22
42	378.01	24.25	379.42	375.89	197.16	83.28	69.5	367.12	379.8	284.6	138.8	25.11	24.91	378.32
43	378.08	24.26	379.42	375.82	197.29	83.29	69.52	367.29	379.76	284.52	138.9	25.11	24.91	378.36
44	378.12	24.27	379.43	375.76	197.35	83.26	69.53	367.45	379.73	284.42	138.82	25.11	24.91	378.37
45	378.11	24.36	379.46	375.7	197.18	83.23	69.54	367.59	379.7	284.33	138.61	25.11	24.92	378.38
46	378.11	24.22	379.49	375.65	196.87	83.17	69.55	367.71	379.67	284.34	138.43	25.1	24.91	378.4
47	378.1	24.18	379.5	375.59	196.62	83.12	69.56	367.81	379.63	284.46	138.41	25.1	24.9	378.4
48	378.07	24.13	379.53	375.55	196.5	83.07	69.55	367.9	379.59	284.65	138.49	25.11	24.9	378.4
49	378.01	24.21	379.52	375.52	196.52	83.04	69.56	367.97	379.57	284.81	138.52	25.11	24.91	378.39
50	377.88	24.29	379.49	375.46	196.63	83.02	69.55	368.06	379.53	284.94	138.61	25.11	24.9	378.4
51	377.74	24.34	379.46	375.42	196.86	83.03	69.55	368.13	379.5	285.08	138.67	25.11	24.92	378.41
52	377.64	24.32	379.44	375.36	197.08	83.01	69.54	368.16	379.48	285.17	138.66	25.11	24.9	378.43
53	377.54	24.2	379.43	375.33	197.28	82.96	69.55	368.21	379.46	285.21	138.61	25.11	24.9	378.44
54	377.46	24.36	379.42	375.29	197.49	82.91	69.54	368.24	379.43	285.26	138.59	25.1	24.91	378.45
55	377.37	24.28	379.4	375.24	197.62	82.87	69.54	368.27	379.4	285.26	138.54	25.1	24.91	378.46
56	377.29	24.28	379.41	375.18	197.66	82.84	69.52	368.3	379.37	285.23	138.52	25.1	24.91	378.47
57	377.2	24.27	379.41	375.16	197.58	82.78	69.51	368.32	379.36	285.23	138.35	25.11	24.91	378.47
58	377.12	24.29	379.4	375.19	197.41	82.7	69.49	368.33	379.38	285.22	138.1	25.1	24.91	378.47
59	376.99	24.25	379.39	375.28	197.11	82.58	69.45	368.36	379.38	285.24	137.93	25.1	24.91	378.47
60	376.86	24.36	379.37	375.39	196.76	82.49	69.42	368.37	379.39	285.29	137.94	25.11	24.91	378.47
61	376.76	24.3	379.36	375.45	196.67	82.46	69.39	368.38	379.42	285.44	138.09	25.11	24.91	378.46
62	376.69	24.35	379.36	375.5	196.67	82.49	69.38	368.4	379.43	285.63	138.27	25.11	24.9	378.45
63	376.62	24.37	379.35	375.55	196.77	82.59	69.37	368.4	379.45	285.78	138.56	25.1	24.9	378.45
64	376.56	24.49	379.33	375.62	196.66	82.62	69.36	368.41	379.49	285.91	138.44	25.11	24.91	378.43
65	376.48	24.4	379.32	375.69	196.4	82.59	69.34	368.4	379.55	286.09	138.32	25.1	24.91	378.43
66	376.41	24.38	379.32	375.76	196.13	82.55	69.32	368.4	379.59	286.27	138.21	25.1	24.9	378.41
67	376.34	24.42	379.31	375.85	195.97	82.5	69.31	368.4	379.62	286.4	138.07	25.11	24.89	378.4
68	376.24	24.42	379.3	376.01	196.03	82.39	69.29	368.41	379.65	286.5	137.79	25.11	24.91	378.39
69	376.15	24.38	379.31	376.17	196.16	82.26	69.27	368.41	379.68	286.63	137.6	25.1	24.89	378.37
70	376.08	24.32	379.3	376.26	196.17	82.18	69.23	368.41	379.7	286.7	137.45	25.1	24.9	378.37
71	376.02	24.49	379.3	376.35	196.22	82.16	69.21	368.4	379.72	286.79	137.47	25.11	24.91	378.35
72	375.96	24.39	379.31	376.42	196.29	82.15	69.19	368.4	379.74	286.86	137.47	25.1	24.9	378.34
73	375.89	24.24	379.31	376.5	196.31	82.14	69.16	368.38	379.76	286.93	137.4	25.1	24.9	378.32
74	375.83	24.25	379.33	376.57	196.4	82.09	69.14	368.39	379.78	286.93	137.23	25.1	24.89	378.32
75	375.77	24.14	379.33	376.63	196.52	82.01	69.11	368.37	379.82	286.9	137.08	25.1	24.89	378.31
76	375.68	24.16	379.33	376.71	196.73	81.93	69.08	368.37	379.85	286.89	137.18	25.1	24.88	378.28
77	375.61	24.24	379.34	376.77	196.75	81.81	69.04	368.35	379.88	286.85	137.03	25.1	24.9	378.25
78	375.55	24.37	379.34	376.82	196.55	81.72	69	368.35	379.91	286.82	136.8	25.11	24.9	378.24
79	375.51	24.32	379.35	376.86	196.53	81.74	68.98	368.34	379.95	286.83	136.84	25.11	24.9	378.22
80	375.46	24.29	379.36	376.93	196.31	81.79	68.97	368.33	379.98	286.91	137.06	25.11	24.9	378.2
81	375.41	24.16	379.35	376.98	196.24	81.84	68.94	368.32	380	286.97	137.22	25.11	24.9	378.17
82	375.36	24.18	379.35	377.02	196.18	81.88	68.93	368.31	380.03	286.99	137.23	25.1	24.89	378.15
83	375.3	24.21	379.36	377.08	195.99	81.96	68.92	368.31	380.06	287.09	137.29	25.1	24.89	378.13
84	375.26	24.3	379.36	377.13	195.76	81.98	68.9	368.29	380.09	287.24	137.31	25.1	24.9	378.11
85	375.22	24.34	379.36	377.2	195.62	81.93	68.89	368.28	380.11	287.36	137.3	25.1	24.9	378.09
86	375.15	24.21	379.37	377.3	195.37	81.84	68.86	368.26	380.15	287.46	137.39	25.1	24.9	378.07
87	375.09	24.23	379.37	377.4	195.36	81.77	68.83	368.26	380.17	287.48	137.27	25.11	24.91	378.03
88	375.06	24.16	379.38	377.44	195.5	81.78	68.81	368.24	380.2	287.43	137.15	25.11	24.9	378.03
89	375.01	24.23	379.38	377.47	195.73	81.83	68.81	368.24	380.23	287.35	137.16	25.11	24.9	378
90	374.97	24.18	379.38	377.48	196.07	81.91	68.8	368.23	380.26	287.28	137.33	25.11	24.91	377.99
91	374.92	24.29	379.37	377.49	196.37	82.01	68.81	368.22	380.29	287.19	137.43	25.11	24.91	377.97
92	374.89	24.25	379.39	377.5	196.64	82.11	68.82	368.2	380.33	287.1	137.49	25.11	24.91	377.96
