Time	TC1_tip	TC_9.5	TC3	TC5	TC7	TC9	TC10	TC_Bottom_rec_groove	TC4	TC6	TC8	TC_wall_ins_ext	TC_bottom_ins_groove	TC2
Seconds	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C
														
0	377.73	25.18	379.1	376.27	185.23	80.62	69.3	369.97	379.34	283.07	129.99	25.38	26.36	378.34
1	377.71	25.2	379.1	376.34	185.6	80.7	69.32	369.96	379.35	283.05	130.12	25.38	26.36	378.34
2	377.68	25.3	379.09	376.36	185.88	80.77	69.34	369.97	379.36	283	130.29	25.38	26.36	378.32
3	377.65	25.38	379.09	376.39	186.2	80.85	69.37	369.96	379.37	282.94	130.48	25.38	26.36	378.31
4	377.62	25.26	379.09	376.43	186.7	80.95	69.39	369.95	379.39	282.88	130.64	25.38	26.36	378.31
5	377.57	25.34	379.09	376.49	187.1	81.01	69.43	369.95	379.41	282.76	130.69	25.38	26.36	378.29
6	377.54	25.22	379.1	376.54	187.34	81.01	69.44	369.95	379.44	282.65	130.65	25.38	26.36	378.29
7	377.47	25.3	379.1	376.59	187.87	80.98	69.48	369.93	379.47	282.53	130.64	25.38	26.36	378.27
8	377.38	25.28	379.09	376.6	187.97	80.91	69.49	369.92	379.51	282.36	130.6	25.39	26.36	378.25
9	377.32	25.28	379.08	376.6	187.77	80.85	69.49	369.92	379.52	282.3	130.44	25.38	26.35	378.24
10	377.25	25.3	379.06	376.61	187.47	80.75	69.51	369.91	379.55	282.3	130.28	25.38	26.35	378.23
11	377.18	25.29	379.06	376.64	187.18	80.68	69.5	369.89	379.56	282.32	130.19	25.38	26.35	378.23
12	377.08	25.36	379.05	376.66	186.98	80.58	69.47	369.88	379.58	282.39	130.04	25.39	26.35	378.2
13	376.99	25.28	379.04	376.69	187.11	80.56	69.46	369.86	379.6	282.5	130.14	25.39	26.35	378.18
14	376.9	25.14	379.04	376.72	187.49	80.61	69.47	369.85	379.61	282.48	130.21	25.39	26.34	378.16
15	376.84	25.2	379.04	376.76	187.84	80.64	69.47	369.83	379.64	282.34	130.19	25.38	26.34	378.13
16	376.79	25.22	379.02	376.78	188.13	80.66	69.47	369.84	379.69	282.26	130.34	25.38	26.34	378.09
17	376.87	25.27	379.1	376.82	188.44	80.84	69.5	369.89	379.79	282.25	130.57	25.39	26.34	378.08
18	377.09	25.15	379.24	376.82	188.71	81.06	69.52	369.93	379.83	282.25	130.71	25.38	26.33	378.2
19	377.24	25.18	379.29	376.74	188.87	81.19	69.56	369.97	379.87	282.16	130.8	25.39	26.34	378.33
20	377.41	25.2	379.32	376.68	188.85	81.31	69.6	370.02	379.9	282.13	130.9	25.38	26.33	378.43
21	377.61	25.24	379.36	376.57	188.86	81.47	69.64	370.08	379.91	282.21	131.17	25.39	26.34	378.49
22	377.83	25.17	379.41	376.5	189.08	81.63	69.69	370.17	379.93	282.22	131.33	25.39	26.33	378.56
23	378.06	25.16	379.48	376.41	189.27	81.78	69.75	370.26	379.94	282.17	131.34	25.39	26.33	378.65
24	378.26	24.94	379.53	376.32	189.43	81.88	69.8	370.36	379.94	282.08	131.29	25.38	26.33	378.72
25	378.43	25.04	379.58	376.24	189.48	81.94	69.87	370.44	379.96	282.02	131.28	25.39	26.33	378.75
26	378.66	25.21	379.66	376.17	189.45	82.02	69.97	370.56	379.99	281.96	131.29	25.4	26.34	378.8
27	378.83	25.13	379.7	376.1	189.31	82.07	70.06	370.65	380	281.92	131.3	25.4	26.34	378.86
28	378.88	25.15	379.73	376.07	189.03	82.06	70.1	370.7	379.99	281.98	131.26	25.4	26.33	378.9
29	378.91	25.04	379.75	376.03	188.68	82.01	70.14	370.75	379.99	282.08	131.12	25.39	26.34	378.92
30	378.93	24.93	379.76	376	188.29	81.98	70.16	370.79	379.97	282.26	131.1	25.39	26.33	378.92
31	378.94	25.01	379.77	375.97	187.82	81.93	70.18	370.83	379.96	282.45	131.01	25.4	26.33	378.93
32	378.93	25.04	379.78	375.94	187.42	81.93	70.21	370.87	379.95	282.58	130.94	25.4	26.34	378.93
33	378.89	25.2	379.78	375.92	187.34	81.9	70.22	370.89	379.93	282.74	130.92	25.4	26.34	378.93
34	378.82	25.19	379.77	375.91	187.34	81.9	70.26	370.92	379.92	282.9	130.95	25.4	26.35	378.95
35	378.8	25.16	379.77	375.89	187.39	81.89	70.28	370.93	379.91	283.06	131.01	25.4	26.34	378.98
36	378.81	25.18	379.77	375.89	187.69	81.98	70.31	370.94	379.89	283.23	131.2	25.4	26.34	379.01
37	378.79	25.06	379.78	375.93	187.9	82.06	70.33	370.95	379.88	283.39	131.43	25.4	26.34	379.01
38	378.81	24.95	379.77	376.01	188.28	82.17	70.35	370.96	379.88	283.48	131.63	25.4	26.33	379.01
39	378.8	25.02	379.76	376.08	188.42	82.22	70.38	370.96	379.88	283.51	131.63	25.39	26.34	379.01
40	378.78	24.94	379.75	376.17	188.22	82.27	70.4	370.97	379.88	283.57	131.67	25.39	26.33	379.01
41	378.73	25.01	379.73	376.31	188.09	82.3	70.41	370.97	379.89	283.66	131.69	25.4	26.33	379.01
42	378.67	25.02	379.73	376.46	188.14	82.35	70.43	370.97	379.9	283.67	131.87	25.39	26.33	378.97
43	378.62	24.88	379.73	376.6	188.42	82.41	70.46	370.96	379.91	283.67	132.08	25.39	26.32	378.94
44	378.52	24.87	379.75	376.73	189.05	82.56	70.51	370.97	379.94	283.68	132.33	25.39	26.32	378.9
45	378.43	24.89	379.76	376.81	189.67	82.7	70.57	370.97	379.97	283.66	132.54	25.4	26.33	378.86
46	378.37	24.84	379.76	376.84	190.05	82.76	70.6	370.96	379.99	283.61	132.62	25.4	26.32	378.84
47	378.33	25.02	379.76	376.87	190.16	82.81	70.64	370.95	380.01	283.52	132.64	25.39	26.33	378.83
48	378.28	24.94	379.75	376.91	190.14	82.82	70.66	370.95	380.02	283.5	132.67	25.4	26.32	378.79
49	378.22	24.95	379.75	376.94	190.26	82.84	70.7	370.94	380.03	283.5	132.82	25.4	26.33	378.78
50	378.18	25.12	379.76	376.98	190.41	82.85	70.73	370.94	380.04	283.55	132.85	25.4	26.32	378.77
51	378.12	24.95	379.75	377.01	190.44	82.87	70.76	370.94	380.05	283.61	132.87	25.4	26.32	378.74
52	378.03	24.82	379.76	377.04	190.31	82.91	70.82	370.93	380.08	283.69	132.9	25.4	26.33	378.71
53	377.94	24.98	379.76	377.09	190.23	82.92	70.85	370.92	380.1	283.72	132.93	25.4	26.33	378.69
54	377.88	25	379.75	377.13	189.91	82.93	70.87	370.91	380.14	283.83	133.04	25.41	26.33	378.68
55	377.8	24.84	379.75	377.15	189.59	82.94	70.89	370.9	380.16	283.96	133.1	25.4	26.32	378.66
56	377.73	24.94	379.74	377.19	189.34	82.98	70.91	370.89	380.21	284.11	133.17	25.4	26.33	378.65
57	377.65	24.98	379.74	377.24	189.26	82.96	70.92	370.88	380.24	284.26	133.18	25.41	26.32	378.63
58	377.56	24.96	379.74	377.29	189.27	82.93	70.91	370.86	380.28	284.38	133.25	25.41	26.32	378.61
59	377.49	25.01	379.74	377.33	189.3	82.92	70.92	370.86	380.31	284.47	133.3	25.4	26.32	378.59
60	377.41	25.07	379.74	377.37	189.28	82.93	70.92	370.84	380.33	284.51	133.33	25.4	26.32	378.59
61	377.31	25.16	379.72	377.41	189.11	82.89	70.92	370.82	380.36	284.54	133.28	25.41	26.32	378.56
62	377.19	25.03	379.7	377.47	189.31	82.87	70.94	370.81	380.37	284.56	133.26	25.42	26.32	378.55
63	377.13	25.15	379.7	377.5	189.41	82.93	70.94	370.8	380.37	284.56	133.45	25.41	26.33	378.52
64	377.11	25.19	379.71	377.48	189.26	82.97	70.96	370.78	380.38	284.57	133.54	25.42	26.32	378.48
65	377.13	25.1	379.76	377.44	189.21	83.07	70.97	370.77	380.42	284.57	133.64	25.41	26.32	378.48
66	377.19	25.06	379.81	377.42	189.32	83.16	71	370.77	380.48	284.57	133.7	25.41	26.32	378.51
67	377.32	25.2	379.88	377.37	189.54	83.22	71.02	370.77	380.51	284.55	133.68	25.42	26.33	378.55
68	377.49	25.24	379.91	377.31	189.57	83.28	71.05	370.77	380.55	284.55	133.8	25.42	26.33	378.67
69	377.66	25.2	379.93	377.19	189.7	83.35	71.1	370.8	380.55	284.52	133.88	25.42	26.32	378.79
70	377.89	25.2	379.94	377.07	190.11	83.39	71.13	370.83	380.51	284.37	133.84	25.42	26.33	378.87
71	378.26	25.17	379.96	376.87	190.72	83.41	71.21	370.92	380.46	284.18	133.78	25.43	26.33	378.96
72	378.57	25.06	379.96	376.67	191.01	83.38	71.25	371.01	380.4	284	133.76	25.42	26.32	379.04
73	378.75	25.02	379.95	376.54	191.03	83.43	71.29	371.1	380.32	283.9	133.85	25.42	26.32	379.07
74	378.9	24.97	379.95	376.43	191	83.51	71.33	371.19	380.27	283.87	133.89	25.42	26.32	379.08
75	379.01	24.95	379.92	376.31	190.91	83.62	71.36	371.27	380.18	283.94	134.06	25.42	26.32	379.08
76	379.08	25.08	379.88	376.2	190.86	83.71	71.39	371.34	380.1	284.03	134.16	25.43	26.33	379.07
77	379.13	25.15	379.84	376.1	190.74	83.82	71.43	371.44	380.01	284.16	134.29	25.43	26.33	379.03
78	379.17	25.06	379.81	376.01	190.61	83.9	71.48	371.52	379.92	284.32	134.37	25.43	26.33	379.01
79	379.22	25.21	379.74	375.86	190.58	84	71.53	371.65	379.83	284.45	134.43	25.43	26.33	378.95
80	379.26	25.22	379.68	375.74	190.38	84.08	71.6	371.79	379.73	284.58	134.4	25.43	26.33	378.9
81	379.25	25.18	379.64	375.67	190.52	84.14	71.65	371.87	379.66	284.67	134.41	25.43	26.33	378.85
82	379.24	25.15	379.57	375.61	190.78	84.2	71.69	371.95	379.56	284.68	134.39	25.43	26.33	378.8
83	379.2	25.19	379.51	375.52	190.98	84.26	71.73	372.02	379.46	284.64	134.51	25.43	26.34	378.74
84	379.17	25.25	379.45	375.43	191.04	84.32	71.77	372.1	379.38	284.66	134.73	25.43	26.35	378.68
85	379.12	25.31	379.39	375.35	190.82	84.39	71.81	372.16	379.29	284.71	134.77	25.45	26.35	378.63
86	379.09	25.19	379.32	375.29	190.38	84.4	71.86	372.24	379.19	284.85	134.6	25.44	26.35	378.57
87	379.05	25.05	379.25	375.22	189.9	84.36	71.91	372.3	379.08	284.97	134.37	25.43	26.36	378.5
88	379.01	25.18	379.19	375.15	189.43	84.26	71.93	372.34	379.02	285.02	134.22	25.43	26.36	378.43
89	378.94	25.16	379.1	375.04	189.01	84.03	71.95	372.41	378.93	285.01	134.03	25.43	26.36	378.34
90	378.86	25.19	379.01	374.94	188.58	83.77	71.94	372.46	378.83	284.99	133.8	25.44	26.36	378.27
91	378.8	25.25	378.97	374.86	188.44	83.61	71.93	372.49	378.76	284.93	133.62	25.43	26.36	378.22
92	378.76	25.2	378.91	374.79	188.47	83.53	71.94	372.51	378.69	284.82	133.6	25.43	26.37	378.19
