Time	TC1_tip	TC_9.5	TC3	TC5	TC7	TC9	TC10	TC_Bottom_rec_groove	TC4	TC6	TC8	TC_wall_ins_ext	TC_bottom_ins_groove	TC2
Seconds	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C	°C
														
0	375.59	381.89	376.76	373.56	182.72	66.23	55.19	368.29	376.75	279.16	119.12	26.26	28.68	375.95
1	375.59	381.89	376.76	373.72	182.68	66.22	55.18	368.27	376.81	279.29	119.14	26.26	28.68	375.93
2	375.56	381.62	376.75	373.85	182.65	66.2	55.18	368.26	376.88	279.44	119.04	26.26	28.69	375.92
3	375.52	381.67	376.75	373.94	182.73	66.17	55.16	368.24	376.94	279.58	118.95	26.26	28.69	375.94
4	375.48	381.76	376.74	374.02	182.82	66.13	55.14	368.22	376.96	279.66	118.9	26.26	28.69	375.92
5	375.44	381.5	376.71	374.08	182.94	66.12	55.13	368.2	377.01	279.76	118.93	26.26	28.7	375.89
6	375.37	381.16	376.71	374.15	183.11	66.14	55.11	368.18	377.08	279.85	118.98	26.26	28.7	375.89
7	375.28	381.07	376.69	374.21	183.27	66.19	55.1	368.15	377.17	279.94	119.12	26.27	28.7	375.9
8	375.21	381.2	376.7	374.28	183.37	66.22	55.1	368.14	377.21	280.08	119.25	26.26	28.69	375.91
9	375.14	381.8	376.69	374.35	183.49	66.24	55.09	368.11	377.26	280.22	119.32	26.26	28.69	375.92
10	375.06	382.09	376.68	374.42	183.66	66.23	55.1	368.1	377.31	280.35	119.34	26.26	28.69	375.92
11	374.97	382.08	376.68	374.49	183.66	66.19	55.1	368.09	377.34	280.43	119.26	26.26	28.69	375.93
12	374.89	382.27	376.68	374.57	183.55	66.15	55.09	368.08	377.37	280.52	119.19	26.27	28.7	375.95
13	374.79	382.37	376.67	374.63	183.38	66.12	55.08	368.07	377.4	280.59	119.12	26.26	28.7	375.95
14	374.71	382.31	376.67	374.7	183.32	66.15	55.07	368.05	377.45	280.62	119.1	26.26	28.69	375.95
15	374.57	381.94	376.66	374.82	183.39	66.21	55.08	368.02	377.5	280.68	119.11	26.26	28.7	375.93
16	374.45	381.66	376.67	374.95	183.47	66.32	55.09	367.99	377.54	280.72	119.1	26.25	28.69	375.9
17	374.37	381.67	376.67	375.02	183.51	66.41	55.11	367.98	377.58	280.76	119.22	26.26	28.68	375.86
18	374.3	381.58	376.67	375.08	183.54	66.49	55.11	367.97	377.62	280.77	119.31	26.26	28.69	375.85
19	374.22	381.41	376.68	375.12	183.59	66.57	55.13	367.95	377.69	280.8	119.35	26.27	28.69	375.82
20	374.15	381.23	376.68	375.16	183.68	66.62	55.15	367.93	377.76	280.89	119.38	26.26	28.68	375.78
21	374.07	381.09	376.68	375.18	183.74	66.66	55.15	367.91	377.87	281.01	119.42	26.27	28.69	375.74
22	373.99	381.08	376.67	375.24	183.8	66.69	55.17	367.89	377.96	281.05	119.46	26.26	28.68	375.68
23	373.92	381.09	376.68	375.29	183.86	66.73	55.18	367.87	378.02	281.09	119.47	26.27	28.69	375.63
24	373.83	381.24	376.68	375.37	183.86	66.74	55.2	367.85	378.06	281.15	119.39	26.27	28.69	375.56
25	373.75	381.24	376.67	375.45	183.77	66.68	55.2	367.81	378.07	281.14	119.31	26.27	28.69	375.5
26	373.7	381.13	376.66	375.52	183.71	66.62	55.2	367.8	378.06	281.1	119.13	26.26	28.68	375.47
27	373.67	381.09	376.64	375.59	183.65	66.58	55.21	367.77	378.06	281.01	118.98	26.26	28.68	375.43
28	373.63	381.4	376.61	375.67	183.61	66.53	55.21	367.75	378.09	280.89	118.92	26.26	28.68	375.4
29	373.61	381.53	376.61	375.74	183.52	66.48	55.19	367.72	378.12	280.81	118.89	26.27	28.69	375.39
30	373.57	381.43	376.59	375.8	183.44	66.46	55.2	367.71	378.15	280.75	118.81	26.26	28.68	375.36
31	373.54	381.35	376.59	375.84	183.34	66.43	55.2	367.7	378.19	280.7	118.78	26.27	28.68	375.35
32	373.52	381.39	376.58	375.86	183.31	66.41	55.2	367.69	378.23	280.68	118.75	26.26	28.68	375.33
33	373.46	381.25	376.58	375.84	183.35	66.41	55.2	367.65	378.29	280.68	118.77	26.26	28.68	375.3
34	373.41	380.99	376.56	375.84	183.39	66.43	55.18	367.62	378.35	280.66	118.84	26.26	28.69	375.27
35	373.36	380.8	376.56	375.87	183.37	66.46	55.18	367.6	378.41	280.65	118.89	26.26	28.67	375.24
36	373.31	380.7	376.55	375.89	183.4	66.48	55.17	367.58	378.49	280.7	118.95	26.26	28.67	375.21
37	373.28	380.82	376.55	375.92	183.47	66.51	55.19	367.56	378.55	280.78	118.93	26.27	28.68	375.19
38	373.24	381.08	376.55	375.93	183.58	66.52	55.19	367.54	378.6	280.85	118.89	26.27	28.69	375.16
39	373.18	381.28	376.54	375.92	183.67	66.49	55.19	367.52	378.62	280.92	118.88	26.27	28.68	375.13
40	373.15	380.94	376.56	375.91	183.59	66.43	55.18	367.5	378.65	281.01	118.81	26.27	28.69	375.14
41	373.16	380.42	376.62	375.87	183.33	66.36	55.18	367.49	378.65	281.04	118.7	26.27	28.69	375.32
42	373.3	379.95	376.67	375.68	183.13	66.29	55.17	367.48	378.61	281.08	118.58	26.27	28.69	375.39
43	373.58	379.56	376.73	375.43	183.11	66.25	55.17	367.52	378.55	281.15	118.53	26.28	28.69	375.33
44	373.8	379.25	376.75	375.23	183.22	66.24	55.18	367.56	378.47	281.23	118.54	26.27	28.68	375.42
45	373.98	378.87	376.81	375.04	183.33	66.23	55.17	367.61	378.42	281.31	118.55	26.28	28.69	375.64
46	374.12	378.76	376.89	374.88	183.34	66.25	55.18	367.68	378.41	281.32	118.58	26.28	28.7	375.81
47	374.29	378.37	376.98	374.72	183.36	66.27	55.19	367.76	378.33	281.25	118.54	26.28	28.7	376.05
48	374.62	378.15	377.09	374.57	183.42	66.31	55.2	367.84	378.3	281.21	118.58	26.28	28.7	376.19
49	374.92	378.27	377.2	374.43	183.54	66.36	55.24	367.93	378.27	281.2	118.65	26.29	28.7	376.38
50	375.32	378.19	377.34	374.24	183.66	66.43	55.26	368.04	378.25	281.15	118.68	26.28	28.69	376.53
51	375.72	378.19	377.48	374.1	183.72	66.49	55.29	368.17	378.24	281.08	118.7	26.28	28.7	376.67
52	376.01	378.02	377.55	374	183.72	66.51	55.29	368.24	378.21	281.01	118.64	26.29	28.71	376.74
53	376.22	378.1	377.6	373.91	183.7	66.54	55.32	368.33	378.18	280.93	118.63	26.29	28.7	376.82
54	376.42	378.24	377.66	373.84	183.6	66.54	55.33	368.41	378.17	280.82	118.57	26.28	28.71	376.92
55	376.58	378.11	377.71	373.76	183.45	66.49	55.33	368.5	378.12	280.74	118.49	26.3	28.72	376.98
56	376.69	378.09	377.74	373.69	183.29	66.45	55.32	368.58	378.09	280.64	118.45	26.29	28.72	377.08
57	376.84	378.04	377.79	373.64	183.21	66.4	55.31	368.67	378.07	280.6	118.47	26.29	28.72	377.14
58	376.94	378.04	377.83	373.56	183.18	66.4	55.3	368.76	378.03	280.62	118.62	26.29	28.72	377.15
59	376.99	378.01	377.85	373.5	183.09	66.41	55.3	368.85	377.98	280.7	118.85	26.29	28.72	377.14
60	377.05	377.9	377.88	373.39	183.18	66.48	55.28	368.97	377.96	280.77	118.99	26.29	28.72	377.19
61	377.1	378.35	377.91	373.3	183.32	66.55	55.29	369.07	377.94	280.87	119.12	26.29	28.72	377.25
62	377.15	379.51	377.93	373.24	183.31	66.56	55.28	369.11	377.89	280.92	119.17	26.29	28.72	377.28
63	377.19	380.41	377.94	373.2	183.09	66.55	55.28	369.16	377.82	280.83	118.99	26.28	28.72	377.3
64	377.21	380.03	377.94	373.15	182.88	66.54	55.27	369.2	377.79	280.7	118.91	26.29	28.73	377.31
65	377.22	380.31	377.95	373.1	182.83	66.52	55.26	369.24	377.74	280.55	118.88	26.29	28.73	377.32
66	377.23	380.44	377.94	373.02	182.86	66.51	55.27	369.27	377.69	280.43	118.9	26.3	28.73	377.29
67	377.25	380.29	377.93	372.96	182.85	66.47	55.27	369.3	377.69	280.36	118.93	26.29	28.74	377.29
68	377.25	380.8	377.9	372.92	182.9	66.42	55.26	369.32	377.7	280.22	118.92	26.29	28.73	377.27
69	377.24	380.58	377.86	372.87	183.01	66.35	55.27	369.35	377.72	280.14	118.97	26.3	28.73	377.25
70	377.18	380.21	377.83	372.83	182.87	66.3	55.25	369.38	377.76	280.1	118.97	26.29	28.73	377.24
71	377.14	380.42	377.83	372.83	182.67	66.26	55.24	369.37	377.81	280.06	118.86	26.3	28.74	377.24
72	377.09	380.11	377.85	372.9	182.71	66.27	55.24	369.39	377.83	280.03	118.87	26.29	28.73	377.2
73	377.06	380.54	377.9	373.02	182.82	66.31	55.24	369.38	377.85	280.09	118.92	26.3	28.73	377.2
74	377.04	381.33	377.91	373.16	182.91	66.33	55.24	369.39	377.87	280.12	118.95	26.3	28.73	377.2
75	377.04	382.17	377.91	373.29	182.91	66.33	55.23	369.39	377.92	280.16	118.93	26.3	28.74	377.2
76	377.03	382.94	377.91	373.41	182.89	66.3	55.22	369.38	377.96	280.15	118.78	26.3	28.73	377.19
77	377.01	383.13	377.92	373.52	182.77	66.27	55.22	369.38	378	280.15	118.72	26.3	28.74	377.16
78	376.98	383.18	377.92	373.71	182.77	66.31	55.21	369.38	378.02	280.2	118.79	26.3	28.73	377.15
79	376.92	383.19	377.9	373.88	182.91	66.38	55.2	369.36	378.07	280.25	118.85	26.3	28.74	377.14
80	376.86	382.65	377.89	374	183.02	66.44	55.2	369.35	378.14	280.34	118.96	26.3	28.74	377.13
81	376.83	382.45	377.88	374.13	183.07	66.49	55.21	369.35	378.17	280.33	118.98	26.31	28.73	377.13
82	376.78	382.6	377.86	374.25	183.07	66.52	55.21	369.34	378.23	280.34	118.94	26.3	28.72	377.1
83	376.72	382.59	377.84	374.36	183.1	66.57	55.22	369.34	378.29	280.36	118.95	26.3	28.72	377.08
84	376.67	382.73	377.82	374.44	183.03	66.59	55.23	369.33	378.36	280.36	118.9	26.3	28.72	377.07
85	376.62	382.58	377.81	374.54	182.81	66.6	55.22	369.32	378.41	280.31	118.82	26.3	28.72	377.08
86	376.6	381.75	377.81	374.66	182.66	66.62	55.23	369.32	378.45	280.31	118.87	26.3	28.72	377.04
87	376.64	380.85	377.83	374.73	182.77	66.69	55.25	369.35	378.45	280.4	119.02	26.31	28.73	377.06
88	376.62	380.47	377.85	374.72	182.99	66.75	55.27	369.41	378.44	280.46	119.1	26.31	28.73	377.01
89	376.58	380.23	377.83	374.67	182.95	66.77	55.29	369.47	378.41	280.5	119.13	26.31	28.73	377.04
90	376.61	379.82	377.82	374.6	182.76	66.76	55.29	369.54	378.38	280.43	119.04	26.31	28.73	377.12
91	376.69	379.19	377.85	374.5	182.62	66.71	55.29	369.62	378.45	280.32	118.88	26.31	28.72	377.18
92	376.77	379.15	377.91	374.45	182.53	66.71	55.31	369.7	378.52	280.23	118.84	26.31	28.72	377.31
