Time,TC1_tip,TC_9.5,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2
Seconds,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C
,,,,,,,,,,,,,,
0,367.7,373.19,370.89,369.44,177.3,63.29,52.11,361.91,372.86,269.31,116.14,25.4,27.49,369.28
1,367.66,372.97,370.89,369.49,177.35,63.3,52.12,361.89,372.9,269.34,116.13,25.39,27.49,369.27
2,367.6,373.54,370.89,369.56,177.45,63.33,52.14,361.88,372.95,269.42,116.28,25.39,27.49,369.26
3,367.56,373.95,370.9,369.63,177.51,63.35,52.15,361.86,373.02,269.51,116.35,25.4,27.49,369.24
4,367.51,374.49,370.9,369.74,177.64,63.38,52.18,361.85,373.07,269.57,116.47,25.4,27.49,369.23
5,367.47,374.62,370.89,369.84,177.8,63.43,52.19,361.83,373.1,269.65,116.55,25.4,27.5,369.21
6,367.41,374.51,370.88,369.94,177.95,63.46,52.2,361.8,373.12,269.77,116.67,25.4,27.5,369.18
7,367.37,375,370.87,370.05,178.02,63.51,52.22,361.78,373.13,269.86,116.76,25.41,27.5,369.16
8,367.32,375.22,370.86,370.21,178.1,63.6,52.24,361.75,373.12,269.9,116.76,25.4,27.5,369.14
9,367.25,374.76,370.85,370.29,178.1,63.66,52.28,361.72,373.13,269.95,116.67,25.4,27.5,369.12
10,367.21,374.64,370.85,370.33,178,63.7,52.3,361.7,373.14,270.04,116.78,25.4,27.49,369.11
11,367.18,374.93,370.85,370.36,177.92,63.71,52.32,361.68,373.17,270.09,116.74,25.4,27.5,369.09
12,367.14,374.69,370.85,370.37,177.84,63.74,52.33,361.66,373.21,270.09,116.65,25.4,27.49,369.08
13,367.09,374.57,370.85,370.38,177.72,63.75,52.35,361.63,373.25,270.1,116.55,25.41,27.5,369.07
14,367.04,374.97,370.85,370.36,177.56,63.73,52.37,361.61,373.31,270.1,116.5,25.41,27.5,369.06
15,367,375.22,370.85,370.33,177.58,63.75,52.39,361.59,373.37,270.1,116.49,25.4,27.5,369.04
16,366.96,375.42,370.85,370.29,177.59,63.75,52.41,361.57,373.43,270.09,116.54,25.4,27.5,369.03
17,366.89,375.56,370.86,370.24,177.67,63.75,52.44,361.54,373.45,270.09,116.62,25.4,27.49,368.99
18,366.82,375.48,370.86,370.21,177.68,63.73,52.46,361.51,373.48,270.09,116.79,25.4,27.5,368.96
19,366.77,375.25,370.88,370.25,177.67,63.72,52.49,361.49,373.5,270.1,116.82,25.4,27.51,368.94
20,366.74,374.72,370.88,370.31,177.81,63.73,52.5,361.47,373.52,270.18,116.81,25.4,27.5,368.91
21,366.71,374.78,370.89,370.36,177.91,63.73,52.5,361.44,373.56,270.26,116.84,25.4,27.5,368.9
22,366.67,374.91,370.9,370.4,178.07,63.76,52.52,361.42,373.61,270.31,116.87,25.4,27.51,368.89
23,366.65,375.03,370.92,370.43,178.26,63.79,52.53,361.41,373.66,270.31,116.84,25.4,27.51,368.87
24,366.62,374.94,370.92,370.44,178.47,63.83,52.54,361.38,373.7,270.34,116.89,25.4,27.51,368.86
25,366.6,374.69,370.95,370.46,178.55,63.88,52.55,361.37,373.73,270.39,116.99,25.4,27.51,368.85
26,366.56,374.84,370.95,370.51,178.64,63.98,52.56,361.32,373.76,270.46,117.11,25.4,27.51,368.82
27,366.54,377.56,370.97,370.56,178.68,64.05,52.6,361.29,373.78,270.51,117.02,25.4,27.51,368.78
28,366.44,376.88,371.04,370.63,178.79,64.1,52.62,361.28,373.85,270.62,116.9,25.41,27.51,368.65
29,366.41,375.81,371.16,370.71,178.83,64.12,52.64,361.26,373.97,270.69,116.85,25.4,27.51,368.61
30,366.53,375.02,371.36,370.7,178.8,64.12,52.66,361.26,374.12,270.82,116.77,25.4,27.52,368.76
31,366.82,374.27,371.54,370.62,178.69,64.1,52.69,361.28,374.15,270.86,116.59,25.41,27.52,369.09
32,367.25,373.78,371.67,370.5,178.67,64.07,52.69,361.31,374.05,270.83,116.46,25.41,27.52,369.45
33,367.71,373.17,371.78,370.36,178.69,64.06,52.7,361.35,373.91,270.74,116.42,25.4,27.52,369.7
34,368.2,372.58,371.86,370.22,178.66,64.02,52.71,361.42,373.78,270.64,116.3,25.4,27.52,370.01
35,368.94,371.93,371.95,369.95,178.55,63.96,52.73,361.54,373.66,270.55,116.2,25.41,27.52,370.44
36,369.58,371.97,372.06,369.67,178.46,63.96,52.74,361.68,373.61,270.51,116.24,25.41,27.51,370.75
37,369.88,372.02,372.14,369.47,178.43,63.96,52.75,361.8,373.5,270.46,116.23,25.41,27.51,370.95
38,370.15,371.56,372.21,369.29,178.47,63.97,52.74,361.91,373.39,270.45,116.23,25.41,27.5,371.14
39,370.4,371.52,372.27,369.1,178.5,63.97,52.74,362.03,373.29,270.43,116.28,25.41,27.51,371.21
40,370.61,371.58,372.31,368.94,178.51,63.98,52.75,362.16,373.19,270.37,116.31,25.41,27.5,371.29
41,370.81,371.59,372.35,368.79,178.47,64,52.76,362.29,373.11,270.33,116.34,25.41,27.49,371.4
42,371.04,371.48,372.4,368.64,178.49,64.03,52.77,362.41,373.05,270.27,116.37,25.4,27.49,371.5
43,371.21,371.38,372.44,368.52,178.49,64.08,52.79,362.54,372.98,270.18,116.41,25.41,27.49,371.55
44,371.35,371.78,372.47,368.35,178.43,64.17,52.8,362.74,372.93,270.16,116.45,25.42,27.49,371.63
45,371.54,371.78,372.5,368.22,178.24,64.26,52.83,362.95,372.91,270.13,116.38,25.42,27.49,371.66
46,371.6,371.33,372.55,368.15,178.15,64.31,52.85,363.09,372.88,270.06,116.37,25.42,27.48,371.67
47,371.7,371.13,372.55,368.05,178.1,64.36,52.86,363.22,372.83,270,116.46,25.41,27.48,371.73
48,371.8,371.86,372.55,367.97,178.04,64.4,52.88,363.35,372.78,269.98,116.56,25.41,27.48,371.77
49,371.82,372.51,372.53,367.86,178.01,64.43,52.91,363.47,372.74,270.01,116.63,25.41,27.48,371.8
50,371.79,372.86,372.54,367.77,177.87,64.41,52.92,363.57,372.68,270.04,116.41,25.41,27.48,371.84
51,371.75,373.69,372.53,367.7,177.72,64.36,52.95,363.64,372.63,270.03,116.25,25.41,27.47,371.86
52,371.7,373.65,372.54,367.64,177.62,64.31,52.95,363.71,372.6,269.99,116.19,25.4,27.48,371.87
53,371.67,373.06,372.54,367.53,177.67,64.28,52.96,363.78,372.55,269.97,116.25,25.41,27.48,371.87
54,371.63,372.27,372.53,367.42,177.86,64.29,52.98,363.82,372.5,269.98,116.41,25.41,27.48,371.88
55,371.59,372.44,372.54,367.38,178.03,64.3,52.99,363.85,372.47,269.99,116.51,25.41,27.48,371.87
56,371.55,372.52,372.55,367.36,178.14,64.32,53,363.87,372.42,270.01,116.57,25.41,27.48,371.88
57,371.51,372.78,372.56,367.38,178.15,64.33,53.01,363.89,372.4,270.05,116.59,25.41,27.47,371.88
58,371.46,373.4,372.56,367.45,178.1,64.35,53.01,363.89,372.35,270.08,116.61,25.41,27.47,371.89
59,371.4,374,372.56,367.58,178.01,64.36,53.02,363.9,372.32,270.15,116.67,25.41,27.47,371.88
60,371.34,374.18,372.56,367.75,177.93,64.36,53.03,363.89,372.29,270.26,116.7,25.41,27.47,371.87
61,371.27,374.16,372.57,367.95,177.72,64.4,53.05,363.9,372.28,270.38,116.75,25.41,27.47,371.87
62,371.13,373.69,372.57,368.28,177.58,64.46,53.06,363.89,372.29,270.44,116.7,25.41,27.48,371.85
63,370.99,373.17,372.57,368.63,177.63,64.52,53.09,363.89,372.3,270.52,116.82,25.41,27.47,371.84
64,370.91,373.21,372.59,368.83,177.72,64.52,53.09,363.87,372.32,270.58,116.93,25.41,27.48,371.83
65,370.83,373.18,372.58,369,177.89,64.51,53.1,363.86,372.36,270.66,117.05,25.42,27.48,371.82
66,370.75,372.64,372.59,369.15,178,64.5,53.11,363.84,372.42,270.69,117.09,25.42,27.49,371.81
67,370.66,372.94,372.59,369.27,178.16,64.5,53.11,363.82,372.47,270.73,117.16,25.41,27.48,371.78
68,370.57,373.27,372.59,369.41,178.4,64.5,53.12,363.81,372.54,270.8,117.32,25.41,27.48,371.77
69,370.49,372.78,372.58,369.54,178.53,64.52,53.13,363.79,372.61,270.84,117.45,25.41,27.49,371.75
70,370.41,372.67,372.59,369.66,178.7,64.53,53.14,363.77,372.69,270.85,117.57,25.41,27.49,371.75
71,370.29,373.31,372.59,369.79,178.9,64.56,53.16,363.74,372.75,270.86,117.76,25.42,27.49,371.73
72,370.2,374.4,372.58,369.91,179.03,64.58,53.19,363.71,372.84,270.84,117.9,25.43,27.5,371.71
73,370.13,374.83,372.58,369.99,179.08,64.59,53.2,363.69,372.92,270.75,117.89,25.42,27.49,371.69
74,370.07,374.29,372.58,370.06,179.13,64.59,53.21,363.67,372.98,270.67,117.85,25.42,27.5,371.68
75,370.02,373.6,372.57,370.12,179.25,64.59,53.22,363.66,373.04,270.64,118.03,25.42,27.51,371.66
76,369.97,373.99,372.57,370.17,179.24,64.62,53.22,363.65,373.11,270.68,118.06,25.42,27.5,371.65
77,369.91,374.41,372.57,370.22,179.1,64.63,53.23,363.63,373.17,270.69,117.91,25.42,27.5,371.64
78,369.83,374.51,372.57,370.25,179,64.67,53.24,363.61,373.23,270.76,117.97,25.42,27.51,371.63
79,369.76,374.7,372.56,370.27,179.08,64.69,53.23,363.59,373.3,270.85,118.1,25.42,27.5,371.62
80,369.65,374.84,372.57,370.31,179.28,64.72,53.25,363.57,373.33,270.91,118.16,25.42,27.51,371.59
81,369.55,375.4,372.58,370.37,179.56,64.75,53.28,363.54,373.39,270.99,118.23,25.42,27.51,371.57
82,369.49,375.39,372.58,370.43,179.67,64.77,53.28,363.52,373.44,271.06,118.3,25.42,27.5,371.56
83,369.42,374.3,372.59,370.5,179.74,64.8,53.3,363.5,373.49,271.09,118.33,25.41,27.5,371.53
84,369.36,373.19,372.59,370.57,179.84,64.82,53.29,363.46,373.53,271.15,118.4,25.43,27.5,371.5
85,369.29,373.13,372.58,370.62,179.83,64.86,53.31,363.43,373.59,271.23,118.36,25.43,27.51,371.47
86,369.24,373.87,372.59,370.68,179.86,64.88,53.32,363.42,373.63,271.28,118.28,25.43,27.52,371.45
87,369.2,374.48,372.59,370.73,179.96,64.88,53.34,363.4,373.65,271.31,118.21,25.43,27.51,371.42
88,369.15,374.82,372.6,370.76,180.01,64.91,53.34,363.37,373.7,271.34,118.26,25.43,27.51,371.4
89,369.07,375.1,372.6,370.79,179.95,64.96,53.36,363.34,373.74,271.39,118.23,25.42,27.51,371.37
90,369,375.44,372.6,370.82,179.96,64.98,53.38,363.31,373.79,271.47,118.28,25.42,27.51,371.33
91,368.95,375.57,372.6,370.83,179.88,65.01,53.4,363.28,373.84,271.55,118.37,25.43,27.5,371.31
92,368.91,375.35,372.6,370.86,179.93,65.05,53.41,363.26,373.87,271.64,118.47,25.43,27.51,371.29
