Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,359.18,363.62,366.97,369.76,370.22,373.48,375.42,374.58,374.46,360.51
1,359.16,363.6,366.96,369.76,370.23,373.49,375.47,374.63,374.46,360.52
2,359.14,363.59,366.96,369.77,370.24,373.51,375.51,374.67,374.44,360.52
3,359.12,363.57,366.96,369.77,370.25,373.52,375.55,374.68,374.41,360.53
4,359.1,363.56,366.97,369.77,370.25,373.54,375.59,374.69,374.36,360.52
5,359.07,363.53,366.95,369.78,370.26,373.55,375.64,374.72,374.32,360.53
6,359.05,363.52,366.94,369.78,370.27,373.56,375.72,374.75,374.27,360.57
7,359.03,363.5,366.94,369.79,370.26,373.57,375.81,374.79,374.23,360.6
8,358.99,363.47,366.93,369.78,370.26,373.58,375.94,374.84,374.19,360.68
9,358.98,363.45,366.92,369.78,370.27,373.6,376.01,374.89,374.23,360.79
10,358.95,363.43,366.93,369.78,370.28,373.61,376.04,374.92,374.41,360.82
11,358.94,363.42,366.93,369.78,370.29,373.61,376.07,374.96,374.6,360.84
12,358.93,363.4,366.92,369.79,370.29,373.63,376.11,374.96,374.67,360.87
13,358.9,363.38,366.92,369.79,370.28,373.64,376.15,374.93,374.65,360.89
14,358.88,363.37,366.93,369.79,370.3,373.66,376.19,374.91,374.62,360.91
15,358.86,363.35,366.91,369.79,370.3,373.67,376.23,374.93,374.58,360.91
16,358.84,363.33,366.92,369.81,370.31,373.69,376.28,374.97,374.54,360.9
17,358.8,363.31,366.91,369.8,370.31,373.7,376.45,375.0,374.52,360.92
18,358.79,363.3,366.92,369.81,370.33,373.72,376.66,375.06,374.48,360.96
19,358.77,363.28,366.9,369.82,370.33,373.74,376.77,375.13,374.45,361.02
20,358.75,363.26,366.9,369.81,370.34,373.75,376.84,375.19,374.45,361.09
21,358.73,363.26,366.9,369.83,370.35,373.77,376.91,375.24,374.54,361.15
22,358.72,363.24,366.88,369.84,370.35,373.79,376.98,375.29,374.79,361.19
23,358.69,363.23,366.89,369.83,370.36,373.81,377.07,375.34,374.93,361.24
24,358.68,363.22,366.88,369.84,370.36,373.82,377.15,375.35,374.96,361.24
25,358.67,363.2,366.88,369.85,370.37,373.84,377.22,375.36,374.95,361.19
26,358.64,363.18,366.88,369.85,370.38,373.86,377.35,375.35,374.93,361.17
27,358.61,363.15,366.87,369.85,370.39,373.87,377.55,375.35,374.89,361.19
28,358.6,363.14,366.86,369.86,370.39,373.89,377.72,375.38,374.86,361.19
29,358.58,363.12,366.87,369.86,370.41,373.91,377.93,375.44,374.84,361.18
30,358.57,363.12,366.86,369.85,370.42,373.93,378.1,375.51,374.82,361.2
31,358.55,363.11,366.87,369.86,370.42,373.95,378.24,375.56,374.83,361.22
32,358.53,363.08,366.87,369.87,370.43,373.96,378.34,375.64,374.98,361.2
33,358.52,363.09,366.87,369.88,370.43,373.98,378.4,375.73,375.15,361.17
34,358.5,363.07,366.86,369.88,370.44,374.0,378.45,375.77,375.31,361.17
35,358.48,363.06,366.87,369.88,370.46,374.02,378.51,375.79,375.36,361.17
36,358.45,363.05,366.87,369.88,370.46,374.04,378.54,375.79,375.27,361.14
37,358.44,363.03,366.86,369.88,370.47,374.05,378.6,375.8,375.16,361.16
38,358.42,363.01,366.86,369.88,370.47,374.06,378.72,375.82,375.04,361.17
