Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,370.77,372.71,371.83,374.44,374.63,375.37,375.25,376.57,374.84,364.96
1,370.68,372.75,371.87,374.41,374.59,375.35,375.22,376.55,374.8,365.1
2,370.62,372.75,371.88,374.38,374.56,375.33,375.2,376.54,374.84,365.27
3,370.55,372.75,371.89,374.36,374.53,375.31,375.18,376.52,374.87,365.35
4,370.49,372.75,371.91,374.35,374.5,375.3,375.17,376.51,374.9,365.42
5,370.42,372.75,371.92,374.33,374.5,375.27,375.16,376.52,374.93,365.36
6,370.37,372.76,371.93,374.32,374.5,375.25,375.15,376.52,374.94,365.27
7,370.3,372.75,371.93,374.33,374.5,375.23,375.13,376.54,374.94,365.09
8,370.22,372.74,371.92,374.31,374.5,375.22,375.11,376.55,374.93,365.04
9,370.11,372.75,371.92,374.3,374.5,375.21,375.12,376.55,374.83,365.19
10,369.99,372.75,371.92,374.3,374.51,375.19,375.12,376.56,374.72,365.24
11,369.91,372.74,371.92,374.3,374.5,375.2,375.12,376.57,374.66,365.32
12,369.83,372.76,371.92,374.31,374.49,375.2,375.11,376.58,374.6,365.35
13,369.76,372.75,371.92,374.32,374.5,375.19,375.11,376.59,374.59,365.37
14,369.7,372.74,371.92,374.33,374.49,375.18,375.1,376.57,374.6,365.33
15,369.65,372.74,371.93,374.33,374.5,375.18,375.11,376.55,374.63,365.33
16,369.59,372.73,371.93,374.32,374.5,375.18,375.11,376.55,374.67,365.33
17,369.53,372.71,371.93,374.33,374.49,375.18,375.09,376.54,374.67,365.3
18,369.45,372.68,371.91,374.33,374.47,375.18,375.1,376.54,374.69,365.27
19,369.36,372.64,371.89,374.33,374.46,375.18,375.11,376.53,374.72,365.31
20,369.31,372.63,371.89,374.34,374.45,375.18,375.11,376.53,374.74,365.26
21,369.25,372.62,371.88,374.34,374.43,375.18,375.11,376.54,374.74,365.25
22,369.2,372.61,371.87,374.35,374.43,375.17,375.12,376.53,374.71,365.27
23,369.14,372.6,371.86,374.36,374.43,375.17,375.13,376.54,374.66,365.33
