Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,354.12,362.32,370.76,377.7,379.35,383.16,382.37,383.61,380.35,340.81
1,354.13,362.34,370.77,377.7,379.36,383.17,382.39,383.6,380.4,340.82
2,354.15,362.36,370.78,377.72,379.37,383.18,382.4,383.59,380.4,340.85
3,354.14,362.37,370.77,377.72,379.38,383.19,382.41,383.59,380.35,340.92
4,354.15,362.39,370.79,377.73,379.39,383.19,382.42,383.6,380.34,341.03
5,354.14,362.39,370.8,377.73,379.41,383.2,382.45,383.6,380.39,341.11
6,354.14,362.39,370.81,377.74,379.42,383.21,382.45,383.62,380.38,341.15
7,354.13,362.39,370.82,377.75,379.42,383.22,382.47,383.63,380.36,341.17
8,354.14,362.38,370.83,377.76,379.42,383.24,382.46,383.64,380.33,341.17
9,354.14,362.38,370.84,377.77,379.44,383.26,382.45,383.65,380.34,341.17
10,354.16,362.39,370.85,377.77,379.45,383.26,382.47,383.65,380.39,341.16
11,354.17,362.39,370.85,377.78,379.45,383.26,382.48,383.67,380.41,341.09
12,354.19,362.4,370.87,377.79,379.46,383.28,382.47,383.68,380.39,341.12
13,354.21,362.43,370.87,377.81,379.48,383.28,382.46,383.68,380.37,341.17
14,354.21,362.45,370.88,377.81,379.48,383.29,382.47,383.7,380.4,341.19
15,354.21,362.46,370.87,377.83,379.48,383.31,382.48,383.71,380.39,341.16
16,354.21,362.45,370.88,377.85,379.49,383.32,382.46,383.72,380.37,341.18
17,354.21,362.47,370.88,377.85,379.5,383.32,382.47,383.74,380.35,341.16
18,354.21,362.48,370.89,377.86,379.51,383.33,382.48,383.74,380.36,341.13
19,354.22,362.48,370.9,377.87,379.52,383.34,382.49,383.75,380.35,341.11
20,354.22,362.49,370.92,377.88,379.53,383.34,382.49,383.76,380.31,341.08
21,354.23,362.46,370.93,377.88,379.53,383.35,382.48,383.76,380.27,341.08
22,354.23,362.48,370.94,377.89,379.54,383.36,382.5,383.77,380.28,341.06
23,354.25,362.5,370.96,377.9,379.57,383.36,382.51,383.78,380.25,341.05
24,354.26,362.51,370.97,377.91,379.56,383.37,382.52,383.77,380.24,341.07
25,354.27,362.52,370.96,377.92,379.56,383.38,382.51,383.77,380.28,341.11
26,354.28,362.54,370.97,377.92,379.57,383.38,382.52,383.77,380.35,341.21
27,354.28,362.55,370.99,377.93,379.58,383.39,382.54,383.77,380.47,341.26
28,354.29,362.56,370.99,377.94,379.6,383.4,382.54,383.76,380.61,341.34
29,354.29,362.57,371.0,377.96,379.6,383.4,382.54,383.77,380.73,341.4
30,354.28,362.58,371.01,377.96,379.6,383.41,382.56,383.77,380.8,341.4
31,354.29,362.57,371.03,377.96,379.62,383.43,382.56,383.78,380.76,341.42
32,354.3,362.57,371.04,377.98,379.64,383.43,382.58,383.79,380.7,341.36
33,354.31,362.56,371.05,377.99,379.64,383.44,382.58,383.8,380.6,341.33
34,354.31,362.58,371.06,378.0,379.65,383.45,382.62,383.81,380.56,341.29
35,354.34,362.58,371.06,378.01,379.65,383.45,382.6,383.82,380.57,341.32
36,354.35,362.58,371.07,378.02,379.66,383.46,382.61,383.83,380.66,341.38
37,354.36,362.61,371.08,378.04,379.67,383.47,382.63,383.84,380.81,341.47
38,354.36,362.62,371.08,378.05,379.68,383.48,382.64,383.85,380.93,341.47
39,354.37,362.64,371.09,378.06,379.68,383.47,382.64,383.86,381.0,341.49
40,354.38,362.65,371.1,378.08,379.7,383.49,382.65,383.88,380.95,341.54
41,354.38,362.65,371.11,378.09,379.71,383.5,382.67,383.89,380.85,341.51
42,354.38,362.65,371.13,378.1,379.72,383.5,382.67,383.9,380.74,341.48
43,354.38,362.64,371.14,378.1,379.72,383.5,382.68,383.9,380.65,341.45
44,354.38,362.65,371.15,378.1,379.74,383.51,382.68,383.92,380.55,341.44
45,354.39,362.64,371.16,378.11,379.74,383.52,382.68,383.91,380.5,341.43
46,354.4,362.65,371.15,378.12,379.74,383.52,382.69,383.92,380.53,341.42
47,354.43,362.67,371.17,378.14,379.76,383.54,382.71,383.92,380.57,341.43
48,354.43,362.68,371.17,378.14,379.76,383.55,382.71,383.92,380.6,341.41
49,354.45,362.71,371.18,378.14,379.77,383.56,382.72,383.92,380.68,341.49
50,354.46,362.73,371.19,378.16,379.79,383.57,382.73,383.9,380.76,341.55
51,354.47,362.74,371.21,378.16,379.8,383.57,382.74,383.88,380.81,341.59
52,354.47,362.73,371.22,378.17,379.8,383.58,382.74,383.89,380.86,341.62
53,354.46,362.74,371.22,378.18,379.81,383.59,382.76,383.91,380.9,341.59
54,354.47,362.73,371.23,378.2,379.82,383.58,382.74,383.92,380.91,341.59
55,354.46,362.73,371.23,378.2,379.82,383.59,382.75,383.93,380.93,341.57
56,354.46,362.73,371.24,378.21,379.82,383.61,382.76,383.96,380.95,341.52
57,354.47,362.74,371.25,378.23,379.84,383.62,382.75,383.97,380.97,341.46
58,354.49,362.75,371.25,378.23,379.84,383.63,382.76,383.99,380.96,341.37
59,354.51,362.76,371.26,378.23,379.85,383.64,382.76,384.01,380.9,341.31
60,354.51,362.77,371.27,378.24,379.86,383.64,382.79,384.01,380.89,341.37
61,354.52,362.79,371.27,378.24,379.87,383.65,382.78,384.03,380.92,341.45
62,354.52,362.79,371.28,378.25,379.87,383.66,382.78,384.04,380.99,341.55
63,354.53,362.8,371.29,378.27,379.88,383.67,382.79,384.05,381.07,341.61
64,354.54,362.8,371.28,378.27,379.88,383.67,382.79,384.05,381.07,341.64
65,354.54,362.81,371.29,378.28,379.89,383.68,382.8,384.06,381.02,341.64
66,354.55,362.82,371.3,378.28,379.9,383.69,382.8,384.07,380.97,341.61
67,354.56,362.83,371.32,378.3,379.91,383.7,382.83,384.08,380.89,341.61
68,354.57,362.84,371.33,378.3,379.93,383.72,382.84,384.09,380.73,341.58
69,354.56,362.83,371.34,378.3,379.93,383.72,382.84,384.1,380.65,341.58
70,354.58,362.84,371.35,378.32,379.95,383.74,382.88,384.12,380.62,341.54
71,354.59,362.85,371.36,378.33,379.95,383.75,382.87,384.13,380.59,341.54
72,354.6,362.86,371.37,378.33,379.95,383.75,382.91,384.12,380.61,341.59
73,354.61,362.88,371.38,378.34,379.95,383.76,382.91,384.12,380.67,341.67
74,354.62,362.88,371.38,378.34,379.97,383.76,382.92,384.12,380.77,341.71
75,354.63,362.9,371.37,378.35,379.96,383.77,382.93,384.1,380.86,341.74
76,354.63,362.92,371.39,378.36,379.97,383.78,382.95,384.11,380.99,341.73
77,354.64,362.92,371.41,378.37,379.99,383.79,382.98,384.12,381.06,341.7
78,354.63,362.94,371.42,378.38,379.98,383.8,382.99,384.14,381.08,341.61
79,354.63,362.93,371.42,378.4,380.0,383.8,382.99,384.16,381.05,341.56
80,354.64,362.94,371.43,378.4,380.01,383.81,383.0,384.17,381.03,341.51
81,354.65,362.93,371.43,378.42,380.02,383.81,383.01,384.18,380.97,341.47
82,354.67,362.94,371.45,378.44,380.03,383.83,383.02,384.2,380.96,341.45
83,354.68,362.95,371.45,378.43,380.04,383.83,383.02,384.2,380.95,341.46
84,354.69,362.95,371.45,378.43,380.04,383.83,383.0,384.19,380.9,341.46
85,354.69,362.96,371.46,378.43,380.06,383.84,383.01,384.21,380.84,341.43
86,354.69,362.97,371.46,378.44,380.07,383.85,383.0,384.21,380.79,341.35
87,354.69,362.99,371.48,378.44,380.08,383.85,383.01,384.21,380.75,341.31
88,354.69,362.98,371.47,378.44,380.08,383.86,382.99,384.19,380.72,341.24
89,354.68,362.98,371.48,378.44,380.08,383.87,382.98,384.18,380.63,341.14
90,354.67,362.97,371.48,378.44,380.08,383.87,382.98,384.19,380.48,341.06
91,354.68,362.95,371.49,378.44,380.09,383.87,382.97,384.18,380.32,340.97
92,354.68,362.93,371.48,378.46,380.08,383.89,382.94,384.18,380.16,340.9
93,354.69,362.92,371.48,378.45,380.09,383.88,382.93,384.16,379.99,340.81
94,354.71,362.92,371.48,378.46,380.09,383.88,382.91,384.13,379.8,340.65
95,354.72,362.92,371.47,378.47,380.09,383.88,382.89,384.12,379.59,340.52
96,354.74,362.92,371.46,378.47,380.09,383.87,382.87,384.09,379.53,340.4
97,354.74,362.92,371.46,378.47,380.09,383.87,382.85,384.08,379.57,340.23
98,354.74,362.93,371.45,378.47,380.09,383.85,382.84,384.05,379.53,340.02
99,354.74,362.92,371.43,378.48,380.1,383.84,382.83,383.99,379.37,339.83
100,354.73,362.91,371.44,378.48,380.11,383.84,382.81,383.94,379.16,339.64
101,354.72,362.9,371.42,378.47,380.1,383.84,382.8,383.91,378.95,339.47
102,354.73,362.89,371.42,378.45,380.1,383.84,382.77,383.88,378.74,339.31
103,354.73,362.87,371.4,378.45,380.09,383.84,382.75,383.83,378.46,339.08
104,354.74,362.86,371.4,378.44,380.09,383.84,382.74,383.8,378.26,338.84
105,354.74,362.83,371.39,378.43,380.08,383.83,382.73,383.75,378.12,338.7
106,354.75,362.83,371.39,378.42,380.08,383.83,382.73,383.64,377.92,338.56
107,354.74,362.8,371.38,378.41,380.07,383.81,382.71,383.56,377.8,338.43
108,354.74,362.79,371.35,378.4,380.06,383.81,382.69,383.54,377.74,338.31
109,354.74,362.78,371.34,378.39,380.05,383.8,382.65,383.4,377.59,338.17
110,354.75,362.77,371.33,378.38,380.05,383.79,382.62,383.25,377.42,338.07
111,354.76,362.78,371.31,378.38,380.03,383.77,382.59,383.22,377.28,337.99
112,354.75,362.76,371.27,378.36,380.02,383.76,382.53,383.17,377.12,337.83
113,354.76,362.73,371.24,378.36,380.01,383.75,382.49,383.1,377.02,337.7
114,354.76,362.72,371.23,378.35,380.01,383.74,382.46,383.02,376.91,337.6
115,354.76,362.71,371.21,378.33,379.99,383.73,382.42,383.03,376.82,337.47
116,354.76,362.7,371.19,378.32,379.98,383.72,382.38,383.05,376.73,337.35
117,354.76,362.67,371.18,378.3,379.97,383.71,382.35,383.06,376.55,337.24
118,354.76,362.65,371.17,378.29,379.95,383.7,382.31,383.03,376.31,337.16
119,354.75,362.63,371.15,378.27,379.94,383.69,382.29,382.99,376.1,337.07
120,354.75,362.61,371.13,378.25,379.93,383.66,382.25,382.93,375.94,336.98
121,354.74,362.59,371.12,378.23,379.91,383.65,382.21,382.82,375.8,336.82
122,354.74,362.55,371.09,378.21,379.88,383.62,382.15,382.71,375.65,336.65
123,354.73,362.54,371.07,378.19,379.87,383.6,382.11,382.53,375.67,336.59
124,354.74,362.54,371.05,378.17,379.85,383.57,382.08,382.34,375.79,336.53
125,354.74,362.52,371.03,378.16,379.85,383.56,382.06,382.27,375.94,336.46
126,354.74,362.52,371.01,378.14,379.83,383.55,382.01,382.21,376.0,336.38
127,354.74,362.52,370.99,378.12,379.81,383.52,381.95,382.18,376.06,336.31
128,354.74,362.49,370.95,378.11,379.8,383.5,381.87,382.11,376.11,336.24
129,354.72,362.47,370.91,378.09,379.77,383.48,381.81,381.98,376.09,336.15
130,354.73,362.49,370.9,378.06,379.77,383.45,381.77,381.9,375.91,336.01
131,354.8,362.63,370.91,378.02,379.73,383.42,381.71,381.86,375.58,335.91
132,355.01,362.79,370.89,377.97,379.66,383.38,381.66,381.85,375.36,335.88
133,355.54,362.97,371.06,377.87,379.58,383.3,381.6,381.77,375.24,335.91
134,356.13,363.16,371.05,377.75,379.48,383.18,381.53,381.62,375.17,335.96
135,356.76,363.5,371.13,377.62,379.35,383.03,381.39,381.55,375.2,336.03
136,357.12,363.95,371.26,377.49,379.21,382.92,381.2,381.49,375.34,336.12
137,357.47,364.5,371.39,377.35,379.09,382.76,381.03,381.44,375.48,336.24
138,357.98,364.98,371.48,377.17,378.97,382.6,380.89,381.37,375.59,336.36
139,358.91,365.58,371.66,377.08,378.81,382.5,380.67,381.32,375.64,336.41
140,360.26,366.31,371.78,376.95,378.62,382.36,380.5,381.21,375.65,336.38
141,361.28,366.76,371.8,376.81,378.46,382.21,380.4,381.01,375.52,336.3
142,362.35,367.17,371.78,376.65,378.28,382.05,380.21,380.64,375.33,336.22
143,363.2,367.44,371.78,376.49,378.12,381.88,379.9,380.27,375.17,336.16
144,364.03,367.76,371.75,376.34,377.93,381.71,379.59,380.0,375.03,336.15
145,364.66,368.02,371.68,376.15,377.76,381.52,379.35,379.88,374.91,336.18
146,365.05,368.28,371.66,376.01,377.56,381.37,379.17,379.82,374.8,336.31
147,365.47,368.49,371.69,375.8,377.31,381.11,378.95,379.74,374.79,336.48
148,365.98,368.74,371.71,375.62,376.95,380.85,378.61,379.59,374.79,336.6
149,366.43,369.06,371.69,375.47,376.61,380.61,378.2,379.3,374.7,336.58
150,366.73,369.48,371.71,375.33,376.43,380.38,377.91,379.05,374.51,336.54
151,367.07,369.76,371.78,375.23,376.26,380.14,377.59,378.84,374.26,336.47
152,367.44,369.9,371.89,375.13,376.12,379.88,377.32,378.54,374.09,336.39
153,367.82,370.04,371.99,375.07,375.99,379.73,377.07,378.38,374.02,336.3
154,368.16,370.1,372.07,375.0,375.86,379.51,376.86,378.1,373.96,336.2
155,368.45,370.24,372.14,374.92,375.73,379.29,376.76,377.64,373.91,336.09
156,368.62,370.42,372.19,374.82,375.6,379.12,376.7,377.35,373.86,335.97
157,368.9,370.47,372.21,374.72,375.37,378.95,376.56,377.1,373.72,335.66
158,369.11,370.39,372.18,374.68,375.16,378.86,376.35,376.88,373.55,335.34
159,369.25,370.35,372.15,374.63,375.05,378.71,376.22,376.66,373.43,335.17
160,369.43,370.41,372.14,374.59,374.94,378.58,376.09,376.48,373.31,335.02
161,369.63,370.48,372.1,374.54,374.83,378.45,375.94,376.35,373.15,334.87
162,369.78,370.53,372.05,374.5,374.75,378.3,375.76,376.26,372.96,334.69
163,369.9,370.56,372.0,374.46,374.67,378.15,375.6,376.2,372.75,334.47
164,369.94,370.53,371.98,374.41,374.62,377.99,375.49,376.15,372.48,334.23
165,369.93,370.5,371.94,374.37,374.55,377.85,375.37,376.1,372.11,333.98
166,369.88,370.44,371.91,374.3,374.47,377.69,375.23,376.02,371.46,333.59
167,369.78,370.34,371.87,374.24,374.38,377.6,375.08,375.97,370.72,333.27
168,369.71,370.28,371.83,374.15,374.31,377.47,375.0,375.86,370.28,333.1
169,369.67,370.25,371.79,374.05,374.25,377.35,374.91,375.77,369.99,332.94
170,369.65,370.23,371.75,373.94,374.18,377.22,374.83,375.61,369.77,332.77
171,369.69,370.23,371.71,373.88,374.12,377.1,374.76,375.39,369.49,332.62
172,369.76,370.26,371.69,373.81,374.05,377.03,374.67,375.26,369.18,332.47
173,369.86,370.3,371.68,373.67,373.98,376.92,374.59,375.07,368.85,332.36
174,369.97,370.36,371.69,373.53,373.89,376.8,374.49,374.95,368.58,332.24
175,370.12,370.42,371.67,373.4,373.7,376.63,374.33,374.83,368.44,332.09
176,370.33,370.46,371.62,373.3,373.5,376.49,374.17,374.76,368.35,331.96
177,370.47,370.52,371.62,373.22,373.41,376.36,374.07,374.68,368.35,331.92
178,370.54,370.58,371.65,373.16,373.32,376.24,374.0,374.54,368.38,331.9
179,370.62,370.62,371.64,373.06,373.23,376.12,373.91,374.45,368.48,331.9
180,370.71,370.67,371.62,372.93,373.15,376.01,373.83,374.39,368.53,331.88
181,370.76,370.71,371.58,372.86,373.08,375.95,373.78,374.31,368.53,331.81
182,370.71,370.73,371.55,372.84,373.02,375.87,373.71,374.17,368.58,331.68
183,370.75,370.74,371.54,372.83,372.99,375.8,373.64,374.02,368.65,331.55
184,370.9,370.74,371.53,372.83,372.94,375.74,373.54,373.95,368.73,331.28
185,370.96,370.74,371.52,372.82,372.91,375.68,373.47,373.89,368.68,331.03
186,370.93,370.69,371.47,372.81,372.89,375.63,373.44,373.84,368.49,330.88
187,370.89,370.63,371.42,372.79,372.86,375.57,373.41,373.83,368.19,330.71
188,370.81,370.57,371.39,372.78,372.85,375.54,373.36,373.82,367.86,330.5
189,370.71,370.51,371.34,372.75,372.83,375.47,373.33,373.78,367.54,330.29
190,370.59,370.44,371.31,372.72,372.81,375.41,373.29,373.72,367.25,330.08
191,370.47,370.37,371.27,372.68,372.8,375.35,373.23,373.6,367.01,329.89
192,370.38,370.29,371.21,372.66,372.78,375.31,373.16,373.47,366.77,329.72
193,370.25,370.2,371.13,372.64,372.74,375.27,373.1,373.38,366.42,329.52
194,370.14,370.11,371.06,372.63,372.71,375.23,373.04,373.34,366.18,329.29
195,370.08,370.05,371.02,372.62,372.69,375.21,373.02,373.32,366.07,329.12
196,370.05,370.01,370.99,372.59,372.68,375.17,373.0,373.3,365.97,328.98
197,369.99,369.99,370.98,372.58,372.67,375.14,372.98,373.27,365.84,328.85
198,369.95,369.97,370.95,372.55,372.64,375.12,372.96,373.23,365.68,328.74
199,369.92,369.95,370.93,372.52,372.63,375.08,372.94,373.16,365.53,328.65
200,369.9,369.95,370.93,372.48,372.61,375.04,372.91,373.08,365.38,328.54
201,369.86,369.94,370.91,372.45,372.57,375.0,372.88,373.01,365.27,328.41
202,369.82,369.93,370.92,372.42,372.52,374.97,372.82,372.94,365.32,328.21
203,369.78,369.93,370.94,372.4,372.46,374.93,372.74,372.73,365.5,327.99
204,369.73,369.94,370.95,372.36,372.41,374.88,372.7,372.49,365.65,327.84
205,369.65,369.94,370.97,372.34,372.38,374.82,372.67,372.35,365.78,327.71
206,369.54,369.95,370.97,372.31,372.34,374.76,372.62,372.25,365.88,327.6
207,369.38,369.94,370.98,372.29,372.3,374.71,372.56,372.18,365.96,327.52
208,369.23,369.95,370.98,372.28,372.27,374.66,372.51,372.12,366.03,327.43
209,369.06,369.95,370.99,372.26,372.23,374.61,372.46,372.07,366.06,327.37
210,368.92,369.93,370.98,372.25,372.2,374.57,372.39,371.97,366.0,327.31
211,368.72,369.89,370.97,372.22,372.14,374.52,372.31,371.86,365.75,327.26
212,368.58,369.86,370.97,372.2,372.1,374.46,372.22,371.78,365.43,327.22
213,368.5,369.82,370.95,372.19,372.07,374.43,372.16,371.74,365.21,327.17
214,368.43,369.79,370.94,372.17,372.04,374.38,372.11,371.71,365.08,327.14
215,368.38,369.75,370.92,372.16,372.01,374.33,372.05,371.71,364.93,327.11
216,368.34,369.72,370.91,372.15,371.99,374.31,372.0,371.71,364.74,327.07
217,368.32,369.7,370.91,372.15,371.98,374.27,371.98,371.69,364.56,327.01
218,368.31,369.67,370.89,372.13,371.97,374.24,371.93,371.68,364.43,326.94
219,368.3,369.64,370.89,372.12,371.94,374.2,371.89,371.66,364.34,326.87
220,368.28,369.61,370.87,372.11,371.91,374.17,371.81,371.65,364.27,326.73
221,368.26,369.58,370.86,372.1,371.88,374.13,371.74,371.64,364.24,326.6
222,368.22,369.55,370.84,372.08,371.86,374.09,371.71,371.61,364.25,326.49
223,368.18,369.55,370.84,372.07,371.85,374.07,371.68,371.56,364.29,326.4
224,368.1,369.53,370.82,372.07,371.83,374.04,371.67,371.43,364.28,326.3
225,367.99,369.51,370.83,372.05,371.82,374.01,371.65,371.24,364.25,326.22
