Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,378.16,378.83,379.17,380.05,379.53,381.49,378.91,379.39,377.99,363.04
1,378.17,378.82,379.19,380.05,379.52,381.45,378.83,379.28,377.87,362.62
2,378.22,378.82,379.21,380.03,379.51,381.43,378.78,379.17,377.79,362.23
3,378.25,378.81,379.22,379.98,379.49,381.4,378.75,379.2,377.82,362.02
4,378.26,378.8,379.23,379.95,379.47,381.37,378.73,379.25,377.85,361.83
5,378.24,378.83,379.24,379.91,379.44,381.33,378.72,379.32,377.86,361.67
6,378.24,378.83,379.23,379.88,379.41,381.3,378.71,379.37,377.9,361.53
7,378.22,378.83,379.24,379.88,379.4,381.29,378.7,379.37,377.98,361.46
8,378.21,378.82,379.23,379.87,379.37,381.29,378.66,379.42,378.04,361.46
9,378.2,378.77,379.22,379.86,379.35,381.29,378.64,379.41,378.08,361.51
10,378.17,378.7,379.21,379.87,379.34,381.28,378.57,379.39,378.16,361.6
11,378.11,378.61,379.19,379.86,379.33,381.26,378.54,379.37,378.27,361.66
12,378.08,378.56,379.16,379.86,379.32,381.23,378.56,379.37,378.31,361.69
13,378.02,378.53,379.14,379.85,379.32,381.21,378.58,379.35,378.33,361.69
14,377.96,378.51,379.12,379.85,379.34,381.2,378.62,379.38,378.32,361.71
15,377.88,378.47,379.11,379.83,379.32,381.18,378.65,379.42,378.29,361.76
16,377.77,378.43,379.08,379.82,379.32,381.17,378.68,379.44,378.26,361.87
17,377.68,378.38,379.07,379.79,379.31,381.16,378.69,379.45,378.26,362.02
18,377.58,378.32,379.05,379.77,379.3,381.15,378.71,379.53,378.28,362.17
19,377.41,378.26,379.01,379.74,379.26,381.15,378.76,379.61,378.33,362.43
20,377.23,378.22,378.96,379.72,379.21,381.16,378.84,379.65,378.4,362.69
21,377.12,378.19,378.92,379.69,379.2,381.15,378.88,379.67,378.53,362.85
22,377.02,378.17,378.89,379.66,379.19,381.15,378.89,379.74,378.66,362.96
23,376.94,378.15,378.87,379.64,379.18,381.15,378.9,379.84,378.77,363.0
24,376.85,378.13,378.83,379.61,379.17,381.15,378.93,379.95,378.86,363.03
25,376.8,378.14,378.81,379.6,379.16,381.15,378.97,380.07,378.91,363.05
26,376.73,378.12,378.79,379.58,379.15,381.16,379.04,380.16,378.96,363.06
27,376.68,378.12,378.76,379.59,379.13,381.17,379.12,380.24,378.97,363.07
28,376.62,378.1,378.73,379.59,379.14,381.18,379.19,380.29,378.92,363.06
29,376.57,378.07,378.71,379.6,379.15,381.19,379.24,380.33,378.81,363.04
30,376.54,378.08,378.7,379.62,379.16,381.2,379.28,380.39,378.74,363.03
31,376.52,378.09,378.7,379.61,379.16,381.21,379.31,380.42,378.66,363.02
32,376.49,378.09,378.7,379.61,379.16,381.22,379.33,380.44,378.57,363.05
33,376.46,378.09,378.7,379.6,379.15,381.24,379.34,380.47,378.55,363.13
34,376.42,378.09,378.7,379.59,379.16,381.26,379.36,380.47,378.59,363.19
35,376.37,378.08,378.71,379.57,379.16,381.28,379.39,380.48,378.62,363.21
36,376.33,378.07,378.71,379.57,379.16,381.3,379.41,380.49,378.67,363.2
37,376.25,378.02,378.71,379.58,379.16,381.32,379.41,380.54,378.7,363.15
38,376.16,377.95,378.73,379.56,379.17,381.31,379.42,380.57,378.68,363.07
39,376.1,377.92,378.73,379.54,379.17,381.33,379.44,380.59,378.67,363.02
40,376.05,377.9,378.73,379.54,379.17,381.34,379.46,380.56,378.6,362.96
41,375.99,377.87,378.72,379.53,379.15,381.34,379.47,380.53,378.53,362.93
42,375.94,377.84,378.73,379.53,379.16,381.35,379.49,380.52,378.51,362.94
43,375.9,377.8,378.74,379.52,379.15,381.36,379.49,380.52,378.49,362.92
44,375.86,377.77,378.73,379.53,379.14,381.37,379.48,380.53,378.48,362.89
45,375.82,377.75,378.72,379.52,379.13,381.38,379.48,380.46,378.43,362.84
46,375.78,377.72,378.71,379.5,379.13,381.37,379.47,380.42,378.35,362.77
47,375.73,377.67,378.68,379.5,379.11,381.38,379.47,380.45,378.22,362.7
48,375.71,377.64,378.64,379.5,379.09,381.37,379.47,380.49,378.11,362.68
49,375.68,377.61,378.62,379.49,379.07,381.37,379.45,380.52,378.02,362.65
50,375.65,377.58,378.59,379.5,379.06,381.38,379.45,380.57,377.97,362.63
51,375.62,377.55,378.56,379.49,379.05,381.39,379.45,380.6,377.95,362.62
52,375.6,377.52,378.54,379.48,379.04,381.39,379.46,380.59,377.93,362.63
53,375.57,377.5,378.51,379.46,379.02,381.39,379.46,380.59,377.92,362.66
54,375.55,377.48,378.49,379.45,379.03,381.39,379.46,380.58,377.98,362.72
55,375.5,377.45,378.45,379.44,379.03,381.4,379.46,380.58,378.11,362.77
56,375.45,377.41,378.42,379.44,379.03,381.4,379.46,380.57,378.11,362.77
57,375.43,377.41,378.4,379.44,379.03,381.39,379.47,380.62,378.16,362.74
58,375.39,377.42,378.35,379.44,379.04,381.4,379.54,380.73,378.4,362.69
59,375.49,377.41,378.3,379.46,379.05,381.43,379.66,380.79,378.73,362.68
60,375.58,377.42,378.27,379.49,379.06,381.44,379.75,380.9,378.97,362.71
61,375.74,377.41,378.27,379.5,379.07,381.45,379.8,380.8,379.17,362.73
62,376.02,377.52,378.32,379.53,379.11,381.47,379.77,380.66,379.26,362.79
63,376.31,377.62,378.37,379.58,379.12,381.49,379.73,380.63,379.29,362.87
64,376.73,377.82,378.49,379.62,379.19,381.52,379.72,380.6,379.31,363.13
65,377.13,378.05,378.59,379.67,379.26,381.55,379.73,380.56,379.25,363.4
66,377.35,378.15,378.65,379.72,379.31,381.58,379.73,380.52,379.17,363.55
67,377.55,378.22,378.7,379.79,379.35,381.62,379.73,380.47,379.09,363.69
68,377.72,378.29,378.76,379.83,379.4,381.65,379.74,380.43,379.02,363.81
69,377.89,378.41,378.84,379.9,379.47,381.69,379.75,380.46,378.99,363.92
70,378.02,378.53,378.92,380.0,379.53,381.73,379.79,380.48,378.98,364.0
71,378.12,378.61,379.0,380.09,379.6,381.78,379.82,380.47,378.91,364.09
72,378.23,378.74,379.08,380.19,379.66,381.82,379.83,380.38,378.86,364.17
73,378.42,378.88,379.19,380.26,379.75,381.85,379.79,380.36,378.77,364.27
74,378.57,379.0,379.3,380.31,379.82,381.88,379.78,380.37,378.68,364.37
75,378.64,379.07,379.37,380.37,379.87,381.91,379.81,380.35,378.64,364.43
76,378.74,379.14,379.43,380.45,379.92,381.93,379.79,380.3,378.51,364.45
77,378.85,379.23,379.51,380.49,379.95,381.94,379.79,380.33,378.4,364.47
78,378.95,379.33,379.57,380.56,379.99,381.97,379.77,380.33,378.37,364.47
79,379.07,379.44,379.63,380.61,380.03,381.98,379.75,380.3,378.36,364.47
80,379.18,379.53,379.71,380.67,380.07,382.01,379.74,380.28,378.45,364.48
81,379.3,379.58,379.78,380.75,380.12,382.03,379.75,380.24,378.45,364.49
82,379.46,379.64,379.89,380.79,380.18,382.05,379.7,380.25,378.46,364.51
83,379.58,379.75,379.97,380.83,380.22,382.08,379.7,380.26,378.47,364.49
84,379.59,379.8,380.01,380.84,380.24,382.08,379.7,380.22,378.49,364.45
85,379.6,379.82,380.05,380.86,380.25,382.09,379.69,380.21,378.52,364.36
86,379.58,379.82,380.07,380.88,380.26,382.11,379.65,380.18,378.49,364.25
