Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,368.63,370.63,372.5,373.83,373.44,375.6,373.05,373.95,372.71,381.49,357.74
1,368.57,370.62,372.48,373.78,373.4,375.57,373.04,374.01,372.77,381.45,357.78
2,368.51,370.6,372.46,373.73,373.35,375.54,373.01,374.02,372.88,381.55,357.81
3,368.42,370.56,372.42,373.71,373.32,375.51,372.99,374.02,373.0,381.16,357.86
4,368.33,370.52,372.39,373.68,373.27,375.5,372.96,374.0,373.23,380.86,357.94
5,368.25,370.47,372.35,373.63,373.23,375.46,372.95,373.93,373.38,380.79,358.03
6,368.21,370.44,372.34,373.59,373.21,375.44,372.93,373.88,373.41,380.32,358.09
7,368.15,370.39,372.31,373.55,373.17,375.42,372.91,373.84,373.39,380.29,358.12
8,368.1,370.35,372.29,373.52,373.14,375.4,372.9,373.81,373.35,380.41,358.11
9,368.04,370.3,372.25,373.48,373.12,375.38,372.88,373.75,373.29,380.62,358.11
10,368.0,370.26,372.23,373.44,373.09,375.36,372.87,373.69,373.24,380.97,358.1
11,367.96,370.22,372.2,373.43,373.08,375.35,372.86,373.66,373.19,380.84,358.13
12,367.93,370.18,372.17,373.42,373.06,375.35,372.87,373.64,373.15,380.6,358.15
13,367.89,370.15,372.15,373.4,373.05,375.33,372.85,373.63,373.08,380.68,358.18
14,367.85,370.13,372.12,373.39,373.02,375.33,372.85,373.64,373.0,380.97,358.25
15,367.83,370.12,372.12,373.38,373.02,375.33,372.86,373.64,372.97,381.19,358.33
16,367.8,370.11,372.1,373.38,373.01,375.32,372.85,373.65,372.99,381.31,358.41
17,367.79,370.1,372.08,373.36,373.0,375.3,372.85,373.66,373.02,382.2,358.47
18,367.76,370.09,372.06,373.36,372.97,375.28,372.84,373.67,373.06,381.46,358.5
19,367.73,370.06,372.05,373.35,372.96,375.27,372.84,373.67,373.09,381.04,358.54
20,367.69,370.04,372.04,373.34,372.96,375.25,372.83,373.68,373.14,381.47,358.57
21,367.62,370.0,372.01,373.33,372.94,375.23,372.82,373.7,373.25,381.92,358.55
22,367.55,369.95,371.99,373.32,372.91,375.21,372.81,373.7,373.36,381.74,358.46
23,367.5,369.92,371.97,373.31,372.91,375.2,372.79,373.7,373.41,381.61,358.38
24,367.43,369.89,371.96,373.29,372.89,375.19,372.79,373.7,373.42,381.6,358.37
25,367.4,369.86,371.94,373.28,372.88,375.18,372.79,373.72,373.36,381.41,358.43
26,367.35,369.83,371.92,373.28,372.87,375.18,372.78,373.74,373.3,381.38,358.5
27,367.32,369.8,371.9,373.28,372.86,375.17,372.78,373.75,373.3,381.65,358.62
28,367.29,369.77,371.88,373.27,372.86,375.18,372.77,373.77,373.32,382.45,358.71
29,367.25,369.74,371.85,373.27,372.84,375.16,372.77,373.79,373.36,381.69,358.81
30,367.23,369.73,371.84,373.27,372.85,375.16,372.77,373.82,373.42,381.07,358.91
31,367.17,369.69,371.82,373.26,372.84,375.13,372.77,373.82,373.52,380.95,359.02
32,367.13,369.67,371.79,373.25,372.85,375.14,372.76,373.84,373.59,380.94,359.08
33,367.09,369.64,371.77,373.25,372.85,375.13,372.75,373.88,373.58,381.02,359.09
34,367.04,369.61,371.75,373.23,372.83,375.11,372.74,373.91,373.57,381.57,359.08
35,367.0,369.58,371.74,373.22,372.83,375.1,372.74,373.94,373.54,381.6,359.08
36,366.96,369.56,371.73,373.2,372.83,375.09,372.74,373.96,373.51,381.21,359.13
37,366.93,369.53,371.72,373.18,372.82,375.09,372.74,373.98,373.49,380.97,359.19
38,366.9,369.51,371.71,373.17,372.83,375.08,372.76,374.01,373.51,381.04,359.23
39,366.86,369.47,371.69,373.16,372.81,375.08,372.77,374.01,373.6,382.11,359.22
40,366.8,369.43,371.68,373.15,372.81,375.09,372.79,374.01,373.75,382.35,359.22
41,366.76,369.39,371.67,373.13,372.82,375.1,372.82,373.99,373.9,381.45,359.27
42,366.73,369.37,371.66,373.13,372.81,375.11,372.83,373.95,373.94,381.26,359.29
43,366.69,369.34,371.65,373.13,372.81,375.11,372.84,373.92,373.93,381.55,359.31
44,366.67,369.31,371.65,373.12,372.8,375.11,372.84,373.91,373.92,381.77,359.33
45,366.64,369.3,371.63,373.1,372.81,375.12,372.84,373.89,373.91,381.37,359.33
46,366.61,369.27,371.62,373.08,372.79,375.13,372.84,373.88,373.89,381.14,359.33
47,366.59,369.25,371.61,373.07,372.79,375.14,372.84,373.88,373.84,382.41,359.33
48,366.55,369.21,371.59,373.05,372.78,375.15,372.85,373.88,373.77,382.6,359.34
49,366.48,369.19,371.57,373.04,372.77,375.16,372.84,373.92,373.82,382.03,359.34
50,366.4,369.19,371.57,373.02,372.77,375.17,372.84,373.96,373.94,382.11,359.35
51,366.34,369.24,371.57,373.02,372.78,375.16,372.86,374.0,374.07,381.78,359.38
52,366.35,369.26,371.58,373.04,372.79,375.15,372.87,374.12,374.25,380.6,359.42
53,366.4,369.25,371.59,373.07,372.79,375.16,372.91,374.31,374.51,379.4,359.48
54,366.47,369.25,371.63,373.12,372.84,375.21,373.11,374.71,374.68,379.18,359.5
55,366.64,369.43,371.68,373.19,372.92,375.29,373.39,374.82,374.74,378.51,359.5
56,366.89,369.51,371.74,373.26,373.02,375.36,373.48,374.73,374.7,379.08,359.46
57,367.22,369.56,371.85,373.36,373.12,375.43,373.55,374.59,374.58,378.4,359.44
58,367.62,369.86,371.98,373.44,373.23,375.49,373.57,374.57,374.4,378.5,359.37
59,367.96,370.27,372.17,373.49,373.31,375.51,373.56,374.5,374.2,378.15,359.33
60,368.14,370.49,372.34,373.58,373.35,375.51,373.55,374.48,374.06,377.99,359.36
61,368.35,370.56,372.49,373.67,373.35,375.53,373.49,374.41,373.95,378.09,359.37
62,368.48,370.63,372.61,373.76,373.34,375.53,373.37,374.31,373.81,377.56,359.35
63,368.69,370.76,372.73,373.81,373.34,375.53,373.27,374.25,373.69,377.64,359.33
64,368.9,370.87,372.82,373.86,373.33,375.54,373.2,374.27,373.58,376.36,359.33
