Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,367.91,370.3,371.72,372.75,372.17,374.54,372.06,372.92,373.39,365.5,355.27
1,367.89,370.28,371.71,372.73,372.16,374.54,372.06,372.93,373.49,365.49,355.29
2,367.85,370.25,371.69,372.73,372.15,374.54,372.05,372.94,373.6,365.47,355.3
3,367.82,370.22,371.67,372.71,372.14,374.53,372.05,372.97,373.71,365.46,355.36
4,367.77,370.18,371.65,372.7,372.12,374.53,372.05,372.99,373.78,365.48,355.43
5,367.74,370.15,371.64,372.68,372.12,374.52,372.06,373.0,373.87,365.54,355.49
6,367.7,370.13,371.62,372.68,372.12,374.53,372.07,373.03,373.94,365.62,355.58
7,367.67,370.09,371.61,372.67,372.11,374.53,372.07,373.04,373.99,365.71,355.7
8,367.62,370.06,371.59,372.66,372.1,374.53,372.07,373.07,374.1,365.77,355.81
9,367.59,370.03,371.59,372.66,372.1,374.53,372.08,373.1,374.19,365.81,355.93
10,367.55,370.01,371.57,372.66,372.1,374.54,372.08,373.13,374.19,365.9,356.01
11,367.53,369.98,371.57,372.65,372.1,374.55,372.1,373.15,374.12,365.95,356.08
12,367.49,369.94,371.55,372.65,372.1,374.55,372.11,373.19,374.17,365.95,356.19
13,367.45,369.9,371.53,372.64,372.1,374.55,372.12,373.21,374.21,365.95,356.28
14,367.43,369.88,371.52,372.64,372.1,374.56,372.12,373.25,374.22,365.97,356.28
15,367.4,369.85,371.51,372.64,372.09,374.55,372.13,373.29,374.18,365.98,356.25
16,367.37,369.82,371.49,372.63,372.09,374.56,372.14,373.3,374.14,365.97,356.24
17,367.34,369.78,371.48,372.64,372.08,374.56,372.14,373.34,374.17,365.94,356.21
18,367.3,369.77,371.46,372.63,372.09,374.57,372.14,373.35,374.19,365.93,356.24
19,367.27,369.75,371.45,372.63,372.09,374.57,372.14,373.37,374.21,365.97,356.3
20,367.24,369.72,371.44,372.63,372.09,374.58,372.15,373.38,374.23,366.01,356.36
21,367.19,369.69,371.42,372.63,372.09,374.57,372.16,373.41,374.29,366.06,356.48
22,367.14,369.66,371.4,372.62,372.08,374.58,372.15,373.45,374.31,366.1,356.57
23,367.1,369.64,371.38,372.62,372.08,374.59,372.16,373.46,374.38,366.1,356.61
24,367.06,369.6,371.38,372.62,372.07,374.59,372.16,373.48,374.47,366.06,356.63
25,367.03,369.58,371.35,372.61,372.07,374.59,372.17,373.51,374.54,366.03,356.64
26,366.99,369.56,371.35,372.61,372.08,374.59,372.18,373.52,374.56,365.98,356.59
27,366.97,369.53,371.35,372.61,372.08,374.59,372.2,373.55,374.54,365.91,356.53
