Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,378.08,385.96,370.96,206.17,135.06,88.55,68.61,55.65,41.7,22.89,38.11
1,378.08,385.96,371.02,206.09,135.06,88.55,68.64,55.66,41.67,22.84,38.1
2,378.07,385.96,371.11,205.98,135.04,88.55,68.69,55.7,41.65,22.95,38.1
3,378.07,385.96,371.18,205.83,135.01,88.55,68.72,55.74,41.66,22.83,38.09
4,378.06,385.97,371.15,205.69,134.99,88.56,68.73,55.77,41.68,22.88,38.1
5,378.06,386.02,371.15,205.7,134.99,88.58,68.72,55.81,41.72,22.85,38.09
6,378.06,386.05,371.18,205.74,134.99,88.59,68.77,55.83,41.77,22.79,38.09
7,378.06,386.09,371.27,205.74,134.97,88.6,68.83,55.82,41.78,22.85,38.08
8,378.07,386.12,371.37,205.77,134.98,88.61,68.85,55.77,41.76,22.81,38.08
9,378.06,386.13,371.47,205.73,134.96,88.63,68.9,55.71,41.74,22.69,38.09
10,378.06,386.14,371.58,205.61,134.93,88.64,68.95,55.69,41.74,22.69,38.1
11,378.07,386.14,371.67,205.5,134.92,88.66,68.93,55.65,41.72,22.57,38.09
12,378.04,386.14,371.7,205.35,134.9,88.68,68.95,55.62,41.7,22.69,38.1
13,378.05,386.18,371.74,205.37,134.9,88.7,68.98,55.6,41.67,22.71,38.09
14,378.05,386.2,371.78,205.51,134.89,88.73,69.01,55.63,41.64,22.87,38.08
15,378.04,386.23,371.89,205.54,134.88,88.75,69.02,55.61,41.62,22.77,38.08
16,378.05,386.26,372.04,205.48,134.84,88.76,69.04,55.61,41.63,22.7,38.07
17,378.07,386.28,372.11,205.41,134.79,88.77,69.12,55.71,41.65,22.67,38.07
18,378.06,386.29,372.09,205.55,134.75,88.79,69.21,55.86,41.71,22.72,38.08
19,378.06,386.33,372.08,205.68,134.73,88.8,69.25,55.91,41.77,22.6,38.08
20,378.05,386.37,372.03,205.81,134.73,88.82,69.27,55.92,41.8,22.55,38.09
21,378.05,386.41,371.99,205.84,134.73,88.82,69.24,55.91,41.83,22.51,38.1
22,378.05,386.44,371.98,205.83,134.75,88.83,69.23,55.9,41.85,22.57,38.12
23,378.05,386.45,371.96,205.72,134.76,88.82,69.23,55.96,41.87,22.64,38.14
24,378.07,386.44,371.86,205.65,134.7,88.8,69.28,56.02,41.9,22.6,38.15
25,378.06,386.46,371.75,205.64,134.6,88.78,69.32,56.09,42.02,22.59,38.19
26,378.06,386.48,371.72,205.7,134.55,88.76,69.31,56.16,42.12,22.47,38.21
27,378.07,386.5,371.69,205.94,134.54,88.77,69.31,56.26,42.21,22.57,38.22
28,378.07,386.5,371.65,206.16,134.51,88.79,69.31,56.27,42.24,22.73,38.27
29,378.09,386.51,371.62,206.29,134.53,88.78,69.3,56.21,42.22,22.67,38.28
30,378.08,386.5,371.59,206.32,134.53,88.79,69.34,56.21,42.21,22.86,38.31
31,378.08,386.51,371.55,206.24,134.51,88.78,69.37,56.23,42.19,22.83,38.32
32,378.07,386.5,371.53,206.17,134.45,88.76,69.38,56.26,42.18,22.79,38.33
33,378.07,386.51,371.56,206.14,134.31,88.73,69.39,56.28,42.2,22.72,38.36
34,378.08,386.52,371.66,206.11,134.19,88.7,69.39,56.29,42.2,22.75,38.36
35,378.08,386.52,371.74,206.02,134.11,88.68,69.42,56.32,42.24,22.74,38.39
36,378.09,386.53,371.76,205.93,134.04,88.66,69.45,56.37,42.29,22.71,38.41
37,378.09,386.53,371.68,205.97,134.0,88.65,69.5,56.48,42.34,22.92,38.44
38,378.08,386.54,371.63,206.13,134.01,88.66,69.58,56.63,42.41,22.82,38.47
39,378.07,386.55,371.59,206.4,134.06,88.68,69.66,56.79,42.5,22.79,38.49
40,378.07,386.58,371.59,206.72,134.14,88.72,69.76,56.91,42.62,22.68,38.52
41,378.07,386.6,371.58,206.97,134.21,88.75,69.91,57.04,42.75,22.99,38.58
42,378.08,386.63,371.7,207.15,134.25,88.77,70.05,57.13,42.91,22.91,38.66
43,378.08,386.65,371.68,207.32,134.33,88.79,70.08,57.18,43.0,22.97,38.71
44,378.07,386.66,371.71,207.65,134.42,88.82,70.12,57.3,43.1,22.95,38.74
45,378.07,386.69,371.79,207.97,134.54,88.87,70.14,57.42,43.21,22.94,38.8
46,378.08,386.73,371.87,208.26,134.67,88.93,70.14,57.5,43.31,22.93,38.85
47,378.08,386.77,371.9,208.45,134.75,88.99,70.21,57.58,43.4,22.91,38.91
48,378.07,386.79,371.93,208.5,134.8,89.0,70.26,57.53,43.47,22.78,38.96
49,378.07,386.8,371.96,208.49,134.8,88.99,70.3,57.48,43.53,22.9,39.01
50,378.07,386.82,372.01,208.46,134.79,88.98,70.32,57.45,43.55,22.85,39.05
51,378.07,386.84,372.08,208.4,134.71,88.94,70.27,57.37,43.57,22.85,39.12
52,378.08,386.85,372.22,208.28,134.59,88.9,70.16,57.24,43.54,22.93,39.18
53,378.08,386.87,372.32,208.21,134.52,88.87,70.1,57.16,43.5,22.97,39.2
54,378.08,386.89,372.43,208.13,134.46,88.86,70.07,57.12,43.47,22.87,39.22
55,378.07,386.91,372.56,207.99,134.43,88.86,70.01,57.04,43.42,22.88,39.26
56,378.08,386.94,372.69,207.92,134.44,88.86,69.94,56.93,43.37,22.79,39.29
57,378.08,386.96,372.77,207.93,134.46,88.87,69.85,56.83,43.29,22.73,39.3
58,378.1,386.98,372.74,208.0,134.5,88.87,69.76,56.68,43.21,22.81,39.31
59,378.09,386.99,372.67,208.09,134.57,88.87,69.66,56.53,43.12,22.9,39.31
60,378.08,387.01,372.6,208.17,134.68,88.86,69.55,56.41,43.0,22.79,39.31
61,378.08,387.03,372.57,208.2,134.78,88.86,69.51,56.32,42.88,22.86,39.29
62,378.09,387.04,372.55,208.24,134.85,88.87,69.5,56.37,42.86,22.9,39.29
63,378.09,387.04,372.5,208.19,134.87,88.89,69.47,56.41,42.84,23.01,39.28
