Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,372.77,376.7,357.17,192.69,119.95,77.79,62.37,52.55,43.14,24.13,40.54
1,372.74,376.71,357.22,192.87,119.99,77.76,62.31,52.45,43.09,24.25,40.51
2,372.7,376.72,357.29,193.01,120.02,77.75,62.23,52.38,43.05,24.34,40.48
3,372.66,376.75,357.41,193.08,120.05,77.75,62.13,52.35,43.05,24.16,40.4
4,372.63,376.79,357.52,193.1,120.07,77.7,62.02,52.31,43.1,24.24,40.41
5,372.62,376.82,357.62,193.09,120.07,77.66,61.95,52.26,43.09,24.2,40.4
6,372.6,376.85,357.72,193.05,120.06,77.62,61.9,52.19,43.07,24.43,40.39
7,372.58,376.88,357.86,193.07,120.04,77.58,61.86,52.11,43.04,24.44,40.39
8,372.57,376.91,357.9,193.04,120.0,77.52,61.81,52.08,43.06,24.46,40.37
9,372.54,376.91,357.86,192.94,119.94,77.47,61.72,52.07,43.06,24.5,40.38
10,372.5,376.92,357.85,192.78,119.9,77.42,61.64,52.04,43.05,24.67,40.38
11,372.48,376.95,357.82,192.59,119.84,77.37,61.55,51.98,43.02,24.66,40.37
12,372.46,376.98,357.81,192.46,119.74,77.33,61.43,51.94,42.96,24.74,40.37
13,372.45,377.02,357.87,192.28,119.63,77.28,61.33,51.9,42.91,24.78,40.36
14,372.42,377.04,357.91,192.19,119.53,77.22,61.24,51.87,42.88,24.78,40.36
15,372.4,377.04,357.92,192.14,119.44,77.17,61.21,51.83,42.87,24.79,40.32
16,372.39,377.06,357.95,192.11,119.34,77.13,61.15,51.82,42.86,24.82,40.35
17,372.36,377.08,357.93,192.1,119.25,77.09,61.13,51.81,42.87,24.79,40.37
18,372.36,377.11,357.99,192.04,119.19,77.04,61.11,51.82,42.86,24.74,40.39
19,372.33,377.13,358.06,191.97,119.1,76.99,61.09,51.86,42.87,24.85,40.38
20,372.32,377.13,358.13,191.98,119.02,76.96,61.1,51.95,42.86,24.4,40.35
21,372.3,377.15,358.14,191.96,118.9,76.92,61.14,52.1,42.91,24.58,40.35
22,372.27,377.18,358.08,191.86,118.78,76.9,61.23,52.19,42.99,24.38,40.37
23,372.27,377.2,358.04,191.83,118.74,76.87,61.26,52.26,43.04,24.14,40.38
24,372.27,377.22,358.05,191.81,118.7,76.87,61.3,52.31,43.09,24.17,40.4
25,372.24,377.22,358.13,191.68,118.66,76.85,61.33,52.29,43.1,24.35,40.42
26,372.24,377.23,358.22,191.55,118.62,76.81,61.34,52.22,43.08,24.47,40.42
27,372.22,377.23,358.26,191.58,118.62,76.78,61.33,52.11,43.06,24.53,40.42
28,372.19,377.24,358.24,191.7,118.6,76.75,61.28,52.01,43.0,24.88,40.41
29,372.18,377.24,358.32,191.79,118.59,76.72,61.29,51.99,42.98,25.03,40.4
30,372.17,377.26,358.41,191.88,118.58,76.69,61.23,52.02,42.96,25.21,40.39
31,372.14,377.29,358.47,191.95,118.58,76.68,61.2,52.07,42.98,26.2,40.38
32,372.13,377.31,358.55,192.12,118.63,76.67,61.21,52.14,43.03,25.63,40.39
33,372.1,377.35,358.58,192.28,118.72,76.68,61.24,52.22,43.08,27.12,40.38
34,372.09,377.37,358.55,192.54,118.81,76.72,61.35,52.35,43.14,26.33,40.39
35,372.08,377.4,358.53,192.8,118.93,76.77,61.42,52.46,43.18,25.82,40.39
36,372.05,377.44,358.5,193.05,119.04,76.83,61.47,52.57,43.23,26.25,40.39
37,372.03,377.46,358.52,193.26,119.15,76.89,61.5,52.65,43.27,25.27,40.4
38,372.03,377.48,358.55,193.5,119.28,76.96,61.53,52.7,43.32,25.68,40.4
39,372.0,377.48,358.63,193.69,119.42,77.03,61.61,52.69,43.36,24.35,40.4
40,371.97,377.49,358.82,193.8,119.52,77.07,61.71,52.62,43.36,24.47,40.51
41,371.96,377.51,358.93,193.94,119.61,77.11,61.76,52.57,43.35,24.45,40.45
42,371.95,377.51,358.97,194.1,119.71,77.18,61.82,52.56,43.36,24.54,40.47
43,371.94,377.53,359.04,194.24,119.81,77.24,61.87,52.59,43.36,24.47,40.47
44,371.93,377.54,359.13,194.29,119.91,77.28,61.88,52.54,43.36,24.17,40.48
45,371.92,377.57,359.22,194.37,120.02,77.31,61.86,52.45,43.34,24.46,40.49
46,371.91,377.59,359.29,194.46,120.12,77.33,61.84,52.35,43.29,24.31,40.49
47,371.89,377.59,359.33,194.42,120.2,77.34,61.81,52.28,43.22,24.22,40.48
48,371.86,377.63,359.31,194.36,120.31,77.36,61.81,52.3,43.18,24.61,40.47
49,371.84,377.66,359.22,194.39,120.4,77.39,61.87,52.35,43.22,24.82,40.48
50,371.83,377.67,359.24,194.45,120.45,77.42,61.89,52.35,43.26,24.77,40.48
51,371.82,377.7,359.35,194.58,120.49,77.43,61.87,52.37,43.32,24.9,40.55
52,371.79,377.72,359.49,194.6,120.51,77.45,61.91,52.47,43.4,24.8,40.53
53,371.78,377.73,359.52,194.63,120.53,77.45,61.95,52.6,43.47,24.79,40.56
54,371.78,377.75,359.6,194.7,120.56,77.47,62.03,52.69,43.55,24.86,40.59
55,371.77,377.77,359.77,194.86,120.65,77.51,62.1,52.76,43.63,24.72,40.64
56,371.75,377.79,359.86,195.03,120.72,77.56,62.16,52.82,43.65,24.73,40.75
57,371.75,377.82,359.86,195.05,120.83,77.61,62.23,52.84,43.69,24.74,40.73
58,371.74,377.85,359.88,195.06,120.95,77.63,62.27,52.78,43.68,24.78,40.79
59,371.73,377.88,359.92,195.13,121.01,77.65,62.28,52.73,43.65,24.8,40.82
60,371.73,377.91,360.05,195.21,121.07,77.65,62.27,52.67,43.61,24.74,40.84
61,371.73,377.93,360.22,195.3,121.12,77.63,62.24,52.55,43.57,24.63,40.86
62,371.72,377.95,360.37,195.34,121.13,77.61,62.19,52.48,43.53,24.83,40.83
63,371.71,377.97,360.44,195.32,121.15,77.58,62.14,52.44,43.51,24.99,40.85
64,371.71,377.98,360.49,195.23,121.13,77.57,62.08,52.49,43.52,24.75,40.84
65,371.69,378.01,360.52,195.05,121.11,77.55,62.1,52.51,43.54,24.8,40.86
66,371.68,378.03,360.53,194.87,121.04,77.55,62.06,52.52,43.55,24.37,40.9
67,371.66,378.09,360.58,194.76,121.0,77.55,62.07,52.53,43.58,24.96,40.89
68,371.65,378.1,360.65,194.75,120.99,77.56,62.06,52.49,43.57,24.87,40.9
69,371.64,378.12,360.7,194.77,120.95,77.56,62.02,52.4,43.54,24.77,40.89
70,371.62,378.16,360.75,194.72,120.91,77.56,62.02,52.39,43.52,24.93,40.88
71,371.62,378.18,360.8,194.65,120.84,77.54,61.95,52.38,43.49,24.69,40.88
72,371.61,378.2,360.84,194.61,120.8,77.52,61.9,52.29,43.45,24.69,40.87
73,371.6,378.24,360.88,194.6,120.75,77.49,61.83,52.21,43.38,24.89,40.83
74,371.58,378.26,360.96,194.58,120.69,77.46,61.76,52.1,43.31,24.74,40.81
75,371.55,378.3,361.03,194.56,120.6,77.41,61.65,52.03,43.18,24.89,40.75
76,371.54,378.34,361.02,194.56,120.56,77.38,61.58,51.96,43.1,24.92,40.72
77,371.58,378.37,361.03,194.49,120.53,77.32,61.48,51.91,43.06,24.98,40.7
78,371.54,378.4,361.02,194.42,120.47,77.28,61.41,51.83,43.02,24.89,40.67
79,371.54,378.4,361.03,194.39,120.42,77.23,61.33,51.77,42.99,24.68,40.64
80,371.53,378.41,361.05,194.36,120.38,77.18,61.27,51.73,43.01,24.74,40.63
81,371.52,378.42,360.99,194.35,120.33,77.15,61.18,51.77,43.03,24.8,40.62
82,371.51,378.44,361.01,194.27,120.3,77.1,61.19,51.79,43.08,24.76,40.6
83,371.52,378.47,361.06,194.19,120.25,77.06,61.13,51.74,43.06,24.82,40.59
84,371.5,378.52,361.19,194.05,120.16,77.02,61.04,51.66,43.02,24.64,40.6
85,371.5,378.58,361.17,193.93,120.06,76.95,60.93,51.55,42.93,24.77,40.58
86,371.49,378.63,361.08,193.91,120.0,76.91,60.86,51.44,42.87,24.96,40.56
87,371.48,378.68,360.99,193.94,119.95,76.84,60.77,51.36,42.81,25.15,40.53
88,371.47,378.73,361.03,193.9,119.87,76.79,60.69,51.3,42.79,24.88,40.49
89,371.47,378.76,361.13,193.86,119.8,76.73,60.62,51.26,42.77,24.65,40.47
90,371.46,378.78,361.21,193.86,119.74,76.65,60.58,51.2,42.76,24.79,40.45
91,371.48,378.8,361.25,193.89,119.69,76.59,60.52,51.12,42.73,24.6,40.43
92,371.47,378.81,361.17,193.83,119.66,76.53,60.46,51.1,42.7,24.59,40.41
93,371.45,378.87,361.2,193.76,119.62,76.49,60.43,51.05,42.67,24.58,40.36
94,371.44,378.91,361.32,193.74,119.59,76.44,60.33,51.04,42.64,24.63,40.38
95,371.44,378.94,361.34,193.69,119.55,76.39,60.31,51.08,42.64,24.4,40.37
96,371.45,378.95,361.41,193.69,119.53,76.38,60.31,51.05,42.62,24.46,40.35
97,371.45,378.97,361.46,193.66,119.48,76.33,60.23,51.0,42.59,24.57,40.34
98,371.46,379.0,361.47,193.53,119.43,76.27,60.17,50.94,42.56,24.78,40.34
99,371.46,379.04,361.49,193.4,119.36,76.22,60.13,50.94,42.51,25.94,40.29
100,371.45,379.11,361.59,193.21,119.28,76.18,60.15,51.07,42.49,25.68,40.27
101,371.46,379.16,361.71,193.1,119.21,76.15,60.19,51.14,42.53,26.31,40.27
102,371.46,379.2,361.9,193.04,119.1,76.11,60.23,51.14,42.57,25.2,40.27
103,371.5,379.22,362.19,193.02,119.0,76.08,60.25,51.14,42.59,24.95,40.29
104,371.48,379.27,362.38,193.03,118.95,76.06,60.23,51.1,42.59,25.06,40.31
105,371.46,379.3,362.5,193.11,118.9,76.03,60.21,51.03,42.56,24.54,40.27
106,371.45,379.35,362.62,193.25,118.85,75.98,60.19,50.95,42.53,24.57,40.26
107,371.46,379.39,362.68,193.39,118.81,75.93,60.17,50.87,42.49,24.37,40.26
108,371.46,379.41,362.78,193.5,118.77,75.89,60.13,50.86,42.46,24.31,40.24
109,371.47,379.43,362.88,193.55,118.72,75.84,60.09,50.91,42.46,24.49,40.24
110,371.44,379.46,362.97,193.59,118.67,75.8,60.07,50.98,42.49,24.36,40.25
111,371.44,379.52,363.03,193.54,118.59,75.76,60.05,51.07,42.58,24.5,40.25
112,371.45,379.56,362.99,193.53,118.54,75.71,60.05,51.16,42.71,24.44,40.27
113,371.45,379.58,363.0,193.63,118.54,75.69,60.01,51.18,42.81,24.5,40.27
114,371.46,379.6,363.04,193.74,118.53,75.65,60.01,51.15,42.86,24.39,40.28
115,371.46,379.62,363.02,193.83,118.52,75.61,60.0,51.1,42.88,24.5,40.28
116,371.46,379.65,363.05,193.92,118.49,75.57,60.01,51.15,42.91,24.44,40.29
117,371.46,379.69,363.16,193.96,118.44,75.54,60.02,51.24,42.91,24.44,40.31
118,371.47,379.74,363.19,193.95,118.4,75.5,60.01,51.28,42.91,24.43,40.31
119,371.47,379.79,363.27,193.95,118.37,75.47,60.05,51.23,42.88,25.06,40.31
120,371.44,379.83,363.35,193.98,118.31,75.42,60.05,51.18,42.85,24.48,40.31
121,371.44,379.89,363.34,193.89,118.25,75.38,60.05,51.22,42.85,24.52,40.34
122,371.44,379.92,363.32,193.68,118.2,75.33,60.02,51.22,42.86,24.55,40.35
123,371.45,379.95,363.34,193.61,118.18,75.32,60.0,51.18,42.86,24.72,40.37
124,371.44,379.96,363.32,193.67,118.17,75.3,59.98,51.18,42.89,24.64,40.37
125,371.44,379.98,363.28,193.87,118.22,75.29,60.03,51.3,42.95,24.75,40.4
126,371.44,379.99,363.3,194.07,118.31,75.3,60.02,51.41,43.02,24.96,40.38
127,371.45,380.03,363.3,194.29,118.44,75.33,60.08,51.52,43.11,24.77,40.42
