Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,366.83,369.37,347.35,195.57,129.84,86.74,68.15,57.25,45.39,371.29,41.87
1,366.8,369.4,347.4,195.43,129.81,86.71,68.15,57.23,45.4,371.01,41.88
2,366.75,369.41,347.46,195.31,129.76,86.69,68.18,57.22,45.41,371.47,41.9
3,366.71,369.42,347.54,195.26,129.67,86.67,68.21,57.23,45.44,372.01,41.92
4,366.68,369.44,347.57,195.22,129.6,86.64,68.25,57.3,45.47,372.42,41.94
5,366.65,369.46,347.58,195.24,129.5,86.61,68.26,57.37,45.51,372.36,41.96
6,366.6,369.46,347.59,195.29,129.4,86.58,68.23,57.4,45.56,372.19,41.99
7,366.53,369.46,347.57,195.35,129.24,86.53,68.18,57.39,45.58,371.93,42.01
8,366.46,369.44,347.47,195.38,129.08,86.49,68.14,57.31,45.55,371.86,42.03
9,366.42,369.42,347.4,195.36,129.01,86.45,68.11,57.26,45.55,371.94,42.04
10,366.37,369.4,347.36,195.33,128.95,86.43,68.1,57.26,45.56,371.97,42.05
11,366.34,369.38,347.36,195.21,128.87,86.38,68.13,57.27,45.56,371.86,42.08
12,366.3,369.36,347.37,195.09,128.84,86.36,68.09,57.21,45.59,371.66,42.1
13,366.28,369.35,347.38,194.86,128.82,86.31,68.01,57.14,45.57,371.64,42.13
14,366.24,369.34,347.37,194.6,128.81,86.26,67.96,57.16,45.59,371.76,42.15
15,366.2,369.33,347.43,194.47,128.8,86.25,68.01,57.21,45.62,371.84,42.17
16,366.15,369.31,347.44,194.38,128.79,86.24,68.14,57.33,45.69,371.63,42.22
17,366.09,369.3,347.44,194.33,128.8,86.23,68.28,57.45,45.8,371.34,42.27
18,366.07,369.31,347.46,194.44,128.83,86.25,68.3,57.6,45.87,370.94,42.31
19,366.03,369.31,347.52,194.54,128.86,86.27,68.31,57.69,45.92,370.85,42.34
20,366.0,369.31,347.6,194.51,128.89,86.28,68.29,57.66,45.95,371.09,42.37
21,365.97,369.33,347.68,194.47,128.91,86.29,68.32,57.69,45.98,371.7,42.4
22,365.95,369.33,347.77,194.5,128.92,86.29,68.39,57.75,46.01,371.53,42.43
23,365.92,369.36,347.89,194.51,128.91,86.29,68.46,57.77,46.05,371.45,42.47
24,365.89,369.36,348.0,194.5,128.86,86.29,68.49,57.77,46.07,371.22,42.49
25,365.87,369.39,348.19,194.43,128.74,86.25,68.54,57.74,46.11,371.59,42.53
26,365.85,369.43,348.33,194.41,128.6,86.2,68.54,57.7,46.12,372.22,42.56
27,365.84,369.47,348.39,194.48,128.54,86.15,68.53,57.66,46.15,372.5,42.6
28,365.82,369.49,348.48,194.49,128.47,86.1,68.45,57.61,46.17,371.99,42.63
29,365.8,369.5,348.52,194.42,128.44,86.06,68.4,57.55,46.17,371.44,42.66
30,365.79,369.53,348.6,194.25,128.42,86.04,68.35,57.48,46.15,370.85,42.68
31,365.78,369.56,348.73,194.07,128.4,86.0,68.27,57.4,46.1,370.52,42.7
32,365.76,369.58,348.88,193.78,128.4,85.98,68.22,57.32,46.04,370.67,42.71
33,365.74,369.6,348.98,193.52,128.39,85.96,68.17,57.3,45.98,371.09,42.73
34,365.72,369.64,349.12,193.37,128.38,85.96,68.19,57.35,45.97,370.82,42.74
35,365.7,369.66,349.26,193.3,128.31,85.93,68.25,57.37,45.99,370.34,42.77
36,365.67,369.68,349.32,193.29,128.23,85.92,68.26,57.36,46.01,370.34,42.78
37,365.65,369.69,349.37,193.33,128.18,85.88,68.27,57.38,46.03,370.47,42.79
38,365.63,369.7,349.4,193.48,128.15,85.86,68.15,57.43,46.05,370.77,42.79
39,365.61,369.72,349.37,193.73,128.15,85.85,68.01,57.42,46.04,371.2,42.79
40,365.59,369.72,349.33,193.98,128.14,85.85,67.84,57.41,46.05,371.57,42.79
41,365.56,369.71,349.31,194.17,128.14,85.84,67.75,57.39,46.05,371.68,42.79
42,365.54,369.73,349.33,194.3,128.15,85.82,67.67,57.32,46.06,371.78,42.8
43,365.5,369.73,349.21,194.27,128.15,85.81,67.51,57.28,46.03,372.0,42.8
44,365.45,369.72,349.1,194.09,128.12,85.79,67.45,57.25,46.02,372.05,42.81
45,365.43,369.71,349.05,193.81,128.05,85.76,67.44,57.23,46.02,371.97,42.83
46,365.41,369.72,349.02,193.57,127.95,85.71,67.45,57.2,46.02,371.66,42.83
47,365.37,369.71,348.96,193.36,127.84,85.64,67.46,57.17,46.0,371.41,42.83
48,365.34,369.71,348.92,193.15,127.71,85.58,67.48,57.17,46.03,371.76,42.84
49,365.31,369.72,348.91,192.97,127.58,85.51,67.48,57.18,46.04,372.07,42.86
50,365.29,369.74,348.94,192.81,127.46,85.45,67.48,57.18,46.07,372.05,42.87
51,365.25,369.73,348.95,192.65,127.37,85.41,67.46,57.23,46.08,371.48,42.88
52,365.22,369.73,348.92,192.59,127.26,85.38,67.51,57.26,46.13,370.98,42.91
53,365.21,369.74,348.98,192.51,127.2,85.35,67.59,57.29,46.17,370.45,42.95
54,365.2,369.77,349.02,192.47,127.16,85.34,67.62,57.33,46.21,370.57,42.97
55,365.19,369.79,349.1,192.41,127.12,85.31,67.67,57.37,46.25,371.69,43.0
56,365.17,369.82,349.18,192.37,127.08,85.28,67.69,57.37,46.29,372.25,43.02
57,365.16,369.86,349.23,192.39,127.06,85.26,67.7,57.38,46.34,371.98,43.06
58,365.16,369.88,349.29,192.43,127.06,85.24,67.72,57.41,46.38,371.62,43.09
59,365.16,369.9,349.31,192.51,127.1,85.25,67.79,57.44,46.44,371.45,43.12
60,365.15,369.94,349.36,192.54,127.14,85.26,67.84,57.41,46.47,371.4,43.14
61,365.14,369.98,349.53,192.48,127.22,85.27,67.8,57.31,46.45,371.54,43.18
62,365.14,370.03,349.62,192.47,127.28,85.27,67.77,57.31,46.42,371.36,43.2
63,365.13,370.04,349.66,192.38,127.3,85.26,67.71,57.29,46.38,371.12,43.22
64,365.12,370.06,349.7,192.14,127.28,85.24,67.63,57.2,46.31,370.74,43.23
65,365.11,370.08,349.76,191.9,127.27,85.21,67.59,57.18,46.28,369.83,43.23
66,365.09,370.1,349.85,191.78,127.24,85.2,67.59,57.17,46.23,369.55,43.22
67,365.08,370.11,349.92,191.61,127.2,85.17,67.58,57.12,46.18,369.75,43.22
68,365.06,370.12,349.97,191.46,127.15,85.14,67.5,57.03,46.1,369.81,43.21
69,365.05,370.14,350.0,191.24,127.08,85.11,67.41,56.97,46.02,369.71,43.19
70,365.02,370.17,350.04,191.0,127.0,85.08,67.32,56.94,45.93,368.99,43.15
71,365.0,370.19,350.08,190.84,126.94,85.07,67.32,56.95,45.87,368.54,43.1
72,364.97,370.2,350.07,190.65,126.89,85.05,67.34,56.98,45.87,368.55,43.08
73,364.97,370.21,350.08,190.53,126.85,85.05,67.37,57.01,45.9,368.93,43.09
74,364.94,370.53,350.06,190.54,126.82,85.05,67.37,57.06,45.93,369.71,43.05
75,364.89,372.5,350.09,190.66,126.82,85.05,67.38,57.17,45.96,370.44,43.04
76,364.75,371.74,350.21,190.74,126.81,85.07,67.41,57.2,46.0,369.6,43.04
77,364.6,371.18,350.26,190.84,126.82,85.09,67.46,57.32,46.05,369.74,43.04
78,364.49,370.83,350.57,191.01,126.85,85.14,67.64,57.5,46.11,369.61,43.04
79,365.05,370.62,350.98,191.25,126.92,85.21,67.8,57.65,46.27,368.69,43.07
80,366.12,370.81,351.19,191.42,127.03,85.25,67.9,57.66,46.43,368.06,43.13
81,366.43,370.91,351.2,191.66,127.1,85.3,67.97,57.67,46.49,367.59,43.16
82,366.6,370.82,351.01,191.84,127.15,85.35,67.97,57.65,46.48,367.19,43.19
83,366.82,370.62,350.85,192.04,127.22,85.4,67.99,57.62,46.45,366.79,43.21
84,367.1,370.28,350.77,192.22,127.3,85.44,68.03,57.65,46.48,366.16,43.23
85,367.39,369.96,350.69,192.3,127.37,85.46,68.03,57.6,46.49,366.26,43.26
86,367.75,369.72,350.61,192.43,127.44,85.49,68.04,57.58,46.51,366.03,43.28
87,368.05,369.52,350.57,192.57,127.49,85.52,68.06,57.6,46.54,365.44,43.3
88,368.38,369.3,350.57,192.69,127.58,85.55,68.09,57.57,46.52,364.96,43.33
89,368.59,369.09,350.56,192.86,127.68,85.58,68.17,57.69,46.51,365.62,43.34
90,368.66,368.93,350.54,193.06,127.76,85.63,68.25,57.9,46.5,365.49,43.36
91,368.69,368.77,350.5,193.2,127.84,85.67,68.37,58.12,46.49,365.21,43.36
92,368.72,368.64,350.42,193.35,127.91,85.71,68.41,58.08,46.44,365.64,43.37
93,368.74,368.55,350.37,193.53,127.95,85.74,68.44,58.03,46.39,365.84,43.36
94,368.71,368.47,350.29,193.7,128.01,85.77,68.52,58.02,46.32,365.68,43.35
95,368.7,368.37,350.23,193.9,128.06,85.82,68.6,58.05,46.27,365.37,43.34
96,368.68,368.28,350.18,194.1,128.12,85.88,68.7,58.13,46.28,365.14,43.33
97,368.66,368.13,350.04,194.27,128.24,85.96,68.86,58.28,46.33,364.79,43.34
98,368.72,367.94,349.9,194.54,128.41,86.03,69.06,58.39,46.44,364.83,43.34
99,368.68,367.85,349.82,194.73,128.53,86.1,69.18,58.49,46.56,364.64,43.36
100,368.62,367.76,349.82,194.97,128.68,86.19,69.28,58.62,46.64,364.91,43.37
101,368.57,367.67,349.73,195.24,128.83,86.29,69.44,58.75,46.73,364.95,43.4
102,368.5,367.57,349.64,195.46,128.99,86.4,69.6,58.91,46.83,365.25,43.44
103,368.43,367.5,349.58,195.64,129.15,86.5,69.73,58.99,46.91,365.62,43.47
104,368.35,367.41,349.61,195.86,129.28,86.58,69.81,58.94,46.97,365.28,43.51
105,368.31,367.34,349.65,196.09,129.41,86.67,69.83,58.9,46.97,365.33,43.54
106,368.22,367.25,349.71,196.25,129.62,86.74,69.84,58.88,46.97,365.43,43.58
107,368.16,367.16,349.7,196.49,129.83,86.83,69.87,58.84,46.94,364.98,43.61
108,368.14,367.12,349.68,196.67,129.97,86.92,69.91,58.77,46.92,364.42,43.67
109,368.11,367.07,349.66,196.84,130.11,87.01,69.96,58.79,46.91,364.17,43.65
110,368.07,367.02,349.66,197.0,130.25,87.1,69.98,58.84,46.87,364.37,43.66
111,368.01,366.96,349.64,197.16,130.37,87.18,70.02,58.85,46.83,364.29,43.67
112,367.94,366.88,349.58,197.37,130.5,87.28,70.12,58.92,46.82,364.51,43.66
113,367.89,366.81,349.52,197.58,130.65,87.39,70.26,58.99,46.81,366.18,43.66
114,367.86,366.73,349.49,197.77,130.79,87.49,70.35,59.03,46.79,366.93,43.68
115,367.78,366.64,349.44,197.9,131.03,87.56,70.48,59.06,46.79,366.01,43.69
116,367.7,366.61,349.42,198.1,131.21,87.67,70.63,59.16,46.86,366.9,43.71
117,367.65,366.57,349.4,198.23,131.26,87.76,70.74,59.29,46.93,370.1,43.74
118,367.61,366.55,349.44,198.32,131.32,87.83,70.79,59.34,47.0,372.15,43.74
119,367.55,366.54,349.52,198.3,131.37,87.89,70.76,59.29,47.03,374.25,43.76
120,367.49,366.56,349.61,198.19,131.43,87.93,70.71,59.23,47.05,374.96,43.78
121,367.43,366.55,349.66,198.05,131.47,87.98,70.65,59.23,47.04,375.0,43.79
122,367.39,366.56,349.68,197.98,131.52,88.01,70.64,59.25,47.06,374.06,43.81
123,367.34,366.56,349.72,197.92,131.58,88.07,70.66,59.33,47.09,374.01,43.83
124,367.28,366.57,349.99,197.92,131.59,88.12,70.71,59.4,47.16,375.03,43.86
125,367.23,366.6,350.2,198.04,131.55,88.16,70.74,59.46,47.25,375.17,43.89
