Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,362.41,364.18,363.19,365.15,364.94,365.47,365.43,367.16,365.92,354.83
1,362.37,364.17,363.19,365.14,364.93,365.47,365.43,367.16,365.93,354.89
2,362.32,364.14,363.17,365.14,364.94,365.47,365.45,367.17,365.99,354.83
3,362.28,364.13,363.16,365.14,364.94,365.48,365.46,367.19,366.04,354.9
4,362.25,364.11,363.14,365.13,364.94,365.47,365.47,367.2,366.08,354.97
5,362.23,364.1,363.13,365.14,364.93,365.48,365.48,367.22,366.09,355.01
6,362.19,364.08,363.12,365.13,364.94,365.48,365.49,367.23,366.12,355.06
7,362.16,364.07,363.11,365.14,364.93,365.48,365.49,367.24,366.15,355.0
8,362.14,364.05,363.1,365.15,364.93,365.47,365.5,367.25,366.16,354.86
9,362.12,364.03,363.09,365.13,364.93,365.48,365.5,367.26,366.18,354.91
10,362.08,364.01,363.08,365.14,364.93,365.48,365.51,367.28,366.19,354.91
11,362.04,363.98,363.06,365.13,364.92,365.48,365.52,367.3,366.19,354.75
12,362.02,363.97,363.06,365.13,364.93,365.47,365.53,367.31,366.21,354.69
13,362.0,363.96,363.06,365.12,364.94,365.48,365.55,367.34,366.24,354.65
14,361.98,363.94,363.04,365.12,364.94,365.48,365.56,367.36,366.24,354.69
15,361.95,363.92,363.03,365.12,364.93,365.48,365.56,367.38,366.23,354.73
16,361.92,363.91,363.03,365.12,364.93,365.49,365.57,367.41,366.23,354.83
17,361.9,363.9,363.02,365.12,364.93,365.49,365.6,367.44,366.23,354.86
18,361.87,363.86,363.0,365.11,364.93,365.49,365.61,367.46,366.22,354.85
19,361.84,363.85,363.0,365.11,364.92,365.49,365.61,367.48,366.23,354.92
20,361.81,363.83,362.98,365.11,364.93,365.5,365.63,367.5,366.25,354.92
21,361.77,363.8,362.97,365.11,364.92,365.5,365.65,367.53,366.28,355.07
22,361.74,363.79,362.96,365.11,364.92,365.5,365.66,367.55,366.31,355.17
23,361.72,363.76,362.95,365.1,364.92,365.5,365.66,367.57,366.34,355.07
24,361.69,363.75,362.95,365.1,364.93,365.5,365.67,367.59,366.38,354.92
25,361.68,363.74,362.94,365.09,364.93,365.5,365.68,367.62,366.43,354.89
26,361.64,363.73,362.93,365.09,364.93,365.5,365.69,367.65,366.48,354.91
27,361.61,363.71,362.92,365.09,364.93,365.51,365.69,367.69,366.48,354.92
28,361.56,363.69,362.91,365.09,364.92,365.5,365.71,367.71,366.49,355.0
29,361.53,363.67,362.89,365.09,364.92,365.51,365.7,367.73,366.5,355.05
30,361.5,363.65,362.87,365.09,364.91,365.51,365.71,367.75,366.49,355.09
31,361.47,363.65,362.87,365.09,364.92,365.51,365.71,367.76,366.53,355.21
32,361.46,363.63,362.86,365.08,364.92,365.51,365.74,367.78,366.55,355.28
33,361.42,363.61,362.85,365.09,364.93,365.51,365.74,367.8,366.57,355.27
34,361.41,363.6,362.84,365.1,364.92,365.52,365.74,367.82,366.58,355.33
35,361.38,363.58,362.84,365.1,364.93,365.54,365.75,367.84,366.6,355.31
