Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,359.82,364.74,367.96,370.09,370.04,372.48,370.49,371.86,371.13,356.89
1,359.79,364.71,367.96,370.08,370.04,372.47,370.5,371.85,371.14,356.88
2,359.77,364.68,367.95,370.08,370.03,372.48,370.52,371.84,371.17,356.89
3,359.75,364.65,367.93,370.08,370.03,372.47,370.52,371.84,371.17,356.91
4,359.72,364.64,367.92,370.08,370.02,372.47,370.52,371.86,371.15,356.95
5,359.71,364.61,367.92,370.08,370.01,372.46,370.51,371.87,371.12,356.98
6,359.69,364.59,367.91,370.08,370.02,372.47,370.52,371.88,371.13,356.97
7,359.67,364.58,367.9,370.07,370.02,372.48,370.54,371.89,371.16,356.97
8,359.66,364.57,367.89,370.06,370.02,372.46,370.56,371.88,371.19,356.95
9,359.63,364.54,367.88,370.06,370.01,372.46,370.58,371.86,371.24,356.88
10,359.6,364.5,367.86,370.06,370.01,372.47,370.57,371.87,371.3,356.79
11,359.58,364.49,367.84,370.05,370.0,372.47,370.56,371.88,371.34,356.76
12,359.55,364.47,367.84,370.05,369.99,372.47,370.55,371.87,371.36,356.75
13,359.54,364.45,367.83,370.05,370.0,372.47,370.55,371.84,371.37,356.77
14,359.52,364.44,367.81,370.05,369.99,372.48,370.54,371.83,371.38,356.8
15,359.51,364.41,367.82,370.05,369.99,372.48,370.54,371.86,371.41,356.84
16,359.49,364.4,367.8,370.05,369.99,372.48,370.52,371.88,371.43,356.87
17,359.47,364.38,367.79,370.05,369.98,372.48,370.53,371.88,371.45,356.9
18,359.44,364.34,367.78,370.03,369.98,372.48,370.52,371.86,371.43,356.91
19,359.42,364.31,367.77,370.04,369.98,372.49,370.53,371.85,371.38,356.91
20,359.41,364.28,367.77,370.03,369.98,372.48,370.53,371.85,371.32,356.89
21,359.39,364.26,367.76,370.03,369.98,372.49,370.54,371.88,371.19,356.88
22,359.38,364.24,367.75,370.02,369.98,372.49,370.56,371.91,371.1,356.85
23,359.37,364.23,367.75,370.03,369.97,372.49,370.57,371.94,371.05,356.83
24,359.36,364.21,367.74,370.02,369.97,372.48,370.57,371.99,371.04,356.83
25,359.33,364.19,367.73,370.01,369.96,372.48,370.58,372.04,371.06,356.84
26,359.32,364.18,367.72,370.01,369.97,372.49,370.57,372.1,371.12,356.88
27,359.3,364.16,367.71,370.01,369.96,372.48,370.59,372.11,371.19,356.97
28,359.27,364.13,367.71,370.03,369.97,372.49,370.6,372.08,371.24,357.04
29,359.25,364.13,367.68,370.0,369.96,372.49,370.61,372.05,371.25,357.06
30,359.23,364.11,367.67,370.0,369.96,372.49,370.62,372.04,371.24,357.05
31,359.23,364.1,367.66,370.0,369.97,372.49,370.62,372.03,371.24,357.03
