Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,371.68,372.54,373.21,373.77,373.28,375.05,372.44,373.19,371.91,355.71
1,371.62,372.53,373.19,373.74,373.25,375.04,372.55,373.25,371.93,355.72
2,371.59,372.53,373.16,373.72,373.23,375.03,372.6,373.31,371.93,355.75
3,371.57,372.51,373.13,373.71,373.2,375.03,372.62,373.36,371.9,355.81
4,371.57,372.49,373.11,373.7,373.19,375.03,372.65,373.38,371.95,355.91
5,371.58,372.47,373.1,373.68,373.15,375.04,372.68,373.28,372.05,355.99
6,371.59,372.46,373.08,373.66,373.15,375.04,372.7,373.22,372.17,356.06
7,371.6,372.44,373.07,373.64,373.13,375.05,372.73,373.22,372.27,356.13
8,371.58,372.44,373.07,373.63,373.11,375.06,372.77,373.25,372.42,356.18
9,371.54,372.42,373.04,373.62,373.1,375.07,372.84,373.35,372.51,356.23
10,371.5,372.41,373.02,373.62,373.09,375.09,372.95,373.54,372.51,356.26
11,371.48,372.4,373.01,373.61,373.08,375.09,373.03,373.69,372.47,356.3
12,371.46,372.37,372.99,373.61,373.07,375.12,373.06,373.81,372.44,356.35
13,371.46,372.34,372.99,373.61,373.08,375.13,373.06,373.92,372.4,356.39
14,371.43,372.3,372.97,373.59,373.08,375.14,373.05,373.97,372.39,356.48
15,371.39,372.27,372.95,373.59,373.07,375.14,373.04,373.99,372.39,356.58
16,371.34,372.28,372.95,373.6,373.07,375.14,373.04,373.98,372.41,356.66
17,371.27,372.26,372.94,373.61,373.07,375.15,373.02,373.95,372.47,356.68
18,371.14,372.23,372.92,373.6,373.07,375.14,373.01,373.93,372.63,356.68
19,370.99,372.23,372.9,373.6,373.06,375.14,373.01,373.95,372.84,356.72
20,370.87,372.22,372.88,373.59,373.06,375.15,373.01,373.97,372.92,356.78
21,370.77,372.21,372.86,373.57,373.05,375.14,373.03,373.98,372.97,356.84
22,370.67,372.21,372.85,373.57,373.05,375.14,373.05,373.97,372.97,356.86
23,370.56,372.18,372.84,373.55,373.04,375.13,373.06,373.97,372.94,356.86
24,370.46,372.14,372.82,373.54,373.03,375.14,373.04,373.98,372.87,356.87
25,370.37,372.12,372.81,373.53,373.03,375.13,373.04,373.98,372.82,356.88
26,370.27,372.08,372.78,373.51,373.0,375.12,373.01,373.97,372.76,356.86
27,370.15,372.05,372.77,373.49,372.98,375.11,373.0,373.97,372.68,356.84
28,370.05,372.0,372.77,373.47,372.96,375.12,373.0,373.97,372.72,356.83
29,369.99,371.94,372.75,373.47,372.95,375.12,373.0,373.97,372.82,356.81
30,369.93,371.9,372.74,373.47,372.94,375.12,372.99,373.97,372.9,356.76
