Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10
0,374.59,375.94,376.68,377.67,377.2,379.37,376.89,377.61,375.66,360.37
1,374.62,376.02,376.73,377.68,377.21,379.36,376.83,377.56,375.76,360.13
2,374.64,376.08,376.75,377.68,377.2,379.33,376.77,377.51,375.79,359.9
3,374.65,376.15,376.78,377.69,377.19,379.31,376.69,377.44,375.92,359.67
4,374.63,376.18,376.81,377.67,377.19,379.28,376.67,377.44,376.02,359.55
5,374.6,376.15,376.83,377.68,377.19,379.27,376.67,377.46,376.06,359.53
6,374.56,376.08,376.83,377.67,377.18,379.26,376.68,377.5,376.07,359.53
7,374.51,376.07,376.84,377.66,377.17,379.25,376.7,377.55,376.06,359.58
8,374.47,376.09,376.84,377.65,377.16,379.23,376.71,377.57,376.02,359.58
9,374.45,376.11,376.85,377.65,377.14,379.21,376.71,377.58,375.95,359.55
10,374.43,376.14,376.84,377.64,377.13,379.17,376.69,377.55,375.89,359.48
11,374.39,376.15,376.84,377.62,377.12,379.14,376.68,377.55,375.79,359.41
12,374.25,376.15,376.81,377.61,377.08,379.11,376.72,377.52,375.66,359.37
13,374.09,376.1,376.78,377.59,377.03,379.09,376.73,377.32,375.58,359.36
14,373.98,376.05,376.77,377.58,377.03,379.09,376.72,377.19,375.55,359.32
15,373.88,376.05,376.76,377.56,377.01,379.1,376.73,377.05,375.51,359.28
16,373.79,376.03,376.74,377.54,377.01,379.09,376.72,377.08,375.56,359.28
17,373.69,376.01,376.73,377.52,377.02,379.09,376.76,377.2,375.64,359.34
18,373.59,375.97,376.72,377.52,377.01,379.1,376.79,377.3,375.72,359.39
19,373.49,375.93,376.7,377.51,377.01,379.1,376.84,377.37,375.8,359.38
20,373.4,375.9,376.69,377.49,377.02,379.11,376.88,377.51,375.83,359.34
21,373.25,375.86,376.66,377.5,377.03,379.13,376.93,377.59,375.84,359.32
22,373.14,375.84,376.65,377.5,377.06,379.16,376.99,377.66,375.88,359.36
23,373.06,375.82,376.64,377.51,377.07,379.18,377.02,377.74,375.95,359.41
24,372.98,375.79,376.63,377.54,377.08,379.2,377.05,377.78,376.1,359.43
25,372.9,375.76,376.62,377.55,377.08,379.22,377.07,377.82,376.22,359.47
