Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,371.11,372.34,372.92,373.68,373.04,375.0,372.64,373.44,371.1,379.3,356.95
1,371.05,372.28,372.87,373.67,373.02,374.99,372.66,373.45,371.25,379.19,357.19
2,371.0,372.21,372.84,373.65,373.01,374.99,372.67,373.48,371.44,379.09,357.41
3,370.95,372.2,372.81,373.64,373.01,374.98,372.69,373.52,371.55,379.87,357.55
4,370.88,372.19,372.78,373.62,373.0,374.98,372.7,373.58,371.62,379.85,357.68
5,370.81,372.19,372.75,373.6,372.99,374.96,372.73,373.61,371.68,379.91,357.8
6,370.73,372.18,372.74,373.61,372.99,374.98,372.77,373.62,371.74,379.33,357.92
7,370.67,372.17,372.72,373.62,372.99,374.98,372.79,373.63,371.8,378.52,358.1
8,370.63,372.18,372.71,373.62,373.01,374.98,372.82,373.63,371.83,378.92,358.25
9,370.57,372.19,372.69,373.62,373.01,375.0,372.85,373.65,371.92,380.29,358.37
10,370.45,372.15,372.67,373.61,373.02,375.01,372.86,373.66,372.14,380.83,358.53
11,370.33,372.11,372.66,373.6,373.02,375.02,372.86,373.67,372.38,380.53,358.63
12,370.24,372.08,372.66,373.59,373.02,375.03,372.88,373.68,372.47,380.16,358.66
13,370.14,372.03,372.66,373.58,373.02,375.04,372.88,373.7,372.49,379.96,358.67
14,370.06,371.98,372.64,373.58,373.01,375.05,372.88,373.7,372.45,379.81,358.68
15,369.97,371.9,372.64,373.56,373.0,375.06,372.88,373.7,372.39,379.83,358.66
16,369.89,371.81,372.61,373.55,372.98,375.07,372.88,373.7,372.31,379.96,358.65
17,369.81,371.73,372.6,373.52,372.96,375.07,372.88,373.71,372.21,380.04,358.65
18,369.74,371.66,372.58,373.51,372.95,375.07,372.89,373.71,372.11,380.13,358.67
19,369.65,371.6,372.54,373.49,372.92,375.07,372.88,373.7,371.95,380.01,358.72
20,369.57,371.54,372.5,373.47,372.9,375.06,372.87,373.7,371.84,379.76,358.77
