Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,374.27,374.9,375.29,376.15,375.17,377.01,373.99,374.79,373.24,378.26,356.06
1,374.25,374.92,375.3,376.11,375.13,376.94,373.97,374.92,373.29,378.11,355.95
2,374.23,374.94,375.29,376.09,375.09,376.88,373.92,375.1,373.33,378.11,355.81
3,374.23,374.95,375.28,376.08,375.07,376.84,373.92,375.2,373.36,377.52,355.65
4,374.2,374.94,375.28,376.08,375.05,376.84,373.97,375.24,373.34,378.31,355.46
5,374.17,374.93,375.27,376.02,375.03,376.82,374.0,375.3,373.27,378.58,355.25
6,374.14,374.9,375.28,376.0,375.02,376.83,374.1,375.35,373.22,379.14,355.02
7,374.09,374.85,375.26,375.98,375.0,376.84,374.22,375.34,373.25,379.7,354.82
8,374.04,374.81,375.24,375.96,374.95,376.85,374.26,375.34,373.32,380.52,354.76
9,374.0,374.78,375.22,375.91,374.94,376.86,374.32,375.35,373.4,380.62,354.8
10,373.95,374.74,375.2,375.85,374.91,376.86,374.37,375.35,373.43,380.58,354.91
11,373.9,374.71,375.16,375.82,374.89,376.87,374.37,375.37,373.37,380.98,355.01
12,373.87,374.67,375.12,375.79,374.88,376.87,374.39,375.38,373.37,381.68,355.08
13,373.84,374.61,375.1,375.76,374.88,376.88,374.41,375.35,373.43,382.39,355.2
14,373.82,374.56,375.09,375.74,374.87,376.87,374.43,375.39,373.47,382.69,355.38
15,373.78,374.53,375.05,375.74,374.86,376.88,374.48,375.45,373.35,382.57,355.72
16,373.74,374.53,375.03,375.73,374.86,376.89,374.54,375.49,373.35,382.84,356.03
17,373.7,374.52,375.01,375.72,374.86,376.89,374.57,375.54,373.45,382.36,356.21
18,373.65,374.52,374.99,375.71,374.85,376.9,374.59,375.54,373.52,381.79,356.34
19,373.61,374.51,374.98,375.68,374.85,376.89,374.61,375.57,373.58,381.84,356.43
20,373.56,374.48,374.97,375.66,374.83,376.91,374.62,375.61,373.66,382.14,356.46
21,373.52,374.46,374.96,375.63,374.82,376.91,374.64,375.69,373.76,382.07,356.4
22,373.47,374.44,374.93,375.59,374.82,376.92,374.65,375.77,373.88,382.17,356.35
23,373.45,374.42,374.91,375.58,374.81,376.94,374.69,375.79,373.97,381.68,356.37
24,373.4,374.41,374.87,375.56,374.82,376.95,374.73,375.81,374.01,382.0,356.48
25,373.34,374.38,374.85,375.56,374.82,376.97,374.73,375.82,373.93,382.58,356.62
26,373.27,374.36,374.84,375.54,374.83,376.98,374.73,375.8,373.89,382.69,356.77
27,373.19,374.36,374.83,375.54,374.82,377.0,374.73,375.78,373.93,382.79,356.95
28,373.09,374.35,374.82,375.52,374.81,377.0,374.72,375.75,374.02,382.79,357.11
29,372.99,374.35,374.8,375.51,374.81,377.01,374.71,375.75,374.18,383.15,357.23
30,372.91,374.34,374.8,375.52,374.81,377.01,374.73,375.75,374.33,383.44,357.29
31,372.83,374.32,374.78,375.49,374.81,377.01,374.73,375.74,374.45,383.72,357.31
32,372.76,374.29,374.77,375.49,374.81,377.02,374.73,375.75,374.55,383.5,357.32
33,372.62,374.23,374.74,375.48,374.79,377.03,374.73,375.76,374.66,383.13,357.29
34,372.5,374.16,374.72,375.47,374.78,377.03,374.73,375.77,374.75,382.74,357.21
35,372.43,374.13,374.69,375.46,374.77,377.03,374.74,375.78,374.72,382.56,357.15
36,372.35,374.12,374.68,375.45,374.76,377.04,374.76,375.81,374.62,382.4,357.15
37,372.28,374.11,374.68,375.43,374.75,377.04,374.77,375.86,374.49,382.3,357.17
38,372.21,374.08,374.65,375.42,374.73,377.04,374.77,375.88,374.37,382.35,357.19
39,372.14,374.04,374.64,375.41,374.72,377.03,374.78,375.92,374.33,382.09,357.2
40,372.07,374.01,374.62,375.4,374.72,377.03,374.8,375.95,374.28,382.04,357.21
41,372.02,373.97,374.62,375.37,374.72,377.03,374.8,375.97,374.23,382.09,357.22
42,371.93,373.88,374.6,375.37,374.72,377.04,374.82,375.99,374.19,382.24,357.23
43,371.85,373.79,374.58,375.37,374.7,377.04,374.82,376.0,374.18,382.55,357.17
44,371.79,373.75,374.55,375.35,374.68,377.03,374.82,376.0,374.19,382.8,357.13
45,371.75,373.72,374.53,375.34,374.68,377.03,374.83,376.01,374.21,382.8,357.05
46,371.72,373.7,374.52,375.35,374.68,377.03,374.83,376.01,374.22,382.77,356.97
47,371.67,373.66,374.5,375.34,374.67,377.03,374.84,376.02,374.23,382.66,356.92
48,371.63,373.61,374.5,375.33,374.67,377.03,374.84,376.03,374.22,382.64,356.93
49,371.57,373.55,374.47,375.32,374.66,377.04,374.83,376.06,374.14,382.92,356.94
50,371.53,373.49,374.47,375.3,374.65,377.03,374.84,376.09,374.07,383.02,356.94
51,371.49,373.43,374.41,375.28,374.64,377.03,374.85,376.11,374.23,381.84,356.87
52,371.66,373.48,374.32,375.25,374.62,377.02,374.93,376.07,374.66,381.48,356.84
53,371.91,373.5,374.3,375.26,374.62,377.02,374.94,376.07,374.96,380.71,356.85
54,372.14,373.49,374.27,375.22,374.6,377.01,374.92,376.02,375.2,380.48,356.91
55,372.32,373.48,374.24,375.18,374.57,376.98,374.83,376.03,375.31,380.46,356.96
56,372.45,373.52,374.2,375.18,374.57,376.96,374.79,375.95,375.3,379.33,356.96
57,372.61,373.6,374.21,375.24,374.59,376.99,374.83,376.01,375.26,378.88,356.97
58,372.76,373.72,374.23,375.29,374.62,377.01,374.91,376.06,375.17,378.66,357.01
59,372.97,373.82,374.26,375.36,374.66,377.04,374.98,376.09,375.04,378.37,357.11
60,373.21,373.96,374.34,375.41,374.74,377.07,375.02,376.05,374.91,378.11,357.33
61,373.42,374.07,374.45,375.5,374.84,377.13,375.07,376.02,374.82,378.26,357.58
62,373.59,374.19,374.52,375.62,374.92,377.19,375.13,376.0,374.77,378.31,357.73
63,373.74,374.31,374.61,375.7,375.0,377.24,375.15,375.98,374.7,378.33,357.9
64,373.88,374.39,374.7,375.8,375.09,377.3,375.22,376.02,374.6,377.96,358.07
65,374.0,374.51,374.77,375.89,375.15,377.37,375.26,376.11,374.45,377.91,358.2
66,374.13,374.66,374.86,375.94,375.21,377.42,375.32,376.13,374.35,378.07,358.29
67,374.23,374.76,374.97,376.01,375.28,377.47,375.36,376.13,374.28,378.04,358.37
68,374.37,374.89,375.07,376.08,375.36,377.51,375.39,376.1,374.26,377.48,358.44
69,374.58,375.01,375.21,376.19,375.46,377.57,375.41,376.07,374.28,377.54,358.52
70,374.74,375.12,375.34,376.29,375.56,377.62,375.41,375.99,374.24,377.69,358.61
71,374.82,375.21,375.4,376.37,375.62,377.66,375.42,376.04,374.26,377.75,358.68
72,374.94,375.3,375.48,376.45,375.7,377.71,375.44,376.02,374.3,377.53,358.74
73,375.06,375.41,375.55,376.53,375.75,377.77,375.46,375.95,374.24,377.82,358.79
74,375.16,375.51,375.63,376.6,375.82,377.8,375.45,375.94,374.2,377.95,358.83
75,375.25,375.65,375.72,376.66,375.86,377.83,375.43,375.99,374.21,377.78,358.85
76,375.36,375.72,375.8,376.7,375.92,377.85,375.44,376.01,374.21,378.21,358.88
77,375.41,375.76,375.87,376.78,375.97,377.89,375.49,376.06,374.2,377.65,358.89
78,375.48,375.88,375.97,376.86,376.03,377.94,375.48,376.01,374.21,377.39,358.91
79,375.61,376.04,376.08,376.91,376.1,377.97,375.46,375.99,374.19,376.63,358.91
80,375.68,376.14,376.16,376.97,376.14,378.0,375.45,375.99,374.15,376.71,358.88
81,375.74,376.18,376.22,377.06,376.18,378.03,375.45,375.99,374.16,378.24,358.8
82,375.78,376.21,376.29,377.08,376.22,378.05,375.5,376.03,374.09,378.89,358.68
83,375.81,376.22,376.35,377.12,376.25,378.09,375.58,376.13,374.0,378.38,358.57
84,375.81,376.24,376.4,377.16,376.28,378.13,375.66,376.23,373.98,378.51,358.48
85,375.82,376.27,376.42,377.19,376.31,378.18,375.7,376.36,374.04,377.73,358.39
86,375.83,376.28,376.45,377.23,376.34,378.2,375.71,376.38,374.08,378.63,358.28
87,375.83,376.3,376.49,377.24,376.39,378.22,375.62,376.41,374.19,378.15,358.05
88,375.84,376.31,376.52,377.29,376.43,378.21,375.48,376.22,374.15,377.51,357.75
89,375.83,376.3,376.53,377.32,376.45,378.2,375.49,375.93,374.1,378.4,357.49
90,375.79,376.29,376.54,377.34,376.47,378.21,375.48,375.91,374.05,378.58,357.19
91,375.76,376.28,376.55,377.35,376.48,378.21,375.46,375.88,374.01,378.65,356.87
92,375.73,376.29,376.58,377.36,376.49,378.2,375.39,375.78,374.0,379.11,356.56
93,375.71,376.29,376.59,377.36,376.5,378.15,375.26,375.8,374.01,379.4,356.35
94,375.69,376.3,376.61,377.36,376.48,378.09,375.2,375.88,374.06,379.41,356.17
95,375.68,376.31,376.61,377.37,376.44,378.07,375.24,375.88,374.1,380.0,355.99
96,375.66,376.29,376.61,377.36,376.4,378.06,375.22,375.82,374.14,379.88,355.78
97,375.62,376.29,376.61,377.33,376.35,378.04,375.14,375.81,374.22,379.51,355.61
98,375.6,376.29,376.61,377.32,376.3,378.01,375.14,375.85,374.31,379.68,355.52
99,375.55,376.26,376.6,377.32,376.24,378.0,375.21,375.92,374.44,380.37,355.42
100,375.52,376.15,376.58,377.31,376.23,377.96,375.29,375.95,374.53,380.79,355.37
101,375.48,376.06,376.55,377.28,376.19,377.92,375.36,375.94,374.57,380.77,355.38
102,375.43,376.01,376.51,377.25,376.16,377.91,375.4,375.98,374.63,380.52,355.43
103,375.32,375.97,376.47,377.21,376.15,377.89,375.41,376.26,374.81,380.19,355.52
104,375.26,375.96,376.44,377.19,376.14,377.91,375.45,376.42,374.96,379.78,355.61
105,375.26,375.95,376.41,377.18,376.15,377.94,375.55,376.47,375.06,379.56,355.78
106,375.35,376.01,376.39,377.17,376.17,377.96,375.66,376.46,375.07,379.49,355.99
107,375.49,376.08,376.4,377.2,376.2,378.01,375.74,376.46,375.02,379.21,356.14
108,375.62,376.12,376.4,377.23,376.23,378.06,375.81,376.42,374.91,378.99,356.3
109,375.74,376.17,376.45,377.28,376.27,378.12,375.87,376.45,374.89,378.73,356.5
110,375.85,376.28,376.49,377.32,376.33,378.17,375.92,376.47,374.88,378.87,356.69
