Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10
0,374.64,376.0,376.53,377.17,376.08,378.21,375.53,376.1,373.72,381.87,357.48
1,374.54,375.95,376.49,377.15,375.99,378.17,375.52,376.22,373.94,383.04,357.74
2,374.48,375.93,376.45,377.11,375.95,378.14,375.55,376.34,374.05,382.91,357.92
3,374.4,375.89,376.41,377.09,375.94,378.14,375.6,376.41,374.17,382.7,358.1
4,374.32,375.84,376.38,377.08,375.93,378.15,375.64,376.47,374.28,382.16,358.25
5,374.23,375.8,376.34,377.05,375.95,378.15,375.69,376.55,374.4,382.61,358.38
6,374.13,375.77,376.32,377.03,375.95,378.15,375.73,376.6,374.49,383.59,358.49
7,374.01,375.73,376.28,377.02,375.96,378.14,375.76,376.6,374.52,383.91,358.58
8,373.87,375.69,376.25,377.0,375.99,378.13,375.81,376.6,374.45,383.94,358.75
9,373.76,375.65,376.22,376.97,376.0,378.12,375.83,376.59,374.38,384.22,358.93
10,373.73,375.64,376.2,376.94,376.0,378.13,375.84,376.61,374.35,383.21,359.06
11,373.71,375.62,376.18,376.92,376.01,378.13,375.85,376.62,374.34,382.82,359.18
12,373.7,375.6,376.17,376.91,376.01,378.15,375.87,376.62,374.35,382.85,359.29
13,373.68,375.58,376.15,376.88,376.01,378.16,375.89,376.61,374.36,382.97,359.44
14,373.64,375.54,376.14,376.87,376.01,378.18,375.89,376.61,374.42,383.41,359.62
15,373.6,375.5,376.12,376.85,376.01,378.19,375.88,376.59,374.52,383.6,359.78
16,373.53,375.44,376.08,376.84,375.99,378.19,375.88,376.58,374.62,383.96,359.86
17,373.43,375.38,376.04,376.82,375.99,378.2,375.86,376.57,374.72,383.92,359.93
18,373.36,375.33,376.01,376.79,376.0,378.21,375.87,376.56,374.79,383.96,359.96
19,373.31,375.29,375.98,376.79,376.0,378.22,375.88,376.54,374.81,384.64,359.99
20,373.26,375.26,375.95,376.77,376.01,378.22,375.88,376.54,374.81,384.2,360.02
21,373.22,375.24,375.93,376.74,376.01,378.22,375.87,376.54,374.87,383.61,360.03
22,373.17,375.19,375.89,376.73,376.01,378.22,375.89,376.55,374.97,382.72,360.05
23,373.15,375.14,375.86,376.75,376.03,378.23,375.98,376.57,375.08,382.31,360.1
24,373.31,375.13,375.82,376.75,376.04,378.24,376.04,376.62,375.18,382.24,360.14
25,373.45,375.1,375.78,376.71,376.04,378.23,376.04,376.7,375.21,381.7,360.17
26,373.64,375.1,375.71,376.66,376.0,378.21,376.0,376.61,375.42,381.39,360.15
27,373.79,375.1,375.65,376.63,375.95,378.19,375.87,376.54,375.49,381.37,360.06
28,373.94,375.15,375.63,376.62,375.95,378.17,375.84,376.52,375.47,380.77,359.96
29,374.16,375.25,375.65,376.66,375.98,378.2,375.88,376.66,375.46,379.92,359.87
30,374.35,375.36,375.7,376.75,376.02,378.24,375.93,376.75,375.33,379.75,359.8
31,374.54,375.44,375.76,376.81,376.07,378.25,375.98,376.75,375.26,379.73,359.72
32,374.7,375.56,375.82,376.87,376.12,378.29,376.03,376.75,375.22,379.56,359.68
33,374.82,375.64,375.88,376.95,376.17,378.33,376.08,376.76,375.2,379.42,359.68
34,374.93,375.72,375.95,377.03,376.23,378.38,376.12,376.8,375.13,379.04,359.71
35,375.16,375.88,376.04,377.06,376.31,378.43,376.21,376.85,375.01,379.22,359.81
36,375.42,376.04,376.18,377.13,376.41,378.46,376.27,376.88,374.96,379.41,359.94
37,375.57,376.14,376.28,377.23,376.47,378.51,376.31,376.9,374.89,379.17,360.01
38,375.67,376.19,376.34,377.34,376.54,378.56,376.35,376.92,374.84,378.84,360.08
39,375.78,376.26,376.41,377.4,376.6,378.58,376.39,376.97,374.92,378.84,360.13
40,375.95,376.35,376.48,377.45,376.66,378.61,376.41,376.95,374.99,378.7,360.17
41,376.1,376.45,376.55,377.54,376.71,378.66,376.45,377.0,375.05,378.21,360.21
42,376.18,376.52,376.61,377.62,376.76,378.71,376.46,377.01,375.01,378.49,360.22
43,376.25,376.61,376.68,377.67,376.82,378.75,376.49,376.96,374.91,378.54,360.24
44,376.3,376.63,376.77,377.7,376.87,378.77,376.43,376.93,374.87,378.68,360.23
45,376.36,376.66,376.86,377.75,376.91,378.79,376.29,376.84,374.76,378.88,360.17
46,376.39,376.74,376.91,377.81,376.95,378.81,376.23,376.79,374.72,378.84,360.08
47,376.43,376.77,376.96,377.85,376.97,378.83,376.18,376.8,374.69,378.43,359.96
48,376.45,376.8,376.99,377.87,376.97,378.84,376.15,376.77,374.64,378.59,359.87
49,376.46,376.79,377.02,377.9,376.99,378.84,376.13,376.61,374.54,378.5,359.78
50,376.44,376.82,377.04,377.93,377.0,378.87,376.13,376.54,374.47,378.5,359.69
51,376.39,376.84,377.08,377.96,377.02,378.89,376.12,376.51,374.4,378.57,359.58
52,376.34,376.85,377.1,377.99,377.02,378.89,376.05,376.44,374.3,377.99,359.43
53,376.29,376.88,377.13,378.0,377.04,378.88,376.0,376.22,374.22,379.54,359.2
54,376.27,376.89,377.15,378.0,377.07,378.87,376.05,376.36,374.3,378.4,358.95
55,376.29,376.91,377.17,378.02,377.09,378.88,376.15,376.57,374.46,378.48,358.77
56,376.34,376.98,377.22,378.06,377.12,378.92,376.29,376.75,374.64,378.5,358.65
57,376.43,377.02,377.27,378.13,377.17,378.97,376.4,376.86,374.75,378.96,358.58
58,376.51,377.05,377.3,378.19,377.22,379.02,376.51,376.91,374.82,379.19,358.54
59,376.62,377.11,377.32,378.21,377.26,379.05,376.58,376.96,374.85,379.12,358.55
60,376.75,377.17,377.37,378.22,377.3,379.07,376.64,376.95,374.83,378.74,358.56
61,376.85,377.21,377.41,378.29,377.35,379.12,376.7,376.89,374.76,378.69,358.6
62,376.94,377.29,377.46,378.34,377.4,379.16,376.7,376.92,374.69,378.9,358.68
63,377.05,377.37,377.52,378.37,377.46,379.18,376.74,377.06,374.67,378.99,358.85
64,377.12,377.43,377.57,378.41,377.5,379.21,376.72,377.13,374.64,378.71,358.94
65,377.22,377.48,377.62,378.44,377.52,379.22,376.72,377.03,374.57,378.86,359.01
66,377.29,377.52,377.65,378.47,377.53,379.25,376.7,377.08,374.43,378.97,359.08
67,377.34,377.54,377.7,378.49,377.56,379.27,376.66,377.15,374.42,378.83,359.13
68,377.41,377.61,377.74,378.52,377.58,379.28,376.61,377.13,374.47,378.89,359.16
69,377.44,377.65,377.78,378.55,377.6,379.29,376.61,377.17,374.48,379.06,359.16
70,377.47,377.67,377.83,378.58,377.61,379.3,376.58,377.03,374.56,378.38,359.14
71,377.5,377.7,377.87,378.58,377.62,379.29,376.49,376.94,374.67,377.95,359.05
72,377.48,377.7,377.89,378.58,377.6,379.29,376.43,376.87,374.69,378.34,358.95
73,377.39,377.71,377.91,378.6,377.59,379.29,376.44,376.77,374.73,378.69,358.88
74,377.28,377.72,377.92,378.61,377.57,379.3,376.46,376.72,374.7,378.86,358.82
75,377.2,377.73,377.93,378.61,377.56,379.31,376.42,376.61,374.61,379.24,358.76
76,377.13,377.76,377.91,378.62,377.56,379.31,376.36,376.46,374.51,379.29,358.67
77,377.1,377.75,377.89,378.63,377.58,379.33,376.32,376.25,374.54,379.22,358.54
78,377.09,377.74,377.9,378.62,377.6,379.34,376.28,375.91,374.61,379.82,358.44
79,377.09,377.74,377.89,378.6,377.59,379.33,376.27,375.91,374.62,380.87,358.36
80,377.06,377.71,377.88,378.63,377.61,379.33,376.27,376.04,374.65,381.36,358.34
81,377.14,377.65,377.88,378.62,377.61,379.32,376.38,376.27,374.8,380.73,358.44
82,377.18,377.62,377.87,378.6,377.59,379.32,376.48,376.66,374.95,380.0,358.55
83,377.17,377.55,377.85,378.59,377.59,379.31,376.58,376.88,375.11,379.59,358.63
84,377.18,377.53,377.84,378.58,377.58,379.33,376.69,377.11,375.33,379.47,358.66
85,377.18,377.58,377.84,378.6,377.6,379.36,376.78,377.33,375.5,379.33,358.68
86,377.23,377.64,377.86,378.62,377.61,379.39,376.87,377.35,375.5,379.98,358.7
87,377.33,377.69,377.91,378.65,377.66,379.42,376.95,377.38,375.45,380.11,358.71
88,377.38,377.71,377.93,378.67,377.67,379.43,376.96,377.32,375.37,379.72,358.71
89,377.48,377.76,377.98,378.71,377.7,379.44,376.97,377.34,375.3,379.48,358.8
90,377.58,377.8,378.03,378.73,377.75,379.45,376.97,377.29,375.25,379.61,358.93
91,377.63,377.83,378.05,378.76,377.77,379.47,377.0,377.33,375.23,379.26,358.99
92,377.66,377.87,378.07,378.77,377.79,379.5,377.05,377.44,375.26,379.45,359.05
93,377.74,377.93,378.09,378.81,377.81,379.53,377.1,377.55,375.27,379.68,359.11
94,377.79,377.98,378.12,378.85,377.84,379.56,377.13,377.61,375.21,379.7,359.19
95,377.82,378.02,378.15,378.87,377.87,379.59,377.18,377.61,375.1,379.66,359.28
96,377.88,378.09,378.19,378.91,377.9,379.62,377.21,377.62,375.11,379.54,359.36
97,377.99,378.13,378.24,378.96,377.94,379.65,377.15,377.49,375.2,378.99,359.41
98,378.1,378.16,378.3,379.01,377.98,379.68,377.03,377.37,375.17,379.37,359.37
99,378.14,378.2,378.34,379.03,378.0,379.7,376.99,377.27,375.04,379.68,359.26
100,378.15,378.23,378.36,379.04,378.01,379.7,376.94,377.14,374.96,379.24,359.14
101,378.14,378.24,378.39,379.06,378.04,379.71,376.94,377.44,374.89,378.83,359.05
102,378.11,378.26,378.4,379.07,378.05,379.71,376.96,377.57,374.9,378.86,358.96
103,378.06,378.28,378.41,379.07,378.05,379.7,376.96,377.51,374.94,379.07,358.89
104,378.01,378.31,378.43,379.07,378.06,379.7,376.92,377.36,374.92,379.4,358.81
105,377.94,378.34,378.48,379.12,378.09,379.73,376.9,377.43,374.93,380.65,358.74
106,377.98,378.38,378.52,379.15,378.12,379.72,376.94,377.45,375.12,380.78,358.69
107,378.03,378.34,378.53,379.16,378.11,379.7,376.98,377.37,375.41,379.94,358.59
108,378.01,378.28,378.53,379.17,378.13,379.71,377.1,377.53,375.55,379.85,358.54
109,377.97,378.28,378.51,379.19,378.16,379.75,377.23,377.76,375.65,379.89,358.54
110,377.97,378.27,378.51,379.21,378.18,379.79,377.33,377.89,375.71,379.82,358.55
111,377.99,378.26,378.53,379.2,378.19,379.81,377.4,377.9,375.69,379.86,358.59
112,378.07,378.27,378.54,379.21,378.21,379.85,377.45,377.86,375.65,380.17,358.67
113,378.15,378.3,378.56,379.24,378.24,379.89,377.52,377.99,375.59,379.83,358.73
114,378.19,378.33,378.57,379.28,378.26,379.95,377.57,378.05,375.63,379.61,358.79
115,378.19,378.38,378.58,379.29,378.28,379.99,377.62,377.87,375.7,379.93,358.82
116,378.26,378.45,378.62,379.32,378.31,380.02,377.63,377.67,375.55,379.45,358.82
117,378.36,378.47,378.67,379.36,378.33,380.05,377.54,377.68,375.44,379.57,358.77
118,378.41,378.48,378.69,379.38,378.35,380.06,377.43,377.63,375.36,380.07,358.76
119,378.43,378.51,378.7,379.38,378.35,380.06,377.36,377.62,375.28,380.13,358.76
120,378.43,378.52,378.72,379.38,378.35,380.07,377.3,377.58,375.27,379.65,358.77
121,378.43,378.53,378.73,379.38,378.37,380.08,377.21,377.52,375.35,379.01,358.81
122,378.41,378.52,378.73,379.41,378.36,380.07,377.11,377.63,375.43,379.11,358.89
123,378.38,378.52,378.74,379.44,378.34,380.07,377.06,377.69,375.45,379.56,358.96
124,378.33,378.53,378.74,379.46,378.35,380.05,377.08,377.69,375.48,379.89,359.02
125,378.28,378.56,378.74,379.48,378.34,380.06,377.13,377.53,375.42,379.73,359.02
126,378.26,378.58,378.71,379.47,378.33,380.07,377.17,377.38,375.39,379.73,358.95
127,378.26,378.58,378.71,379.47,378.32,380.07,377.21,377.38,375.41,379.51,358.87
128,378.28,378.55,378.69,379.46,378.33,380.07,377.22,377.47,375.42,379.62,358.79
129,378.36,378.54,378.7,379.44,378.31,380.05,377.11,377.39,375.43,380.66,358.64
130,378.46,378.53,378.7,379.42,378.3,380.01,377.14,377.48,375.42,381.15,358.4
131,378.52,378.52,378.73,379.42,378.3,380.0,377.2,377.5,375.37,381.03,358.12
132,378.52,378.48,378.75,379.43,378.32,380.0,377.2,377.46,375.38,381.0,357.87
