Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10,h,flux,abs,surf
0,359.71,359.18,360.64,361.25,360.52,362.41,359.73,360.36,357.66,363.19,334.87,0.1575,25900,100,0.98
1,359.65,359.1,360.59,361.21,360.48,362.37,359.73,360.32,357.68,364.52,334.59,0.1575,25900,100,0.98
2,359.61,359.05,360.55,361.15,360.42,362.34,359.72,360.27,357.69,366.3,334.41,0.1575,25900,100,0.98
3,359.56,358.98,360.5,361.1,360.36,362.3,359.7,360.26,357.7,367.13,334.29,0.1575,25900,100,0.98
4,359.53,358.94,360.44,361.07,360.31,362.28,359.69,360.25,357.73,367.09,334.25,0.1575,25900,100,0.98
5,359.52,358.93,360.39,361.03,360.26,362.26,359.64,360.25,357.75,367.15,334.28,0.1575,25900,100,0.98
6,359.51,358.9,360.32,360.97,360.22,362.21,359.6,360.23,357.82,367.95,334.38,0.1575,25900,100,0.98
7,359.51,358.83,360.25,360.92,360.18,362.16,359.57,360.18,357.96,368.85,334.5,0.1575,25900,100,0.98
8,359.49,358.76,360.17,360.89,360.14,362.13,359.55,360.16,358.08,369.43,334.61,0.1575,25900,100,0.98
9,359.47,358.67,360.07,360.85,360.08,362.1,359.52,360.15,358.28,370.08,334.77,0.1575,25900,100,0.98
10,359.44,358.59,359.98,360.8,360.02,362.05,359.5,360.13,358.48,370.96,334.95,0.1575,25900,100,0.98
11,359.41,358.56,359.93,360.75,359.98,362.01,359.49,360.11,358.63,371.96,335.09,0.1575,25900,100,0.98
12,359.39,358.55,359.88,360.71,359.94,361.99,359.47,360.1,358.76,372.78,335.23,0.1575,25900,100,0.98
13,359.36,358.55,359.84,360.68,359.91,361.97,359.47,360.09,358.88,373.11,335.38,0.1575,25900,100,0.98
14,359.35,358.54,359.8,360.63,359.88,361.94,359.45,360.09,359.01,373.59,335.55,0.1575,25900,100,0.98
15,359.33,358.53,359.77,360.57,359.85,361.9,359.44,360.07,359.13,374.12,335.75,0.1575,25900,100,0.98
16,359.33,358.52,359.74,360.54,359.82,361.87,359.43,360.05,359.26,374.58,335.97,0.1575,25900,100,0.98
17,359.31,358.5,359.72,360.51,359.78,361.85,359.41,360.06,359.38,375.07,336.22,0.1575,25900,100,0.98
18,359.28,358.51,359.69,360.47,359.74,361.82,359.39,360.05,359.56,375.65,336.59,0.1575,25900,100,0.98
19,359.24,358.5,359.66,360.43,359.7,361.78,359.36,360.04,359.73,376.42,336.95,0.1575,25900,100,0.98
20,359.23,358.5,359.64,360.4,359.68,361.77,359.34,360.03,359.84,376.93,337.19,0.1575,25900,100,0.98
21,359.19,358.5,359.6,360.38,359.65,361.75,359.32,360.03,359.95,377.11,337.42,0.1575,25900,100,0.98
22,359.17,358.49,359.57,360.36,359.63,361.73,359.29,360.03,360.05,377.05,337.69,0.1575,25900,100,0.98
23,359.16,358.49,359.56,360.33,359.61,361.69,359.29,360.02,360.15,377.2,338.0,0.1575,25900,100,0.98
24,359.15,358.49,359.53,360.31,359.59,361.67,359.28,360.02,360.26,377.59,338.34,0.1575,25900,100,0.98
25,359.12,358.47,359.51,360.29,359.57,361.65,359.27,360.02,360.37,378.0,338.69,0.1575,25900,100,0.98
26,359.09,358.46,359.48,360.25,359.54,361.62,359.26,360.01,360.57,378.6,339.2,0.1575,25900,100,0.98
27,359.06,358.45,359.45,360.23,359.51,361.6,359.24,360.01,360.78,379.72,339.65,0.1575,25900,100,0.98
28,359.05,358.44,359.43,360.2,359.49,361.57,359.24,360.0,360.93,380.5,339.92,0.1575,25900,100,0.98
29,359.04,358.44,359.42,360.19,359.47,361.55,359.24,360.0,361.07,380.66,340.18,0.1575,25900,100,0.98
30,359.01,358.43,359.4,360.14,359.46,361.52,359.23,359.99,361.2,380.61,340.43,0.1575,25900,100,0.98
31,358.99,358.41,359.38,360.11,359.44,361.5,359.23,359.97,361.3,380.72,340.69,0.1575,25900,100,0.98
32,358.98,358.39,359.36,360.09,359.42,361.49,359.22,359.97,361.39,380.72,340.96,0.1575,25900,100,0.98
33,358.95,358.39,359.34,360.07,359.41,361.47,359.22,359.97,361.5,380.7,341.27,0.1575,25900,100,0.98
34,358.93,358.38,359.33,360.04,359.39,361.44,359.22,359.97,361.59,380.76,341.6,0.1575,25900,100,0.98
35,358.9,358.35,359.31,360.01,359.37,361.42,359.21,359.95,361.75,380.81,342.1,0.1575,25900,100,0.98
36,358.86,358.33,359.28,359.99,359.34,361.41,359.2,359.95,361.9,380.84,342.62,0.1575,25900,100,0.98
37,358.83,358.3,359.26,359.97,359.32,361.41,359.19,359.95,362.03,381.17,342.93,0.1575,25900,100,0.98
38,358.82,358.29,359.24,359.94,359.31,361.39,359.19,359.94,362.15,381.88,343.24,0.1575,25900,100,0.98
39,358.78,358.27,359.22,359.91,359.29,361.36,359.18,359.94,362.27,382.59,343.55,0.1575,25900,100,0.98
40,358.76,358.26,359.21,359.89,359.28,361.35,359.17,359.92,362.4,382.94,343.85,0.1575,25900,100,0.98
41,358.73,358.24,359.19,359.88,359.26,361.34,359.16,359.92,362.51,383.05,344.15,0.1575,25900,100,0.98
42,358.69,358.22,359.18,359.85,359.25,361.32,359.15,359.9,362.61,383.34,344.48,0.1575,25900,100,0.98
43,358.67,358.2,359.17,359.82,359.24,361.3,359.14,359.89,362.7,383.7,344.77,0.1575,25900,100,0.98
44,358.64,358.2,359.15,359.81,359.22,361.3,359.14,359.9,362.84,383.95,345.21,0.1575,25900,100,0.98
45,358.6,358.17,359.14,359.8,359.19,361.28,359.12,359.89,362.98,384.35,345.61,0.1575,25900,100,0.98
