Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9.5,TC10,h,flux,abs,surf
0,360.3,359.65,360.26,360.84,360.12,362.06,359.22,359.69,355.57,360.55,331.31,0.1575,25900,100,0.98
1,360.24,359.56,360.22,360.82,360.09,362.05,359.18,359.66,355.58,361.66,331.21,0.1575,25900,100,0.98
2,360.18,359.5,360.17,360.81,360.06,362.04,359.09,359.61,355.7,364.74,331.2,0.1575,25900,100,0.98
3,360.14,359.44,360.14,360.76,360.03,362.02,358.98,359.53,355.87,366.71,331.27,0.1575,25900,100,0.98
4,360.1,359.38,360.11,360.74,360.01,361.99,358.89,359.46,356.08,367.64,331.38,0.1575,25900,100,0.98
5,360.06,359.33,360.07,360.72,359.97,361.98,358.85,359.39,356.33,368.57,331.53,0.1575,25900,100,0.98
6,360.02,359.28,360.02,360.68,359.93,361.94,358.83,359.27,356.59,370.04,331.7,0.1575,25900,100,0.98
7,359.99,359.24,359.97,360.65,359.88,361.9,358.8,359.2,356.81,371.42,331.86,0.1575,25900,100,0.98
8,359.95,359.21,359.92,360.63,359.84,361.85,358.79,359.19,357.01,372.41,332.01,0.1575,25900,100,0.98
9,359.91,359.15,359.85,360.61,359.78,361.81,358.76,359.18,357.32,373.07,332.2,0.1575,25900,100,0.98
10,359.87,359.12,359.81,360.56,359.73,361.74,358.74,359.18,357.59,373.53,332.34,0.1575,25900,100,0.98
11,359.85,359.1,359.76,360.53,359.69,361.68,358.73,359.19,357.71,373.57,332.4,0.1575,25900,100,0.98
12,359.83,359.08,359.74,360.5,359.66,361.66,358.73,359.21,357.8,373.76,332.43,0.1575,25900,100,0.98
13,359.81,359.05,359.69,360.47,359.63,361.63,358.71,359.23,357.87,374.05,332.49,0.1575,25900,100,0.98
14,359.79,359.03,359.65,360.42,359.59,361.57,358.7,359.25,357.96,374.19,332.6,0.1575,25900,100,0.98
15,359.76,359.0,359.62,360.38,359.54,361.52,358.7,359.28,358.1,374.39,332.79,0.1575,25900,100,0.98
16,359.73,358.98,359.59,360.35,359.51,361.5,358.71,359.32,358.28,374.7,333.03,0.1575,25900,100,0.98
17,359.72,358.97,359.56,360.31,359.48,361.47,358.73,359.34,358.43,374.96,333.31,0.1575,25900,100,0.98
18,359.7,358.95,359.53,360.27,359.45,361.43,358.75,359.37,358.55,375.01,333.62,0.1575,25900,100,0.98
19,359.67,358.93,359.48,360.21,359.41,361.4,358.76,359.39,358.68,375.09,334.06,0.1575,25900,100,0.98
20,359.63,358.9,359.45,360.2,359.37,361.4,358.78,359.43,358.8,375.44,334.48,0.1575,25900,100,0.98
21,359.63,358.89,359.43,360.15,359.35,361.36,358.78,359.47,358.85,376.52,334.71,0.1575,25900,100,0.98
22,359.6,358.88,359.39,360.12,359.32,361.33,358.79,359.52,358.91,378.18,334.91,0.1575,25900,100,0.98
23,359.58,358.86,359.36,360.09,359.3,361.31,358.78,359.53,358.97,379.25,335.1,0.1575,25900,100,0.98
24,359.56,358.84,359.34,360.06,359.28,361.3,358.78,359.56,359.03,379.88,335.29,0.1575,25900,100,0.98
25,359.53,358.82,359.31,360.03,359.25,361.28,358.78,359.58,359.09,380.5,335.51,0.1575,25900,100,0.98
26,359.51,358.81,359.3,359.99,359.24,361.26,358.79,359.58,359.16,380.53,335.75,0.1575,25900,100,0.98
27,359.47,358.78,359.26,359.98,359.21,361.25,358.79,359.59,359.31,380.26,336.11,0.1575,25900,100,0.98
28,359.44,358.76,359.23,359.96,359.18,361.24,358.8,359.6,359.51,380.17,336.49,0.1575,25900,100,0.98
29,359.42,358.76,359.22,359.94,359.16,361.24,358.81,359.59,359.66,380.27,336.78,0.1575,25900,100,0.98
30,359.4,358.75,359.19,359.92,359.15,361.23,358.82,359.6,359.82,380.92,337.05,0.1575,25900,100,0.98
31,359.38,358.74,359.17,359.9,359.14,361.21,358.82,359.59,359.97,381.58,337.33,0.1575,25900,100,0.98
32,359.36,358.74,359.17,359.87,359.13,361.2,358.83,359.59,360.14,381.88,337.63,0.1575,25900,100,0.98
33,359.34,358.74,359.15,359.86,359.12,361.2,358.82,359.59,360.29,382.22,337.91,0.1575,25900,100,0.98
34,359.31,358.73,359.14,359.84,359.11,361.19,358.82,359.59,360.44,382.8,338.18,0.1575,25900,100,0.98
35,359.29,358.72,359.14,359.83,359.11,361.19,358.83,359.6,360.59,383.13,338.43,0.1575,25900,100,0.98
36,359.26,358.71,359.11,359.81,359.09,361.19,358.82,359.59,360.79,383.41,338.79,0.1575,25900,100,0.98
37,359.23,358.7,359.1,359.81,359.09,361.18,358.81,359.58,360.98,383.75,339.15,0.1575,25900,100,0.98
38,359.21,358.7,359.1,359.78,359.08,361.17,358.8,359.57,361.11,383.83,339.41,0.1575,25900,100,0.98
39,359.19,358.69,359.09,359.77,359.08,361.16,358.79,359.57,361.24,383.71,339.68,0.1575,25900,100,0.98
40,359.16,358.67,359.08,359.76,359.07,361.15,358.78,359.56,361.38,383.79,339.94,0.1575,25900,100,0.98
41,359.14,358.68,359.06,359.75,359.07,361.15,358.78,359.56,361.54,384.01,340.21,0.1575,25900,100,0.98
42,359.11,358.66,359.06,359.73,359.06,361.14,358.76,359.55,361.69,384.66,340.47,0.1575,25900,100,0.98
43,359.09,358.65,359.04,359.72,359.04,361.13,358.74,359.54,361.83,385.49,340.73,0.1575,25900,100,0.98
44,359.06,358.64,359.03,359.71,359.04,361.12,358.73,359.54,361.96,386.1,340.96,0.1575,25900,100,0.98
45,359.02,358.62,359.02,359.71,359.03,361.12,358.72,359.55,362.13,386.68,341.29,0.1575,25900,100,0.98
46,358.99,358.61,359.01,359.7,359.02,361.11,358.71,359.53,362.28,387.05,341.6,0.1575,25900,100,0.98
47,358.97,358.59,359.0,359.69,359.01,361.1,358.69,359.53,362.37,387.2,341.77,0.1575,25900,100,0.98
48,358.94,358.59,359.0,359.69,359.0,361.09,358.68,359.52,362.48,387.28,341.96,0.1575,25900,100,0.98
49,358.9,358.57,358.98,359.68,358.99,361.08,358.67,359.52,362.59,387.54,342.13,0.1575,25900,100,0.98
50,358.88,358.56,358.97,359.68,358.99,361.07,358.66,359.52,362.7,387.74,342.3,0.1575,25900,100,0.98
51,358.85,358.55,358.96,359.68,358.98,361.06,358.65,359.51,362.81,387.95,342.47,0.1575,25900,100,0.98
52,358.83,358.53,358.95,359.67,358.98,361.06,358.65,359.5,362.92,388.14,342.65,0.1575,25900,100,0.98
53,358.81,358.53,358.95,359.66,358.97,361.05,358.64,359.5,363.01,388.28,342.85,0.1575,25900,100,0.98
54,358.76,358.5,358.93,359.66,358.96,361.04,358.63,359.49,363.12,388.69,343.13,0.1575,25900,100,0.98
55,358.72,358.49,358.92,359.65,358.97,361.03,358.62,359.49,363.23,389.07,343.4,0.1575,25900,100,0.98
56,358.7,358.47,358.91,359.64,358.95,361.01,358.62,359.48,363.31,389.24,343.57,0.1575,25900,100,0.98
57,358.68,358.46,358.9,359.63,358.95,361.0,358.6,359.47,363.41,389.45,343.76,0.1575,25900,100,0.98
58,358.65,358.45,358.9,359.62,358.95,361.0,358.6,359.47,363.49,389.74,343.94,0.1575,25900,100,0.98
59,358.62,358.43,358.89,359.62,358.94,360.99,358.6,359.46,363.58,389.9,344.14,0.1575,25900,100,0.98
60,358.6,358.42,358.88,359.61,358.93,360.98,358.61,359.46,363.67,390.12,344.32,0.1575,25900,100,0.98
61,358.57,358.41,358.88,359.61,358.94,360.98,358.6,359.46,363.74,390.81,344.5,0.1575,25900,100,0.98
62,358.55,358.39,358.86,359.59,358.93,360.97,358.59,359.45,363.81,391.38,344.69,0.1575,25900,100,0.98
63,358.51,358.36,358.85,359.59,358.93,360.96,358.58,359.44,363.92,391.47,344.99,0.1575,25900,100,0.98
64,358.48,358.34,358.83,359.58,358.92,360.96,358.58,359.44,364.02,391.41,345.31,0.1575,25900,100,0.98
65,358.45,358.31,358.84,359.58,358.92,360.95,358.58,359.45,364.1,391.48,345.54,0.1575,25900,100,0.98
66,358.41,358.3,358.82,359.57,358.92,360.94,358.57,359.44,364.19,391.9,345.76,0.1575,25900,100,0.98
67,358.39,358.27,358.8,359.55,358.91,360.93,358.56,359.44,364.29,392.46,345.99,0.1575,25900,100,0.98
68,358.36,358.26,358.79,359.54,358.91,360.92,358.55,359.43,364.38,392.81,346.22,0.1575,25900,100,0.98
69,358.34,358.24,358.78,359.54,358.9,360.92,358.55,359.43,364.47,393.09,346.43,0.1575,25900,100,0.98
70,358.31,358.22,358.76,359.53,358.89,360.91,358.54,359.43,364.56,393.35,346.63,0.1575,25900,100,0.98
71,358.28,358.21,358.75,359.52,358.88,360.9,358.54,359.42,364.67,393.6,346.82,0.1575,25900,100,0.98
72,358.24,358.18,358.74,359.51,358.88,360.89,358.54,359.43,364.81,393.79,347.13,0.1575,25900,100,0.98
73,358.21,358.17,358.72,359.51,358.88,360.89,358.53,359.44,364.94,394.09,347.38,0.1575,25900,100,0.98
74,358.17,358.14,358.71,359.49,358.87,360.88,358.52,359.42,365.02,394.39,347.53,0.1575,25900,100,0.98
75,358.15,358.12,358.69,359.48,358.86,360.88,358.52,359.42,365.11,394.44,347.68,0.1575,25900,100,0.98
76,358.11,358.1,358.69,359.48,358.86,360.87,358.52,359.43,365.2,394.45,347.85,0.1575,25900,100,0.98
77,358.09,358.08,358.67,359.47,358.86,360.86,358.51,359.42,365.27,394.56,348.06,0.1575,25900,100,0.98
78,358.06,358.06,358.66,359.46,358.85,360.85,358.5,359.42,365.36,394.53,348.28,0.1575,25900,100,0.98
79,358.03,358.04,358.66,359.45,358.85,360.84,358.5,359.41,365.43,394.56,348.51,0.1575,25900,100,0.98
80,358.01,358.02,358.65,359.44,358.85,360.83,358.5,359.42,365.51,394.96,348.78,0.1575,25900,100,0.98
81,357.96,357.99,358.64,359.43,358.84,360.83,358.49,359.42,365.64,395.28,349.18,0.1575,25900,100,0.98
