Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,359.97,359.35,359.98,360.2,359.55,361.57,358.99,359.88,356.71,337.26,344.0,0.1575,25900,3,0.98
1,360.02,359.44,359.96,360.2,359.55,361.55,359.16,360.04,357.16,337.41,344.0,0.1575,25900,3,0.98
2,360.12,359.6,360.0,360.26,359.58,361.59,359.36,360.33,357.6,337.58,344.0,0.1575,25900,3,0.98
3,360.24,359.76,360.07,360.34,359.64,361.64,359.55,360.59,358.04,337.76,344.0,0.1575,25900,3,0.98
4,360.38,359.92,360.13,360.47,359.7,361.73,359.73,360.83,358.45,337.95,344.0,0.1575,25900,3,0.98
5,360.51,360.07,360.2,360.61,359.78,361.83,359.9,361.0,358.82,338.14,344.0,0.1575,25900,3,0.98
6,360.65,360.21,360.27,360.7,359.88,361.91,360.04,361.11,359.13,338.3,344.0,0.1575,25900,3,0.98
7,360.74,360.33,360.35,360.84,359.97,362.02,360.18,361.24,359.39,338.44,344.0,0.1575,25900,3,0.98
8,360.86,360.53,360.49,360.98,360.12,361.72,360.42,361.34,359.58,338.62,344.0,0.1575,25900,3,0.98
9,360.99,360.71,360.64,361.06,360.29,362.27,360.66,361.44,359.74,338.69,344.0,0.1575,25900,3,0.98
10,361.05,360.82,360.73,361.22,360.4,362.4,360.82,361.56,359.85,338.68,344.0,0.1575,25900,3,0.98
11,361.08,360.91,360.81,361.33,360.52,362.51,360.98,361.69,359.98,338.7,344.0,0.1575,25900,3,0.98
12,361.1,360.98,360.9,361.45,360.62,362.61,361.12,361.85,360.12,338.72,344.0,0.1575,25900,3,0.98
13,361.08,361.01,360.97,361.57,360.7,362.68,361.23,361.98,360.25,338.74,344.0,0.1575,25900,3,0.98
14,361.08,361.04,361.03,361.68,360.79,362.74,361.34,362.09,360.38,338.77,344.0,0.1575,25900,3,0.98
15,361.09,361.07,361.08,361.74,360.88,362.78,361.44,362.16,360.5,338.84,344.0,0.1575,25900,3,0.98
16,361.13,361.09,361.12,361.85,360.97,362.84,361.54,362.21,360.61,338.94,344.0,0.1575,25900,3,0.98
17,361.21,361.1,361.15,361.96,361.1,362.91,361.68,362.19,360.79,339.08,344.0,0.1575,25900,3,0.98
18,361.32,361.07,361.22,362.06,361.23,362.97,361.81,362.11,360.96,339.2,344.0,0.1575,25900,3,0.98
19,361.41,361.02,361.27,362.17,361.29,363.03,361.87,362.04,361.02,339.26,344.0,0.1575,25900,3,0.98
20,361.53,361.0,361.31,362.23,361.36,363.06,361.89,362.01,361.06,339.33,344.0,0.1575,25900,3,0.98
21,361.63,361.0,361.34,362.31,361.43,363.11,361.91,361.98,361.08,339.39,344.0,0.1575,25900,3,0.98
22,361.75,361.02,361.38,362.39,361.49,363.16,361.97,361.97,361.1,339.46,344.0,0.1575,25900,3,0.98
23,361.85,361.05,361.4,362.45,361.55,363.23,362.0,361.97,361.14,339.53,344.0,0.1575,25900,3,0.98
24,361.9,361.07,361.41,362.5,361.59,363.3,362.04,362.01,361.18,339.62,344.0,0.1575,25900,3,0.98
25,361.95,361.1,361.44,362.54,361.64,363.36,362.07,362.06,361.19,339.75,344.0,0.1575,25900,3,0.98
26,362.04,361.1,361.44,362.34,361.69,363.44,362.1,362.17,361.18,340.07,344.0,0.1575,25900,3,0.98
27,362.11,361.03,361.46,362.61,361.75,363.48,362.17,362.23,361.23,340.43,344.0,0.1575,25900,3,0.98
28,362.11,360.96,361.48,362.63,361.73,363.53,362.21,362.39,361.28,340.61,344.0,0.1575,25900,3,0.98
29,362.08,360.89,361.5,362.65,361.7,363.58,362.23,362.53,361.37,340.76,344.0,0.1575,25900,3,0.98
30,362.09,360.87,361.53,362.65,361.69,363.65,362.3,362.52,361.48,340.89,344.0,0.1575,25900,3,0.98
31,362.15,360.84,361.56,362.63,361.67,363.72,362.33,362.55,361.57,340.99,344.0,0.1575,25900,3,0.98
32,362.26,360.8,361.61,362.59,361.67,363.79,362.32,362.66,361.66,341.08,344.0,0.1575,25900,3,0.98
33,362.38,360.76,361.65,362.55,361.67,363.84,362.3,362.66,361.75,341.15,344.0,0.1575,25900,3,0.98
34,362.45,360.75,361.68,362.55,361.67,363.89,362.25,362.55,361.81,341.23,344.0,0.1575,25900,3,0.98
35,362.52,360.75,361.71,362.54,361.71,363.92,362.2,362.49,361.88,341.35,344.0,0.1575,25900,3,0.98
36,362.6,360.78,361.71,362.54,361.75,363.94,362.15,362.48,361.91,341.53,344.0,0.1575,25900,3,0.98
37,362.64,360.81,361.7,362.55,361.78,363.97,362.13,362.48,361.91,341.67,344.0,0.1575,25900,3,0.98
38,362.67,360.88,361.69,362.55,361.81,364.0,362.1,362.52,361.89,341.82,344.0,0.1575,25900,3,0.98
39,362.7,360.96,361.67,362.54,361.84,364.03,362.02,362.48,361.9,342.0,345.0,0.1575,25900,3,0.98
40,362.71,361.05,361.66,362.52,361.86,364.05,361.93,362.52,361.93,342.19,344.0,0.1575,25900,3,0.98
41,362.73,361.16,361.65,362.52,361.88,364.07,361.87,362.51,361.95,342.39,344.0,0.1575,25900,3,0.98
42,362.7,361.23,361.63,362.5,361.91,364.08,361.83,362.47,361.96,342.57,344.0,0.1575,25900,3,0.98
43,362.68,361.3,361.64,362.47,361.91,363.6,361.79,362.42,361.94,342.72,344.0,0.1575,25900,3,0.98
44,362.65,361.38,361.67,362.44,361.93,364.12,361.78,362.32,361.93,343.03,345.0,0.1575,25900,3,0.98
45,362.67,361.41,361.71,362.26,361.96,364.14,361.81,362.23,361.96,343.33,345.0,0.1575,25900,3,0.98
46,362.71,361.37,361.73,362.36,361.97,363.78,361.86,362.15,361.99,343.52,345.0,0.1575,25900,3,0.98
47,362.76,361.35,361.74,362.32,361.98,364.12,361.92,362.21,362.04,343.72,345.0,0.1575,25900,3,0.98
48,362.81,361.38,361.76,362.29,361.96,364.12,361.97,362.24,362.09,343.9,345.0,0.1575,25900,3,0.98
49,362.83,361.48,361.78,361.73,361.94,363.96,362.02,362.34,362.14,344.1,345.0,0.1575,25900,3,0.98
50,362.85,361.57,361.82,362.18,361.93,364.14,362.05,362.41,362.2,344.28,344.0,0.1575,25900,3,0.98
51,362.86,361.6,361.84,362.15,361.9,364.15,362.08,362.14,362.25,344.46,344.0,0.1575,25900,3,0.98
52,362.87,361.6,361.86,361.88,361.9,364.14,362.07,362.3,362.29,344.6,344.0,0.1575,25900,3,0.98
53,362.88,361.58,361.84,362.07,361.87,364.11,362.06,362.2,362.32,344.76,345.0,0.1575,25900,3,0.98
54,362.93,361.48,361.81,362.02,361.84,364.03,362.08,362.1,362.36,344.89,345.0,0.1575,25900,3,0.98
55,362.95,361.38,361.76,361.93,361.78,364.03,362.08,362.07,362.36,344.97,345.0,0.1575,25900,3,0.98
56,362.95,361.32,361.71,361.98,361.72,363.76,362.08,362.14,362.35,345.09,345.0,0.1575,25900,3,0.98
57,362.93,361.34,361.67,361.97,361.67,363.91,362.07,362.23,362.29,345.21,345.0,0.1575,25900,3,0.98
58,362.88,361.38,361.64,361.96,361.6,363.83,362.07,362.16,362.19,345.35,345.0,0.1575,25900,3,0.98
59,362.81,361.39,361.61,361.96,361.53,363.76,362.08,362.14,362.08,345.49,345.0,0.1575,25900,3,0.98
60,362.79,361.41,361.58,361.93,361.46,363.7,362.05,362.04,361.95,345.61,345.0,0.1575,25900,3,0.98
61,362.79,361.41,361.53,361.94,361.41,363.65,361.95,362.13,361.86,345.73,345.0,0.1575,25900,3,0.98
62,362.84,361.45,361.48,361.94,361.36,363.61,361.69,362.09,361.81,345.91,345.0,0.1575,25900,3,0.98
63,362.88,361.51,361.45,361.95,361.33,363.6,361.35,362.0,361.76,346.05,345.0,0.1575,25900,3,0.98
64,362.84,361.52,361.41,361.95,361.32,363.58,361.11,361.9,361.73,346.16,345.0,0.1575,25900,3,0.98
65,362.78,361.51,361.36,361.97,361.31,363.55,360.89,361.82,361.71,346.29,345.0,0.1575,25900,3,0.98
66,362.75,361.53,361.32,362.0,361.32,363.5,360.77,361.75,361.71,346.41,345.0,0.1575,25900,3,0.98
67,362.72,361.51,361.28,362.01,361.34,363.47,360.7,361.64,361.71,346.52,345.0,0.1575,25900,3,0.98
68,362.71,361.46,361.26,362.01,361.37,363.47,360.68,361.57,361.74,346.62,345.0,0.1575,25900,3,0.98
69,362.7,361.41,361.22,362.0,361.41,363.48,360.71,361.55,361.79,346.74,345.0,0.1575,25900,3,0.98
70,362.71,361.4,361.16,362.01,361.43,363.49,360.76,361.54,361.83,346.88,345.0,0.1575,25900,3,0.98
71,362.72,361.43,361.07,362.01,361.48,363.48,360.88,361.49,361.84,347.09,345.0,0.1575,25900,3,0.98
72,362.63,361.47,361.01,362.03,361.52,363.51,361.04,361.45,361.81,347.31,345.0,0.1575,25900,3,0.98
73,362.54,361.46,360.97,362.03,361.54,363.51,361.14,361.42,361.68,347.42,345.0,0.1575,25900,3,0.98
74,362.45,361.43,360.93,362.05,361.58,363.52,361.24,361.42,361.46,347.5,345.0,0.1575,25900,3,0.98
75,362.39,361.41,360.9,362.06,361.61,363.52,361.33,361.46,361.3,347.56,345.0,0.1575,25900,3,0.98
76,362.37,361.37,360.88,362.06,361.64,363.51,361.4,361.51,361.2,347.61,345.0,0.1575,25900,3,0.98
77,362.39,361.34,360.89,362.08,361.67,363.53,361.49,361.64,361.15,347.65,345.0,0.1575,25900,3,0.98
78,362.4,361.37,360.91,362.07,361.71,363.54,361.59,361.8,361.14,347.65,345.0,0.1575,25900,3,0.98
79,362.4,361.38,360.94,362.05,361.73,363.57,361.67,361.99,361.13,347.66,345.0,0.1575,25900,3,0.98
80,362.43,361.36,360.99,362.03,361.73,363.61,361.71,362.18,361.08,347.7,345.0,0.1575,25900,3,0.98
81,362.45,361.3,361.05,361.99,361.72,363.55,361.69,362.29,361.05,347.74,345.0,0.1575,25900,3,0.98
82,362.45,361.28,361.08,361.94,361.71,363.69,361.69,362.33,361.08,347.75,345.0,0.1575,25900,3,0.98
83,362.44,361.26,361.1,361.9,361.7,363.71,361.67,362.31,361.17,347.76,345.0,0.1575,25900,3,0.98
84,362.43,361.21,361.11,361.86,361.67,363.72,361.63,362.29,361.28,347.77,345.0,0.1575,25900,3,0.98
85,362.42,361.18,361.11,361.86,361.63,363.7,361.64,362.31,361.44,347.81,345.0,0.1575,25900,3,0.98
86,362.42,361.15,361.12,361.88,361.61,363.66,361.63,362.41,361.59,347.88,345.0,0.1575,25900,3,0.98
87,362.39,361.11,361.12,361.89,361.58,363.61,361.59,362.51,361.7,347.97,345.0,0.1575,25900,3,0.98
88,362.34,361.05,361.12,361.89,361.57,363.56,361.49,362.57,361.78,348.06,345.0,0.1575,25900,3,0.98
89,362.33,361.02,361.14,361.9,361.56,363.57,361.32,362.58,361.85,348.14,345.0,0.1575,25900,3,0.98
