Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,h,flux,abs,surf
0,359.31,358.71,359.64,360.4,359.59,361.4,358.75,359.5,357.6,336.39,345.0,0.1575,25900,100,0.98
1,359.26,358.62,359.56,360.33,359.53,361.37,358.71,359.52,357.7,336.19,346.0,0.1575,25900,100,0.98
2,359.2,358.54,359.49,360.29,359.48,361.34,358.68,359.53,357.81,336.08,346.0,0.1575,25900,100,0.98
3,359.16,358.48,359.41,360.24,359.43,361.32,358.64,359.53,357.94,336.04,347.0,0.1575,25900,100,0.98
4,359.14,358.43,359.34,360.19,359.39,361.29,358.62,359.5,358.03,336.02,347.0,0.1575,25900,100,0.98
5,359.12,358.38,359.29,360.12,359.34,361.25,358.6,359.44,358.09,336.03,347.0,0.1575,25900,100,0.98
6,359.1,358.32,359.25,360.09,359.31,361.23,358.58,359.4,358.13,336.06,348.0,0.1575,25900,100,0.98
7,359.07,358.26,359.21,360.04,359.28,361.21,358.59,359.36,358.16,336.12,348.0,0.1575,25900,100,0.98
8,359.02,358.18,359.15,359.98,359.22,361.17,358.59,359.33,358.2,336.26,349.0,0.1575,25900,100,0.98
9,358.95,358.14,359.08,359.91,359.16,361.13,358.59,359.32,358.23,336.46,350.0,0.1575,25900,100,0.98
10,358.93,358.13,359.05,359.87,359.14,361.11,358.6,359.32,358.27,336.61,350.0,0.1575,25900,100,0.98
11,358.91,358.13,359.01,359.84,359.11,361.09,358.59,359.32,358.33,336.75,351.0,0.1575,25900,100,0.98
12,358.89,358.12,359.0,359.79,359.08,361.06,358.57,359.31,358.41,336.88,352.0,0.1575,25900,100,0.98
13,358.88,358.09,358.97,359.74,359.05,361.03,358.55,359.3,358.5,337.01,353.0,0.1575,25900,100,0.98
14,358.86,358.09,358.95,359.72,359.02,361.0,358.53,359.29,358.61,337.14,353.0,0.1575,25900,100,0.98
15,358.85,358.08,358.95,359.69,358.99,360.99,358.52,359.27,358.71,337.28,354.0,0.1575,25900,100,0.98
16,358.83,358.07,358.93,359.66,358.96,360.97,358.51,359.27,358.81,337.43,354.0,0.1575,25900,100,0.98
17,358.81,358.07,358.93,359.63,358.93,360.94,358.49,359.25,358.95,337.7,354.0,0.1575,25900,100,0.98
18,358.79,358.09,358.92,359.61,358.9,360.92,358.47,359.25,359.07,337.98,355.0,0.1575,25900,100,0.98
19,358.77,358.09,358.91,359.59,358.88,360.9,358.46,359.25,359.15,338.21,355.0,0.1575,25900,100,0.98
20,358.76,358.1,358.89,359.57,358.87,360.88,358.45,359.24,359.24,338.47,356.0,0.1575,25900,100,0.98
21,358.75,358.1,358.88,359.53,358.86,360.86,358.43,359.23,359.31,338.75,356.0,0.1575,25900,100,0.98
22,358.74,358.1,358.86,359.51,358.84,360.83,358.42,359.23,359.41,339.05,357.0,0.1575,25900,100,0.98
23,358.71,358.09,358.83,359.5,358.84,360.83,358.41,359.25,359.52,339.37,357.0,0.1575,25900,100,0.98
24,358.7,358.07,358.81,359.46,358.82,360.81,358.4,359.24,359.64,339.71,358.0,0.1575,25900,100,0.98
25,358.68,358.06,358.8,359.45,358.81,360.79,358.4,359.24,359.78,340.04,358.0,0.1575,25900,100,0.98
26,358.64,358.03,358.78,359.42,358.8,360.78,358.39,359.25,359.96,340.52,358.0,0.1575,25900,100,0.98
27,358.6,358.0,358.74,359.41,358.79,360.77,358.38,359.25,360.13,340.99,359.0,0.1575,25900,100,0.98
28,358.57,357.98,358.73,359.38,358.78,360.75,358.38,359.24,360.24,341.29,359.0,0.1575,25900,100,0.98
29,358.54,357.96,358.71,359.37,358.78,360.74,358.38,359.23,360.36,341.58,359.0,0.1575,25900,100,0.98
30,358.51,357.93,358.68,359.36,358.76,360.73,358.37,359.22,360.47,341.88,360.0,0.1575,25900,100,0.98
31,358.47,357.91,358.67,359.34,358.75,360.72,358.37,359.22,360.58,342.16,360.0,0.1575,25900,100,0.98
32,358.43,357.89,358.65,359.33,358.73,360.72,358.36,359.21,360.68,342.44,361.0,0.1575,25900,100,0.98
33,358.4,357.86,358.64,359.32,358.73,360.7,358.35,359.2,360.79,342.75,361.0,0.1575,25900,100,0.98
34,358.39,357.85,358.63,359.3,358.71,360.69,358.35,359.19,360.87,343.05,362.0,0.1575,25900,100,0.98
35,358.33,357.81,358.59,359.29,358.7,360.68,358.34,359.19,361.02,343.54,362.0,0.1575,25900,100,0.98
36,358.3,357.8,358.58,359.27,358.69,360.67,358.33,359.18,361.16,344.03,363.0,0.1575,25900,100,0.98
37,358.28,357.78,358.57,359.25,358.68,360.65,358.32,359.17,361.26,344.35,363.0,0.1575,25900,100,0.98
38,358.25,357.75,358.55,359.24,358.67,360.64,358.31,359.16,361.37,344.67,363.0,0.1575,25900,100,0.98
39,358.23,357.74,358.53,359.23,358.65,360.63,358.3,359.16,361.48,345.01,364.0,0.1575,25900,100,0.98
40,358.2,357.72,358.52,359.21,358.65,360.6,358.3,359.15,361.58,345.33,364.0,0.1575,25900,100,0.98
41,358.17,357.7,358.5,359.19,358.63,360.57,358.28,359.14,361.68,345.67,364.0,0.1575,25900,100,0.98
42,358.14,357.68,358.49,359.18,358.61,360.56,358.26,359.14,361.79,346.02,365.0,0.1575,25900,100,0.98
43,358.11,357.66,358.47,359.16,358.61,360.55,358.27,359.13,361.9,346.38,365.0,0.1575,25900,100,0.98
44,358.08,357.63,358.45,359.14,358.59,360.53,358.25,359.11,362.07,346.86,366.0,0.1575,25900,100,0.98
45,358.04,357.6,358.42,359.12,358.57,360.52,358.23,359.1,362.25,347.32,366.0,0.1575,25900,100,0.98
46,358.02,357.59,358.41,359.12,358.56,360.51,358.22,359.1,362.37,347.63,366.0,0.1575,25900,100,0.98
47,357.99,357.57,358.4,359.11,358.55,360.5,358.21,359.08,362.49,347.95,367.0,0.1575,25900,100,0.98
48,357.97,357.56,358.4,359.1,358.53,360.49,358.21,359.08,362.61,348.26,367.0,0.1575,25900,100,0.98
49,357.95,357.55,358.4,359.07,358.54,360.47,358.22,359.06,362.71,348.57,368.0,0.1575,25900,100,0.98
50,357.92,357.53,358.39,359.04,358.52,360.45,358.2,359.05,362.81,348.86,368.0,0.1575,25900,100,0.98
51,357.89,357.51,358.36,359.04,358.51,360.44,358.19,359.04,362.9,349.15,368.0,0.1575,25900,100,0.98
52,357.86,357.49,358.35,359.02,358.5,360.43,358.18,359.04,362.99,349.43,369.0,0.1575,25900,100,0.98
53,357.81,357.46,358.33,359.01,358.48,360.42,358.17,359.02,363.12,349.85,369.0,0.1575,25900,100,0.98
54,357.76,357.42,358.3,358.99,358.46,360.4,358.14,359.02,363.25,350.27,369.0,0.1575,25900,100,0.98
55,357.73,357.4,358.3,358.99,358.45,360.4,358.14,359.02,363.33,350.57,370.0,0.1575,25900,100,0.98
56,357.7,357.39,358.29,358.97,358.44,360.38,358.14,359.01,363.41,350.85,370.0,0.1575,25900,100,0.98
57,357.67,357.36,358.28,358.96,358.44,360.37,358.12,358.99,363.5,351.12,370.0,0.1575,25900,100,0.98
58,357.64,357.34,358.26,358.95,358.43,360.36,358.12,358.98,363.59,351.4,371.0,0.1575,25900,100,0.98
59,357.62,357.31,358.26,358.92,358.41,360.35,358.12,358.98,363.68,351.67,371.0,0.1575,25900,100,0.98
60,357.58,357.3,358.26,358.91,358.41,360.33,358.11,358.97,363.77,351.93,371.0,0.1575,25900,100,0.98
61,357.55,357.27,358.24,358.89,358.39,360.33,358.1,358.97,363.85,352.19,372.0,0.1575,25900,100,0.98
62,357.5,357.23,358.23,358.87,358.39,360.32,358.09,358.95,363.99,352.59,372.0,0.1575,25900,100,0.98
63,357.44,357.2,358.21,358.87,358.37,360.3,358.08,358.96,364.12,352.96,372.0,0.1575,25900,100,0.98
64,357.41,357.17,358.2,358.85,358.36,360.29,358.07,358.94,364.21,353.21,373.0,0.1575,25900,100,0.98
65,357.38,357.14,358.19,358.84,358.36,360.27,358.07,358.93,364.3,353.45,373.0,0.1575,25900,100,0.98
66,357.35,357.12,358.18,358.82,358.35,360.27,358.06,358.92,364.37,353.68,373.0,0.1575,25900,100,0.98
67,357.31,357.09,358.17,358.81,358.35,360.25,358.05,358.92,364.45,353.92,373.0,0.1575,25900,100,0.98
68,357.28,357.06,358.16,358.81,358.34,360.24,358.05,358.92,364.53,354.17,374.0,0.1575,25900,100,0.98
69,357.24,357.04,358.15,358.8,358.33,360.23,358.05,358.91,364.62,354.41,374.0,0.1575,25900,100,0.98
70,357.21,357.01,358.14,358.8,358.32,360.23,358.04,358.91,364.69,354.64,374.0,0.1575,25900,100,0.98
71,357.15,356.96,358.12,358.78,358.3,360.21,358.02,358.9,364.81,354.96,374.0,0.1575,25900,100,0.98
72,357.09,356.92,358.08,358.77,358.29,360.2,358.01,358.9,364.92,355.28,375.0,0.1575,25900,100,0.98
73,357.06,356.9,358.08,358.76,358.29,360.19,358.01,358.9,365.0,355.5,375.0,0.1575,25900,100,0.98
74,357.02,356.87,358.07,358.75,358.28,360.19,358.0,358.89,365.08,355.71,376.0,0.1575,25900,100,0.98
75,356.97,356.84,358.05,358.74,358.27,360.18,357.99,358.89,365.16,355.93,376.0,0.1575,25900,100,0.98
76,356.94,356.83,358.03,358.73,358.26,360.17,357.99,358.89,365.24,356.19,376.0,0.1575,25900,100,0.98
77,356.91,356.79,358.03,358.71,358.26,360.15,357.99,358.88,365.31,356.47,376.0,0.1575,25900,100,0.98
78,356.88,356.75,358.01,358.7,358.23,360.15,357.97,358.89,365.39,356.72,377.0,0.1575,25900,100,0.98
79,356.83,356.72,357.99,358.7,358.23,360.14,357.96,358.88,365.47,357.0,377.0,0.1575,25900,100,0.98
80,356.77,356.69,357.98,358.67,358.23,360.13,357.96,358.87,365.59,357.42,377.0,0.1575,25900,100,0.98
81,356.72,356.64,357.97,358.66,358.22,360.12,357.95,358.87,365.7,357.78,378.0,0.1575,25900,100,0.98
82,356.68,356.61,357.93,358.67,358.21,360.13,357.95,358.87,365.76,358.01,378.0,0.1575,25900,100,0.98
83,356.64,356.59,357.93,358.65,358.21,360.12,357.94,358.87,365.84,358.24,378.0,0.1575,25900,100,0.98
84,356.6,356.55,357.91,358.64,358.19,360.1,357.94,358.86,365.92,358.48,378.0,0.1575,25900,100,0.98
85,356.56,356.52,357.9,358.61,358.18,360.09,357.93,358.85,366.0,358.74,379.0,0.1575,25900,100,0.98
86,356.52,356.49,357.89,358.6,358.17,360.08,357.93,358.85,366.09,358.98,379.0,0.1575,25900,100,0.98
87,356.49,356.47,357.88,358.59,358.17,360.07,357.93,358.84,366.16,359.25,379.0,0.1575,25900,100,0.98
88,356.45,356.45,357.87,358.58,358.16,360.06,357.92,358.84,366.23,359.49,380.0,0.1575,25900,100,0.98
89,356.39,356.39,357.85,358.56,358.15,360.05,357.91,358.84,366.33,359.83,380.0,0.1575,25900,100,0.98
90,356.32,356.35,357.83,358.56,358.13,360.05,357.9,358.84,366.45,360.17,381.0,0.1575,25900,100,0.98
91,356.3,356.32,357.82,358.55,358.13,360.04,357.91,358.83,366.54,360.41,381.0,0.1575,25900,100,0.98
92,356.25,356.29,357.82,358.54,358.12,360.03,357.9,358.83,366.62,360.68,381.0,0.1575,25900,100,0.98
93,356.21,356.26,357.8,358.53,358.11,360.02,357.9,358.83,366.68,360.95,381.0,0.1575,25900,100,0.98
94,356.16,356.22,357.78,358.51,358.1,360.01,357.88,358.82,366.74,361.21,381.0,0.1575,25900,100,0.98
95,356.14,356.2,357.77,358.51,358.09,360.0,357.87,358.82,366.82,361.45,382.0,0.1575,25900,100,0.98
96,356.09,356.16,357.75,358.5,358.08,359.99,357.86,358.81,366.91,361.66,382.0,0.1575,25900,100,0.98
97,356.04,356.13,357.74,358.48,358.07,359.96,357.85,358.8,366.98,361.88,382.0,0.1575,25900,100,0.98
98,355.99,356.08,357.73,358.48,358.07,359.96,357.85,358.81,367.1,362.21,382.0,0.1575,25900,100,0.98
99,355.92,356.03,357.71,358.46,358.05,359.96,357.83,358.8,367.21,362.56,383.0,0.1575,25900,100,0.98
100,355.89,356.0,357.7,358.46,358.05,359.94,357.83,358.79,367.28,362.78,383.0,0.1575,25900,100,0.98
101,355.85,355.98,357.69,358.46,358.05,359.94,357.83,358.79,367.36,363.0,383.0,0.1575,25900,100,0.98
102,355.82,355.94,357.68,358.44,358.04,359.93,357.82,358.79,367.45,363.21,383.0,0.1575,25900,100,0.98
103,355.77,355.92,357.67,358.43,358.04,359.92,357.82,358.79,367.51,363.4,383.0,0.1575,25900,100,0.98
104,355.74,355.89,357.66,358.42,358.03,359.9,357.81,358.78,367.59,363.62,383.0,0.1575,25900,100,0.98
105,355.69,355.85,357.64,358.41,358.02,359.89,357.8,358.77,367.67,363.85,384.0,0.1575,25900,100,0.98
106,355.66,355.83,357.63,358.4,358.02,359.88,357.8,358.77,367.75,364.08,384.0,0.1575,25900,100,0.98
107,355.6,355.78,357.6,358.39,358.0,359.87,357.78,358.76,367.85,364.44,384.0,0.1575,25900,100,0.98
108,355.54,355.73,357.58,358.36,357.99,359.86,357.77,358.75,367.96,364.76,384.0,0.1575,25900,100,0.98
