Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
571,362.19,358.26,333.06,183.66,124.89,82.55,64.62,52.62,42.62,40.52,0.0375,25900,3,0.98
572,362.24,358.3,332.63,183.57,124.75,82.47,64.61,52.71,42.62,40.45,0.0375,25900,3,0.98
573,362.55,358.94,332.55,183.51,124.68,82.44,64.79,52.91,42.8,40.41,0.0375,25900,3,0.98
574,362.82,359.44,332.7,183.64,124.69,82.52,65.04,53.29,43.01,40.4,0.0375,25900,3,0.98
575,363.11,359.92,332.86,183.88,124.72,82.53,65.26,53.63,43.24,40.41,0.0375,25900,3,0.98
576,363.5,360.43,333.0,183.95,124.76,82.52,65.49,53.88,43.52,40.45,0.0375,25900,3,0.98
577,363.89,360.91,333.09,184.13,124.85,82.51,65.69,54.08,43.79,40.51,0.0375,25900,3,0.98
578,364.21,361.4,333.13,184.44,124.98,82.53,65.87,54.28,44.06,40.58,0.0375,25900,3,0.98
579,364.51,361.94,333.16,184.72,125.12,82.61,66.08,54.53,44.32,40.69,0.0375,25900,3,0.98
580,364.7,362.38,333.18,185.07,125.28,82.72,66.32,54.86,44.59,40.79,0.0375,25900,3,0.98
581,364.92,363.0,333.3,185.39,125.57,82.81,66.75,55.19,45.0,40.99,0.0375,25900,3,0.98
582,365.13,363.52,333.53,185.95,125.88,83.05,67.17,55.58,45.38,41.22,0.0375,25900,3,0.98
583,365.2,363.8,333.8,186.32,126.14,83.17,67.5,55.85,45.66,41.4,0.0375,25900,3,0.98
584,365.18,364.07,334.05,186.63,126.4,83.25,67.81,56.05,45.92,41.59,0.0375,25900,3,0.98
585,365.13,364.32,334.27,187.11,126.69,83.39,68.04,56.2,46.15,41.8,0.0375,25900,3,0.98
586,365.12,364.58,334.55,187.48,126.96,83.54,68.32,56.39,46.38,42.02,0.0375,25900,3,0.98
587,365.19,364.77,334.83,187.81,127.25,83.72,68.57,56.63,46.59,42.25,0.0375,25900,3,0.98
588,365.31,364.92,335.13,188.23,127.53,83.88,68.8,56.8,46.8,42.5,0.0375,25900,3,0.98
589,365.49,365.05,335.46,188.63,127.82,84.11,69.01,57.1,47.0,42.74,0.0375,25900,3,0.98
590,365.87,365.2,335.85,189.08,128.24,84.34,69.34,57.31,47.32,43.15,0.0375,25900,3,0.98
591,366.25,365.32,336.2,189.33,128.66,84.3,69.69,57.45,47.64,43.58,0.0375,25900,3,0.98
592,366.25,365.39,336.43,189.64,128.91,84.62,69.97,57.69,47.88,43.89,0.0375,25900,3,0.98
593,366.19,365.4,336.65,189.95,129.19,84.83,70.19,57.95,48.1,44.2,0.0375,25900,3,0.98
594,366.23,365.42,336.83,190.41,129.47,85.01,70.42,58.11,48.31,44.52,0.0375,25900,3,0.98
595,366.37,365.42,336.92,190.8,129.76,85.27,70.66,58.34,48.51,44.84,0.0375,25900,3,0.98
596,366.52,365.44,336.94,191.17,130.05,85.49,70.92,58.68,48.73,45.19,0.0375,25900,3,0.98
597,366.67,365.45,337.0,191.48,130.33,85.78,71.17,58.88,48.97,45.54,0.0375,25900,3,0.98
598,366.77,365.51,337.08,191.69,130.62,85.87,71.4,59.09,49.21,45.91,0.0375,25900,3,0.98
599,366.69,365.65,337.24,192.04,131.06,86.15,71.78,59.33,49.58,46.47,0.0375,25900,3,0.98
600,366.63,365.7,337.39,192.31,131.49,86.36,72.18,59.64,49.96,47.05,0.0375,25900,3,0.98
601,366.69,365.72,337.51,192.65,131.78,86.64,72.46,59.95,50.25,47.45,0.0375,25900,3,0.98
602,366.79,365.78,337.64,192.93,132.06,86.88,72.75,60.25,50.54,47.87,0.0375,25900,3,0.98
603,366.94,365.85,337.75,193.16,132.36,87.08,72.97,60.39,50.81,48.29,0.0375,25900,3,0.98
604,367.08,365.95,337.83,193.47,132.65,87.26,73.18,60.71,51.07,48.71,0.0375,25900,3,0.98
605,367.19,366.0,337.92,193.74,132.96,87.56,73.41,60.87,51.34,49.14,0.0375,25900,3,0.98
606,367.22,365.95,338.04,194.14,133.28,87.77,73.63,61.04,51.59,49.56,0.0375,25900,3,0.98
607,367.21,365.95,338.19,194.2,133.6,88.06,73.85,61.27,51.83,50.0,0.0375,25900,3,0.98
608,367.18,365.88,338.41,194.79,134.08,88.29,74.14,61.43,52.16,50.64,0.0375,25900,3,0.98
609,367.2,365.76,338.61,195.23,134.6,88.56,74.47,61.58,52.49,51.29,0.0375,25900,3,0.98
610,367.27,365.69,338.73,195.57,134.93,88.77,74.66,61.75,52.7,51.72,0.0375,25900,3,0.98
611,367.38,365.67,338.83,195.88,135.25,89.04,74.83,61.93,52.92,52.15,0.0375,25900,3,0.98
612,367.46,365.7,338.91,196.19,135.56,89.3,75.06,61.94,53.15,52.59,0.0375,25900,3,0.98
613,367.49,365.72,339.01,196.42,135.84,89.55,75.31,62.35,53.39,53.04,0.0375,25900,3,0.98
614,367.49,365.81,339.13,196.66,136.1,89.84,75.54,62.62,53.65,53.47,0.0375,25900,3,0.98
615,367.5,365.96,339.25,196.87,136.37,90.14,75.78,63.0,53.94,53.93,0.0375,25900,3,0.98
616,367.55,366.03,339.35,197.25,136.67,90.47,76.05,63.39,54.23,54.37,0.0375,25900,3,0.98
617,367.7,366.12,339.46,197.62,137.12,90.81,76.52,63.72,54.68,55.05,0.0375,25900,3,0.98
618,367.84,366.16,339.49,198.03,137.61,91.16,76.98,64.02,55.13,55.75,0.0375,25900,3,0.98
619,367.98,366.17,339.5,198.31,137.93,91.38,77.35,64.26,55.47,56.22,0.0375,25900,3,0.98
620,368.04,366.17,339.53,198.22,138.24,91.66,77.64,64.56,55.79,56.69,0.0375,25900,3,0.98
621,368.07,366.07,339.64,199.1,138.56,91.95,77.89,64.7,56.08,57.17,0.0375,25900,3,0.98
622,368.06,366.0,339.76,199.42,138.87,92.28,78.11,64.86,56.34,57.66,0.0375,25900,3,0.98
623,368.14,366.03,339.83,199.68,139.15,92.58,78.35,65.04,56.6,58.13,0.0375,25900,3,0.98
624,368.13,366.09,339.85,199.84,139.44,92.83,78.53,65.16,56.84,58.6,0.0375,25900,3,0.98
625,368.16,366.16,339.84,200.18,139.71,93.08,78.72,65.3,57.05,59.06,0.0375,25900,3,0.98
626,368.11,366.2,339.86,200.34,140.16,93.24,79.06,65.39,57.36,59.75,0.0375,25900,3,0.98
627,368.0,366.18,339.95,200.61,140.58,93.59,79.38,65.6,57.68,60.43,0.0375,25900,3,0.98
628,367.93,366.14,340.07,200.89,140.83,93.81,79.53,65.77,57.89,60.87,0.0375,25900,3,0.98
629,367.9,366.15,340.17,201.0,141.08,94.1,79.67,65.9,58.13,61.31,0.0375,25900,3,0.98
630,367.92,366.17,340.2,201.19,141.31,94.37,79.84,66.09,58.38,61.76,0.0375,25900,3,0.98
631,367.97,366.15,340.18,201.25,141.53,94.57,80.0,66.25,58.62,62.2,0.0375,25900,3,0.98
632,367.97,366.13,340.21,201.33,141.73,94.8,80.15,66.47,58.89,62.65,0.0375,25900,3,0.98
633,367.94,366.11,340.3,201.44,141.92,94.91,80.27,66.65,59.15,63.09,0.0375,25900,3,0.98
634,367.87,366.03,340.41,201.54,142.14,95.24,80.36,66.89,59.42,63.54,0.0375,25900,3,0.98
635,367.72,365.88,340.53,201.59,142.45,95.52,80.55,67.08,59.81,64.21,0.0375,25900,3,0.98
636,367.67,365.84,340.66,201.63,142.75,95.8,80.85,67.33,60.22,64.87,0.0375,25900,3,0.98
637,367.71,365.86,340.76,201.76,142.92,96.0,81.05,67.57,60.53,65.32,0.0375,25900,3,0.98
