Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
123,361.82,359.81,343.34,199.26,134.55,91.73,73.73,62.48,50.33,47.22,0.0375,25900,25,0.98
124,361.75,359.69,342.98,199.22,134.49,91.73,73.88,62.66,50.44,47.19,0.0375,25900,25,0.98
125,361.73,359.82,342.73,199.23,134.49,91.78,74.12,62.94,50.66,47.19,0.0375,25900,25,0.98
126,361.71,359.93,342.58,199.15,134.51,91.81,74.27,63.15,50.85,47.22,0.0375,25900,25,0.98
127,361.68,360.04,342.45,198.98,134.53,91.85,74.4,63.28,51.02,47.24,0.0375,25900,25,0.98
128,361.66,360.09,342.35,198.78,134.52,91.9,74.55,63.41,51.19,47.28,0.0375,25900,25,0.98
129,361.64,360.14,342.27,198.54,134.5,91.92,74.69,63.5,51.37,47.34,0.0375,25900,25,0.98
130,361.64,360.22,342.19,198.32,134.46,91.96,74.81,63.58,51.54,47.4,0.0375,25900,25,0.98
131,361.66,360.3,342.12,198.2,134.43,91.99,74.89,63.63,51.71,47.46,0.0375,25900,25,0.98
132,361.68,360.35,342.0,198.0,134.4,92.04,74.99,63.78,51.87,47.53,0.0375,25900,25,0.98
133,361.71,360.44,341.82,197.9,134.45,92.1,75.16,63.95,52.13,47.67,0.0375,25900,25,0.98
134,361.75,360.55,341.63,197.84,134.52,92.17,75.33,64.11,52.39,47.82,0.0375,25900,25,0.98
135,361.79,360.66,341.51,197.81,134.61,92.23,75.38,64.2,52.52,47.93,0.0375,25900,25,0.98
136,361.81,360.74,341.48,197.85,134.69,92.31,75.54,64.39,52.69,48.05,0.0375,25900,25,0.98
137,361.83,360.8,341.47,197.83,134.74,92.4,75.67,64.58,52.84,48.16,0.0375,25900,25,0.98
138,361.87,360.83,341.41,197.86,134.82,92.47,75.82,64.71,53.01,48.29,0.0375,25900,25,0.98
139,361.92,360.88,341.34,197.93,134.92,92.59,76.03,64.95,53.21,48.43,0.0375,25900,25,0.98
140,361.98,360.95,341.24,198.02,135.05,92.71,76.18,65.14,53.41,48.57,0.0375,25900,25,0.98
141,362.03,361.02,341.18,198.16,135.21,92.87,76.33,65.34,53.59,48.73,0.0375,25900,25,0.98
142,362.1,361.16,341.23,198.23,135.44,93.01,76.67,65.58,53.85,48.97,0.0375,25900,25,0.98
143,362.17,361.29,341.32,198.21,135.64,93.16,76.94,65.73,54.08,49.21,0.0375,25900,25,0.98
144,362.22,361.38,341.35,198.19,135.77,93.32,77.14,65.95,54.23,49.38,0.0375,25900,25,0.98
145,362.29,361.5,341.39,198.22,135.93,93.44,77.35,66.1,54.4,49.56,0.0375,25900,25,0.98
146,362.35,361.63,341.39,198.29,136.13,93.64,77.59,66.33,54.58,49.75,0.0375,25900,25,0.98
147,362.4,361.73,341.35,198.39,136.3,93.83,77.84,66.65,54.8,49.93,0.0375,25900,25,0.98
148,362.45,361.84,341.32,198.57,136.47,94.02,78.1,66.95,55.05,50.14,0.0375,25900,25,0.98
149,362.5,361.92,341.3,198.76,136.66,94.22,78.29,67.17,55.25,50.35,0.0375,25900,25,0.98
150,362.55,362.0,341.31,198.89,136.83,94.41,78.5,67.32,55.44,50.56,0.0375,25900,25,0.98
151,362.62,362.11,341.32,199.12,137.12,94.6,78.78,67.52,55.74,50.88,0.0375,25900,25,0.98
152,362.69,362.21,341.28,199.31,137.45,94.75,79.11,67.7,56.11,51.22,0.0375,25900,25,0.98
153,362.74,362.29,341.25,199.6,137.64,94.95,79.34,67.94,56.33,51.46,0.0375,25900,25,0.98
154,362.78,362.35,341.21,199.76,137.79,95.13,79.55,68.1,56.58,51.69,0.0375,25900,25,0.98
155,362.84,362.42,341.17,199.86,137.94,95.32,79.76,68.33,56.81,51.93,0.0375,25900,25,0.98
156,362.89,362.5,341.14,199.96,138.13,95.52,79.87,68.5,57.01,52.17,0.0375,25900,25,0.98
