Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
493,362.89,358.37,335.26,192.26,129.6,83.18,64.58,51.85,41.29,38.75,0.0375,25900,25,0.98
494,362.82,358.25,335.22,192.31,129.6,83.24,64.7,51.93,41.28,38.73,0.0375,25900,25,0.98
495,362.89,358.44,335.27,192.46,129.6,83.25,64.96,52.16,41.41,38.73,0.0375,25900,25,0.98
496,363.01,358.77,335.45,192.62,129.64,83.32,65.28,52.62,41.63,38.75,0.0375,25900,25,0.98
497,363.18,358.99,335.78,192.85,129.7,83.52,65.63,53.1,41.9,38.79,0.0375,25900,25,0.98
498,363.4,359.09,336.09,193.1,129.77,83.6,65.95,53.31,42.19,38.89,0.0375,25900,25,0.98
499,363.65,359.25,336.3,193.27,129.85,83.64,66.25,53.62,42.45,38.99,0.0375,25900,25,0.98
500,364.03,359.53,336.69,193.49,130.02,83.78,66.67,53.86,42.8,39.15,0.0375,25900,25,0.98
501,364.4,359.94,337.12,193.73,130.23,83.95,67.07,54.12,43.16,39.35,0.0375,25900,25,0.98
502,364.64,360.28,337.37,193.9,130.4,84.2,67.39,54.33,43.44,39.5,0.0375,25900,25,0.98
503,364.87,360.68,337.55,194.03,130.59,84.27,67.71,54.76,43.72,39.67,0.0375,25900,25,0.98
504,365.09,361.1,337.63,194.09,130.78,84.37,67.97,55.01,43.97,39.87,0.0375,25900,25,0.98
505,365.31,361.46,337.75,194.57,130.98,84.77,68.25,55.31,44.19,40.06,0.0375,25900,25,0.98
506,365.52,361.83,337.87,194.84,131.2,85.03,68.52,55.44,44.37,40.27,0.0375,25900,25,0.98
507,365.72,362.21,337.96,194.96,131.47,85.14,68.81,55.58,44.57,40.49,0.0375,25900,25,0.98
508,365.91,362.56,338.11,195.48,131.72,85.31,69.06,55.78,44.76,40.73,0.0375,25900,25,0.98
509,366.19,363.05,338.4,195.59,132.11,85.37,69.41,55.83,45.03,41.11,0.0375,25900,25,0.98
510,366.42,363.49,338.74,195.84,132.51,85.54,69.78,56.14,45.3,41.52,0.0375,25900,25,0.98
511,366.57,363.71,339.05,196.14,132.8,85.69,70.0,56.41,45.49,41.81,0.0375,25900,25,0.98
512,366.71,363.92,339.33,196.44,133.09,85.95,70.22,56.67,45.7,42.12,0.0375,25900,25,0.98
513,366.82,364.14,339.51,196.8,133.39,86.15,70.48,56.93,45.94,42.43,0.0375,25900,25,0.98
514,366.9,364.3,339.63,197.16,133.67,86.45,70.76,57.36,46.23,42.78,0.0375,25900,25,0.98
515,366.99,364.44,339.83,197.53,133.96,86.68,71.06,57.77,46.55,43.16,0.0375,25900,25,0.98
516,367.11,364.54,340.04,197.9,134.26,87.01,71.35,58.03,46.89,43.55,0.0375,25900,25,0.98
517,367.18,364.6,340.3,198.47,134.57,87.1,71.62,58.35,47.22,43.95,0.0375,25900,25,0.98
518,367.23,364.7,340.62,198.9,135.07,87.31,72.11,58.75,47.73,44.59,0.0375,25900,25,0.98
519,367.27,364.8,340.87,199.27,135.51,87.64,72.64,59.11,48.25,45.28,0.0375,25900,25,0.98
520,367.33,364.86,341.01,199.67,135.8,87.96,72.93,59.48,48.57,45.76,0.0375,25900,25,0.98
521,367.37,364.9,341.17,199.92,136.08,88.2,73.21,59.66,48.85,46.23,0.0375,25900,25,0.98
522,367.42,364.96,341.39,200.17,136.38,88.44,73.49,59.9,49.13,46.74,0.0375,25900,25,0.98
523,367.48,365.03,341.62,200.3,136.68,88.53,73.74,60.03,49.4,47.25,0.0375,25900,25,0.98
524,367.53,365.13,341.82,200.62,136.98,88.94,73.96,60.17,49.66,47.77,0.0375,25900,25,0.98
525,367.56,365.26,342.01,200.86,137.26,89.15,74.22,60.47,49.92,48.28,0.0375,25900,25,0.98
526,367.62,365.43,342.15,201.2,137.55,89.42,74.46,60.74,50.19,48.81,0.0375,25900,25,0.98
527,367.78,365.69,342.41,201.59,138.03,89.86,74.81,61.07,50.58,49.63,0.0375,25900,25,0.98
528,367.91,365.96,342.7,201.77,138.52,90.05,75.24,61.25,50.98,50.44,0.0375,25900,25,0.98
529,367.97,366.12,342.88,202.11,138.86,90.42,75.49,61.55,51.26,51.01,0.0375,25900,25,0.98
530,368.0,366.22,343.03,202.32,139.17,90.77,75.75,61.73,51.52,51.56,0.0375,25900,25,0.98
531,368.03,366.28,343.08,202.58,139.51,90.97,76.05,62.03,51.8,52.12,0.0375,25900,25,0.98
532,368.03,366.36,343.03,203.0,139.84,91.21,76.32,62.41,52.11,52.68,0.0375,25900,25,0.98
533,368.02,366.43,343.0,203.52,140.2,91.58,76.6,62.67,52.45,53.27,0.0375,25900,25,0.98
534,368.06,366.48,343.02,203.97,140.56,92.01,76.86,62.99,52.79,53.85,0.0375,25900,25,0.98
535,368.16,366.52,343.11,204.16,140.93,92.11,77.13,63.16,53.12,54.44,0.0375,25900,25,0.98
536,368.31,366.61,343.25,204.38,141.4,92.39,77.46,63.33,53.57,55.34,0.0375,25900,25,0.98
537,368.43,366.71,343.43,204.46,141.84,92.7,77.71,63.42,53.98,56.25,0.0375,25900,25,0.98
538,368.43,366.8,343.61,204.53,142.08,92.92,77.82,63.53,54.22,56.85,0.0375,25900,25,0.98
539,368.41,366.86,343.79,204.54,142.32,93.22,77.92,63.57,54.45,57.45,0.0375,25900,25,0.98
540,368.42,366.89,343.98,204.64,142.56,93.42,78.08,63.67,54.68,58.05,0.0375,25900,25,0.98
541,368.44,366.9,344.1,204.8,142.77,93.72,78.19,63.76,54.91,58.64,0.0375,25900,25,0.98
542,368.49,366.94,344.21,204.94,142.96,93.78,78.31,63.91,55.15,59.25,0.0375,25900,25,0.98
543,368.57,366.96,344.28,205.05,143.15,94.09,78.48,64.12,55.4,59.83,0.0375,25900,25,0.98
544,368.68,366.99,344.36,205.35,143.35,94.27,78.71,64.27,55.66,60.44,0.0375,25900,25,0.98
545,368.88,367.14,344.43,205.71,143.62,94.6,79.0,64.47,56.05,61.32,0.0375,25900,25,0.98
546,369.12,367.35,344.45,205.9,143.9,94.81,79.27,64.7,56.48,62.22,0.0375,25900,25,0.98
547,369.17,367.46,344.43,206.15,144.11,95.04,79.44,64.91,56.76,62.8,0.0375,25900,25,0.98
548,369.16,367.54,344.49,206.28,144.34,95.34,79.69,65.17,57.08,63.42,0.0375,25900,25,0.98
549,369.13,367.59,344.61,206.41,144.57,95.61,79.95,65.37,57.4,64.0,0.0375,25900,25,0.98
550,369.1,367.58,344.72,206.56,144.79,95.93,80.21,65.67,57.73,64.61,0.0375,25900,25,0.98
551,369.14,367.53,344.82,206.52,144.97,96.02,80.45,65.82,58.08,65.21,0.0375,25900,25,0.98
552,369.16,367.47,344.85,206.65,145.14,96.29,80.65,66.06,58.43,65.82,0.0375,25900,25,0.98
553,369.19,367.5,344.87,206.66,145.32,96.63,80.85,66.27,58.76,66.42,0.0375,25900,25,0.98
