Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
193,364.81,358.6,287.88,161.02,110.2,74.14,57.79,48.25,38.56,36.29,0.0375,25900,100,0.98
194,364.71,358.21,287.28,160.74,110.05,74.07,57.88,48.27,38.59,36.3,0.0375,25900,100,0.98
195,364.63,357.74,286.81,160.57,109.94,74.02,58.02,48.32,38.67,36.34,0.0375,25900,100,0.98
196,364.56,357.47,286.43,160.35,109.85,73.96,58.18,48.45,38.81,36.4,0.0375,25900,100,0.98
197,364.48,357.44,286.1,160.16,109.76,73.91,58.35,48.58,38.96,36.49,0.0375,25900,100,0.98
198,364.32,357.53,285.72,160.01,109.66,73.9,58.61,48.74,39.22,36.63,0.0375,25900,100,0.98
199,364.16,357.59,285.3,159.89,109.6,73.89,58.93,48.93,39.5,36.8,0.0375,25900,100,0.98
200,364.06,357.59,285.05,159.9,109.62,73.92,59.21,49.2,39.73,36.95,0.0375,25900,100,0.98
201,364.01,357.63,284.94,159.94,109.65,73.97,59.45,49.43,39.95,37.1,0.0375,25900,100,0.98
202,363.95,357.65,284.9,160.03,109.71,74.01,59.75,49.66,40.23,37.28,0.0375,25900,100,0.98
203,363.9,357.68,284.83,160.24,109.79,74.1,60.04,50.05,40.53,37.48,0.0375,25900,100,0.98
204,363.85,357.73,284.77,160.49,109.92,74.22,60.38,50.41,40.85,37.71,0.0375,25900,100,0.98
205,363.81,357.83,284.69,160.72,110.07,74.37,60.73,50.77,41.16,37.96,0.0375,25900,100,0.98
206,363.76,358.0,284.74,160.95,110.25,74.53,61.07,51.12,41.47,38.22,0.0375,25900,100,0.98
207,363.73,358.21,284.83,161.2,110.45,74.68,61.38,51.39,41.77,38.49,0.0375,25900,100,0.98
208,363.68,358.53,285.01,161.35,110.73,74.84,61.76,51.62,42.17,38.93,0.0375,25900,100,0.98
209,363.66,358.84,285.19,161.48,111.01,74.95,62.11,51.74,42.55,39.42,0.0375,25900,100,0.98
210,363.66,359.02,285.35,161.6,111.18,75.11,62.31,51.97,42.81,39.75,0.0375,25900,100,0.98
211,363.65,359.18,285.56,161.71,111.36,75.27,62.54,52.2,43.05,40.1,0.0375,25900,100,0.98
212,363.66,359.32,285.55,161.87,111.53,75.43,62.77,52.4,43.3,40.47,0.0375,25900,100,0.98
213,363.67,359.49,285.53,162.07,111.72,75.6,62.99,52.6,43.54,40.85,0.0375,25900,100,0.98
214,363.68,359.64,285.52,162.25,111.9,75.78,63.2,52.79,43.78,41.24,0.0375,25900,100,0.98
215,363.68,359.8,285.61,162.4,112.08,75.97,63.45,53.01,44.0,41.66,0.0375,25900,100,0.98
216,363.7,360.04,285.85,162.45,112.37,76.1,63.72,53.12,44.32,42.29,0.0375,25900,100,0.98
217,363.69,360.27,286.19,162.52,112.66,76.28,64.03,53.32,44.62,42.95,0.0375,25900,100,0.98
218,363.69,360.44,286.39,162.65,112.84,76.46,64.22,53.51,44.83,43.39,0.0375,25900,100,0.98
219,363.68,360.64,286.52,162.79,113.03,76.64,64.43,53.77,45.06,43.85,0.0375,25900,100,0.98
220,363.67,360.83,286.61,162.96,113.22,76.84,64.67,54.05,45.29,44.32,0.0375,25900,100,0.98
221,363.67,361.04,286.63,163.11,113.39,77.04,64.9,54.32,45.55,44.81,0.0375,25900,100,0.98
222,363.66,361.25,286.75,163.26,113.59,77.23,65.11,54.49,45.78,45.31,0.0375,25900,100,0.98
223,363.66,361.43,286.99,163.33,113.77,77.37,65.3,54.59,46.01,45.81,0.0375,25900,100,0.98
224,363.66,361.6,287.29,163.39,113.94,77.56,65.46,54.73,46.22,46.32,0.0375,25900,100,0.98
225,363.65,361.84,287.72,163.47,114.21,77.76,65.7,54.87,46.55,47.09,0.0375,25900,100,0.98
226,363.67,362.08,288.1,163.46,114.46,77.95,65.9,54.96,46.87,47.88,0.0375,25900,100,0.98
227,363.67,362.25,288.3,163.48,114.62,78.13,66.02,55.02,47.08,48.42,0.0375,25900,100,0.98
228,363.68,362.42,288.46,163.56,114.78,78.3,66.19,55.17,47.3,48.97,0.0375,25900,100,0.98
229,363.67,362.57,288.53,163.72,114.94,78.49,66.36,55.37,47.57,49.51,0.0375,25900,100,0.98
230,363.67,362.72,288.58,163.81,115.09,78.62,66.5,55.5,47.82,50.05,0.0375,25900,100,0.98
