Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
640.0,360.63,359.18,359.91,358.92,350.67,238.05,147.87,88.92,48.24,41.24,0.084,25900,90,0.98
641.0,360.57,359.13,359.87,358.89,350.55,238.03,147.95,89.4,48.41,41.3,0.084,25900,90,0.98
642.0,360.52,359.05,359.83,358.86,350.43,238.16,148.25,90.07,48.78,41.42,0.084,25900,90,0.98
643.0,360.44,359,359.78,358.83,350.37,238.4,148.72,90.79,49.3,41.59,0.084,25900,90,0.98
644.0,360.39,358.96,359.73,358.81,350.36,238.67,149.17,91.54,49.71,41.73,0.084,25900,90,0.98
645.0,360.35,358.91,359.7,358.8,350.38,238.99,149.58,92.28,50.16,41.91,0.084,25900,90,0.98
646.0,360.3,358.87,359.65,358.79,350.41,239.33,150.08,92.98,50.63,42.1,0.084,25900,90,0.98
647.0,360.26,358.83,359.6,358.8,350.46,239.58,150.78,93.45,51.11,42.33,0.084,25900,90,0.98
648.0,360.23,358.78,359.55,358.81,350.53,239.94,151.56,94.19,51.63,42.6,0.084,25900,90,0.98
649.0,360.2,358.69,359.51,358.82,350.57,240.23,152.43,94.97,52.13,42.87,0.084,25900,90,0.98
650.0,360.12,358.63,359.41,358.82,350.62,240.48,153.63,95.68,52.86,43.32,0.084,25900,90,0.98
651.0,360.07,358.63,359.34,358.83,350.67,240.75,154.78,96.43,53.56,43.82,0.084,25900,90,0.98
652.0,360.04,358.64,359.3,358.85,350.72,241.07,155.45,96.99,53.99,44.16,0.084,25900,90,0.98
653.0,360.02,358.63,359.26,358.86,350.76,241.38,156,97.43,54.42,44.53,0.084,25900,90,0.98
654.0,360,358.64,359.24,358.85,350.83,241.53,156.5,97.79,54.85,44.9,0.084,25900,90,0.98
655.0,360,358.63,359.22,358.89,350.9,241.81,157.1,98.48,55.29,45.3,0.084,25900,90,0.98
656.0,359.97,358.63,359.18,358.91,350.98,242.1,157.79,99.2,55.75,45.69,0.084,25900,90,0.98
657.0,359.97,358.62,359.16,358.93,351.09,242.35,158.35,99.68,56.2,46.13,0.084,25900,90,0.98
658.0,359.96,358.62,359.15,358.95,351.21,242.55,158.77,100,56.65,46.58,0.084,25900,90,0.98
659.0,359.95,358.61,359.14,358.97,351.35,242.72,159.15,100.34,57.08,47.05,0.084,25900,90,0.98
660.0,359.94,358.59,359.12,359,351.56,242.91,159.61,100.78,57.76,47.77,0.084,25900,90,0.98
661.0,359.92,358.59,359.09,359.02,351.77,243.06,160.14,101.12,58.39,48.51,0.084,25900,90,0.98
662.0,359.92,358.58,359.08,359.05,351.91,243.29,160.46,101.54,58.78,49.02,0.084,25900,90,0.98
663.0,359.92,358.58,359.07,359.1,352.05,243.56,160.88,102.08,59.19,49.55,0.084,25900,90,0.98
664.0,359.92,358.58,359.06,359.15,352.19,243.9,161.35,102.68,59.59,50.08,0.084,25900,90,0.98
665.0,359.92,358.57,359.05,359.19,352.34,244.24,161.76,103.27,60.02,50.63,0.084,25900,90,0.98
666.0,359.91,358.56,359.04,359.22,352.49,244.61,162.13,103.84,60.44,51.17,0.084,25900,90,0.98
667.0,359.89,358.56,359.02,359.26,352.64,245.02,162.61,104.49,60.85,51.74,0.084,25900,90,0.98
668.0,359.89,358.56,359.01,359.29,352.79,245.31,163.1,104.87,61.27,52.32,0.084,25900,90,0.98
669.0,359.87,358.56,359,359.32,352.96,245.74,163.73,105.4,61.87,53.19,0.084,25900,90,0.98
670.0,359.84,358.54,358.97,359.36,353.13,246.14,164.25,105.94,62.47,54.07,0.084,25900,90,0.98
671.0,359.82,358.54,358.97,359.4,353.25,246.51,164.74,106.45,62.91,54.67,0.084,25900,90,0.98
672.0,359.8,358.54,358.96,359.44,353.39,246.87,165.31,106.97,63.38,55.3,0.084,25900,90,0.98
673.0,359.78,358.53,358.95,359.48,353.55,247.21,165.82,107.44,63.83,55.92,0.084,25900,90,0.98
674.0,359.77,358.52,358.93,359.52,353.7,247.56,166.22,107.87,64.25,56.56,0.084,25900,90,0.98
675.0,359.75,358.51,358.92,359.56,353.87,247.83,166.58,108.16,64.64,57.21,0.084,25900,90,0.98
676.0,359.73,358.5,358.91,359.59,354.04,248.23,166.89,108.71,65.05,57.85,0.084,25900,90,0.98
677.0,359.71,358.49,358.89,359.64,354.2,248.67,167.23,109.35,65.47,58.48,0.084,25900,90,0.98
