Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
398.0,361.04,359.61,360.6,359.43,350.52,243.38,163.68,110.25,64.25,54.22,0.084,25900,90,0.98
399.0,360.97,359.57,360.56,359.36,350.48,243.34,163.97,110.53,64.46,54.29,0.084,25900,90,0.98
400.0,360.89,359.54,360.52,359.24,350.45,243.29,164.34,110.98,64.77,54.39,0.084,25900,90,0.98
401.0,360.85,359.53,360.5,359.19,350.39,243.3,164.78,111.53,65.15,54.53,0.084,25900,90,0.98
402.0,360.82,359.51,360.46,359.16,350.27,243.38,165.21,112.01,65.56,54.7,0.084,25900,90,0.98
403.0,360.8,359.5,360.42,359.15,350.12,243.49,165.6,112.51,65.96,54.88,0.084,25900,90,0.98
404.0,360.77,359.48,360.37,359.14,350.02,243.68,166.02,113.03,66.4,55.09,0.084,25900,90,0.98
405.0,360.72,359.43,360.28,359.13,349.98,243.89,166.67,113.44,67.01,55.44,0.084,25900,90,0.98
406.0,360.68,359.38,360.19,359.12,349.99,244.03,167.23,113.6,67.63,55.82,0.084,25900,90,0.98
407.0,360.67,359.34,360.15,359.12,350,244.24,167.52,113.84,68.02,56.1,0.084,25900,90,0.98
408.0,360.66,359.32,360.09,359.11,350.03,244.42,167.74,113.97,68.4,56.4,0.084,25900,90,0.98
409.0,360.66,359.31,360.06,359.1,350.09,244.62,167.95,114.15,68.8,56.71,0.084,25900,90,0.98
410.0,360.66,359.29,360.01,359.11,350.15,244.87,168.13,114.58,69.25,57.04,0.084,25900,90,0.98
411.0,360.65,359.28,359.98,359.12,350.25,245.25,168.38,115.16,69.74,57.4,0.084,25900,90,0.98
412.0,360.65,359.25,359.93,359.13,350.36,245.68,168.7,115.65,70.22,57.78,0.084,25900,90,0.98
413.0,360.65,359.23,359.89,359.13,350.51,245.94,169.04,115.93,70.65,58.19,0.084,25900,90,0.98
414.0,360.63,359.22,359.85,359.12,350.77,246.27,169.54,116.29,71.25,58.82,0.084,25900,90,0.98
415.0,360.63,359.21,359.81,359.13,351.07,246.57,170.11,116.74,71.82,59.48,0.084,25900,90,0.98
416.0,360.62,359.19,359.79,359.13,351.27,246.88,170.43,117.06,72.16,59.94,0.084,25900,90,0.98
417.0,360.61,359.19,359.75,359.14,351.49,247.22,170.89,117.49,72.51,60.4,0.084,25900,90,0.98
418.0,360.61,359.17,359.73,359.17,351.71,247.57,171.27,117.93,72.87,60.89,0.084,25900,90,0.98
419.0,360.61,359.17,359.72,359.19,351.95,247.91,171.5,118.35,73.25,61.38,0.084,25900,90,0.98
420.0,360.6,359.16,359.69,359.2,352.16,248.15,171.75,118.71,73.69,61.89,0.084,25900,90,0.98
421.0,360.59,359.16,359.67,359.24,352.37,248.52,172.09,119.33,74.17,62.41,0.084,25900,90,0.98
422.0,360.59,359.14,359.65,359.26,352.56,248.91,172.48,119.87,74.66,62.94,0.084,25900,90,0.98
423.0,360.59,359.13,359.63,359.29,352.76,249.28,172.87,120.23,75.13,63.5,0.084,25900,90,0.98
424.0,360.58,359.12,359.59,359.32,353.06,249.63,173.35,120.54,75.73,64.35,0.084,25900,90,0.98
425.0,360.58,359.12,359.57,359.37,353.36,249.95,173.9,120.77,76.29,65.22,0.084,25900,90,0.98
426.0,360.58,359.13,359.56,359.39,353.56,250.28,174.31,121.07,76.64,65.8,0.084,25900,90,0.98
427.0,360.58,359.12,359.54,359.41,353.76,250.49,174.58,121.19,76.94,66.4,0.084,25900,90,0.98
428.0,360.58,359.11,359.53,359.43,353.97,250.76,174.76,121.5,77.28,66.99,0.084,25900,90,0.98
429.0,360.58,359.12,359.52,359.47,354.18,251.03,175,121.88,77.66,67.6,0.084,25900,90,0.98
430.0,360.57,359.12,359.5,359.5,354.38,251.32,175.45,122.35,78.06,68.21,0.084,25900,90,0.98
431.0,360.55,359.12,359.49,359.53,354.59,251.63,175.83,122.77,78.46,68.83,0.084,25900,90,0.98
432.0,360.55,359.11,359.47,359.56,354.78,251.99,176.07,123.08,78.87,69.46,0.084,25900,90,0.98
433.0,360.52,359.1,359.46,359.59,355.07,252.4,176.17,123.2,79.39,70.41,0.084,25900,90,0.98
434.0,360.49,359.09,359.45,359.6,355.36,252.7,176.33,123.29,79.87,71.36,0.084,25900,90,0.98
435.0,360.46,359.09,359.44,359.63,355.54,253.14,176.53,123.56,80.18,71.99,0.084,25900,90,0.98
436.0,360.45,359.09,359.43,359.66,355.73,253.58,176.88,123.95,80.52,72.62,0.084,25900,90,0.98
437.0,360.42,359.07,359.41,359.69,355.92,254.01,177.32,124.29,80.85,73.25,0.084,25900,90,0.98
438.0,360.4,359.07,359.41,359.71,356.09,254.39,177.78,124.65,81.18,73.88,0.084,25900,90,0.98
439.0,360.37,359.06,359.4,359.74,356.29,254.81,178.32,125.17,81.58,74.54,0.084,25900,90,0.98
440.0,360.35,359.05,359.39,359.77,356.48,255.24,178.9,125.81,82.02,75.19,0.084,25900,90,0.98
441.0,360.31,359.04,359.38,359.78,356.76,255.5,179.67,126.26,82.75,76.18,0.084,25900,90,0.98
442.0,360.29,359.02,359.37,359.81,357.03,255.91,180.35,126.96,83.53,77.19,0.084,25900,90,0.98
443.0,360.26,359.02,359.36,359.83,357.21,256.34,180.74,127.69,84.11,77.89,0.084,25900,90,0.98
444.0,360.23,359,359.35,359.86,357.38,256.73,181.08,128.33,84.6,78.58,0.084,25900,90,0.98
445.0,360.22,358.99,359.34,359.88,357.56,257.08,181.36,128.74,85.04,79.27,0.084,25900,90,0.98
446.0,360.18,358.97,359.33,359.9,357.73,257.34,181.46,128.78,85.41,79.96,0.084,25900,90,0.98
447.0,360.15,358.96,359.32,359.92,357.9,257.59,181.64,128.85,85.75,80.65,0.084,25900,90,0.98
448.0,360.13,358.94,359.31,359.94,358.06,257.76,181.84,128.9,86.1,81.34,0.084,25900,90,0.98
449.0,360.11,358.93,359.29,359.97,358.23,258.01,182,129.14,86.45,82.02,0.084,25900,90,0.98
450.0,360.08,358.91,359.28,359.99,358.4,258.24,182.26,129.49,86.8,82.7,0.084,25900,90,0.98
451.0,360.05,358.89,359.27,360.01,358.64,258.5,182.52,129.76,87.35,83.71,0.084,25900,90,0.98
452.0,360.01,358.86,359.25,360.04,358.87,258.74,182.59,130,87.9,84.72,0.084,25900,90,0.98
453.0,359.98,358.85,359.24,360.05,359.02,258.99,182.66,130.18,88.24,85.39,0.084,25900,90,0.98
454.0,359.96,358.85,359.23,360.07,359.17,259.24,182.79,130.37,88.58,86.07,0.084,25900,90,0.98
455.0,359.94,358.83,359.22,360.1,359.32,259.41,182.95,130.61,88.96,86.75,0.084,25900,90,0.98
456.0,359.91,358.81,359.21,360.12,359.46,259.71,183.18,130.91,89.33,87.41,0.084,25900,90,0.98
457.0,359.88,358.79,359.2,360.15,359.61,260.02,183.38,131.09,89.66,88.07,0.084,25900,90,0.98
458.0,359.86,358.78,359.19,360.16,359.76,260.26,183.66,131.25,90.01,88.75,0.084,25900,90,0.98
459.0,359.82,358.76,359.18,360.18,359.97,260.43,183.96,131.3,90.52,89.73,0.084,25900,90,0.98
460.0,359.78,358.73,359.16,360.21,360.17,260.54,184.12,131.29,91.05,90.7,0.084,25900,90,0.98
461.0,359.75,358.72,359.15,360.22,360.31,260.63,184.22,131.46,91.42,91.36,0.084,25900,90,0.98
462.0,359.73,358.71,359.14,360.24,360.44,260.72,184.3,131.73,91.85,92,0.084,25900,90,0.98
463.0,359.7,358.68,359.12,360.27,360.57,260.92,184.45,132.15,92.3,92.65,0.084,25900,90,0.98
464.0,359.67,358.67,359.12,360.29,360.7,261.12,184.62,132.44,92.73,93.31,0.084,25900,90,0.98
465.0,359.65,358.66,359.11,360.31,360.82,261.34,184.92,132.81,93.11,93.97,0.084,25900,90,0.98
466.0,359.63,358.65,359.1,360.34,360.96,261.55,185.21,133.04,93.48,94.63,0.084,25900,90,0.98
467.0,359.6,358.61,359.09,360.37,361.07,261.72,185.54,133.25,93.86,95.26,0.084,25900,90,0.98
468.0,359.56,358.58,359.08,360.4,361.19,261.89,185.93,133.5,94.25,95.91,0.084,25900,90,0.98
469.0,359.53,358.56,359.06,360.42,361.37,262,186.36,133.71,94.85,96.88,0.084,25900,90,0.98
470.0,359.49,358.52,359.05,360.46,361.55,262.16,186.66,134.02,95.43,97.84,0.084,25900,90,0.98
471.0,359.46,358.5,359.03,360.49,361.66,262.31,186.77,134.19,95.74,98.47,0.084,25900,90,0.98
472.0,359.43,358.49,359.04,360.52,361.8,262.44,186.76,134.34,96.01,99.09,0.084,25900,90,0.98
473.0,359.4,358.47,359.02,360.55,361.93,262.59,186.62,134.28,96.25,99.68,0.084,25900,90,0.98
474.0,359.37,358.45,359.01,360.59,362.06,262.82,186.61,134.37,96.47,100.25,0.084,25900,90,0.98
475.0,359.34,358.43,359.01,360.62,362.19,263.11,186.66,134.53,96.72,100.82,0.084,25900,90,0.98
476.0,359.3,358.4,358.99,360.64,362.31,263.28,186.78,134.73,97.01,101.37,0.084,25900,90,0.98
477.0,359.27,358.38,358.99,360.66,362.43,263.55,187.15,135.22,97.37,101.93,0.084,25900,90,0.98
478.0,359.22,358.35,358.98,360.69,362.62,263.81,187.63,135.55,97.96,102.78,0.084,25900,90,0.98
479.0,359.17,358.32,358.97,360.72,362.8,264.05,187.99,135.94,98.6,103.63,0.084,25900,90,0.98
480.0,359.13,358.29,358.96,360.75,362.93,264.27,188.05,136.27,99.04,104.19,0.084,25900,90,0.98
481.0,359.11,358.27,358.96,360.78,363.06,264.52,188.15,136.46,99.42,104.76,0.084,25900,90,0.98
482.0,359.07,358.25,358.95,360.81,363.19,264.76,188.47,136.8,99.87,105.32,0.084,25900,90,0.98
483.0,359.04,358.23,358.95,360.83,363.32,264.93,188.95,137.18,100.36,105.9,0.084,25900,90,0.98
484.0,359,358.21,358.94,360.86,363.45,265.14,189.38,137.7,100.86,106.49,0.084,25900,90,0.98
485.0,358.96,358.18,358.93,360.88,363.58,265.34,189.82,138.26,101.35,107.09,0.084,25900,90,0.98
486.0,358.94,358.16,358.92,360.91,363.69,265.61,190.22,139,101.86,107.68,0.084,25900,90,0.98
487.0,358.88,358.12,358.91,360.94,363.87,265.9,190.73,139.45,102.6,108.58,0.084,25900,90,0.98
488.0,358.82,358.09,358.89,360.96,364.04,266.14,190.9,139.51,103.15,109.47,0.084,25900,90,0.98
489.0,358.78,358.07,358.89,360.99,364.17,266.41,191.03,139.63,103.49,110.04,0.084,25900,90,0.98
490.0,358.74,358.04,358.88,361.02,364.28,266.61,191.36,139.85,103.89,110.62,0.084,25900,90,0.98
491.0,358.7,358.01,358.87,361.04,364.4,266.96,191.72,140.31,104.34,111.21,0.084,25900,90,0.98
492.0,358.67,358,358.87,361.07,364.53,267.33,192.13,141.01,104.84,111.8,0.084,25900,90,0.98
493.0,358.64,357.97,358.85,361.11,364.64,267.7,192.57,141.73,105.37,112.39,0.084,25900,90,0.98
494.0,358.6,357.96,358.85,361.14,364.78,268.02,192.86,142.17,105.89,112.99,0.084,25900,90,0.98
495.0,358.55,357.93,358.85,361.17,364.96,268.27,193.02,142.27,106.44,113.86,0.084,25900,90,0.98
496.0,358.5,357.89,358.83,361.2,365.13,268.47,193.18,142.15,106.82,114.7,0.084,25900,90,0.98
497.0,358.45,357.87,358.82,361.23,365.26,268.56,193.3,142.03,107.05,115.26,0.084,25900,90,0.98
498.0,358.42,357.85,358.82,361.26,365.37,268.65,193.42,142.01,107.32,115.81,0.084,25900,90,0.98
499.0,358.39,357.82,358.81,361.3,365.49,268.7,193.59,142.07,107.61,116.36,0.084,25900,90,0.98
500.0,358.36,357.81,358.81,361.33,365.61,268.78,193.74,142.2,107.94,116.91,0.084,25900,90,0.98
501.0,358.33,357.78,358.8,361.36,365.73,268.9,193.74,142.28,108.25,117.44,0.084,25900,90,0.98
502.0,358.28,357.76,358.79,361.4,365.84,269.04,193.86,142.41,108.53,117.96,0.084,25900,90,0.98
503.0,358.25,357.74,358.79,361.44,365.95,269.17,194.12,142.68,108.84,118.49,0.084,25900,90,0.98
504.0,358.22,357.71,358.78,361.46,366.06,269.26,194.31,142.77,109.16,119,0.084,25900,90,0.98
505.0,358.16,357.68,358.77,361.49,366.21,269.46,194.51,142.86,109.57,119.75,0.084,25900,90,0.98
506.0,358.11,357.65,358.76,361.53,366.37,269.67,194.82,142.97,109.96,120.5,0.084,25900,90,0.98
507.0,358.08,357.63,358.75,361.56,366.48,269.87,195.11,143.23,110.24,120.99,0.084,25900,90,0.98
508.0,358.04,357.6,358.73,361.6,366.57,270.05,195.5,143.73,110.6,121.48,0.084,25900,90,0.98
509.0,358.02,357.58,358.73,361.64,366.68,270.2,195.83,144.23,110.98,121.98,0.084,25900,90,0.98
510.0,357.98,357.57,358.73,361.68,366.78,270.33,196.04,144.59,111.31,122.47,0.084,25900,90,0.98
511.0,357.95,357.54,358.71,361.71,366.89,270.42,196.23,144.84,111.67,122.95,0.084,25900,90,0.98
512.0,357.92,357.51,358.7,361.75,367,270.59,196.55,145.27,112.05,123.45,0.084,25900,90,0.98
513.0,357.87,357.48,358.7,361.79,367.17,270.73,196.77,145.53,112.63,124.19,0.084,25900,90,0.98
514.0,357.82,357.44,358.68,361.83,367.34,270.82,196.94,145.79,113.18,124.94,0.084,25900,90,0.98
515.0,357.79,357.42,358.68,361.87,367.45,270.95,196.92,146,113.57,125.43,0.084,25900,90,0.98
516.0,357.75,357.4,358.67,361.91,367.56,271.17,196.83,146.26,113.98,125.93,0.084,25900,90,0.98
517.0,357.72,357.37,358.66,361.96,367.69,271.44,196.78,146.58,114.4,126.42,0.084,25900,90,0.98
518.0,357.69,357.35,358.66,361.99,367.8,271.65,196.98,146.94,114.88,126.93,0.084,25900,90,0.98
519.0,357.65,357.32,358.65,362.03,367.92,272,197.28,147.44,115.35,127.44,0.084,25900,90,0.98
520.0,357.63,357.3,358.64,362.07,368.03,272.32,197.51,148.14,115.85,127.94,0.084,25900,90,0.98
521.0,357.58,357.27,358.63,362.11,368.15,272.57,197.8,148.59,116.33,128.44,0.084,25900,90,0.98
522.0,357.53,357.23,358.62,362.16,368.31,272.73,198.06,148.71,116.92,129.18,0.084,25900,90,0.98
523.0,357.47,357.19,358.6,362.2,368.49,272.87,198.2,148.81,117.39,129.92,0.084,25900,90,0.98
