Time,TC1_tip,TC3,TC5,TC7,TC9,TC10,TC_Bottom_rec_groove,TC4,TC6,TC8,TC_wall_ins_ext,TC_bottom_ins_groove,TC2,h,flux,abs,surf
344.0,359.75,359.02,348.5,159.69,61.61,52.53,358.54,358.2,240.85,105.36,26.73,27.47,358.38,0.084,25900,90,0.98
345.0,359.66,358.96,348.27,159.84,61.72,52.56,358.48,358.18,240.59,105.43,26.73,27.46,358.31,0.084,25900,90,0.98
346.0,359.63,358.93,348.13,160.06,61.93,52.62,358.44,358.14,240.43,105.8,26.73,27.47,358.27,0.084,25900,90,0.98
347.0,359.6,358.91,348.02,160.2,62.25,52.71,358.4,358.1,240.4,106.39,26.73,27.48,358.24,0.084,25900,90,0.98
348.0,359.58,358.89,347.95,160.42,62.66,52.81,358.36,358.06,240.5,107.17,26.74,27.48,358.22,0.084,25900,90,0.98
349.0,359.55,358.86,347.95,160.72,63.13,52.94,358.32,358.03,240.65,107.88,26.73,27.47,358.18,0.084,25900,90,0.98
350.0,359.54,358.83,347.96,161.16,63.59,53.1,358.28,358.01,240.77,108.25,26.73,27.48,358.14,0.084,25900,90,0.98
351.0,359.51,358.81,348.01,161.69,64.08,53.3,358.23,357.97,240.97,108.73,26.73,27.48,358.1,0.084,25900,90,0.98
352.0,359.49,358.79,348.08,162.15,64.56,53.53,358.19,357.96,241.18,109.22,26.73,27.48,358.07,0.084,25900,90,0.98
353.0,359.46,358.73,348.19,162.83,65.28,53.92,358.13,357.94,241.45,109.8,26.74,27.49,358.03,0.084,25900,90,0.98
354.0,359.42,358.68,348.32,163.47,66.01,54.36,358.07,357.93,241.73,110.26,26.74,27.49,358.01,0.084,25900,90,0.98
355.0,359.39,358.66,348.46,163.81,66.52,54.68,358.03,357.91,241.9,110.53,26.73,27.48,358,0.084,25900,90,0.98
356.0,359.39,358.64,348.6,164.3,67.07,55.03,358,357.91,242.14,111.16,26.73,27.49,358,0.084,25900,90,0.98
357.0,359.37,358.61,348.77,164.87,67.63,55.4,357.95,357.9,242.4,111.96,26.73,27.49,357.99,0.084,25900,90,0.98
358.0,359.35,358.59,348.94,165.46,68.15,55.79,357.91,357.9,242.74,112.62,26.73,27.49,357.98,0.084,25900,90,0.98
359.0,359.34,358.56,349.11,166.03,68.65,56.21,357.88,357.9,243.04,113.15,26.72,27.48,357.99,0.084,25900,90,0.98
360.0,359.35,358.53,349.29,166.48,69.07,56.64,357.85,357.9,243.28,113.41,26.73,27.48,357.98,0.084,25900,90,0.98
361.0,359.34,358.5,349.47,166.87,69.44,57.08,357.81,357.9,243.52,113.68,26.73,27.48,357.95,0.084,25900,90,0.98
362.0,359.33,358.47,349.71,167.56,70.04,57.76,357.76,357.92,243.78,114.15,26.73,27.47,357.95,0.084,25900,90,0.98
363.0,359.33,358.44,349.93,168.33,70.68,58.49,357.71,357.92,244.12,114.71,26.73,27.47,357.93,0.084,25900,90,0.98
364.0,359.32,358.4,350.08,168.81,71.11,58.98,357.68,357.93,244.37,115.04,26.73,27.47,357.92,0.084,25900,90,0.98
365.0,359.32,358.38,350.23,169.32,71.55,59.5,357.64,357.95,244.77,115.54,26.73,27.48,357.91,0.084,25900,90,0.98
366.0,359.31,358.36,350.39,169.79,72.01,60.06,357.63,357.97,245.17,116.06,26.73,27.48,357.9,0.084,25900,90,0.98
367.0,359.32,358.34,350.55,170.2,72.43,60.6,357.58,357.99,245.58,116.51,26.73,27.48,357.9,0.084,25900,90,0.98
368.0,359.31,358.32,350.73,170.65,72.88,61.17,357.57,358.01,245.97,117.05,26.74,27.48,357.89,0.084,25900,90,0.98
369.0,359.3,358.31,350.9,171.15,73.32,61.74,357.53,358.04,246.33,117.59,26.74,27.48,357.89,0.084,25900,90,0.98
370.0,359.28,358.28,351.15,171.78,73.96,62.62,357.5,358.07,246.71,118,26.75,27.48,357.87,0.084,25900,90,0.98
371.0,359.26,358.24,351.43,172.14,74.47,63.51,357.45,358.08,246.92,118.08,26.74,27.5,357.86,0.084,25900,90,0.98
372.0,359.24,358.23,351.61,172.32,74.79,64.11,357.41,358.1,247.18,118.17,26.74,27.48,357.84,0.084,25900,90,0.98
373.0,359.22,358.21,351.81,172.55,75.13,64.72,357.39,358.12,247.43,118.34,26.74,27.49,357.82,0.084,25900,90,0.98
374.0,359.21,358.2,352.02,172.83,75.46,65.34,357.37,358.15,247.73,118.63,26.74,27.49,357.8,0.084,25900,90,0.98
375.0,359.2,358.19,352.24,172.93,75.76,65.95,357.34,358.16,248.06,118.82,26.74,27.49,357.78,0.084,25900,90,0.98
376.0,359.19,358.16,352.45,172.92,76.01,66.58,357.31,358.18,248.37,118.87,26.74,27.5,357.76,0.084,25900,90,0.98
377.0,359.17,358.15,352.67,173.03,76.24,67.2,357.29,358.19,248.69,118.93,26.75,27.5,357.75,0.084,25900,90,0.98
378.0,359.16,358.13,352.88,173.16,76.48,67.81,357.25,358.21,248.88,118.96,26.74,27.49,357.73,0.084,25900,90,0.98
379.0,359.14,358.13,353.08,173.32,76.73,68.43,357.24,358.22,249.13,119.02,26.74,27.48,357.72,0.084,25900,90,0.98
380.0,359.12,358.11,353.36,173.58,77.09,69.35,357.19,358.25,249.39,119.11,26.74,27.5,357.7,0.084,25900,90,0.98
381.0,359.09,358.09,353.62,173.74,77.51,70.26,357.14,358.27,249.62,119.23,26.73,27.49,357.68,0.084,25900,90,0.98
382.0,359.06,358.07,353.79,174.02,77.86,70.9,357.12,358.29,249.89,119.57,26.74,27.5,357.66,0.084,25900,90,0.98
383.0,359.05,358.07,353.97,174.35,78.22,71.53,357.1,358.32,250.2,120.11,26.75,27.49,357.65,0.084,25900,90,0.98
384.0,359.02,358.05,354.13,174.66,78.62,72.17,357.08,358.35,250.56,120.69,26.75,27.49,357.64,0.084,25900,90,0.98
385.0,359,358.04,354.3,175.03,79.05,72.81,357.04,358.36,250.82,121.05,26.74,27.49,357.64,0.084,25900,90,0.98
386.0,358.98,358.02,354.45,175.5,79.5,73.46,357.02,358.39,251.18,121.63,26.74,27.48,357.62,0.084,25900,90,0.98
387.0,358.95,358.01,354.62,176,79.98,74.13,356.98,358.42,251.5,122.19,26.74,27.49,357.61,0.084,25900,90,0.98
388.0,358.93,358,354.79,176.38,80.49,74.79,356.97,358.44,251.78,122.65,26.74,27.48,357.6,0.084,25900,90,0.98
389.0,358.91,357.99,355.05,176.86,81.18,75.81,356.93,358.48,252.04,123.14,26.74,27.49,357.6,0.084,25900,90,0.98
390.0,358.87,357.98,355.31,177.43,81.87,76.82,356.89,358.5,252.34,123.65,26.74,27.49,357.58,0.084,25900,90,0.98
391.0,358.86,357.97,355.48,177.84,82.34,77.51,356.87,358.52,252.65,124.18,26.74,27.49,357.58,0.084,25900,90,0.98
392.0,358.84,357.97,355.65,178.08,82.79,78.19,356.85,358.54,252.83,124.42,26.75,27.5,357.57,0.084,25900,90,0.98
393.0,358.82,357.96,355.81,178.3,83.23,78.87,356.83,358.57,253.08,124.69,26.75,27.5,357.57,0.084,25900,90,0.98
