Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
266.0,359.27,357.9,358.54,357.52,348.41,237.56,151.79,97.2,58.59,50.43,0.084,25900,90,0.98
267.0,359.25,357.86,358.47,357.47,348.12,237.47,152.02,97.42,58.66,50.45,0.084,25900,90,0.98
268.0,359.22,357.85,358.39,357.38,347.9,237.49,152.24,97.88,58.84,50.51,0.084,25900,90,0.98
269.0,359.17,357.84,358.27,357.29,347.68,237.6,152.5,98.29,59.25,50.65,0.084,25900,90,0.98
270.0,359.13,357.81,358.22,357.16,347.57,237.82,153.18,98.88,59.7,50.84,0.084,25900,90,0.98
271.0,359.11,357.77,358.2,357.08,347.52,238.06,153.87,99.44,59.99,51,0.084,25900,90,0.98
272.0,359.08,357.73,358.16,357.03,347.53,238.32,154.36,99.85,60.27,51.16,0.084,25900,90,0.98
273.0,359.07,357.7,358.12,357,347.58,238.56,154.85,100.26,60.59,51.35,0.084,25900,90,0.98
274.0,359.06,357.69,358.09,356.99,347.68,238.83,155.47,100.94,60.98,51.57,0.084,25900,90,0.98
275.0,359.07,357.68,358.07,356.99,347.8,239.07,156.05,101.5,61.37,51.8,0.084,25900,90,0.98
276.0,359.06,357.64,358.04,357,347.92,239.21,156.58,101.81,61.72,52.03,0.084,25900,90,0.98
277.0,359.05,357.63,358.01,357.01,348.04,239.41,157.09,102.19,62.04,52.29,0.084,25900,90,0.98
278.0,359.05,357.61,357.99,357.04,348.24,239.58,157.67,102.55,62.51,52.69,0.084,25900,90,0.98
279.0,359.04,357.59,357.96,357.08,348.49,239.75,158.27,102.96,62.99,53.13,0.084,25900,90,0.98
280.0,359.03,357.57,357.96,357.12,348.68,239.92,158.58,103.3,63.31,53.44,0.084,25900,90,0.98
281.0,359.04,357.57,357.94,357.17,348.88,240.09,158.9,103.66,63.62,53.78,0.084,25900,90,0.98
