Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
466,359.41,359.06,359.72,360.27,359.69,361.77,359.19,359.12,354.34,329.22,0.1575,21250,3,0.76
467,359.35,359.05,359.7,360.25,359.68,361.76,359.11,359.17,354.59,329.25,0.1575,21250,3,0.76
468,359.39,359.14,359.73,360.29,359.7,361.78,359.2,359.36,355.07,329.36,0.1575,21250,3,0.76
469,359.47,359.28,359.79,360.36,359.76,361.82,359.33,359.64,355.49,329.46,0.1575,21250,3,0.76
470,359.59,359.43,359.87,360.43,359.82,361.87,359.47,359.81,355.93,329.57,0.1575,21250,3,0.76
471,359.71,359.58,359.96,360.54,359.89,361.95,359.6,359.95,356.36,329.72,0.1575,21250,3,0.76
472,359.83,359.74,360.06,360.66,359.99,362.04,359.77,360.14,356.75,329.9,0.1575,21250,3,0.76
473,359.94,359.89,360.15,360.78,360.08,362.14,359.94,360.37,357.12,330.05,0.1575,21250,3,0.76
474,360.07,360.03,360.24,360.9,360.18,362.24,360.07,360.58,357.44,330.19,0.1575,21250,3,0.76
475,360.19,360.15,360.33,361.02,360.28,362.35,360.22,360.79,357.72,330.32,0.1575,21250,3,0.76
476,360.34,360.32,360.48,361.15,360.44,362.46,360.46,360.98,358.07,330.49,0.1575,21250,3,0.76
477,360.5,360.44,360.59,361.24,360.59,362.54,360.66,361.09,358.35,330.62,0.1575,21250,3,0.76
478,360.59,360.51,360.66,361.35,360.69,362.64,360.82,361.25,358.5,330.73,0.1575,21250,3,0.76
479,360.66,360.57,360.71,361.45,360.79,362.74,360.96,361.39,358.62,330.8,0.1575,21250,3,0.76
480,360.74,360.64,360.75,361.52,360.9,362.85,361.1,361.53,358.74,330.88,0.1575,21250,3,0.76
481,360.8,360.7,360.77,361.58,361.0,362.97,361.21,361.67,358.83,330.97,0.1575,21250,3,0.76
482,360.85,360.75,360.79,361.65,361.09,363.06,361.32,361.82,358.91,331.05,0.1575,21250,3,0.76
483,360.89,360.8,360.8,361.72,361.17,363.16,361.4,361.94,359.0,331.12,0.1575,21250,3,0.76
484,360.94,360.82,360.83,361.77,361.24,363.21,361.47,362.02,359.07,331.2,0.1575,21250,3,0.76
485,361.03,360.88,360.88,361.83,361.34,363.29,361.51,362.1,359.16,331.32,0.1575,21250,3,0.76
486,361.15,360.93,360.94,361.88,361.41,363.35,361.55,362.18,359.16,331.44,0.1575,21250,3,0.76
487,361.24,360.97,360.97,361.93,361.46,363.42,361.57,362.27,359.11,331.51,0.1575,21250,3,0.76
488,361.32,361.0,361.0,361.98,361.49,363.46,361.59,362.34,359.06,331.58,0.1575,21250,3,0.76
489,361.38,361.02,361.01,362.02,361.53,363.49,361.61,362.39,359.0,331.67,0.1575,21250,3,0.76
490,361.42,361.05,361.03,362.06,361.57,363.52,361.62,362.39,358.98,331.76,0.1575,21250,3,0.76
491,361.49,361.08,361.05,362.09,361.6,363.55,361.62,362.37,358.96,331.87,0.1575,21250,3,0.76
492,361.55,361.11,361.08,362.11,361.62,363.59,361.64,362.34,358.96,332.0,0.1575,21250,3,0.76
493,361.6,361.16,361.11,362.14,361.66,363.63,361.64,362.33,358.97,332.12,0.1575,21250,3,0.76
494,361.65,361.22,361.15,362.15,361.69,363.66,361.72,362.33,358.96,332.33,0.1575,21250,3,0.76
495,361.71,361.28,361.18,362.18,361.7,363.7,361.83,362.36,359.0,332.53,0.1575,21250,3,0.76
496,361.76,361.31,361.18,362.21,361.71,363.72,361.86,362.43,359.05,332.69,0.1575,21250,3,0.76
497,361.79,361.34,361.19,362.21,361.72,363.72,361.88,362.51,359.11,332.82,0.1575,21250,3,0.76
498,361.82,361.37,361.19,362.21,361.72,363.73,361.87,362.57,359.14,332.94,0.1575,21250,3,0.76
499,361.86,361.4,361.19,362.22,361.72,363.73,361.83,362.58,359.16,333.08,0.1575,21250,3,0.76
