Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
759,359.38,358.62,359.26,359.8,359.14,361.18,358.81,359.44,354.08,303.15,0.1575,25900,3,0.98
760,359.37,358.63,359.26,359.83,359.14,361.19,358.97,359.7,354.18,302.9,0.1575,25900,3,0.98
761,359.41,358.73,359.29,359.9,359.16,361.24,359.19,360.02,354.39,302.72,0.1575,25900,3,0.98
762,359.54,358.93,359.39,360.0,359.23,361.29,359.59,360.32,354.82,302.54,0.1575,25900,3,0.98
763,359.7,359.15,359.48,360.12,359.3,361.36,359.96,360.61,355.3,302.38,0.1575,25900,3,0.98
764,359.81,359.3,359.55,360.24,359.36,361.43,360.18,360.86,355.61,302.35,0.1575,25900,3,0.98
765,359.92,359.43,359.6,360.36,359.43,361.49,360.38,361.06,355.9,302.36,0.1575,25900,3,0.98
766,360.03,359.55,359.65,360.43,359.5,361.54,360.58,361.14,356.14,302.42,0.1575,25900,3,0.98
767,360.12,359.65,359.69,360.53,359.56,361.61,360.71,361.27,356.32,302.48,0.1575,25900,3,0.98
768,360.18,359.73,359.75,360.62,359.63,361.7,360.82,361.36,356.43,302.51,0.1575,25900,3,0.98
769,360.25,359.82,359.81,360.7,359.71,361.8,360.91,361.41,356.48,302.51,0.1575,25900,3,0.98
770,360.34,359.91,359.88,360.78,359.79,361.88,360.99,361.42,356.36,302.5,0.1575,25900,3,0.98
771,360.48,360.04,359.95,360.87,359.9,361.98,361.1,361.45,356.07,302.57,0.1575,25900,3,0.98
772,360.59,360.16,360.05,360.95,360.01,362.07,361.22,361.51,355.84,302.67,0.1575,25900,3,0.98
773,360.7,360.25,360.12,361.0,360.09,362.14,361.28,361.56,355.77,302.71,0.1575,25900,3,0.98
774,360.8,360.34,360.18,361.07,360.19,362.23,361.35,361.62,355.74,302.76,0.1575,25900,3,0.98
775,360.93,360.41,360.24,361.16,360.27,362.31,361.41,361.71,355.71,302.81,0.1575,25900,3,0.98
776,361.04,360.47,360.29,361.26,360.34,362.39,361.44,361.84,355.72,302.87,0.1575,25900,3,0.98
777,361.17,360.52,360.36,361.35,360.43,362.46,361.49,361.99,355.76,302.95,0.1575,25900,3,0.98
778,361.32,360.56,360.43,361.41,360.5,362.51,361.54,362.06,355.84,303.05,0.1575,25900,3,0.98
779,361.48,360.61,360.51,361.49,360.58,362.57,361.61,362.11,355.97,303.18,0.1575,25900,3,0.98
780,361.74,360.66,360.62,361.56,360.69,362.62,361.66,362.13,356.22,303.39,0.1575,25900,3,0.98
781,362.01,360.75,360.72,361.64,360.81,362.67,361.73,362.16,356.51,303.59,0.1575,25900,3,0.98
