Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
835,360.3,359.65,360.26,360.84,360.12,362.06,359.22,359.69,355.57,331.31,0.1575,25900,100,0.98
836,360.24,359.56,360.22,360.82,360.09,362.05,359.18,359.66,355.58,331.21,0.1575,25900,100,0.98
837,360.18,359.5,360.17,360.81,360.06,362.04,359.09,359.61,355.7,331.2,0.1575,25900,100,0.98
838,360.14,359.44,360.14,360.76,360.03,362.02,358.98,359.53,355.87,331.27,0.1575,25900,100,0.98
839,360.1,359.38,360.11,360.74,360.01,361.99,358.89,359.46,356.08,331.38,0.1575,25900,100,0.98
840,360.06,359.33,360.07,360.72,359.97,361.98,358.85,359.39,356.33,331.53,0.1575,25900,100,0.98
841,360.02,359.28,360.02,360.68,359.93,361.94,358.83,359.27,356.59,331.7,0.1575,25900,100,0.98
842,359.99,359.24,359.97,360.65,359.88,361.9,358.8,359.2,356.81,331.86,0.1575,25900,100,0.98
843,359.95,359.21,359.92,360.63,359.84,361.85,358.79,359.19,357.01,332.01,0.1575,25900,100,0.98
844,359.91,359.15,359.85,360.61,359.78,361.81,358.76,359.18,357.32,332.2,0.1575,25900,100,0.98
845,359.87,359.12,359.81,360.56,359.73,361.74,358.74,359.18,357.59,332.34,0.1575,25900,100,0.98
846,359.85,359.1,359.76,360.53,359.69,361.68,358.73,359.19,357.71,332.4,0.1575,25900,100,0.98
847,359.83,359.08,359.74,360.5,359.66,361.66,358.73,359.21,357.8,332.43,0.1575,25900,100,0.98
848,359.81,359.05,359.69,360.47,359.63,361.63,358.71,359.23,357.87,332.49,0.1575,25900,100,0.98
849,359.79,359.03,359.65,360.42,359.59,361.57,358.7,359.25,357.96,332.6,0.1575,25900,100,0.98
850,359.76,359.0,359.62,360.38,359.54,361.52,358.7,359.28,358.1,332.79,0.1575,25900,100,0.98
851,359.73,358.98,359.59,360.35,359.51,361.5,358.71,359.32,358.28,333.03,0.1575,25900,100,0.98
852,359.72,358.97,359.56,360.31,359.48,361.47,358.73,359.34,358.43,333.31,0.1575,25900,100,0.98
853,359.7,358.95,359.53,360.27,359.45,361.43,358.75,359.37,358.55,333.62,0.1575,25900,100,0.98
854,359.67,358.93,359.48,360.21,359.41,361.4,358.76,359.39,358.68,334.06,0.1575,25900,100,0.98
855,359.63,358.9,359.45,360.2,359.37,361.4,358.78,359.43,358.8,334.48,0.1575,25900,100,0.98
856,359.63,358.89,359.43,360.15,359.35,361.36,358.78,359.47,358.85,334.71,0.1575,25900,100,0.98
857,359.6,358.88,359.39,360.12,359.32,361.33,358.79,359.52,358.91,334.91,0.1575,25900,100,0.98
858,359.58,358.86,359.36,360.09,359.3,361.31,358.78,359.53,358.97,335.1,0.1575,25900,100,0.98
859,359.56,358.84,359.34,360.06,359.28,361.3,358.78,359.56,359.03,335.29,0.1575,25900,100,0.98
860,359.53,358.82,359.31,360.03,359.25,361.28,358.78,359.58,359.09,335.51,0.1575,25900,100,0.98
861,359.51,358.81,359.3,359.99,359.24,361.26,358.79,359.58,359.16,335.75,0.1575,25900,100,0.98
862,359.47,358.78,359.26,359.98,359.21,361.25,358.79,359.59,359.31,336.11,0.1575,25900,100,0.98
863,359.44,358.76,359.23,359.96,359.18,361.24,358.8,359.6,359.51,336.49,0.1575,25900,100,0.98
864,359.42,358.76,359.22,359.94,359.16,361.24,358.81,359.59,359.66,336.78,0.1575,25900,100,0.98
865,359.4,358.75,359.19,359.92,359.15,361.23,358.82,359.6,359.82,337.05,0.1575,25900,100,0.98
866,359.38,358.74,359.17,359.9,359.14,361.21,358.82,359.59,359.97,337.33,0.1575,25900,100,0.98
867,359.36,358.74,359.17,359.87,359.13,361.2,358.83,359.59,360.14,337.63,0.1575,25900,100,0.98
868,359.34,358.74,359.15,359.86,359.12,361.2,358.82,359.59,360.29,337.91,0.1575,25900,100,0.98
869,359.31,358.73,359.14,359.84,359.11,361.19,358.82,359.59,360.44,338.18,0.1575,25900,100,0.98
870,359.29,358.72,359.14,359.83,359.11,361.19,358.83,359.6,360.59,338.43,0.1575,25900,100,0.98
871,359.26,358.71,359.11,359.81,359.09,361.19,358.82,359.59,360.79,338.79,0.1575,25900,100,0.98
872,359.23,358.7,359.1,359.81,359.09,361.18,358.81,359.58,360.98,339.15,0.1575,25900,100,0.98
873,359.21,358.7,359.1,359.78,359.08,361.17,358.8,359.57,361.11,339.41,0.1575,25900,100,0.98
874,359.19,358.69,359.09,359.77,359.08,361.16,358.79,359.57,361.24,339.68,0.1575,25900,100,0.98
875,359.16,358.67,359.08,359.76,359.07,361.15,358.78,359.56,361.38,339.94,0.1575,25900,100,0.98
876,359.14,358.68,359.06,359.75,359.07,361.15,358.78,359.56,361.54,340.21,0.1575,25900,100,0.98
877,359.11,358.66,359.06,359.73,359.06,361.14,358.76,359.55,361.69,340.47,0.1575,25900,100,0.98
878,359.09,358.65,359.04,359.72,359.04,361.13,358.74,359.54,361.83,340.73,0.1575,25900,100,0.98
879,359.06,358.64,359.03,359.71,359.04,361.12,358.73,359.54,361.96,340.96,0.1575,25900,100,0.98
880,359.02,358.62,359.02,359.71,359.03,361.12,358.72,359.55,362.13,341.29,0.1575,25900,100,0.98
881,358.99,358.61,359.01,359.7,359.02,361.11,358.71,359.53,362.28,341.6,0.1575,25900,100,0.98
882,358.97,358.59,359.0,359.69,359.01,361.1,358.69,359.53,362.37,341.77,0.1575,25900,100,0.98
883,358.94,358.59,359.0,359.69,359.0,361.09,358.68,359.52,362.48,341.96,0.1575,25900,100,0.98
884,358.9,358.57,358.98,359.68,358.99,361.08,358.67,359.52,362.59,342.13,0.1575,25900,100,0.98
885,358.88,358.56,358.97,359.68,358.99,361.07,358.66,359.52,362.7,342.3,0.1575,25900,100,0.98
886,358.85,358.55,358.96,359.68,358.98,361.06,358.65,359.51,362.81,342.47,0.1575,25900,100,0.98
887,358.83,358.53,358.95,359.67,358.98,361.06,358.65,359.5,362.92,342.65,0.1575,25900,100,0.98
888,358.81,358.53,358.95,359.66,358.97,361.05,358.64,359.5,363.01,342.85,0.1575,25900,100,0.98
889,358.76,358.5,358.93,359.66,358.96,361.04,358.63,359.49,363.12,343.13,0.1575,25900,100,0.98
890,358.72,358.49,358.92,359.65,358.97,361.03,358.62,359.49,363.23,343.4,0.1575,25900,100,0.98
891,358.7,358.47,358.91,359.64,358.95,361.01,358.62,359.48,363.31,343.57,0.1575,25900,100,0.98
892,358.68,358.46,358.9,359.63,358.95,361.0,358.6,359.47,363.41,343.76,0.1575,25900,100,0.98
893,358.65,358.45,358.9,359.62,358.95,361.0,358.6,359.47,363.49,343.94,0.1575,25900,100,0.98
894,358.62,358.43,358.89,359.62,358.94,360.99,358.6,359.46,363.58,344.14,0.1575,25900,100,0.98
895,358.6,358.42,358.88,359.61,358.93,360.98,358.61,359.46,363.67,344.32,0.1575,25900,100,0.98
896,358.57,358.41,358.88,359.61,358.94,360.98,358.6,359.46,363.74,344.5,0.1575,25900,100,0.98
897,358.55,358.39,358.86,359.59,358.93,360.97,358.59,359.45,363.81,344.69,0.1575,25900,100,0.98
898,358.51,358.36,358.85,359.59,358.93,360.96,358.58,359.44,363.92,344.99,0.1575,25900,100,0.98
899,358.48,358.34,358.83,359.58,358.92,360.96,358.58,359.44,364.02,345.31,0.1575,25900,100,0.98
900,358.45,358.31,358.84,359.58,358.92,360.95,358.58,359.45,364.1,345.54,0.1575,25900,100,0.98
901,358.41,358.3,358.82,359.57,358.92,360.94,358.57,359.44,364.19,345.76,0.1575,25900,100,0.98
902,358.39,358.27,358.8,359.55,358.91,360.93,358.56,359.44,364.29,345.99,0.1575,25900,100,0.98
903,358.36,358.26,358.79,359.54,358.91,360.92,358.55,359.43,364.38,346.22,0.1575,25900,100,0.98
904,358.34,358.24,358.78,359.54,358.9,360.92,358.55,359.43,364.47,346.43,0.1575,25900,100,0.98
905,358.31,358.22,358.76,359.53,358.89,360.91,358.54,359.43,364.56,346.63,0.1575,25900,100,0.98
906,358.28,358.21,358.75,359.52,358.88,360.9,358.54,359.42,364.67,346.82,0.1575,25900,100,0.98
907,358.24,358.18,358.74,359.51,358.88,360.89,358.54,359.43,364.81,347.13,0.1575,25900,100,0.98
908,358.21,358.17,358.72,359.51,358.88,360.89,358.53,359.44,364.94,347.38,0.1575,25900,100,0.98
909,358.17,358.14,358.71,359.49,358.87,360.88,358.52,359.42,365.02,347.53,0.1575,25900,100,0.98
910,358.15,358.12,358.69,359.48,358.86,360.88,358.52,359.42,365.11,347.68,0.1575,25900,100,0.98
911,358.11,358.1,358.69,359.48,358.86,360.87,358.52,359.43,365.2,347.85,0.1575,25900,100,0.98
912,358.09,358.08,358.67,359.47,358.86,360.86,358.51,359.42,365.27,348.06,0.1575,25900,100,0.98
913,358.06,358.06,358.66,359.46,358.85,360.85,358.5,359.42,365.36,348.28,0.1575,25900,100,0.98
914,358.03,358.04,358.66,359.45,358.85,360.84,358.5,359.41,365.43,348.51,0.1575,25900,100,0.98
915,358.01,358.02,358.65,359.44,358.85,360.83,358.5,359.42,365.51,348.78,0.1575,25900,100,0.98
916,357.96,357.99,358.64,359.43,358.84,360.83,358.49,359.42,365.64,349.18,0.1575,25900,100,0.98
917,357.92,357.97,358.62,359.42,358.83,360.83,358.48,359.42,365.77,349.56,0.1575,25900,100,0.98
918,357.88,357.94,358.61,359.42,358.82,360.81,358.48,359.42,365.87,349.81,0.1575,25900,100,0.98
919,357.87,357.93,358.6,359.41,358.82,360.81,358.47,359.42,365.97,350.06,0.1575,25900,100,0.98
920,357.83,357.9,358.59,359.39,358.82,360.8,358.47,359.41,366.06,350.3,0.1575,25900,100,0.98
921,357.81,357.88,358.58,359.39,358.81,360.8,358.47,359.4,366.14,350.54,0.1575,25900,100,0.98
922,357.78,357.87,358.58,359.39,358.81,360.79,358.47,359.41,366.23,350.79,0.1575,25900,100,0.98
923,357.74,357.84,358.57,359.38,358.8,360.79,358.46,359.41,366.32,351.05,0.1575,25900,100,0.98
924,357.71,357.82,358.55,359.37,358.8,360.78,358.45,359.4,366.4,351.31,0.1575,25900,100,0.98
925,357.66,357.79,358.54,359.36,358.79,360.78,358.45,359.41,366.55,351.69,0.1575,25900,100,0.98
926,357.62,357.75,358.53,359.36,358.78,360.78,358.44,359.41,366.68,352.07,0.1575,25900,100,0.98
927,357.58,357.72,358.51,359.35,358.77,360.78,358.43,359.4,366.76,352.32,0.1575,25900,100,0.98
928,357.55,357.7,358.5,359.34,358.76,360.77,358.43,359.4,366.85,352.58,0.1575,25900,100,0.98
929,357.52,357.68,358.49,359.33,358.75,360.75,358.42,359.4,366.94,352.84,0.1575,25900,100,0.98
930,357.5,357.66,358.48,359.33,358.75,360.75,358.43,359.4,367.01,353.1,0.1575,25900,100,0.98
931,357.48,357.64,358.46,359.32,358.74,360.74,358.41,359.39,367.09,353.36,0.1575,25900,100,0.98
932,357.44,357.61,358.45,359.31,358.73,360.74,358.4,359.39,367.17,353.59,0.1575,25900,100,0.98
933,357.41,357.59,358.43,359.3,358.72,360.73,358.4,359.39,367.26,353.83,0.1575,25900,100,0.98
934,357.37,357.57,358.42,359.3,358.72,360.72,358.4,359.39,367.4,354.15,0.1575,25900,100,0.98
935,357.33,357.54,358.41,359.29,358.71,360.72,358.39,359.39,367.54,354.44,0.1575,25900,100,0.98
936,357.3,357.51,358.39,359.28,358.7,360.71,358.39,359.39,367.62,354.62,0.1575,25900,100,0.98
937,357.28,357.5,358.4,359.27,358.7,360.7,358.39,359.38,367.7,354.8,0.1575,25900,100,0.98
938,357.26,357.48,358.37,359.27,358.69,360.7,358.38,359.39,367.75,354.96,0.1575,25900,100,0.98
939,357.21,357.45,358.36,359.26,358.69,360.69,358.39,359.38,367.82,355.14,0.1575,25900,100,0.98
940,357.19,357.44,358.35,359.26,358.69,360.68,358.38,359.39,367.88,355.31,0.1575,25900,100,0.98
941,357.17,357.41,358.34,359.25,358.68,360.68,358.38,359.39,367.95,355.49,0.1575,25900,100,0.98
942,357.14,357.39,358.33,359.24,358.67,360.66,358.36,359.38,368.04,355.68,0.1575,25900,100,0.98
943,357.09,357.35,358.3,359.23,358.66,360.66,358.35,359.38,368.16,355.98,0.1575,25900,100,0.98
944,357.05,357.32,358.29,359.23,358.65,360.66,358.34,359.38,368.29,356.31,0.1575,25900,100,0.98
945,357.02,357.29,358.28,359.21,358.65,360.64,358.34,359.37,368.38,356.54,0.1575,25900,100,0.98
946,356.99,357.27,358.27,359.21,358.65,360.64,358.34,359.38,368.46,356.77,0.1575,25900,100,0.98
947,356.96,357.25,358.25,359.2,358.64,360.64,358.34,359.38,368.54,357.01,0.1575,25900,100,0.98
948,356.93,357.23,358.24,359.19,358.64,360.63,358.33,359.38,368.62,357.23,0.1575,25900,100,0.98
949,356.89,357.19,358.22,359.18,358.63,360.62,358.31,359.38,368.7,357.45,0.1575,25900,100,0.98
950,356.87,357.18,358.22,359.17,358.62,360.61,358.31,359.38,368.78,357.66,0.1575,25900,100,0.98
951,356.83,357.15,358.2,359.17,358.61,360.61,358.31,359.39,368.87,357.86,0.1575,25900,100,0.98
952,356.79,357.12,358.19,359.17,358.61,360.61,358.31,359.4,368.99,358.16,0.1575,25900,100,0.98
953,356.74,357.08,358.18,359.16,358.59,360.59,358.29,359.39,369.11,358.41,0.1575,25900,100,0.98
954,356.72,357.06,358.17,359.15,358.59,360.59,358.28,359.4,369.2,358.57,0.1575,25900,100,0.98
955,356.67,357.02,358.15,359.15,358.58,360.59,358.27,359.4,369.28,358.72,0.1575,25900,100,0.98
956,356.65,357.0,358.13,359.14,358.57,360.58,358.27,359.4,369.36,358.89,0.1575,25900,100,0.98
957,356.62,356.98,358.12,359.13,358.57,360.57,358.27,359.4,369.46,359.07,0.1575,25900,100,0.98
958,356.59,356.96,358.12,359.12,358.57,360.56,358.27,359.41,369.53,359.24,0.1575,25900,100,0.98
959,356.55,356.93,358.11,359.11,358.56,360.55,358.26,359.4,369.61,359.41,0.1575,25900,100,0.98
960,356.53,356.91,358.1,359.1,358.56,360.54,358.25,359.4,369.69,359.57,0.1575,25900,100,0.98
961,356.48,356.87,358.08,359.09,358.55,360.53,358.25,359.4,369.79,359.73,0.1575,25900,100,0.98
962,356.44,356.84,358.05,359.09,358.54,360.53,358.24,359.41,369.91,359.88,0.1575,25900,100,0.98
963,356.42,356.82,358.05,359.08,358.53,360.52,358.25,359.41,369.98,359.99,0.1575,25900,100,0.98
964,356.38,356.79,358.03,359.07,358.52,360.51,358.23,359.41,370.08,360.1,0.1575,25900,100,0.98
965,356.35,356.77,358.02,359.05,358.52,360.5,358.24,359.41,370.16,360.22,0.1575,25900,100,0.98
966,356.33,356.75,358.02,359.05,358.52,360.51,358.23,359.42,370.24,360.34,0.1575,25900,100,0.98
967,356.3,356.74,358.0,359.03,358.51,360.5,358.23,359.41,370.31,360.49,0.1575,25900,100,0.98
968,356.28,356.72,357.99,359.03,358.51,360.49,358.22,359.43,370.37,360.66,0.1575,25900,100,0.98
969,356.24,356.69,357.98,359.02,358.5,360.49,358.22,359.43,370.46,360.8,0.1575,25900,100,0.98
970,356.2,356.65,357.95,359.01,358.49,360.49,358.22,359.43,370.58,360.99,0.1575,25900,100,0.98
971,356.16,356.63,357.93,359.0,358.48,360.48,358.22,359.43,370.7,361.19,0.1575,25900,100,0.98
972,356.14,356.6,357.92,358.99,358.47,360.47,358.22,359.43,370.78,361.31,0.1575,25900,100,0.98
973,356.11,356.58,357.9,358.98,358.47,360.47,358.22,359.43,370.83,361.47,0.1575,25900,100,0.98
974,356.07,356.56,357.89,358.97,358.46,360.46,358.21,359.44,370.91,361.63,0.1575,25900,100,0.98
975,356.05,356.54,357.88,358.96,358.46,360.46,358.21,359.45,370.99,361.79,0.1575,25900,100,0.98
976,356.03,356.52,357.87,358.95,358.45,360.45,358.21,359.45,371.08,361.94,0.1575,25900,100,0.98
977,356.0,356.5,357.86,358.95,358.45,360.45,358.21,359.45,371.16,362.07,0.1575,25900,100,0.98
978,355.97,356.48,357.85,358.95,358.45,360.45,358.21,359.46,371.25,362.21,0.1575,25900,100,0.98
979,355.93,356.45,357.82,358.92,358.44,360.44,358.2,359.46,371.36,362.38,0.1575,25900,100,0.98
980,355.89,356.42,357.8,358.93,358.43,360.44,358.2,359.46,371.46,362.53,0.1575,25900,100,0.98
981,355.85,356.38,357.79,358.9,358.42,360.43,358.19,359.46,371.53,362.64,0.1575,25900,100,0.98
982,355.81,356.37,357.77,358.89,358.41,360.42,358.19,359.46,371.6,362.75,0.1575,25900,100,0.98
983,355.79,356.35,357.76,358.89,358.4,360.43,358.19,359.47,371.68,362.87,0.1575,25900,100,0.98
984,355.78,356.32,357.75,358.88,358.4,360.42,358.19,359.48,371.75,362.99,0.1575,25900,100,0.98
985,355.74,356.3,357.73,358.88,358.39,360.42,358.18,359.49,371.84,363.08,0.1575,25900,100,0.98
986,355.71,356.27,357.71,358.87,358.38,360.42,358.18,359.5,371.92,363.19,0.1575,25900,100,0.98
987,355.68,356.25,357.71,358.86,358.38,360.41,358.18,359.5,372.0,363.34,0.1575,25900,100,0.98
988,355.65,356.22,357.69,358.85,358.38,360.41,358.18,359.5,372.1,363.57,0.1575,25900,100,0.98
989,355.6,356.19,357.66,358.84,358.35,360.4,358.17,359.5,372.21,363.8,0.1575,25900,100,0.98
990,355.58,356.16,357.65,358.82,358.35,360.39,358.17,359.51,372.29,363.93,0.1575,25900,100,0.98
991,355.54,356.14,357.64,358.82,358.35,360.38,358.17,359.51,372.38,364.07,0.1575,25900,100,0.98
992,355.53,356.13,357.62,358.81,358.35,360.39,358.18,359.51,372.46,364.22,0.1575,25900,100,0.98
993,355.5,356.1,357.61,358.8,358.33,360.38,358.16,359.52,372.53,364.37,0.1575,25900,100,0.98
994,355.48,356.07,357.6,358.79,358.32,360.37,358.17,359.52,372.61,364.53,0.1575,25900,100,0.98
995,355.44,356.06,357.59,358.78,358.33,360.37,358.16,359.53,372.68,364.7,0.1575,25900,100,0.98
996,355.41,356.03,357.58,358.77,358.32,360.36,358.16,359.53,372.76,364.86,0.1575,25900,100,0.98
997,355.38,356.0,357.56,358.76,358.31,360.36,358.16,359.54,372.88,365.09,0.1575,25900,100,0.98
998,355.33,355.97,357.52,358.75,358.29,360.36,358.14,359.55,373.01,365.29,0.1575,25900,100,0.98
999,355.31,355.94,357.52,358.75,358.29,360.35,358.15,359.55,373.09,365.39,0.1575,25900,100,0.98
1000,355.28,355.92,357.49,358.73,358.28,360.35,358.14,359.55,373.15,365.49,0.1575,25900,100,0.98
1001,355.26,355.91,357.49,358.73,358.28,360.34,358.14,359.56,373.22,365.57,0.1575,25900,100,0.98
1002,355.23,355.88,357.48,358.71,358.27,360.34,358.16,359.56,373.28,365.66,0.1575,25900,100,0.98
1003,355.21,355.87,357.47,358.7,358.26,360.33,358.14,359.57,373.34,365.73,0.1575,25900,100,0.98
