Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0.0,349.55,358.08,367.16,373.92,375.39,378.86,377.24,378.91,376.96,360.74,0.1575,19400,3,0.98
1.0,349.55,358.1,367.16,373.93,375.4,378.86,377.25,378.93,377.01,360.71,0.1575,19400,3,0.98
2.0,349.54,358.1,367.17,373.92,375.4,378.86,377.26,378.9,376.98,360.75,0.1575,19400,3,0.98
3.0,349.55,358.11,367.18,373.92,375.41,378.86,377.26,378.85,376.91,360.78,0.1575,19400,3,0.98
4.0,349.55,358.11,367.17,373.93,375.4,378.87,377.28,378.82,376.89,360.84,0.1575,19400,3,0.98
5.0,349.56,358.11,367.18,373.93,375.41,378.87,377.29,378.8,376.9,360.85,0.1575,19400,3,0.98
6.0,349.56,358.11,367.18,373.94,375.41,378.87,377.29,378.82,376.96,360.86,0.1575,19400,3,0.98
7.0,349.57,358.11,367.19,373.94,375.41,378.87,377.29,378.83,377.04,360.87,0.1575,19400,3,0.98
8.0,349.57,358.1,367.19,373.94,375.41,378.88,377.3,378.85,377.12,360.87,0.1575,19400,3,0.98
9.0,349.58,358.11,367.18,373.95,375.42,378.88,377.3,378.87,377.14,360.79,0.1575,19400,3,0.98
10.0,349.56,358.11,367.18,373.95,375.42,378.88,377.31,378.9,377.18,360.71,0.1575,19400,3,0.98
11.0,349.55,358.1,367.18,373.95,375.42,378.87,377.32,378.94,377.23,360.65,0.1575,19400,3,0.98
12.0,349.57,358.1,367.18,373.97,375.42,378.89,377.33,378.99,377.26,360.6,0.1575,19400,3,0.98
13.0,349.55,358.11,367.2,373.97,375.43,378.89,377.34,379.04,377.27,360.57,0.1575,19400,3,0.98
14.0,349.56,358.12,367.2,373.96,375.43,378.89,377.34,379.06,377.26,360.57,0.1575,19400,3,0.98
15.0,349.56,358.13,367.21,373.97,375.44,378.89,377.33,379.07,377.26,360.6,0.1575,19400,3,0.98
16.0,349.56,358.13,367.21,373.98,375.43,378.89,377.31,379.07,377.3,360.66,0.1575,19400,3,0.98
17.0,349.57,358.13,367.22,373.97,375.44,378.9,377.31,379.06,377.38,360.77,0.1575,19400,3,0.98
18.0,349.59,358.14,367.24,373.99,375.45,378.9,377.3,379.06,377.41,360.84,0.1575,19400,3,0.98
19.0,349.59,358.13,367.24,373.99,375.45,378.9,377.28,379.03,377.31,360.85,0.1575,19400,3,0.98
20.0,349.6,358.13,367.24,373.99,375.45,378.9,377.29,378.97,377.18,360.85,0.1575,19400,3,0.98
21.0,349.6,358.14,367.24,373.99,375.45,378.91,377.29,378.95,376.97,360.83,0.1575,19400,3,0.98
22.0,349.6,358.14,367.24,374.0,375.46,378.91,377.3,378.94,376.81,360.81,0.1575,19400,3,0.98
23.0,349.6,358.14,367.24,374.0,375.46,378.92,377.31,378.94,376.76,360.8,0.1575,19400,3,0.98
24.0,349.6,358.15,367.24,374.0,375.46,378.93,377.32,378.92,376.74,360.79,0.1575,19400,3,0.98
25.0,349.6,358.16,367.24,373.99,375.48,378.92,377.33,378.9,376.72,360.78,0.1575,19400,3,0.98
26.0,349.59,358.16,367.25,374.0,375.47,378.93,377.34,378.88,376.73,360.8,0.1575,19400,3,0.98
27.0,349.59,358.16,367.25,374.0,375.47,378.94,377.34,378.84,376.79,360.89,0.1575,19400,3,0.98
28.0,349.6,358.15,367.25,374.01,375.47,378.94,377.35,378.81,376.92,360.96,0.1575,19400,3,0.98
29.0,349.61,358.15,367.26,374.02,375.48,378.95,377.36,378.79,377.04,360.98,0.1575,19400,3,0.98
30.0,349.62,358.16,367.25,374.02,375.48,378.96,377.37,378.79,377.13,360.98,0.1575,19400,3,0.98
31.0,349.62,358.18,367.26,374.02,375.48,378.96,377.38,378.78,377.14,360.96,0.1575,19400,3,0.98
32.0,349.63,358.18,367.25,374.02,375.49,378.96,377.38,378.75,377.13,360.96,0.1575,19400,3,0.98
33.0,349.63,358.19,367.25,374.03,375.49,378.96,377.39,378.72,377.1,360.94,0.1575,19400,3,0.98
34.0,349.63,358.19,367.25,374.03,375.49,378.97,377.4,378.72,377.02,360.94,0.1575,19400,3,0.98
35.0,349.63,358.18,367.24,374.04,375.49,378.96,377.42,378.77,376.97,361.0,0.1575,19400,3,0.98
36.0,349.62,358.17,367.24,374.03,375.49,378.97,377.43,378.85,376.99,361.06,0.1575,19400,3,0.98
37.0,349.62,358.17,367.25,374.03,375.5,378.98,377.44,378.94,377.06,361.12,0.1575,19400,3,0.98
38.0,349.64,358.19,367.26,374.04,375.5,378.99,377.44,379.02,377.08,361.19,0.1575,19400,3,0.98
39.0,349.64,358.19,367.28,374.02,375.51,378.98,377.45,379.02,377.12,361.31,0.1575,19400,3,0.98
40.0,349.65,358.2,367.29,374.02,375.52,378.98,377.45,379.01,377.16,361.42,0.1575,19400,3,0.98
41.0,349.66,358.21,367.29,374.02,375.52,378.98,377.46,379.02,377.19,361.48,0.1575,19400,3,0.98
42.0,349.66,358.2,367.29,374.04,375.52,378.99,377.45,378.99,377.24,361.5,0.1575,19400,3,0.98
43.0,349.65,358.2,367.28,374.04,375.52,378.98,377.43,378.95,377.26,361.54,0.1575,19400,3,0.98
44.0,349.65,358.21,367.29,374.04,375.52,378.98,377.43,378.92,377.29,361.49,0.1575,19400,3,0.98
45.0,349.64,358.22,367.28,374.06,375.52,378.97,377.42,378.91,377.37,361.38,0.1575,19400,3,0.98
46.0,349.63,358.22,367.29,374.07,375.53,378.97,377.42,378.92,377.45,361.28,0.1575,19400,3,0.98
47.0,349.63,358.22,367.29,374.06,375.53,378.97,377.43,378.95,377.49,361.19,0.1575,19400,3,0.98
48.0,349.62,358.22,367.28,374.07,375.53,378.98,377.43,378.98,377.47,361.15,0.1575,19400,3,0.98
49.0,349.63,358.24,367.31,374.08,375.55,378.98,377.44,379.02,377.39,361.14,0.1575,19400,3,0.98
50.0,349.63,358.23,367.32,374.08,375.55,378.98,377.44,379.1,377.34,361.17,0.1575,19400,3,0.98
