Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
1,282.959033078993,300.042036920739,300.028488249445,300.014626250844,300.007509283776,300.003855429433,300.001979459319,300.001016292392,300.000734237493,300.548023150751,0.4,20000.0,15.0,0.9
2,282.997514740722,300.084066116578,300.056977781733,300.029253162312,300.015018907128,300.007711030375,300.003959007021,300.002032630246,300.001470439714,300.548759352973,0.4,20000.0,15.0,0.9
3,283.035988880913,300.126087588441,300.085468596646,300.043880734339,300.022528870039,300.011566802827,300.005938643108,300.003049013563,300.002208295656,300.549497208915,0.4,20000.0,15.0,0.9
4,283.074455500643,300.168101337249,300.113960693967,300.058508966859,300.030039172498,300.015422746789,300.007918367583,300.004065442347,300.002947595935,300.550236509194,0.4,20000.0,15.0,0.9
5,283.112914600989,300.210107363923,300.142454073476,300.073137859808,300.037549814488,300.019278862262,300.00989818045,300.005081916598,300.003688190634,300.550977103892,0.4,20000.0,15.0,0.9
6,283.151366183028,300.252105669388,300.170948734956,300.087767413121,300.045060795996,300.023135149247,300.011878081711,300.006098436319,300.004429967039,300.551718880298,0.4,20000.0,15.0,0.9
7,283.189810247837,300.294096254564,300.19944467819,300.102397626731,300.052572117008,300.026991607743,300.013858071369,300.007115001512,300.005172837064,300.552461750322,0.4,20000.0,15.0,0.9
8,283.228246796493,300.336079120376,300.227941902959,300.117028500574,300.06008377751,300.030848237753,300.015838149426,300.008131612179,300.005916729703,300.553205642962,0.4,20000.0,15.0,0.9
9,283.266675830073,300.378054267745,300.256440409046,300.131660034585,300.067595777487,300.034705039277,300.017818315886,300.009148268322,300.00666158629,300.553950499548,0.4,20000.0,15.0,0.9
10,283.305097349655,300.420021697597,300.284940196233,300.146292228698,300.075108116925,300.038562012314,300.019798570752,300.010164969944,300.007407357357,300.554696270616,0.4,20000.0,15.0,0.9
11,283.343511356318,300.461981410854,300.313441264303,300.160925082848,300.082620795811,300.042419156866,300.021778914025,300.011181717046,300.008154000499,300.555442913758,0.4,20000.0,15.0,0.9
12,283.381917851138,300.503933408439,300.341943613038,300.175558596971,300.090133814129,300.046276472934,300.023759345709,300.012198509631,300.008901478858,300.556190392117,0.4,20000.0,15.0,0.9
13,283.420316835193,300.545877691279,300.370447242221,300.190192771001,300.097647171866,300.050133960518,300.025739865807,300.0132153477,300.009649760021,300.55693867328,0.4,20000.0,15.0,0.9
14,283.458708309562,300.587814260295,300.398952151636,300.204827604873,300.105160869008,300.053991619618,300.027720474322,300.014232231256,300.010398815201,300.557687728459,0.4,20000.0,15.0,0.9
15,283.497092275323,300.629743116414,300.427458341064,300.219463098522,300.11267490554,300.057849450236,300.029701171256,300.0152491603,300.011148618611,300.558437531869,0.4,20000.0,15.0,0.9
16,283.535468733555,300.671664260561,300.455965810289,300.234099251884,300.120189281449,300.061707452372,300.031681956612,300.016266134836,300.011899146979,300.559188060237,0.4,20000.0,15.0,0.9
17,283.573837685335,300.713577693659,300.484474559094,300.248736064893,300.12770399672,300.065565626027,300.033662830393,300.017283154864,300.012650379168,300.559939292426,0.4,20000.0,15.0,0.9
18,283.612199131744,300.755483416634,300.512984587262,300.263373537484,300.13521905134,300.069423971201,300.035643792602,300.018300220387,300.013402295868,300.560691209126,0.4,20000.0,15.0,0.9
19,283.650553073859,300.797381430412,300.541495894577,300.278011669594,300.142734445294,300.073282487895,300.037624843242,300.019317331408,300.014154879347,300.561443792605,0.4,20000.0,15.0,0.9
20,283.68889951276,300.839271735919,300.570008480821,300.292650461155,300.150250178567,300.07714117611,300.039605982315,300.020334487927,300.01490811325,300.562197026508,0.4,20000.0,15.0,0.9
21,283.727238449526,300.881154334081,300.598522345778,300.307289912105,300.157766251147,300.081000035846,300.041587209824,300.021351689948,300.015661982429,300.562950895688,0.4,20000.0,15.0,0.9
22,283.765569885237,300.923029225823,300.627037489233,300.321930022378,300.165282663019,300.084859067105,300.043568525772,300.022368937472,300.016416472802,300.563705386061,0.4,20000.0,15.0,0.9
23,283.803893820971,300.964896412073,300.655553910968,300.336570791909,300.172799414169,300.088718269886,300.045549930163,300.023386230502,300.017171571234,300.564460484493,0.4,20000.0,15.0,0.9
24,283.842210257809,301.006755893757,300.684071610767,300.351212220634,300.180316504583,300.09257764419,300.047531422998,300.024403569039,300.017927265435,300.565216178694,0.4,20000.0,15.0,0.9
25,283.88051919683,301.048607671802,300.712590588414,300.365854308488,300.187833934246,300.096437190019,300.04951300428,300.025420953086,300.018683543874,300.565972457132,0.4,20000.0,15.0,0.9
26,283.918820639115,301.090451747135,300.741110843693,300.380497055407,300.195351703145,300.100296907372,300.051494674013,300.026438382644,300.019440395704,300.566729308962,0.4,20000.0,15.0,0.9
27,283.957114585742,301.132288120683,300.769632376388,300.395140461325,300.202869811267,300.104156796251,300.0534764322,300.027455857717,300.020197810696,300.567486723955,0.4,20000.0,15.0,0.9
28,283.995401037794,301.174116793375,300.798155186283,300.409784526179,300.210388258596,300.108016856656,300.055458278842,300.028473378305,300.020955779186,300.568244692445,0.4,20000.0,15.0,0.9
29,284.03367999635,301.215937766137,300.826679273162,300.424429249903,300.217907045119,300.111877088588,300.057440213943,300.029490944412,300.02171429202,300.569003205279,0.4,20000.0,15.0,0.9
30,284.07195146249,301.257751039899,300.855204636809,300.439074632433,300.225426170822,300.115737492047,300.059422237506,300.030508556039,300.022473340516,300.569762253774,0.4,20000.0,15.0,0.9
31,284.110215437295,301.299556615588,300.883731277008,300.453720673705,300.23294563569,300.119598067034,300.061404349533,300.031526213188,300.023232916419,300.570521829678,0.4,20000.0,15.0,0.9
32,284.148471921847,301.341354494133,300.912259193543,300.468367373653,300.240465439711,300.123458813551,300.063386550028,300.032543915863,300.023993011873,300.571281925131,0.4,20000.0,15.0,0.9
33,284.186720917225,301.383144676464,300.9407883862,300.483014732215,300.24798558287,300.127319731597,300.065368838992,300.033561664065,300.024753619386,300.572042532644,0.4,20000.0,15.0,0.9
34,284.224962424512,301.424927163508,300.96931885476,300.497662749325,300.255506065152,300.131180821173,300.06735121643,300.034579457796,300.025514731804,300.572803645062,0.4,20000.0,15.0,0.9
35,284.263196444788,301.466701956195,300.997850599009,300.512311424918,300.263026886545,300.13504208228,300.069333682344,300.035597297059,300.026276342287,300.573565255546,0.4,20000.0,15.0,0.9
36,284.301422979136,301.508469055454,301.026383618729,300.526960758931,300.270548047034,300.138903514919,300.071316236736,300.036615181857,300.027038444287,300.574327357546,0.4,20000.0,15.0,0.9
37,284.339642028636,301.550228462217,301.054917913705,300.5416107513,300.278069546605,300.14276511909,300.073298879609,300.037633112192,300.027801031526,300.575089944784,0.4,20000.0,15.0,0.9
38,284.37785359437,301.591980177411,301.083453483719,300.556261401959,300.285591385244,300.146626894794,300.075281610967,300.038651088066,300.028564097978,300.575853011237,0.4,20000.0,15.0,0.9
39,284.41605767742,301.633724201968,301.111990328554,300.570912710845,300.293113562938,300.150488842032,300.077264430812,300.039669109484,300.029327637856,300.576616551115,0.4,20000.0,15.0,0.9
40,284.454254278868,301.675460536818,301.140528447991,300.585564677893,300.300636079672,300.154350960805,300.079247339147,300.040687176447,300.030091645593,300.577380558851,0.4,20000.0,15.0,0.9
41,284.492443399797,301.717189182891,301.169067841812,300.600217303039,300.308158935433,300.158213251113,300.081230335974,300.041705288958,300.030856115829,300.578145029088,0.4,20000.0,15.0,0.9
42,284.530625041288,301.758910141119,301.197608509798,300.61487058622,300.315682130207,300.162075712957,300.083213421297,300.042723447022,300.031621043401,300.57890995666,0.4,20000.0,15.0,0.9
