time,value
0,312.62
1,312.58
2,312.66
3,312.69
4,312.74
5,312.65
6,312.65
7,312.43
8,312.41
9,312.42
10,312.35
11,312.42
12,312.44
13,312.41
14,312.42
15,312.41
16,312.33
17,312.41
18,312.28
19,312.48
20,312.43
21,296.80
22,308.82
23,298.10
24,312.46
25,309.51
26,300.39
27,313.92
28,303.06
29,309.84
30,299.44
31,308.33
32,307.68
33,296.08
34,311.88
35,304.57
36,300.50
37,307.80
38,296.04
39,307.34
40,309.43
41,297.38
42,311.68
43,303.71
44,315.95
45,298.02
46,302.84
47,314.77
48,302.60
49,311.72
50,310.45
51,308.37
52,312.70
53,307.33
54,303.62
55,309.42
56,303.68
57,310.66
58,308.29
59,304.48
60,303.94
61,303.77
62,303.80
63,303.99
64,303.94
65,303.84
66,303.88
67,303.89
68,303.82
69,303.90
70,303.85
71,303.74
72,303.82
73,303.84
74,303.86
75,303.89
76,303.94
77,297.52
78,300.19
79,315.20
80,294.16
81,312.45
82,297.66
83,315.12
84,302.00
85,308.63
86,300.84
87,310.47
88,301.84
89,306.41
90,302.19
91,312.91
92,300.58
93,308.47
94,308.29
95,308.29
96,308.15
97,308.18
98,308.21
99,308.08
100,308.06
101,307.79
102,307.80
103,307.81
104,307.93
105,308.10
106,308.00
107,308.17
108,313.83
109,296.70
110,308.30
111,298.21
112,313.48
113,301.26
114,309.27
115,301.25
116,304.06
117,300.87
118,301.62
119,298.58
120,310.51
121,296.17
122,302.50
123,305.87
124,308.83
125,308.50
126,308.38
127,308.31
128,308.18
129,307.92
130,307.85
131,307.69
132,307.70
133,307.85
134,307.92
135,295.17
136,302.74
137,294.28
138,312.57
139,304.06
140,298.03
141,310.55
142,299.36
143,298.81
144,310.67
145,299.28
146,311.11
147,303.47
148,307.90
149,297.93
150,308.49
151,308.39
152,308.11
153,308.16
154,308.17
155,308.13
156,308.07
157,289.06
158,307.07
159,302.87
160,298.62
161,308.30
162,311.41
163,318.48
164,315.16
165,317.41
166,318.24
167,320.21
168,317.00
169,316.83
170,314.91
171,312.99
172,312.86
173,312.79
174,312.72
175,312.60
176,312.69
177,312.70
178,313.30
179,312.09
180,306.95
181,288.64
182,274.90
183,193.24
184,184.96
185,182.32
186,184.01
187,179.05
188,178.12
189,180.52
190,182.81
191,185.56
192,185.77
193,186.58
194,177.52
195,187.37
196,179.76
197,176.43
198,188.78
199,188.98
200,189.26
201,189.59
202,189.93
203,190.17
204,191.04
205,191.30
206,190.96
207,191.51
208,191.89
209,192.26
210,192.51
211,193.35
212,193.67
213,193.91
214,194.56
215,179.32
216,169.00
217,177.66
218,161.08
219,196.45
220,196.94
221,196.33
222,196.54
223,197.36
224,197.33
225,197.45
226,197.77
227,198.18
228,198.49
229,198.87
230,199.19
231,199.46
232,199.72
233,200.17
234,200.51
235,200.63
236,200.99
237,201.21
238,201.68
239,201.95
240,202.19
241,202.36
242,202.59
243,202.87
244,203.12
245,203.30
246,203.61
247,203.92
248,204.15
249,204.38
250,204.52
251,204.80
252,205.06
253,205.33
254,205.75
255,205.96
256,158.91
257,178.57
258,206.73
259,206.55
260,207.23
261,207.11
262,207.70
263,196.57
264,199.17
265,194.14
266,209.30
267,208.42
268,208.68
269,208.66
270,208.81
271,209.11
272,209.31
273,209.48
274,209.82
275,210.19
276,210.35
277,210.63
278,211.04
279,211.01
280,211.02
281,211.31
282,211.62
283,211.89
284,211.75
285,212.23
286,212.52
287,213.04
288,213.40
289,213.62
290,214.26
291,214.56
292,214.74
293,215.09
294,215.19
295,215.40
296,215.82
297,216.00
298,216.41
299,216.64
300,216.93
301,217.21
302,217.39
303,217.70
304,217.90
305,218.24
306,218.50
307,218.84
308,219.07
309,219.37
310,219.61
311,219.75
312,220.12
313,220.31
314,220.45
315,220.71
316,221.03
317,221.27
318,221.37
319,221.57
320,221.80
321,222.14
322,222.86
323,222.35
324,222.63
325,222.89
326,223.19
327,223.44
328,223.88
329,223.99
330,224.63
331,224.61
332,224.98
333,225.04
334,225.26
335,224.96
336,225.17
337,225.27
338,225.58
339,225.77
340,226.00
341,226.16
342,226.38
343,226.58
344,226.70
345,226.96
346,227.13
347,227.38
348,227.53
349,227.73
350,227.93
351,227.90
352,228.10
353,228.18
354,228.33
355,228.40
356,228.60
357,228.62
358,229.03
359,229.17
360,229.31
361,229.44
362,229.61
363,229.80
364,229.99
365,230.23
366,230.18
367,230.27
368,230.45
369,230.66
370,230.84
371,231.11
372,231.12
373,231.30
374,231.55
375,231.63
376,231.84
377,231.96
378,232.08
379,232.23
380,232.29
381,232.29
382,232.43
383,232.48
384,232.70
385,232.88
386,233.36
387,233.28
388,233.34
389,233.52
390,233.68
391,234.33
392,234.20
393,234.34
394,234.41
395,234.27
396,234.36
397,234.46
398,234.47
399,235.27
400,235.38
401,235.43
402,234.92
403,235.05
404,235.23
405,235.27
406,235.34
407,235.45
408,235.56
409,235.69
410,235.73
411,235.97
412,236.16
413,236.30
414,236.37
415,236.56
416,236.61
417,236.74
418,236.93
419,237.03
420,237.18
421,237.32
422,237.42
423,237.48
424,237.63
425,237.64
426,237.90
427,237.98
428,238.06
429,238.20
430,238.30
431,238.45
432,238.46
433,238.56
434,238.60
435,238.69
436,238.77
437,238.91
438,239.08
439,239.21
440,239.25
441,239.47
442,239.43
443,239.55
444,239.74
445,239.80
446,239.86
447,239.98
448,240.14
449,240.13
450,240.09
451,240.10
452,240.11
453,240.09
454,240.21
455,240.33
456,240.45
457,240.50
458,240.65
459,240.70
460,240.72
461,240.85
462,240.88
463,240.99
464,241.13
465,241.16
466,241.27
467,241.42
468,241.44
