time,value
0,191.83
1,192.46
2,193.28
3,193.97
4,194.68
5,195.33
6,195.96
7,196.59
8,197.24
9,197.88
10,198.57
11,199.09
12,199.59
13,200.26
14,200.84
15,201.44
16,202.07
17,202.59
18,203.17
19,203.78
20,204.34
21,204.95
22,205.43
23,206.10
24,206.50
25,207.06
26,207.60
27,207.96
28,208.53
29,209.03
30,209.49
31,209.94
32,210.36
33,210.84
34,211.42
35,211.90
36,212.32
37,212.80
38,213.29
39,213.69
40,214.02
41,214.51
42,214.96
43,215.22
44,215.86
45,216.29
46,216.77
47,217.12
48,217.60
49,217.99
50,218.45
51,218.62
52,219.03
53,219.40
54,219.79
55,220.11
56,220.57
57,220.94
58,221.23
59,221.89
60,222.23
61,222.62
62,222.86
63,223.15
64,223.45
65,223.71
66,224.27
67,224.58
68,224.88
69,225.49
70,225.63
71,226.12
72,226.33
73,226.61
74,227.00
75,227.31
76,227.65
77,227.95
78,228.30
79,228.63
80,228.87
81,229.15
82,229.48
83,230.00
84,230.28
85,230.51
86,230.66
87,230.90
88,231.26
89,231.42
90,231.71
91,232.10
92,232.32
93,232.52
94,232.90
95,233.02
96,233.43
97,233.62
98,233.99
99,234.25
100,234.49
101,234.75
102,235.03
103,235.23
104,235.35
105,235.66
106,235.84
107,236.08
108,236.26
109,236.49
110,236.83
111,237.02
112,237.14
113,237.39
114,237.57
115,237.68
116,238.01
117,238.33
118,238.51
119,238.76
120,238.98
121,238.97
122,239.27
123,239.54
124,239.63
125,239.94
126,240.13
127,240.37
128,240.64
129,240.86
130,240.95
131,241.26
132,241.42
133,241.79
134,241.87
135,242.06
136,242.25
137,242.42
138,242.63
139,242.71
140,242.90
141,243.11
142,243.34
143,243.64
144,243.61
145,243.84
146,244.03
147,244.19
148,244.51
149,244.74
150,244.75
151,244.88
152,245.18
153,245.32
154,245.34
155,245.35
156,245.52
157,245.75
158,245.83
159,245.95
160,246.10
161,246.33
162,246.43
163,246.46
164,246.55
165,246.77
166,246.84
167,247.11
168,247.26
169,247.41
170,247.48
171,247.60
172,247.67
173,247.83
174,248.10
175,248.18
176,248.25
177,248.45
178,248.48
179,248.65
180,248.75
181,248.82
182,248.97
183,249.07
184,249.24
185,249.40
186,249.49
187,249.61
188,249.59
189,249.69
190,249.72
191,249.77
192,249.84
193,249.87
194,249.97
195,250.20
196,250.42
197,250.54
198,250.66
199,250.72
200,250.77
201,250.88
202,250.87
203,250.95
204,250.96
205,251.32
206,251.05
207,251.18
208,251.29
209,251.20
210,251.24
211,251.25
212,251.41
213,251.58
214,251.71
215,251.67
216,251.82
217,252.05
218,252.11
219,252.20
220,252.40
221,252.47
222,252.47
223,252.59
224,252.65
225,252.69
226,252.79
227,252.85
228,252.90
229,252.99
230,253.11
231,253.25
232,253.37
233,253.54
234,253.59
235,253.67
236,253.76
237,253.86
238,253.98
239,254.06
240,254.08
241,254.18
242,254.20
243,254.13
244,254.17
245,254.24
246,254.44
247,254.50
248,254.57
249,254.71
250,254.79
251,254.85
252,254.93
253,254.89
254,255.01
255,255.10
256,255.04
257,255.15
258,255.34
259,255.32
260,255.28
261,255.37
262,255.42
263,255.54
264,255.63
265,255.81
266,255.87
267,255.87
268,255.96
269,255.99
270,255.93
271,255.91
272,256.01
273,256.00
274,256.14
275,256.23
276,256.36
277,256.21
278,256.20
279,256.46
280,256.57
281,256.62
282,256.63
283,256.73
284,256.67
285,256.80
286,256.82
287,256.75
288,256.94
289,256.98
290,256.88
291,256.95
292,256.99
293,257.00
294,257.18
295,257.39
296,257.34
297,257.31
298,257.47
299,257.46
300,257.50
301,257.56
302,257.56
303,257.37
304,257.43
305,257.50
306,257.46
307,257.59
308,257.79
309,257.65
310,257.73
311,257.90
312,258.03
313,258.09
314,258.11
315,258.09
316,258.22
317,258.23
318,258.30
319,258.31
320,258.39
321,258.42
322,258.44
323,258.46
324,258.52
325,258.59
326,258.67
327,258.69
328,258.75
329,258.76
330,258.86
331,258.92
332,259.05
333,259.04
334,258.94
335,258.94
336,259.09
337,259.01
338,259.01
339,259.17
340,259.10
341,259.07
342,259.11
343,259.19
344,259.22
345,259.30
346,259.36
347,259.34
348,259.23
349,259.25
350,259.26
351,259.28
352,259.40
353,259.49
354,259.48
355,259.54
356,259.50
357,259.51
358,259.52
359,259.39
360,259.35
361,259.39
362,259.33
363,259.49
364,259.65
365,259.84
366,259.81
367,259.87
368,259.92
369,260.02
370,260.12
371,259.96
372,259.98
373,260.02
374,259.86
375,259.89
376,259.96
377,260.07
378,260.19
379,260.27
380,260.25
381,260.19
382,260.29
383,260.31
384,260.35
385,260.40
386,260.45
387,260.53
388,260.53
389,260.56
390,260.62
391,260.59
392,260.67
393,260.62
394,260.69
395,260.76
396,260.76
397,260.78
398,260.95
399,260.87
400,261.05
401,261.06
402,261.03
403,261.06
404,261.03
405,261.04
406,261.10
407,261.19
408,261.23
409,261.25
410,261.32
411,261.39
412,261.35
413,261.34
414,261.50
415,261.43
416,261.55
417,261.52
418,261.57
419,261.66
420,261.57
421,261.56
422,261.55
423,261.57
424,261.66
425,261.68
426,261.71
427,261.83
428,261.80
429,261.98
430,262.02
431,261.94
432,262.04
433,262.00
434,262.09
435,262.15
436,262.32
437,262.19
438,262.19
439,262.20
440,262.32
441,262.32
442,262.28
443,262.33
444,262.25
445,262.28
446,262.32
447,262.36
448,262.44
449,262.57
450,262.74
451,262.51
452,262.55
453,262.59
454,262.66
455,262.73
456,262.64
457,262.61
458,262.67
459,262.55
460,262.58
461,262.79
462,262.17
463,261.94
464,261.71
465,261.54
466,261.38
467,261.18
468,261.05
469,260.89
470,260.93
471,260.76
472,260.70
473,260.48
474,260.40
475,260.38
476,260.34
477,260.27
478,260.03
479,259.93
480,259.92
481,259.83
482,259.81
483,259.68
484,259.59
485,259.46
486,259.30
487,259.21
488,259.22
489,259.15
490,259.03
491,259.00
492,258.87
493,258.73
494,258.66
495,258.55
496,258.58
497,258.45
498,258.51
499,258.34
500,258.11
501,257.94
502,257.91
503,257.84
504,257.75
505,257.64
506,257.53
507,257.56
508,257.46
509,257.44
510,257.32
511,257.36
512,257.18
513,257.24
514,257.15
515,257.03
516,257.05
517,256.90
518,256.80
519,256.64
520,256.59
521,256.61
522,256.58
523,256.57
524,256.48
525,256.45
526,256.33
527,256.21
528,256.03
529,256.02
530,256.06
531,256.00
532,255.80
533,255.66
534,255.83
535,255.79
536,255.64
537,255.51
538,255.62
539,255.60
540,255.56
541,255.42
542,255.33
543,255.18
544,255.18
545,255.14
546,255.00
547,255.00
548,254.87
549,254.69
550,254.79
551,254.71
552,254.71
553,254.71
554,254.58
555,254.56
556,254.50
557,254.36
558,254.15
559,254.11
560,254.02
561,253.90
562,253.94
563,253.93
564,253.95
565,253.77
566,253.71
567,253.70
568,253.54
569,253.49
570,253.44
571,253.42
572,253.26
573,253.19
574,253.13
575,253.25
576,253.31
577,253.22
578,253.25
579,253.18
580,253.12
581,253.12
582,252.94
583,252.88
584,252.81
585,252.74
586,252.72
587,252.75
588,252.65
