time,value
0,345.47
1,345.50
2,345.52
3,345.65
4,345.74
5,345.81
6,345.86
7,345.76
8,345.84
9,345.87
10,346.05
11,346.09
12,346.03
13,346.24
14,346.35
15,346.23
16,346.34
17,346.34
18,346.37
19,346.36
20,346.36
21,346.43
22,346.38
23,346.39
24,346.43
25,346.35
26,346.39
27,346.41
28,346.44
29,346.39
30,346.47
31,346.45
32,346.41
33,346.41
34,346.50
35,346.42
36,346.41
37,346.41
38,346.50
39,346.50
40,346.59
41,346.67
42,346.49
43,346.41
44,346.52
45,346.53
46,346.64
47,346.67
48,346.64
49,346.66
50,346.72
51,346.72
52,346.75
53,346.72
54,346.66
55,346.71
56,346.76
57,346.77
58,346.84
59,346.80
60,346.96
61,346.90
62,346.85
63,346.95
64,347.05
65,347.07
66,346.97
67,347.06
68,347.23
69,347.40
70,347.39
71,347.17
72,347.05
73,347.11
74,347.14
75,347.20
76,347.05
77,347.28
78,347.24
79,347.24
80,347.35
81,347.36
82,347.38
83,347.28
84,347.33
85,347.43
86,347.37
87,347.52
88,347.44
89,347.47
90,347.46
91,347.54
92,347.51
93,347.51
94,347.52
95,347.47
96,347.55
97,347.58
98,347.60
99,347.61
100,347.59
101,347.60
102,347.57
103,347.60
104,347.64
105,347.71
106,347.76
107,347.86
108,347.86
109,347.95
110,347.71
111,347.81
112,347.91
113,348.03
114,347.87
115,347.87
116,347.83
117,348.01
118,347.95
119,348.00
120,348.01
121,348.01
122,348.05
123,347.87
124,347.98
125,348.07
126,348.15
127,348.07
128,348.13
129,348.09
130,348.20
131,348.17
132,348.19
133,348.16
134,348.09
135,348.11
136,348.10
137,348.17
138,348.15
139,348.24
140,348.21
141,348.29
142,348.30
143,348.26
144,348.28
145,348.26
146,348.30
147,348.42
148,348.57
149,348.55
150,348.43
151,348.44
152,348.54
153,348.51
154,348.47
155,348.50
156,348.55
157,348.48
158,348.51
159,348.47
160,348.55
161,348.62
162,348.78
163,348.78
164,348.64
165,348.73
166,348.65
167,348.67
168,348.79
169,348.84
170,348.79
171,348.89
172,348.87
173,348.78
174,348.89
175,348.77
176,348.88
177,348.87
178,349.00
179,348.93
180,349.02
181,348.95
182,349.03
183,348.98
184,348.95
185,348.94
186,348.90
187,348.98
188,349.04
189,348.96
190,349.01
191,349.02
192,349.14
193,348.98
194,349.03
195,349.14
196,349.06
197,349.10
198,349.12
199,349.15
200,349.17
201,349.12
202,349.13
203,349.19
204,349.18
205,349.18
206,349.21
207,349.25
208,349.20
209,349.13
210,349.16
211,349.25
212,349.30
213,349.27
214,349.27
215,349.27
216,349.43
217,349.45
218,349.48
219,349.43
220,349.38
221,349.41
222,349.46
223,349.39
224,349.44
225,349.46
226,349.47
227,349.55
228,349.39
229,349.48
230,349.56
231,349.47
232,349.54
233,349.42
234,349.52
235,349.65
236,349.78
237,349.71
238,349.69
239,349.66
240,349.69
241,349.62
242,349.66
243,349.64
244,349.66
245,349.74
246,349.78
247,349.70
248,349.61
249,349.62
250,349.68
251,349.59
252,349.69
253,349.63
254,349.69
255,349.75
256,349.78
257,349.87
258,349.85
259,349.82
260,349.79
261,349.71
262,349.85
263,349.96
264,349.94
265,349.95
266,350.05
267,349.97
268,349.95
269,350.05
270,349.97
271,350.04
272,350.11
273,349.99
274,350.05
275,349.99
276,350.05
277,350.07
278,350.09
279,350.16
280,350.26
281,350.17
282,350.04
283,350.24
284,350.26
285,350.31
286,350.25
287,350.33
288,350.35
289,350.15
290,350.13
291,350.22
292,350.27
293,350.41
294,350.39
295,350.41
296,350.38
297,350.40
298,350.44
299,350.47
300,350.32
301,350.36
302,350.41
303,350.50
304,350.50
305,350.46
306,350.49
307,350.45
308,350.44
309,350.39
310,350.43
311,350.40
312,350.48
313,350.47
314,350.60
315,350.63
316,350.58
317,350.65
318,350.62
319,350.53
320,350.58
321,350.64
322,350.77
323,350.77
324,350.74
325,350.83
326,350.86
327,350.82
328,350.92
329,350.70
330,350.72
331,350.71
332,350.85
333,350.88
334,350.95
335,350.86
336,350.78
337,350.85
338,350.88
339,350.83
340,350.66
341,350.71
342,350.82
343,350.73
344,350.80
345,350.75
346,350.78
347,350.76
348,350.90
349,350.97
350,350.94
351,351.05
352,351.02
353,350.92
354,350.86
355,350.90
356,350.93
357,351.03
358,351.06
359,351.17
360,351.19
361,350.99
362,350.95
363,350.88
364,351.04
365,351.00
366,350.92
367,350.88
368,351.01
369,351.05
370,350.91
371,350.98
372,350.95
373,351.14
374,351.14
375,351.24
376,351.25
377,351.15
378,351.23
379,351.21
380,351.06
381,351.10
382,351.09
383,351.21
384,351.23
385,351.24
386,351.41
387,351.33
388,351.45
389,351.44
390,351.37
391,351.23
392,351.23
393,351.31
394,351.49
395,351.45
396,351.40
397,351.43
398,351.44
399,351.47
400,351.54
401,351.48
402,351.60
403,351.54
404,351.54
405,351.57
406,351.59
407,351.68
408,351.69
409,351.75
410,351.76
411,351.78
412,351.67
413,351.68
414,351.65
415,351.60
416,351.73
417,351.80
418,351.67
419,351.74
420,351.84
421,351.85
422,351.74
423,351.84
424,351.86
425,351.71
426,351.76
427,351.75
428,351.73
429,351.71
430,351.97
431,351.95
432,351.97
433,351.91
434,351.87
435,351.85
436,351.90
437,351.89
438,351.84
439,351.89
440,351.95
441,351.96
442,351.84
443,351.94
444,352.05
445,352.04
446,352.03
447,352.00
448,351.98
449,351.95
450,352.02
451,351.87
452,351.84
453,351.97
454,351.96
455,351.95
456,352.03
457,352.16
458,352.04
459,352.09
460,352.07
461,352.04
462,352.00
463,352.06
464,352.01
465,352.14
466,352.12
467,352.09
468,352.28
469,352.23
470,352.17
471,352.18
472,352.11
473,352.22
474,352.36
475,352.31
476,352.21
477,352.13
478,352.16
479,352.32
480,352.28
481,352.28
482,352.31
483,352.36
484,352.26
485,351.90
486,351.66
487,351.56
488,351.36
489,351.33
