Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,362.8,357.98,314.99,171.95,117.7,79.99,63.38,52.48,42.52,40.29,0.0375,25900,3,0.98
1,363.1,358.21,315.03,171.97,117.66,80.11,63.45,52.76,42.53,40.28,0.0375,25900,3,0.98
2,363.51,358.59,315.2,171.97,117.67,80.11,63.58,52.67,42.58,40.29,0.0375,25900,3,0.98
3,363.95,359.04,315.48,172.02,117.73,80.0,63.78,52.96,42.72,40.33,0.0375,25900,3,0.98
4,364.36,359.51,315.75,172.37,117.82,80.09,64.0,53.19,42.87,40.38,0.0375,25900,3,0.98
5,364.71,360.02,315.97,172.71,117.94,80.15,64.23,53.51,43.06,40.46,0.0375,25900,3,0.98
6,365.02,360.53,316.21,173.15,118.07,80.36,64.46,53.7,43.27,40.57,0.0375,25900,3,0.98
7,365.29,361.01,316.4,173.37,118.2,80.4,64.68,53.93,43.48,40.67,0.0375,25900,3,0.98
8,365.63,361.65,316.73,173.86,118.45,80.41,65.07,53.99,43.81,40.89,0.0375,25900,3,0.98
9,365.9,362.21,317.1,174.1,118.72,80.68,65.4,54.41,44.15,41.11,0.0375,25900,3,0.98
10,366.06,362.53,317.4,174.41,118.92,80.86,65.67,54.7,44.36,41.29,0.0375,25900,3,0.98
11,366.2,362.84,317.7,174.62,119.11,80.98,65.96,54.94,44.6,41.48,0.0375,25900,3,0.98
12,366.32,363.11,317.97,174.94,119.33,81.02,66.24,55.11,44.83,41.69,0.0375,25900,3,0.98
13,366.45,363.39,318.15,175.21,119.53,81.03,66.49,55.28,45.07,41.92,0.0375,25900,3,0.98
14,366.55,363.66,318.32,175.6,119.78,81.18,66.72,55.5,45.3,42.16,0.0375,25900,3,0.98
15,366.66,363.91,318.51,175.96,120.03,81.38,66.92,55.73,45.51,42.4,0.0375,25900,3,0.98
16,366.81,364.14,318.7,176.56,120.32,81.55,67.16,56.12,45.74,42.68,0.0375,25900,3,0.98
17,367.06,364.45,318.97,176.72,120.74,81.77,67.51,56.27,46.07,43.12,0.0375,25900,3,0.98
18,367.14,364.69,319.36,176.96,121.15,81.71,67.86,56.48,46.4,43.58,0.0375,25900,3,0.98
19,367.13,364.81,319.52,177.16,121.41,81.91,68.07,56.6,46.61,43.93,0.0375,25900,3,0.98
20,367.1,364.93,319.65,177.4,121.68,82.06,68.28,56.83,46.81,44.27,0.0375,25900,3,0.98
21,367.07,365.04,319.8,177.91,121.99,82.42,68.52,57.15,47.02,44.63,0.0375,25900,3,0.98
22,367.06,365.12,319.91,177.97,122.31,82.6,68.77,57.37,47.23,45.0,0.0375,25900,3,0.98
23,367.04,365.16,320.1,178.67,122.64,82.83,69.03,57.58,47.48,45.38,0.0375,25900,3,0.98
24,367.04,365.16,320.26,179.05,122.96,82.98,69.33,57.88,47.74,45.8,0.0375,25900,3,0.98
