Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,361.98,359.64,339.27,193.92,125.93,80.01,61.67,50.57,40.46,38.02,0.0375,25900,25,0.98
1,361.92,359.56,339.07,193.91,126.01,80.03,61.71,50.57,40.41,38.0,0.0375,25900,25,0.98
2,361.95,359.66,338.86,193.9,126.08,80.08,61.89,50.77,40.49,37.99,0.0375,25900,25,0.98
3,362.05,359.87,338.52,194.01,126.22,80.16,62.27,51.07,40.79,38.04,0.0375,25900,25,0.98
4,362.18,360.12,338.46,194.14,126.38,80.25,62.72,51.38,41.16,38.14,0.0375,25900,25,0.98
5,362.28,360.31,338.55,194.21,126.5,80.37,62.99,51.68,41.41,38.23,0.0375,25900,25,0.98
6,362.4,360.48,338.7,194.38,126.66,80.49,63.28,51.97,41.68,38.34,0.0375,25900,25,0.98
7,362.5,360.63,338.87,194.5,126.82,80.59,63.58,52.17,41.93,38.46,0.0375,25900,25,0.98
8,362.6,360.75,339.03,194.65,127.01,80.75,63.85,52.38,42.18,38.61,0.0375,25900,25,0.98
9,362.66,360.84,339.15,194.87,127.22,80.9,64.11,52.63,42.44,38.76,0.0375,25900,25,0.98
10,362.73,360.94,339.27,195.05,127.43,81.07,64.39,52.9,42.69,38.92,0.0375,25900,25,0.98
11,362.77,361.01,339.34,195.22,127.63,81.26,64.67,53.22,42.93,39.11,0.0375,25900,25,0.98
12,362.89,361.19,339.39,195.33,127.94,81.45,65.12,53.5,43.28,39.42,0.0375,25900,25,0.98
13,363.01,361.41,339.4,195.49,128.26,81.65,65.57,53.82,43.63,39.75,0.0375,25900,25,0.98
14,363.1,361.61,339.42,195.67,128.53,81.81,65.84,54.04,43.88,39.99,0.0375,25900,25,0.98
15,363.18,361.8,339.41,195.98,128.8,82.06,66.07,54.29,44.11,40.24,0.0375,25900,25,0.98
16,363.27,361.96,339.4,196.3,129.09,82.31,66.29,54.48,44.33,40.52,0.0375,25900,25,0.98
17,363.35,362.12,339.45,196.58,129.36,82.55,66.53,54.67,44.54,40.8,0.0375,25900,25,0.98
18,363.46,362.26,339.54,196.9,129.65,82.8,66.81,54.87,44.73,41.12,0.0375,25900,25,0.98
19,363.56,362.4,339.67,197.22,129.92,83.05,67.07,55.06,44.94,41.44,0.0375,25900,25,0.98
20,363.67,362.53,339.79,197.6,130.21,83.32,67.35,55.35,45.15,41.77,0.0375,25900,25,0.98
21,363.82,362.68,339.96,197.84,130.65,83.5,67.82,55.53,45.52,42.31,0.0375,25900,25,0.98
22,363.97,362.81,340.1,198.12,131.09,83.77,68.23,55.8,45.87,42.89,0.0375,25900,25,0.98
23,364.09,362.91,340.2,198.38,131.38,84.04,68.51,56.05,46.13,43.28,0.0375,25900,25,0.98
24,364.2,363.04,340.29,198.6,131.64,84.3,68.79,56.3,46.38,43.68,0.0375,25900,25,0.98
25,364.31,363.18,340.38,198.86,131.93,84.57,69.02,56.51,46.62,44.09,0.0375,25900,25,0.98
26,364.41,363.32,340.49,199.13,132.22,84.82,69.24,56.72,46.85,44.54,0.0375,25900,25,0.98
27,364.48,363.45,340.61,199.34,132.49,85.07,69.48,57.05,47.12,44.97,0.0375,25900,25,0.98
28,364.56,363.54,340.73,199.52,132.78,85.26,69.73,57.31,47.41,45.43,0.0375,25900,25,0.98
29,364.64,363.62,340.82,199.84,133.11,85.56,70.0,57.7,47.74,45.88,0.0375,25900,25,0.98
